"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","75/1486","370/18866",1.85152927792282e-14,1.08407039222381e-10,8.30849401240525e-11,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/SWAP70/CXCL13/CTSC/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/HLA-DRB1/SPN/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/JAK3/IGHV2-26/IGHV3-20/HLA-A/IGKV2-30/SEMA4A/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/CEACAM1/HLA-H/C4BPB/BATF/IGHV3-66/CLU/SLAMF6/AZGP1/IL1B/PRKCQ/IGHV1-18/IGHV3-49/IGHV1-58/MEF2C/HAVCR2/IGHV1-24/IRF7/TRPM4/IGKV1D-12/GATA3/PKN1/MAD2L2/PVR/IGKV1-12/ANXA1/IGHV3-53/C1S/CD55/SLC11A1/SMAD7/PTPRC/CD1D/C4BPA/IGHV4-61/IGHV1-69/PTPN6/IL18/BTN3A3/ZBTB7B/C1RL/PRF1/CD1A/IL13RA2",75
"GO:0006959","GO:0006959","humoral immune response","75/1486","377/18866",5.14691747920113e-14,1.50676009203613e-10,1.15480574809655e-10,"IGHV3-35/IGHV3-21/IGHV3-11/CD83/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/CXCL13/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/HLA-DRB1/PPBP/PLA2G1B/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/A2M/F2/CXCL3/CXCL1/BST1/IGHV2-26/IGHV3-20/PGC/HLA-A/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/BLNK/C4BPB/GAPDH/CTSG/IGHV3-66/CLU/TREM2/CPB2/IL1B/C5AR1/IGHV1-18/IGHV3-49/IGHV1-58/SPINK5/BPIFB2/MEF2C/CFB/S100A7/IGHV1-24/IGKV1D-12/GATA3/SH2D1A/IGKV1-12/IGHV3-53/C1S/CD55/SLC11A1/C3AR1/CXCL5/PTPRC/DEFB1/C4BPA/CXCL14/IGHV4-61/IGHV1-69/RNASE6/PTPN6/C1RL/REG3A/PI3",75
"GO:0002449","GO:0002449","lymphocyte mediated immunity","73/1486","366/18866",9.81258157521724e-14,1.9150888374299e-10,1.46775562298776e-10,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/SWAP70/CTSC/IGHV3-15/IGHV3-48/IGHV3-7/SERPINB4/IGKV1D-39/HLA-DRB1/IGHV5-51/IGHV3-33/IGLV2-8/CD96/IGKV1-39/VAV1/IGHV2-26/IGHV3-20/HLA-A/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/CEACAM1/HLA-H/C4BPB/LYST/BATF/IGHV3-66/CLU/SLAMF6/AZGP1/IL1B/IGHV1-18/IGHV3-49/IGHV1-58/HAVCR2/IGHV1-24/TUBB/IRF7/TRPM4/IGKV1D-12/GATA3/MAD2L2/GZMB/PVR/SH2D1A/IGKV1-12/IGHV3-53/C1S/CD55/SLC11A1/SMAD7/PTPRC/CD1D/C4BPA/IGHV4-61/IGHV1-69/PTPN6/IL18/BTN3A3/C1RL/PRF1/CD1A/IL13RA2",73
"GO:0006956","GO:0006956","complement activation","46/1486","178/18866",3.09468663205491e-13,4.52984755767038e-10,3.47174976643424e-10,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/A2M/F2/IGHV2-26/IGHV3-20/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/C4BPB/IGHV3-66/CLU/CPB2/IL1B/C5AR1/IGHV1-18/IGHV3-49/IGHV1-58/CFB/IGHV1-24/IGKV1D-12/IGKV1-12/IGHV3-53/C1S/CD55/C3AR1/C4BPA/IGHV4-61/IGHV1-69/C1RL",46
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","42/1486","155/18866",5.94022124527484e-13,5.88994966411669e-10,4.51415441918818e-10,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/HLA-DRB1/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/IGHV2-26/IGHV3-20/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/C4BPB/IGHV3-66/CLU/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGKV1D-12/IGKV1-12/IGHV3-53/C1S/CD55/PTPRC/C4BPA/IGHV4-61/IGHV1-69/PTPN6/C1RL",42
"GO:0030198","GO:0030198","extracellular matrix organization","75/1486","395/18866",6.16996362710582e-13,5.88994966411669e-10,4.51415441918818e-10,"NID2/COL22A1/F11R/PHLDB1/TMEM38B/COLGALT1/HTRA1/MMP17/SMOC1/FGFR4/NOX1/SOX9/A2M/LAMA3/SLC2A10/KAZALD1/COL4A4/COL5A3/SPOCK2/ITGB3/LAMC3/SPP1/BGN/CTSG/NTN4/LAMB2/JAM3/TNFRSF11B/TIMP1/CPB2/SERPINB5/COL10A1/ITGB8/CHADL/COL17A1/DPP4/SPINK5/MMP16/CD44/HAPLN1/COL4A6/COMP/RB1/LUM/ADAMTS4/ADAMTS15/COL5A2/EGFL6/ECM2/DDR2/COL6A1/PDGFA/ETS1/HPN/TTR/COL11A2/PTX3/PXDN/LOXL2/PRDX4/MATN3/MMP2/ITGA7/PDGFRA/OLFML2A/THSD4/TGFB2/COL23A1/APBB2/ADAMTS9/BSG/SMAD3/LAMA1/COL1A2/QSOX1",75
"GO:0043062","GO:0043062","extracellular structure organization","75/1486","396/18866",7.04178439774839e-13,5.88994966411669e-10,4.51415441918818e-10,"NID2/COL22A1/F11R/PHLDB1/TMEM38B/COLGALT1/HTRA1/MMP17/SMOC1/FGFR4/NOX1/SOX9/A2M/LAMA3/SLC2A10/KAZALD1/COL4A4/COL5A3/SPOCK2/ITGB3/LAMC3/SPP1/BGN/CTSG/NTN4/LAMB2/JAM3/TNFRSF11B/TIMP1/CPB2/SERPINB5/COL10A1/ITGB8/CHADL/COL17A1/DPP4/SPINK5/MMP16/CD44/HAPLN1/COL4A6/COMP/RB1/LUM/ADAMTS4/ADAMTS15/COL5A2/EGFL6/ECM2/DDR2/COL6A1/PDGFA/ETS1/HPN/TTR/COL11A2/PTX3/PXDN/LOXL2/PRDX4/MATN3/MMP2/ITGA7/PDGFRA/OLFML2A/THSD4/TGFB2/COL23A1/APBB2/ADAMTS9/BSG/SMAD3/LAMA1/COL1A2/QSOX1",75
"GO:0006910","GO:0006910","phagocytosis, recognition","30/1486","88/18866",1.94810740462269e-12,1.2754482993034e-09,9.77524580867525e-10,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/SCARB1/IGHV3-15/IGHV3-48/IGHV3-7/IGHV5-51/IGHV3-33/CD36/IGHV2-26/IGHV3-20/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/IGHV3-66/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGHV3-53/CLEC7A/IGHV4-61/IGHV1-69",30
"GO:0006958","GO:0006958","complement activation, classical pathway","39/1486","141/18866",1.96055246690531e-12,1.2754482993034e-09,9.77524580867525e-10,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/IGHV2-26/IGHV3-20/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/C4BPB/IGHV3-66/CLU/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGKV1D-12/IGKV1-12/IGHV3-53/C1S/CD55/C4BPA/IGHV4-61/IGHV1-69/C1RL",39
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","66/1486","357/18866",5.1549624091701e-11,3.01823049056909e-08,2.31322155266233e-08,"CD24/IGHV3-35/IGHV3-21/IGHV3-11/IGF2/VSIR/HLA-DMB/CD83/HHLA2/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/ITPKB/PELI1/IGHV5-51/IGHV3-33/JAK3/BST1/VAV1/IGHV2-26/IGHV3-20/HLA-A/SLC7A1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/RUNX3/DOCK8/ZBTB16/IGHV3-66/PNP/IL1B/PRKCQ/DPP4/IGHV1-18/IGHV3-49/IGHV1-58/MEF2C/HAVCR2/SIRPG/IGHV1-24/GATA3/MAD2L2/ANXA1/IGHV3-53/HES1/CD55/CLEC7A/PTPRC/CD1D/PIK3R1/IGHV4-61/IGHV1-69/PTPN6/IL18/SOX12/ZBTB7B/MYB/HLA-DPA1",66
