"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",60,"60/1731","TP63/AURKA/NCAPH/THRB/LY6K/BIRC3/SMARCA2/GAL3ST1/SLC26A6/SPAG1/SPESP1/SOX9/SRPK1/UNC13B/PAFAH1B3/BMP4/CLIC4/SYCP2/CCNB1/PRSS21/USP9Y/SOX17/JAM3/ZBTB16/GLRB/SKIL/VGF/BCL2L10/PAQR8/CREB3L4/LIMK2/EDNRB/LHFPL2/MERTK/SELENOP/HOXA10/RAB3A/GAMT/PPP1R1B/TNFAIP6/ASPM/NECTIN3/NR2F2/CNR1/DDO/PTX3/NRIP1/SSTR2/SPATA20/IGSF8/DEFB1/NPM2/PTGS2/PRDX4/FOXA3/ADCY3/FOSL1/TDRP/PI3/DDX3Y"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/1731",""
"GO:0022414","GO:0022414","reproductive process",131,"131/1731","TP63/AURKA/NCAPH/IGF2/CKS2/SLIT3/THRB/NAMPT/CTSB/MAGED2/HTRA1/LY6K/PTHLH/BIRC3/SMARCA2/CSF1/PKD2/PAM/GAL3ST1/STRA6/SLC26A6/SPAG1/SPESP1/SOX9/HEY1/RAD51/SRPK1/UNC13B/PAFAH1B3/BMP4/CLIC4/SYCP2/AKR1C3/CCNB1/PRSS21/SIX4/MND1/DHCR24/TEAD3/MGST1/USP9Y/SPP1/HIF1A/SOX17/JAM3/ZBTB16/GLRB/TFAP2C/LIF/APOL2/SKIL/VGF/BCL2L10/PAQR8/TIMP1/BRINP1/SERPINB5/RNF212/IL1B/CREB3L4/ITGB8/GJB5/LIMK2/AREG/EDNRB/PPARG/LHFPL2/RBBP8/STS/TCF7/MERTK/INHA/SELENOP/HOXA10/SDC1/CBX2/HAVCR2/RAB3A/ARHGDIB/NUPR1/WNT5A/NEK2/GAMT/GATA3/PTPRN/PPP1R1B/HS6ST1/TNFAIP6/MYH9/CITED1/ASPM/NECTIN3/ETS1/ANXA1/TBX3/PLA2G4C/TCF21/NR2F2/HES1/LDOC1/CNR1/DDO/ABCC2/PTX3/NRIP1/SSTR2/SPATA20/IGSF8/DEFB1/E2F7/NPM2/PTGS2/PRDX4/OVOL2/MMP2/FOXA3/ADCY3/PTPN6/VDR/REN/PDGFRA/PBX1/ZFP36L1/FOSL1/TGFB2/ID4/BSG/TDRP/PI3/DDX3Y/FGFR2"
"GO:0032504","GO:0032504","multicellular organism reproduction",63,"63/1731","TP63/AURKA/NCAPH/SLIT3/THRB/CTSB/BIRC3/SMARCA2/PAM/GAL3ST1/SLC26A6/SPESP1/SOX9/SRPK1/PAFAH1B3/BMP4/SYCP2/CCNB1/PRSS21/USP9Y/SPP1/SOX17/JAM3/ZBTB16/LIF/APOL2/SKIL/BCL2L10/PAQR8/BRINP1/CREB3L4/LIMK2/EDNRB/MERTK/HOXA10/HAVCR2/GAMT/PTPRN/PPP1R1B/TNFAIP6/ASPM/NECTIN3/ETS1/NR2F2/LDOC1/CNR1/DDO/PTX3/NRIP1/SSTR2/SPATA20/DEFB1/NPM2/PTGS2/PRDX4/FOXA3/VDR/PDGFRA/FOSL1/TGFB2/BSG/TDRP/DDX3Y"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/1731",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/1731",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/1731",""
"GO:0001776","GO:0001776","leukocyte homeostasis",13,"13/1731","CD74/ITPKB/JAK3/SLC7A11/HIF1A/JAM3/SKIL/FAS/MEF2C/MERTK/PKN1/PMAIP1/ANXA1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",5,"5/1731","SWAP70/BATF/TCF7/MAD2L2/PTPRC"
"GO:0002252","GO:0002252","immune effector process",185,"185/1731","IGHV3-35/IGHV3-21/IGHV3-11/SERPINB1/LPCAT1/HLA-DMB/TMEM63A/CTSB/UNC93B1/APOBEC3A/IQGAP2/IFI44L/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/SWAP70/HTRA1/CTSC/HSPA8/CALML5/IGHV3-15/IGHV3-48/IGHV3-7/BIRC3/SERPINB4/IGKV1D-39/STOM/HLA-DRB1/PPBP/RAC2/PLA2G1B/OASL/SPN/IGHV5-51/IGHV3-33/IGLV2-8/CD96/PGM1/IGKV1-39/JAK3/A2M/IFIT1/F2/CXCL1/BST2/BST1/VAV1/NOS2/HK3/CD36/JUP/IGHV2-26/IGHV3-20/PGC/HLA-A/IGKV2-30/DEGS1/VAMP8/SEMA4A/FCGR3A/SLAMF8/SERPINA1/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/OSCAR/DDIT4/CEACAM1/HLA-H/DDX58/GPRC5B/DLL1/C4BPB/IRF1/CD93/LYST/MGST1/CTSG/ARHGAP45/DTX3L/IFI27/BATF/IGHV3-66/CLU/TREM2/CCL3/CPB2/SLAMF6/PNP/AZGP1/IL1B/ALDH3B1/NFAM1/C5AR1/IGHV1-18/IGHV3-49/IGHV1-58/SPINK5/DNASE1L3/DSP/CD44/PGRMC1/IFITM3/QPCT/HEBP2/CYBA/HAVCR2/GSDMD/PLEKHO2/CFB/RAB3A/S100A7/IGHV1-24/TUBB/IFITM1/IRF7/WNT5A/ORMDL3/TRPM4/IGKV1D-12/ADA2/FABP5/CDH17/GATA3/TRIM22/RTP4/PKN1/TNFAIP6/MAD2L2/GZMB/PVR/PMAIP1/HP/SH2D1A/IGKV1-12/ANXA1/CYSTM1/IGHV3-53/ATP6V0C/FES/C1S/TTR/CD55/CRISP3/RNASET2/SLC11A1/ISG15/C3AR1/PTX3/ARPC1B/SMAD7/PTPRC/PKP1/VAMP2/CD1D/CDA/STK10/PYGL/C4BPA/PRDX4/PIK3R1/IGHV4-61/IGHV1-69/TRPM2/RNASE6/PTPN6/IL18/BTN3A3/ZBTB7B/NBEAL2/S100A13/BAIAP2/C1RL/MYB/TGFB2/APOBEC3B/PRF1/CD1A/IL13RA2/QSOX1/CD84"
