"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","81/1553","427/19559",1.20459087526041e-13,7.52869297037758e-11,6.07367399210251e-11,"NID2/SERPINB1/CTSB/CLEC3B/HTRA1/CTSC/CXCL12/SMOC1/S100A4/CPA3/LRRC15/TPSB2/SRPX/EFNA5/A2M/SNORC/F2/PODNL1/COL26A1/ANGPTL1/MXRA7/LAMA3/SBSPON/SERPINA1/NTN1/ANXA8/KAZALD1/COL4A4/COL5A3/LAMC3/BGN/CTSG/NTN4/LAMB2/CLU/EMILIN2/TIMP1/SRPX2/AZGP1/COL10A1/SDC2/CHADL/COL17A1/ADAMDEC1/HAPLN1/COL4A6/COMP/FREM2/S100A7/WNT5A/LUM/SOD3/ADAMTS4/ADAMTS15/COL5A2/EGFL6/MEGF9/ECM2/COL6A1/ANXA1/COL11A2/GDF15/PXDN/LOXL2/LTBP1/MUC2/MATN3/EMILIN3/ACHE/MMP2/CD151/BCAM/THSD4/TGFB2/COL23A1/ADAMTS9/ASPN/MXRA5/LAMA1/COL1A2/FGFR2",81
"GO:0042571","GO:0042571","immunoglobulin complex, circulating","27/1553","76/19559",9.8750449916078e-12,3.08595155987744e-09,2.48955081630534e-09,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGHV5-51/IGHV3-33/IGHV2-26/IGHV3-20/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/IGHV3-66/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGHV3-53/IGHV4-61/IGHV1-69",27
"GO:0005911","GO:0005911","cell-cell junction","84/1553","493/19559",1.67393190656057e-11,3.48735813866786e-09,2.813380292079e-09,"MLC1/ACTN4/AMOTL1/F11R/CDC42EP1/EPB41L4B/ATP1A2/MPDZ/PKD2/KAZN/CLDN8/FGFR4/PANX2/CTNND1/ARHGEF2/EFNA5/PKP3/BAIAP2L2/VAV1/JUP/PDLIM1/CLIC4/LSR/DLG5/TIAM1/HEG1/CEACAM1/DDX58/DLL1/ITGB3/GJB4/AFDN/CDH5/JAM3/MAGI3/CD99L2/IQGAP3/SIPA1L3/CADM4/COL17A1/DPP4/GJB5/CALB2/GJA5/DSP/SORBS1/EPHA4/BAIAP2L1/TJP1/FLRT3/CLDN5/CTNNA2/HAMP/SCN1B/RASIP1/FRMD5/VANGL2/PODXL/OBSL1/KCNJ2/MYH9/PVR/PTPRM/PARD6G/NECTIN3/ANXA1/HPN/PPL/ABCC2/CYTH3/STARD10/SMAD7/PKP1/TSPAN33/PIK3R1/TMEM204/PTPN6/CLDN10/ECT2/BAIAP2/MAGI2/LAMA1/PCDH1/CLDN18",84
"GO:0009897","GO:0009897","external side of plasma membrane","71/1553","417/19559",6.52359450841335e-10,1.01931164193959e-07,8.22316255139473e-08,"CD24/IGHV3-35/IGHV3-21/IGHV3-11/CD83/ABCG2/HHLA2/CTSB/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/CD74/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/CXCL12/HLA-DRB1/SPN/MAP3K5/IGHV5-51/IGHV3-33/EFNA5/SLC38A1/AQP4/F2/CD36/IGHV2-26/IGHV3-20/FCGR3A/CCR1/CD79B/RAET1L/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/HEG1/HLA-H/CD3D/CUBN/IL2RB/CDH5/IGHV3-66/FAS/AZGP1/IGHV1-18/IGHV3-49/IGHV1-58/CLCN3/GPIHBP1/SDC1/CCR5/IL6R/IGHV1-24/ANXA1/IGHV3-53/LIFR/PTPRC/CD1D/IGHV4-61/IGHV1-69/S1PR1/BTN3A3/PDGFRA/BCAM/BTN3A1/BTNL9/CD1A/IL13RA2",71
"GO:0019814","GO:0019814","immunoglobulin complex","38/1553","163/19559",1.1349028031369e-09,1.41862850392112e-07,1.14445987937384e-07,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/IGKV3-7/IGHV2-26/IGHV3-20/IGKV2D-29/IGKV2-30/IGKV1D-17/CD79B/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/IGHV3-66/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGKV1D-12/IGKV1-12/IGHV3-53/IGKV6D-21/IGHV4-61/IGHV1-69",38
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","54/1553","308/19559",2.62829902228656e-08,2.7378114815485e-06,2.20869338890396e-06,"COL22A1/COLGALT1/CTSC/CSF1/CASQ2/FKBP10/F5/F2/LIPC/COL26A1/CYP2W1/WNT6/BMP4/SERPINA1/IGFBP4/CHRDL1/COL4A4/COL5A3/COLGALT2/SCG3/ARSD/SPP1/LAMB2/CLU/VGF/TIMP1/COL10A1/SDC2/COL17A1/TXNDC16/SDF2L1/BPIFB2/STS/PNPLA2/COL4A6/WNT5A/WFS1/COL5A2/COL6A1/PDGFA/FAM20C/COL11A2/RNASET2/LTBP1/TSPAN33/PTGS2/MATN3/BCHE/COL23A1/P4HA2/COL1A2/PROC/QSOX1/PDIA5",54
"GO:0045177","GO:0045177","apical part of cell","66/1553","433/19559",2.09977592322788e-07,1.87479993145346e-05,1.51247017627993e-05,"CEACAM7/MLC1/SLC7A9/STK39/ANXA13/ABCG2/SLC6A20/AMOTL1/CTSB/GNAS/KCNMA1/EPB41L4B/MPDZ/MUC13/ITPR3/SLC26A6/GPR143/SLC38A1/UPK1A/BST2/USH1C/CD36/SLC25A27/SLC39A14/SLC7A11/CLIC4/SLC7A1/DUOX1/CEACAM1/CUBN/PTPRH/DLL1/MGST1/CA2/PROM1/SIPA1L3/C5AR1/DPP4/SLC2A9/GPIHBP1/CD44/CYBA/IL6R/PLAT/TJP1/ERBB3/HAMP/SLC15A1/KL/EZR/VANGL2/DDR2/PODXL/ERBB2/ASPM/SLC9A3/PARD6G/ANXA1/HPN/SLC4A11/ABCC2/RIPOR2/REN/PTH1R/UPK1B/UPK3A",66
"GO:0005902","GO:0005902","microvillus","22/1553","93/19559",2.68012906382666e-06,0.000209385083111458,0.000168918660733285,"IQGAP2/SCARB1/SPN/USH1C/CLIC4/CEACAM1/CA9/PTPRH/ITGB3/JAM3/CNP/CA2/PROM1/CD44/EZR/PODXL/PDGFA/PLEKHG6/STARD10/VIL1/PDGFRA/RAPGEF3",22
"GO:0005903","GO:0005903","brush border","23/1553","106/19559",7.6436658521271e-06,0.000489592344876592,0.000394972182224652,"SLC7A9/ABCG2/ACTN4/SLC28A1/ITPR3/SLC26A6/MFSD10/USH1C/CD36/SLC7A11/SCIN/PLEC/CUBN/LIMA1/SLC28A3/SLC15A1/EZR/MYH9/SLC9A3/ABCC2/VIL1/PTH1R/GIPC1",23
"GO:0030055","GO:0030055","cell-substrate junction","60/1553","423/19559",7.83347751802546e-06,0.000489592344876592,0.000394972182224652,"EPB41L2/ACTN4/ARHGAP26/HSPA8/CDC42EP1/RAC2/CIB2/BCAR1/FHL1/SPRY4/ARHGEF2/LPXN/JUP/SVIL/PDLIM1/DLC1/PLEC/ITGB3/SNTB1/TLE2/SORBS3/GRB7/BCAR3/CD99L2/NEDD9/ITGB8/COL17A1/DPP4/CD44/SORBS1/RHOU/CYBA/LIMA1/TES/FLRT3/S100A7/RRAS2/EZR/DAB2/TNS1/DDR2/MYH9/FERMT2/PVR/RPLP2/ANXA1/ATP6V0C/FES/KLF11/ARPC1B/ITGBL1/PTPRC/ASAP3/CD151/RPS18/TLN2/BSG/MAPRE2/EFS/SLA",60
