"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/1731",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",13,"13/1731","CKS2/FBXO2/KCTD17/FBXO6/RNF19B/CBX2/FBXL6/MAD2L2/DTL/WWP1/FBXL16/ASB2/CBX7"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",1,"1/1731","PPP2R3A"
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/1731",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",5,"5/1731","CKS2/CDK6/CCNB1/RB1/CCNJL"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/1731",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/1731","PSMB8"
"GO:0005737","GO:0005737","cytoplasm",1070,"1070/1731","MSMO1/TP63/MLC1/ME1/AURKA/NCAPH/CYP24A1/SH2D3C/ANXA8L1/TRPV2/SERPINB1/SYP/IGF2/STK39/LPCAT1/EPB41L2/ABCD1/KIF22/FBXO2/RHOV/HLA-DMB/ANXA13/SLIT3/NAMPT/COL22A1/MAP3K21/NAT8L/TMEM63A/AMDHD1/ABCG2/ACTN4/CD8B/AMOTL1/SIAE/F11R/CTSB/UNC93B1/BIN1/APOBEC3A/IQGAP2/SSBP2/ARHGAP26/NR0B2/NDUFA3/IFI44L/STAC2/SAMD1/IER2/TRAPPC6A/GNAS/PHLDB1/CPS1/TMEM38B/CD74/HAAO/MAGED2/PALD1/PPP1R14C/CARMIL1/MOXD1/NTRK2/HDAC1/CDKN2A/SHANK3/JPH1/ETHE1/SWAP70/KIF15/COLGALT1/CLEC3B/HTRA1/SPRED1/CTSC/HSPA8/MGAT3/CDC42EP1/GCH1/BHMT/GYPC/CEL/IFI44/RNF213/CALML5/LY6K/GNG4/TONSL/MRAP2/RECQL4/HSPB7/GLYCTK/HLA-DMA/HOMER3/BAIAP3/SCARB1/PTHLH/EPB41L4B/NLRP2/ATP1A2/BIRC3/CXCL12/SERPINB4/DDX39B/ATAD3C/CCDC69/MPDZ/PLS3/SCGN/FGD1/MID1/SRM/STOM/TACSTD2/CSF1/DSTN/EYA1/ACTA1/ITPKB/NOCT/PKD2/KAZN/EPHB3/CASQ2/HLA-DRB1/S100A4/PRAME/TMTC1/CPA3/PPBP/CLDN8/CLMN/TAGLN2/DTX4/B3GAT1/DUSP23/TAGAP/PAM/RAC2/GAL3ST1/KRT17/CIB2/FKBP10/PLA2G1B/MTSS1/SEMA6D/MUC13/PC/HNF1A/FGFR4/CCDC146/OASL/KCNQ1/NOX1/BCAR1/LLGL2/PANX2/CLCN4/KCTD17/CERK/TBC1D1/PELI1/MAP3K5/FHL1/SPRY4/ITPR3/MAP3K1/NCDN/NANS/SAMD4A/PTGS1/MSRB1/ECI2/LRBA/CD96/PLP2/CTNND1/ATP10A/SRPX/F5/TNFRSF25/TYRP1/MCRIP1/PKDCC/SLC26A6/GOLGA8B/GPR143/PGM1/ASAP1/SYTL4/CHPF/DNAJC6/SIGMAR1/ARHGEF2/FOXA2/SPAG1/ADAP2/PKP3/EIF4EBP3/AMACR/SPESP1/LAMP5/ZNF106/PLEKHA2/BCAT2/JAK3/ARRDC2/CAP2/UPK1A/CDK6/AURKAIP1/A2M/GAS2L3/IFIT1/ADI1/PODXL2/SNORC/ACADSB/GLTP/CTSE/AQP4/PLVAP/F2/IL17RE/CXCL1/BST2/BST1/LPXN/ST3GAL4/RAB34/LIPC/HEY1/SH3D19/MFSD10/LIX1/BAIAP2L2/TNFAIP8/CHSY1/LLGL1/SLC6A11/IL1RN/RNF112/GNAZ/PLPP2/MIEN1/VAV1/NRIP2/NOS2/USH1C/RAD51/HK3/P4HTM/DTX1/CD36/COL26A1/KIF5C/JUP/STAP2/CYP2W1/SLC9A7/SVIL/STMN3/PIR/MT3/GCLM/SRPK1/HGF/DEF6/SNAI2/BEX4/SNX20/PDLIM1/UNC13B/PORCN/TSTD1/PAFAH1B3/PAPSS2/DENND1C/HLA-A/PIM2/SLC25A27/PLIN2/WNT6/S1PR4/SLC39A14/ZDHHC2/NRSN2/BMP4/ARHGDIG/SDCBP2/NIPSNAP1/ALDH1A3/MYEF2/SLC7A11/CLIC4/TMEM59L/DLG5/DEGS1/MAN1A1/ITPR1/MAST1/GRIK5/SFN/STAC3/GNB4/VAMP8/SDSL/IKZF1/MXRA7/NDN/ALG1L/EEF1A1P5/AKR1C3/MYBPC1/LSM7/GAP43/BHLHE40/CCR1/SHC2/CCNB1/SCIN/LAMA3/PRSS21/SELE/FNIP2/TIAM1/RAET1L/DLC1/HNF4G/NCAPG/UGDH/ACAP1/GALNT16/GSDMB/SIX4/DOC2B/GZMH/TST/BZW2/SERPINA1/SLC2A10/NTN1/ECHDC2/SIGLEC1/TPX2/GSTA4/SDR16C5/OSCAR/IGFBP4/FNBP1L/DUOX1/GIPC2/ARHGAP29/UQCRH/DDIT4/LMBRD1/PXK/LRRC75B/GLDC/BICDL1/MLF1/MDFIC/NT5E/GALNT11/PLEC/HILPDA/ANXA8/RN7SL3/TXNIP/TMEM14A/TBC1D2/CRAT/SYT13/RUNX3/PLEKHB1/FNBP1/BLNK/OPHN1/CEACAM1/FDFT1/HLA-H/NYNRIN/SESN1/DDX58/DOCK8/CHRDL1/ARG2/COL4A4/COL5A3/SFXN3/SCTR/HSPA7/GPRC5B/CD3D/CUBN/CYS1/PTPRH/DLL1/ANKRD13B/GLMP/COLGALT2/PGK1/ERRFI1/ACSL3/DHCR24/SLC1A4/UGCG/ITGB3/TGM3/PRKD1/IRF1/DENND5A/SCG3/SQLE/CD93/DECR2/HLA-DOA/RBM24/PON2/RAB23/RPL18A/MCM3/PHACTR1/TFPT/CHPT1/PKLR/SCCPDH/LYST/SEC24D/PLEKHA4/GAPDH/ARSD/GGCT/MGST1/UNC119B/PLXNA1/GSPT2/DOK7/NR2F1/IFT57/USP9Y/SPP1/UBA7/SPATS2L/BGN/CTSG/ARHGEF38/HIF1A/IL2RB/RNF182/FCHO1/LAMB2/ARHGAP45/AFDN/SNTB1/DTX3L/GIMAP4/PDE4A/MYLK/MTHFD2/IFI27/BATF/JAM3/HTATIP2/ZBTB16/GLRB/MCU/TFAP2C/PPP1R15A/SULT2B1/SORBS3/CLU/EPB41L1/LIF/SKIL/SPECC1/VGF/EHD2/ACOT7/CCL3/ACACA/FAS/GRB7/BCL2L10/PAQR8/UACA/PLCB2/GCHFR/BCAR3/HUNK/CAST/TIMP1/PEA15/PRPS2/ASB9/NDC80/SRPX2/ENGASE/SLC5A3/BRINP1/MAGI3/PNP/SERPINB5/LIPA/LMNA/CNP/EHF/ALS2CL/FAM83B/CDKN2B/SHC3/ASTN2/PTGES/G0S2/COL10A1/C8orf88/PSMB8/SLC30A4/FAM110A/NECAB3/IQGAP3/PRAF2/CA2/PCSK2/TUBB3/IL1B/ALDH3B1/GAS7/RHBDF1/PROM1/CAPS/CREB3L4/BAG2/PTP4A1/RASAL1/NEDD9/SDC2/SIPA1L3/WDR91/NFAM1/NUAK1/COL17A1/C5AR1/GSTO2/NOL4L/PRKCQ/SULT1A2/ACSL5/DPP4/CLSTN3/ATP10B/PRICKLE1/ALDH8A1/SGK1/MBNL2/LIMK2/B4GALNT4/SFTA2/S100A14/DOCK9/TXNDC16/CCDC170/LZTS3/LYPLA1/PEBP4/SPINK5/MEIS2/RNF128/GADD45G/HELZ2/SULT4A1/SARAF/SH3BP4/DNASE1L3/ATP5F1EP2/DCTPP1/CALB2/TRIM2/CLCN3/PACSIN3/KIF5A/CPE/AREG/KLHL5/CRYAB/MMP16/RAB39B/SNX25/CIDEC/CISD3/DSP/WHRN/MARCO/TYMP/CD44/PLEKHO1/SORBS1/RHPN2/PTPRE/PPARG/HIP1/LHFPL2/SDF2L1/RASSF9/PLN/EPS8L3/BPIFB2/WDHD1/PCSK1N/RENBP/ARMCX3/STS/PGRMC1/MEF2C/TBC1D16/MERTK/HLA-DRA/CLCA2/IFITM3/PGGHG/KHK/PNMT/AMD1/INHA/ENKD1/SELENOP/HOXA10/RHOU/FBXO6/RNF19B/EPHA4/SDC1/QPCT/STIL/HEBP2/BAIAP2L1/SYN1/NNAT/CYBA/LIMA1/VEGFB/PNPLA2/HAVCR2/SDS/HAP1/VASN/SHC1/TES/MYL3/CCR5/PLAT/RRBP1/TJP1/LAPTM4B/NAPB/GPCPD1/FLRT3/GSDMD/CLDN5/PLEKHO2/HOGA1/STON1/NCALD/MCM2/CTNNA2/SERPINB2/MYO5A/DGKA/TRAM2/KANK2/COL4A6/NTHL1/SPRR1B/RAB3A/HAMP/SPRR1A/S100A7/RASIP1/ARHGDIB/SOD2/TUBB/NLGN3/RASSF10/MAOA/NUPR1/IRF7/WNT5A/FGF12/PLEKHF2/FBXL6/SLC35A3/ELOVL4/PLAGL1/RAB32/NEK2/LUM/DUSP6/C1orf194/HCLS1/GAMT/ORMDL3/RPS21/RRAS2/KL/EPHB2/MTURN/PGPEP1/FGD6/TRPM4/NEFL/BAMBI/PALM3/CDC6/EZR/PLEKHN1/FKBP5/ADA2/WFS1/SOD3/PPARGC1A/FABP5/FUT6/GDPD5/DYNC1I1/ADCY1/NEU4/COL5A2/ARC/JPT2/DAB2/SLC1A3/TNS1/ABCA2/SHB/VANGL2/PTGR1/LIPG/LIPE/MYOM1/LXN/NFE2L3/ARHGEF5/CHRDL2/PTPRN/PPP1R1B/MPST/MCCC2/FCRLA/PODXL/A4GALT/TRIM22/IQCA1/RTP4/VPREB3/ST6GALNAC4/HS6ST1/TXN/KLF4/SRD5A3/AOAH/PKN1/HJURP/TNFAIP6/NFE2/MAD2L2/RAB38/OBSL1/KCNJ2/MYH9/GZMB/FERMT2/SIDT1/PVR/COL6A1/YAP1/ERBB2/ZNF415/PMAIP1/HP/TSPYL2/SNRPB/SPRR2A/CITED1/CEMIP/CPQ/SH2D1A/SLC2A4RG/SH2D4A/PEG10/ASPM/OGDHL/ARRDC1/OAT/CYP2B6/PDGFA/FAM20C/NET1/RPLP2/POLR2L/PLK3/PTPRM/PARD6G/ETS1/NREP/ANXA1/MSI1/PRRG4/FHL5/UST/DTL/PLA2G4C/CLEC11A/PLBD1/CYSTM1/HSD17B14/GLT8D2/AKAP1/LPCAT2/MTHFD1L/TESC/GALNT6/PHLDA1/RYR1/SHMT2/NR2F2/ATP6V0C/PPL/FES/GLTPD2/HES1/WWC1/STMN1/TTR/ASB13/HMGN3/NUDT11/CNR1/ARL4D/CD55/HYAL1/COL11A2/SPRR2E/DDO/ABLIM1/SCD/CDC7/WWTR1/CRISP3/PHGDH/IL11/DPYSL2/CDC45/RRAGD/RNASET2/SLC11A1/PTMA/ISG15/AGMO/C3AR1/PTX3/TMEM64/KIF1A/KLF11/CLEC7A/NMNAT3/NRIP1/LYNX1/TMEM150B/SSTR2/SHISA2/GDF15/GDPD2/ARPC1B/PXDN/PIPOX/OLFM1/LOXL2/TRAF1/CYTH3/AASS/PLEKHG6/NEDD4L/LTBP1/STARD10/C16orf89/SMAD7/MUC2/PTPRC/PKP1/PHYH/PTGDS/USP11/PSPHP1/VAMP2/NCS1/ACTA2/DEFB1/TSPAN33/CHMP4C/MOAP1/CD1D/NPM2/CLIC2/CDA/CPT1A/CWH43/HSPA12A/GALNT7/ANXA10/MAPK10/PTGS2/STK10/SREBF1/PYGL/TTLL12/NCF4/MLPH/WWP1/PRDX4/C1orf210/PFKFB2/VLDLR/PMP2/PIK3R1/CXCL14/MATN3/DNAJB1/FMO5/ABHD17C/FBXL16/CHTF18/APOL3/VIL1/OTULINL/DACT3/GAL3ST4/GDAP1/TNFRSF10A/RTN2/KNTC1/PRKX/EMILIN3/SRMS/KIAA1217/PDZRN3/ACHE/MMP2/DOCK3/ASAP3/CAVIN3/ADCY3/S1PR1/TRPM2/ATP1A3/RNASE6/PTPN6/SASH1/VDR/IL18/FOXO1/LDHB/TPD52L1/RIPOR2/REN/ISYNA1/JUN/CD151/CLDN10/CCNJL/CCDC184/NBEAL2/DTX3/ACOX2/PTH1R/PDGFRA/ECT2/CSPG5/TTC3/S100A13/KPNA2/RGMA/KRT6B/CREB3L2/PBX1/RMI2/BCHE/ZFP36L1/RCAN3/MAN1C1/CENPF/FOSL1/SUGCT/MUC5B/BAIAP2/TUBB6/MYB/MAGI2/HSD17B6/DNER/RPS18/HLA-DPA1/MAGEH1/TGFB2/RASSF5/MYLIP/COL23A1/HERPUD1/IL32/PHPT1/CX3CL1/CYB561/RCC1/APBB2/ABHD6/ADAMTS9/TLN2/REG3A/ID4/BSG/APOBEC3B/RNF122/SEPHS2/TDRP/GNL3L/APOC1/PRF1/RPL36/GSTM1/KANK1/RAPGEF3/KCNN2/SMS/UGT1A6/ACSF2/MAPRE2/SMAD3/STK17B/TP53INP2/RUBCNL/SCAMP5/NPM3/ATL1/SH3GL2/IGF2BP2/TMEM38A/CKMT1B/NDE1/ASB2/EFS/DHRS2/CBX7/P4HA2/SLA/FGF18/CD1A/COL1A2/TACC1/PRRX1/PI3/FAM210B/PROC/TUBA1B/GIPC1/SSPN/QSOX1/NMI/PDIA5/IDI1/PFKP/DDX3Y/FGFR2/MPEG1"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/1731",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/1731",""
