"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034987","GO:0034987","immunoglobulin receptor binding","28/1485","80/18352",9.67456793989503e-12,9.81968645899346e-09,8.78858119171517e-09,"IGHV3-35/IGHV3-21/IGHV3-11/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGHV5-51/IGHV3-33/IGHV2-26/IGHV3-20/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/IGHV3-66/IGHV1-18/IGHV3-49/IGHV1-58/IGHV1-24/IGHV3-53/FES/IGHV4-61/IGHV1-69",28
"GO:0003823","GO:0003823","antigen binding","42/1485","168/18352",2.51511629469921e-11,1.27642151955985e-08,1.14239229596075e-08,"IGHV3-35/IGHV3-21/IGHV3-11/SLC7A9/IGHV1-45/IGHV4-39/IGHV2-5/IGHV3-13/TRBV7-9/IGHV3-72/IGHV3-15/IGHV3-48/IGHV3-7/IGKV1D-39/HLA-DRB1/IGHV5-51/IGHV3-33/IGLV2-8/IGKV1-39/IGHV2-26/IGHV3-20/HLA-A/IGKV2-30/IGHV1-3/IGHV4-34/IGHV3-23/IGHV4-28/HLA-H/DHCR24/IGHV3-66/IGHV1-18/IGHV3-49/IGHV1-58/HLA-DRA/IGHV1-24/IGKV1D-12/IGHV3-53/CD1D/IGHV4-61/IGHV1-69/HLA-DPA1/CD1A",42
"GO:0019838","GO:0019838","growth factor binding","31/1485","136/18352",9.97118857288441e-08,3.37358546715922e-05,3.01934587312254e-05,"NTRK2/HTRA1/CXCL13/FGFR4/A2M/IL1RN/CD36/IGFBP4/KAZALD1/ITGB3/IL2RB/SRPX2/RHBDF1/HTRA3/HAP1/VASN/SHC1/IL6R/ERBB3/KL/COL6A1/ERBB2/PDGFA/CRIM1/LIFR/PXDN/LTBP1/PDGFRA/S100A13/COL1A2/FGFR2",31
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","18/1485","61/18352",9.03365967194838e-07,0.00022922911417569,0.00020515916570767,"NTRK2/EPHB3/CSF1R/FGFR4/EPHA7/EFNA4/TIE1/PDGFRL/MERTK/EPHA4/ERBB3/EFNA3/EPHB2/DDR2/ERBB2/CRIM1/PDGFRA/FGFR2",18
"GO:0005543","GO:0005543","phospholipid binding","65/1485","454/18352",4.43893305060208e-06,0.000822590201794544,0.000736215031525737,"ANXA8L1/ANXA13/BIN1/IQGAP2/ARHGAP26/CPS1/HSPA8/BAIAP3/SCARB1/KCNQ1/ITPR3/ASAP1/SYTL4/ADAP2/PLEKHA2/GLTP/BAIAP2L2/SVIL/SNX20/UNC13B/DENND1C/SDCBP2/ITPR1/GAP43/SCIN/GSDMB/DOC2B/PXK/ANXA8/GRAMD1B/SYT13/OPHN1/PLEKHA4/TREM2/SESTD1/GRB7/RASAL1/VEPH1/CPNE8/PACSIN3/SNX25/HIP1/SHC1/LAPTM4B/GSDMD/DGKA/CETP/CPNE4/WNT5A/PLEKHF2/PLEKHN1/KCNJ2/FERMT2/ANXA1/PLA2G4C/PHLDA1/FES/GLTPD2/CYTH3/VAMP2/ANXA10/NCF4/VIL1/APOC1/RUBCNL",65
"GO:0005201","GO:0005201","extracellular matrix structural constituent","32/1485","169/18352",4.86260217809583e-06,0.000822590201794544,0.000736215031525737,"NID2/COL22A1/SRPX/LAMA3/SBSPON/COL4A4/COL5A3/BGN/LAMB2/EMILIN2/SRPX2/COL10A1/CHADL/COL17A1/HAPLN1/COL4A6/COMP/TFPI2/LUM/COL5A2/COL6A1/COL11A2/PXDN/LTBP1/MATN3/EMILIN3/THSD4/COL23A1/ASPN/MXRA5/LAMA1/COL1A2",32
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","19/1485","80/18352",1.54898773956489e-05,0.0022460322223691,0.00201019010412707,"NTRK2/EPHB3/CSF1R/FGFR4/EPHA7/EFNA4/TIE1/PDGFRL/MERTK/EPHA4/ERBB3/EFNA3/EPHB2/DDR2/ERBB2/CRIM1/LTBP1/PDGFRA/FGFR2",19
"GO:0005518","GO:0005518","collagen binding","17/1485","70/18352",3.15050846006673e-05,0.00399720760870967,0.00357748526452315,"NID2/CTSB/LRRC15/COL5A3/CHADL/PCOLCE2/CD44/COMP/LUM/ECM2/DDR2/COL6A1/PDGFA/SMAD7/ACHE/ASPN/SMAD3",17
"GO:0031406","GO:0031406","carboxylic acid binding","35/1485","212/18352",3.98173491794125e-05,0.00449051215745597,0.00401899091717345,"OXER1/LYVE1/CPS1/PAM/PLA2G1B/PC/GPR143/NOS2/P4HTM/CYP2W1/AKR1C3/SELE/GLDC/SESN1/CYP4F11/GLRB/GCHFR/CD44/PPARG/HAPLN1/SUSD5/FABP5/SLC1A3/TNFAIP6/CEMIP/SHMT2/NR2F2/PHYH/PTGDS/PYGL/PMP2/VDR/ACOX2/APOC1/P4HA2",35
"GO:0003779","GO:0003779","actin binding","59/1485","437/18352",6.8404969628919e-05,0.00694310441733528,0.00621405145155338,"EPB41L2/ACTN4/BIN1/IQGAP2/SHANK3/KCNMA1/PLS3/DSTN/S100A4/CLMN/MTSS1/MSRB1/CAP2/GAS2L3/USH1C/SVIL/PDLIM1/MYBPC1/SCIN/PXK/PLEC/ANXA8/OPHN1/CEACAM1/PHACTR1/AFDN/SNTB1/MYLK/PHACTR3/EPB41L1/IQGAP3/GAS7/KLHL5/SORBS1/HIP1/EPS8L3/BAIAP2L1/SYN1/LIMA1/MYL3/CCR5/NCALD/CTNNA2/MYO5A/HCLS1/MICAL2/EZR/RCSD1/TNS1/MYOM1/MYH9/FERMT2/ABLIM1/ARPC1B/LSP1/MLPH/VIL1/TLN2/GIPC1",59
