"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1731",""
"GO:0009975","GO:0009975","cyclase activity",3,"3/1731","BST1/ADCY1/ADCY3"
"GO:0016491","GO:0016491","oxidoreductase activity",83,"83/1731","MSMO1/ME1/CYP24A1/NDUFA3/HAAO/MOXD1/ETHE1/PAM/NOX1/FMO2/PTGS1/MSRB1/TYRP1/RDH16/ADI1/ACADSB/NOS2/FMO3/P4HTM/DHRS9/CYP2W1/PIR/ALDH1A3/UTY/DEGS1/AKR1C3/UGDH/DHRS7/SDR16C5/DUOX1/UQCRH/GLDC/CRAT/SESN1/PGK1/DHCR24/SQLE/DECR2/SCCPDH/GAPDH/MGST1/CYP4F11/MTHFD2/HTATIP2/ALDH3B1/GSTO2/ALDH8A1/SC5D/CYBA/SOD2/MAOA/MICAL2/SOD3/PTGR1/TXN/SRD5A3/OGDHL/CYP2B6/HSD17B14/DDO/SCD/PHGDH/AGMO/PXDN/PIPOX/LOXL2/AASS/PHYH/CLIC2/PTGS2/NCF4/PRDX4/FMO5/BMP2/LDHB/ACOX2/HSD17B6/CYB561/DIO1/DHRS2/P4HA2/QSOX1/PDIA5"
"GO:0016740","GO:0016740","transferase activity",171,"171/1731","AURKA/STK39/LPCAT1/FBXO2/NAMPT/MAP3K21/NAT8L/UGT2A3/UBE2QL1/NTRK2/COLGALT1/MGAT3/BHMT/RNF213/GLYCTK/BIRC3/MID1/SRM/ITPKB/EPHB3/CSF1R/TMTC1/DTX4/B3GAT1/GAL3ST1/FGFR4/CERK/PELI1/MAP3K5/MAP3K1/NANS/PKDCC/CHPF/AMACR/BCAT2/JAK3/CDK6/BST1/ST3GAL4/CHSY1/RNF112/HK3/DTX1/SRPK1/PORCN/TSTD1/PAFAH1B3/PAPSS2/PIM2/ZDHHC2/MBOAT2/MAST1/ALG1L/CCNB1/GALNT16/TST/GSTA4/GALNT11/EPHA7/CRAT/FDFT1/COLGALT2/PGK1/UGCG/TGM3/PRKD1/NHLRC4/EFNA4/CHPT1/PKLR/GAPDH/MGST1/UBA7/RNF182/MBOAT1/DTX3L/TIE1/MYLK/HTATIP2/SULT2B1/CCL3/HUNK/PRPS2/MAGI3/PNP/RNF212/PDGFRL/NUAK1/GSTO2/PRKCQ/SULT1A2/SGK1/LIMK2/B4GALNT4/RNF128/SULT4A1/TRIM2/TYMP/SDF2L1/MERTK/KHK/PNMT/FBXO6/RNF19B/EPHA4/QPCT/DPY19L1/ERBB3/DGKA/EFNA3/FBXL6/UBE2E2/ELOVL4/NEK2/GAMT/EPHB2/FUT6/DDR2/MPST/A4GALT/TRIM22/ST6GALNAC4/HS6ST1/PKN1/ERBB2/OAT/FAM20C/POLR2L/PLK3/UST/DTL/PLA2G4C/CRIM1/GLT8D2/LPCAT2/GALNT6/SHMT2/FES/POMK/HYAL1/CDC7/NMNAT3/NEDD4L/LTBP1/CPT1A/GALNT7/MAPK10/STK10/PYGL/WWP1/PFKFB2/GAL3ST4/PRKX/SRMS/PDZRN3/DTX3/PDGFRA/TTC3/SUGCT/MYLIP/RNF122/SEPHS2/GSTM1/SMS/UGT1A6/STK17B/CKMT1B/ASB2/SLA/PFKP/FGFR2"
"GO:0016787","GO:0016787","hydrolase activity",198,"198/1731","ABCD1/KIF22/PLPPR1/RHOV/AMDHD1/ABCG2/SIAE/CTSB/APOBEC3A/NT5DC2/GNAS/CPS1/PALD1/HDAC1/ETHE1/KIF15/HTRA1/CTSC/HSPA8/GCH1/CEL/RNF213/GNG4/RECQL4/ATP1A2/SMARCA2/MMP17/DDX39B/EYA1/NOCT/CPA3/DUSP23/RAC2/PLA2G1B/TPSB2/DNAJC6/SPAG1/CTSE/F2/BST1/RAB34/LIPC/RNF112/GNAZ/PLPP2/NRIP2/PRSS8/RAD51/KIF5C/HGF/PGC/PAFAH1B3/MAN1A1/EEF1A1P5/CCR1/PRSS21/GZMH/NT5E/NYNRIN/DDX58/ARG2/HSPA7/PTPRH/PON2/RAB23/MCM3/EPHX1/ARSD/GSPT2/USP9Y/CTSG/EPHX4/ATP13A3/PDE4A/MTHFD2/PTER/TPSD1/EHD2/ACOT7/PLCB2/CPB2/ENGASE/LIPA/CNP/AZGP1/PSMB8/CA2/PCSK2/TUBB3/PTP4A1/DPP4/CPXM1/LYPLA1/ADAMDEC1/DPP6/MACROD1/HELZ2/DNASE1L3/ATP5F1EP2/DCTPP1/KIF5A/CPE/MMP16/RAB39B/PTPRE/RBBP8/STS/CLCA2/PGGHG/HTRA3/RHOU/PNPLA2/CCR5/PLAT/GPCPD1/RASL12/CFB/MCM2/MYO5A/NTHL1/RAB3A/PON3/ARHGDIB/TUBB/PTPRT/RAB32/DUSP6/RFC3/RRAS2/KL/PGPEP1/ADA2/GDPD5/DYNC1I1/ADAMTS4/ADAMTS15/NEU4/ABCA2/LIPG/LIPE/RASL11B/AOAH/RAB38/MYH9/GZMB/HP/CEMIP/CPQ/PTPRM/ANXA1/HPN/PLPPR2/RERGL/PLA2G4C/PLBD1/C1S/NUDT11/ARL4D/IL1RAP/HYAL1/ABCC2/RRAGD/RNASET2/KIF1A/GDPD2/PTPRC/USP11/PSPHP1/SMARCA1/GNA14/CDA/PFKFB2/CPA4/ABHD17C/CHTF18/ACHE/MMP2/RNASE6/PTPN6/NT5DC3/REN/BCHE/MAN1C1/TUBB6/C1RL/THSD4/PHPT1/ADAM22/ABHD6/ADAMTS9/APOBEC3B/PTPRD/ATL1/PROC/TUBA1B/TPSG1/IDI1/DDX3Y"
"GO:0016829","GO:0016829","lyase activity",19,"19/1731","ME1/PAM/BST1/HACD1/SDSL/ECHDC2/GLDC/CA9/GGCT/CA2/AMD1/SDS/HOGA1/NTHL1/ADCY1/SHMT2/RNASET2/ADCY3/CA12"
"GO:0016853","GO:0016853","isomerase activity",15,"15/1731","FKBP10/ECI2/PGM1/AMACR/DHRS9/DEGS1/ITGB3/PTGES/RENBP/FKBP5/PTGDS/ISYNA1/QSOX1/PDIA5/IDI1"
"GO:0016874","GO:0016874","ligase activity",12,"12/1731","CPS1/PC/GCLM/ACSL3/UBA7/ACACA/ACSL5/ATP5F1EP2/MCCC2/MTHFD1L/ATP6V0C/ACSF2"
"GO:0032451","GO:0032451","demethylase activity",1,"1/1731","UTY"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/1731",""
