"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",4,"4/196","QKI/SYT8/BMP4/CTSV"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/196",""
"GO:0022414","GO:0022414","reproductive process",13,"13/196","GRHL2/PGF/IL1A/NCAPD3/PLK4/QKI/MMP9/SYT8/CEBPA/SNAI1/BMP4/ESPL1/CTSV"
"GO:0032504","GO:0032504","multicellular organism reproduction",3,"3/196","QKI/BMP4/CTSV"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/196",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/196",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/196",""
"GO:0001776","GO:0001776","leukocyte homeostasis",0,"0/196",""
"GO:0002200","GO:0002200","somatic diversification of immune receptors",1,"1/196","TFRC"
"GO:0002252","GO:0002252","immune effector process",23,"23/196","IGLV3-27/PRSS3/CD58/PLD1/TFRC/KCNAB2/MASP2/ALDH3B1/HPX/MMP9/PLPP4/MYO18A/TUBB4B/HBB/C4A/CANT1/IL7R/MFAP4/RASGRP1/CTSS/EXOSC4/AOC1/PCK1"
"GO:0002253","GO:0002253","activation of immune response",7,"7/196","IGLV3-27/RUNX1/MASP2/PLPP4/C4A/MUC3A/MFAP4"
"GO:0002262","GO:0002262","myeloid cell homeostasis",3,"3/196","ADGRF5/HOXA5/BMP4"
"GO:0002339","GO:0002339","B cell selection",0,"0/196",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/196",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",5,"5/196","IGLV3-27/TFRC/HPX/IGKV1-27/IL7R"
"GO:0002507","GO:0002507","tolerance induction",0,"0/196",""
"GO:0002520","GO:0002520","immune system development",15,"15/196","IL1A/RUNX1/TFRC/KCNAB2/ADGRF5/HOXA5/MMP9/NFKBIA/CEBPA/NME1/IL7R/RASGRP1/PITX2/PCK1/BMP4"
"GO:0002682","GO:0002682","regulation of immune system process",29,"29/196","CCL4/IGLV3-27/PGF/PLA2G4A/IL1A/RUNX1/TFRC/ADGRF5/DAPK2/MASP2/HPX/HOXA5/NFKBIA/PLPP4/PJA2/MYO18A/CEBPA/C4A/NME1/GPX1/MUC3A/IL7R/MFAP4/RASGRP1/TNFAIP8L2/LGALS7B/EDN3/PCK1/BMP4"
"GO:0002683","GO:0002683","negative regulation of immune system process",10,"10/196","RUNX1/ADGRF5/HOXA5/NFKBIA/NME1/GPX1/IL7R/TNFAIP8L2/LGALS7B/BMP4"
"GO:0002684","GO:0002684","positive regulation of immune system process",21,"21/196","CCL4/IGLV3-27/PGF/PLA2G4A/IL1A/RUNX1/TFRC/DAPK2/MASP2/HPX/HOXA5/PLPP4/MYO18A/CEBPA/C4A/MUC3A/IL7R/MFAP4/RASGRP1/EDN3/PCK1"
"GO:0006955","GO:0006955","immune response",35,"35/196","CCL4/IGLV3-27/PRSS3/CD58/PLA2G4A/IL1A/RUNX1/PLD1/TFRC/KCNAB2/MASP2/ALDH3B1/HPX/MMP9/PLPP4/PJA2/MBP/TUBB4B/HBB/C4A/IGKV1-27/GPX1/CANT1/MUC3A/IL7R/MFAP4/RASGRP1/TNFAIP8L2/CTSS/CXCL16/CTSW/AOC1/PCK1/JCHAIN/CTSV"
"GO:0019882","GO:0019882","antigen processing and presentation",3,"3/196","CTSS/CTSF/CTSV"
"GO:0031294","GO:0031294","lymphocyte costimulation",0,"0/196",""
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/196",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/196",""
"GO:0045058","GO:0045058","T cell selection",0,"0/196",""
"GO:0045321","GO:0045321","leukocyte activation",27,"27/196","PRSS3/CD58/PLA2G4A/IL1A/RUNX1/PLD1/TFRC/KCNAB2/ADGRF5/ALDH3B1/MMP9/PJA2/KIF13B/MYO18A/TUBB4B/CEBPA/HBB/CANT1/IL7R/ADAM9/RASGRP1/TNFAIP8L2/CTSS/LGALS7B/AOC1/PCK1/BMP4"
"GO:0050900","GO:0050900","leukocyte migration",8,"8/196","CCL4/IGLV3-27/PGF/CD58/DAPK2/CXCL16/EDN3/JCHAIN"
"GO:0090713","GO:0090713","immunological memory process",1,"1/196","PCK1"
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/196",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/196",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/196",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/196",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/196",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/196",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/196",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/196",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/196",""
"GO:0007611","GO:0007611","learning or memory",3,"3/196","NGF/SLC6A1/PJA2"
"GO:0007622","GO:0007622","rhythmic behavior",0,"0/196",""
"GO:0007625","GO:0007625","grooming behavior",0,"0/196",""
"GO:0007626","GO:0007626","locomotory behavior",2,"2/196","APBA2/RASD2"
"GO:0007631","GO:0007631","feeding behavior",0,"0/196",""
"GO:0007632","GO:0007632","visual behavior",0,"0/196",""
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/196",""
"GO:0007638","GO:0007638","mechanosensory behavior",0,"0/196",""
"GO:0019098","GO:0019098","reproductive behavior",0,"0/196",""
"GO:0030534","GO:0030534","adult behavior",0,"0/196",""
"GO:0030537","GO:0030537","larval behavior",0,"0/196",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/196",""
"GO:0035176","GO:0035176","social behavior",0,"0/196",""
"GO:0035187","GO:0035187","hatching behavior",0,"0/196",""
"GO:0035640","GO:0035640","exploration behavior",0,"0/196",""
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/196",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/196",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/196",""
"GO:0048520","GO:0048520","positive regulation of behavior",0,"0/196",""
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/196",""
"GO:0050795","GO:0050795","regulation of behavior",0,"0/196",""
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/196",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/196",""
"GO:0060273","GO:0060273","crying behavior",0,"0/196",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/196",""
"GO:0061744","GO:0061744","motor behavior",0,"0/196",""
"GO:0071625","GO:0071625","vocalization behavior",0,"0/196",""
"GO:0006734","GO:0006734","NADH metabolic process",1,"1/196","HK2"
"GO:0006739","GO:0006739","NADP metabolic process",1,"1/196","KCNAB2"
