"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/196",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/196",""
"GO:0016491","GO:0016491","oxidoreductase activity",10,"10/196","CYP2E1/KCNAB2/ALDH3B1/BLVRB/CYP2C18/HBB/GPX1/PYCR1/ALDH1A1/AOC1"
"GO:0016740","GO:0016740","transferase activity",16,"16/196","GALNT12/PLA2G4A/AK5/PLK4/ACAT1/DAPK2/MET/SGK2/HK2/PJA2/CERKL/CHST6/NME1/MOGAT2/AURKB/GSTM3"
"GO:0016787","GO:0016787","hydrolase activity",30,"30/196","PRSS3/HDHD3/PLA2G4A/AGAP2/EDNRA/DNPH1/AADAC/PLD1/NTHL1/MASP2/MMP9/RASD2/PLPP4/KIF13B/ADAMTSL2/MYO6/SULF2/MYL6B/TUBB4B/GNG2/NME1/CANT1/ADAM9/CTSS/CTSW/CTSF/EXOSC4/PDE6B/ESPL1/CTSV"
"GO:0016829","GO:0016829","lyase activity",2,"2/196","NTHL1/PCK1"
"GO:0016853","GO:0016853","isomerase activity",0,"0/196",""
"GO:0016874","GO:0016874","ligase activity",0,"0/196",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/196",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/196",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/196",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",17,"17/196","PRSS3/GALNT12/PLK4/DAPK2/MASP2/MET/SGK2/MMP9/PJA2/ADAMTSL2/ADAM9/CTSS/CTSW/CTSF/AURKB/ESPL1/CTSV"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",2,"2/196","NTHL1/NME1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",1,"1/196","EXOSC4"
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/196","RPL21"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/196",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/196","CCDC6/TUBB4B"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",7,"7/196","NID1/FBLN5/THBS2/COL18A1/MUC3A/MFAP4/MATN2"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/196",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/196",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/196",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/196","MYL6B"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/196",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/196",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/196",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",1,"1/196","MBP"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",1,"1/196","KRT10"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/196",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/196",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/196",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/196",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/196",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/196",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/196",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/196","FBLN5"
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/196",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/196",""
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/196","HBB"
"GO:0022857","GO:0022857","transmembrane transporter activity",11,"11/196","TMC4/TUSC3/SLC18B1/SLC6A1/SLC2A12/KCNAB2/HPX/SLC6A9/SLC26A9/KCNH3/KCNMB4"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/196",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/196",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/196",""
"GO:0000035","GO:0000035","acyl binding",0,"0/196",""
"GO:0003682","GO:0003682","chromatin binding",5,"5/196","GRHL2/NCAPD3/GRHL1/NPM3/CEBPA"
"GO:0003823","GO:0003823","antigen binding",4,"4/196","IGLV3-27/IL7R/MFAP4/JCHAIN"
"GO:0005515","GO:0005515","protein binding",140,"140/196","CCL4/LBH/GRHL2/PPP1R13L/PRSS3/RETREG1/S1PR2/CYP2E1/PRRC2B/LRRC4/BCL2L12/RPL21/TMEM54/PGF/HDHD3/NID1/CD58/IL1A/TMEM160/AGAP2/NGF/RUNX1/SLC6A1/EDNRA/NCAPD3/ITPRIP/PLEKHS1/NFKBIE/GRHL1/ZNF385B/PLK4/IL22RA1/FBLN5/ITPRID2/TMEM8B/DNPH1/MYCN/AADAC/RAPGEFL1/QKI/CREB3L3/PLD1/ACAT1/CRMP1/HMMR/TFRC/KCNAB2/ADGRF5/NTHL1/MXD1/ARHGEF17/PKP2/LIMA1/DKK3/DAPK2/APBA2/MASP2/ALDH3B1/PAX2/CDIP1/BLVRB/ABLIM1/HPX/CCDC6/NPM3/GRB10/HOXA5/MET/MMP9/NFKBIA/RASD2/CIRBP/TSPAN15/PRTFDC1/SIM2/SYT8/HK2/TBC1D8/POU5F1/PLPP4/PJA2/MFAP3L/CCDC167/MBP/KIF13B/ADAMTSL2/MYO6/MYO18A/MYL6B/TUBB4B/GNG2/KRT10/THBS2/CEBPA/HBB/C4A/TMEM141/ARHGDIG/NME1/GPX1/GPC6/PYCR1/CRABP1/CANT1/SCAND1/IL7R/ADAM9/MFAP4/RASGRP1/PITX2/PLXNB1/IVL/TNFAIP8L2/CTSS/SPATA18/CXCL16/SPC24/FAM83H/AURKB/LGALS7B/EXOSC4/PXMP2/SLC26A9/AOC1/PAX8/EDN3/SNAI1/C20orf85/PAIP2B/POF1B/LYPD3/BMP4/PCED1A/MATN2/GSTM3/ESPL1/KCNH3/JCHAIN/CTSV/KCNMB4"
"GO:0005549","GO:0005549","odorant binding",0,"0/196",""
"GO:0008144","GO:0008144","drug binding",1,"1/196","AOC1"
"GO:0008289","GO:0008289","lipid binding",9,"9/196","S1PR2/PLA2G4A/NGF/PLD1/SYT8/CERKL/CRABP1/RASGRP1/JCHAIN"
"GO:0008430","GO:0008430","selenium binding",0,"0/196",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/196",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/196",""
"GO:0030246","GO:0030246","carbohydrate binding",4,"4/196","GALNT12/HK2/LGALS7B/REG4"
"GO:0031409","GO:0031409","pigment binding",0,"0/196",""
"GO:0033218","GO:0033218","amide binding",5,"5/196","PLA2G4A/APBA2/NFKBIA/GSTM3/CTSV"
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/196",""
"GO:0036094","GO:0036094","small molecule binding",23,"23/196","CYP2E1/AGAP2/RUNX1/AK5/PLK4/HMMR/DAPK2/CYP2C18/MET/SGK2/RASD2/PRTFDC1/HK2/KIF13B/MYO6/MYO18A/TUBB4B/HBB/NME1/CRABP1/ALDH1A1/AURKB/PCK1"
"GO:0042165","GO:0042165","neurotransmitter binding",1,"1/196","SLC6A1"
"GO:0042562","GO:0042562","hormone binding",1,"1/196","ALDH1A1"
"GO:0043167","GO:0043167","ion binding",58,"58/196","LENG9/PRSS3/CYP2E1/PGF/GALNT12/NID1/PLA2G4A/IL1A/AGAP2/RUNX1/SLC6A1/AK5/ZNF385B/PLK4/FBLN5/PLD1/ACAT1/HMMR/NTHL1/LIMA1/DAPK2/MASP2/CDIP1/ABLIM1/HPX/CYP2C18/MET/SGK2/MMP9/RASD2/PRTFDC1/SYT8/HK2/PJA2/KIF13B/MYO6/SULF2/MYO18A/MYL6B/TUBB4B/THBS2/HBB/NME1/COL18A1/CRABP1/CANT1/ADAM9/RASGRP1/AURKB/AOC1/SNAI1/PCK1/BMP4/PDE6B/MATN2/GSTM3/JCHAIN/REG4"
"GO:0043176","GO:0043176","amine binding",0,"0/196",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/196",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/196",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/196",""
"GO:0044877","GO:0044877","protein-containing complex binding",22,"22/196","S1PR2/PGF/NID1/FBLN5/ITPRID2/TFRC/PKP2/LIMA1/ABLIM1/GRB10/MMP9/MYO6/MYO18A/C4A/NME1/ADAM9/CTSS/FAM83H/AOC1/POF1B/JCHAIN/CTSV"
"GO:0046790","GO:0046790","virion binding",0,"0/196",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/196",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/196",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/196",""
"GO:0048038","GO:0048038","quinone binding",1,"1/196","AOC1"
"GO:0050436","GO:0050436","microfibril binding",1,"1/196","ADAMTSL2"
"GO:0050825","GO:0050825","ice binding",0,"0/196",""
"GO:0050840","GO:0050840","extracellular matrix binding",4,"4/196","NID1/ADAM9/CTSS/LYPD3"
"GO:0050997","GO:0050997","quaternary ammonium group binding",2,"2/196","RASGRP1/JCHAIN"
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/196",""
"GO:0051540","GO:0051540","metal cluster binding",1,"1/196","NTHL1"
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/196",""
"GO:0072328","GO:0072328","alkene binding",0,"0/196",""
"GO:0072341","GO:0072341","modified amino acid binding",2,"2/196","SYT8/GSTM3"
"GO:0097159","GO:0097159","organic cyclic compound binding",48,"48/196","GRHL2/CYP2E1/PRRC2B/HOXD11/RPL21/PNISR/AGAP2/RUNX1/AK5/GRHL1/ZNF385B/PLK4/MYCN/QKI/CREB3L3/TFRC/NTHL1/MXD1/DAPK2/DLX6/PAX2/CYP2C18/NPM3/HOXA5/MET/SGK2/RASD2/CIRBP/PRTFDC1/SIM2/HK2/POU5F1/KIF13B/MYO6/MYO18A/TUBB4B/CEBPA/HBB/NME1/ALDH1A1/PITX2/AURKB/EXOSC4/PAX8/SNAI1/PCK1/PAIP2B/JCHAIN"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/196",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",28,"28/196","PGF/NID1/AGAP2/RUNX1/AK5/PLK4/HMMR/DAPK2/MET/SGK2/RASD2/HK2/KIF13B/MYO6/SULF2/MYO18A/TUBB4B/THBS2/NME1/MFAP4/CTSS/AURKB/LGALS7B/AOC1/PCK1/BMP4/JCHAIN/REG4"
"GO:0140272","GO:0140272","exogenous protein binding",1,"1/196","TFRC"
"GO:0140355","GO:0140355","cargo receptor ligand activity",0,"0/196",""
"GO:1901363","GO:1901363","heterocyclic compound binding",48,"48/196","GRHL2/CYP2E1/PRRC2B/HOXD11/RPL21/PNISR/AGAP2/RUNX1/AK5/GRHL1/ZNF385B/PLK4/MYCN/QKI/CREB3L3/TFRC/NTHL1/MXD1/DAPK2/DLX6/PAX2/CYP2C18/NPM3/HOXA5/MET/SGK2/RASD2/CIRBP/PRTFDC1/SIM2/HK2/POU5F1/KIF13B/MYO6/MYO18A/TUBB4B/CEBPA/HBB/NME1/ALDH1A1/PITX2/AURKB/EXOSC4/PAX8/SNAI1/PCK1/PAIP2B/JCHAIN"
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/196",""
"GO:1901681","GO:1901681","sulfur compound binding",6,"6/196","PGF/THBS2/AOC1/BMP4/GSTM3/REG4"
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/196",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/196",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/196",""
