"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","55/932","395/18866",3.30115623098326e-12,9.71458836491923e-09,8.15722918188155e-09,"ITGA8/TGFB1/LUM/VTN/FGFR4/ADAM19/PHLDB1/SERPINB5/MMP17/AEBP1/DDR2/HAPLN1/FN1/A2M/HTRA1/MMP16/MMP28/CCDC80/ADAM15/ITGAL/VCAM1/P3H4/CST3/LAMC3/COL23A1/ICAM5/COL4A1/CAPN1/TNFRSF11B/MMP2/ADAMTS2/P4HA1/COL10A1/PDGFB/FBLN1/GPM6B/APBB2/FAP/TGFB2/LAMA1/CAPNS2/ITGA11/B4GALT1/F11R/RAMP2/COLGALT1/POSTN/TGFBI/IL6/CTSL/COL9A3/COL1A2/ELN/ITGA3/BGN",55
"GO:0043062","GO:0043062","extracellular structure organization","55/932","396/18866",3.65622445047769e-12,9.71458836491923e-09,8.15722918188155e-09,"ITGA8/TGFB1/LUM/VTN/FGFR4/ADAM19/PHLDB1/SERPINB5/MMP17/AEBP1/DDR2/HAPLN1/FN1/A2M/HTRA1/MMP16/MMP28/CCDC80/ADAM15/ITGAL/VCAM1/P3H4/CST3/LAMC3/COL23A1/ICAM5/COL4A1/CAPN1/TNFRSF11B/MMP2/ADAMTS2/P4HA1/COL10A1/PDGFB/FBLN1/GPM6B/APBB2/FAP/TGFB2/LAMA1/CAPNS2/ITGA11/B4GALT1/F11R/RAMP2/COLGALT1/POSTN/TGFBI/IL6/CTSL/COL9A3/COL1A2/ELN/ITGA3/BGN",55
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","44/932","325/18866",1.23090571011868e-09,2.18034431452356e-06,1.83081028252389e-06,"CCL26/TGFB1/S100A7/CCL11/SPRED1/FGFR4/MARCO/FN1/TNFAIP8L3/CD74/CEACAM1/ALKAL2/C1QL4/CCL5/TIMP3/CX3CL1/HAVCR2/ABCA7/PDGFB/FBLN1/ERBB2/PYCARD/SHC1/DUSP6/CCL3/SLC9A3R1/GPNMB/GATA4/LMO3/NOX4/AKAP12/FAM83D/DUSP1/HMGCR/CCR1/GPR183/EZR/SPRY4/ZFP36L1/GPER1/DUSP10/CTSH/MTURN/MT3",44
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","42/932","306/18866",1.93126433104594e-09,2.56568466379453e-06,2.1543761840273e-06,"CCL26/TGFB1/S100A7/CCL11/SPRED1/FGFR4/MARCO/FN1/TNFAIP8L3/CD74/CEACAM1/ALKAL2/C1QL4/CCL5/TIMP3/CX3CL1/HAVCR2/ABCA7/PDGFB/FBLN1/ERBB2/PYCARD/SHC1/DUSP6/CCL3/SLC9A3R1/GPNMB/GATA4/LMO3/NOX4/AKAP12/FAM83D/DUSP1/HMGCR/CCR1/GPR183/EZR/SPRY4/GPER1/DUSP10/MTURN/MT3",42
"GO:0002449","GO:0002449","lymphocyte mediated immunity","44/932","366/18866",4.67714370349813e-08,4.97086832807782e-05,4.17398150718497e-05,"IGHV3-13/JAG1/TGFB1/CD96/SLC11A1/SH2D1A/WAS/IGHV3-11/CD74/IGHV3-7/CEACAM1/SLAMF6/IGHV1-18/SERPINB4/IRF7/CD1E/PRDX1/HAVCR2/IGHV6-1/IGHV2-5/IGHV3-15/IGKV1-39/CLU/SUSD4/HLA-H/IGHV4-59/CD1D/IL13RA2/BATF/UNC13D/LYST/AZGP1/IGHV3-21/IGHV1-24/IL6/IGKV1-16/TFRC/CD1A/IGHV1-3/SMAD7/CTSH/RFTN1/C3/IL18",44
"GO:0007409","GO:0007409","axonogenesis","51/932","482/18866",2.54097895993146e-07,0.000225046036551263,0.000188968593178061,"XK/MAP2/VLDLR/SPART/DCLK1/CNP/EFNA3/ADCY1/PIK3R1/FN1/KIF5C/EFNB2/RUFY3/EGR2/KIF5A/LGR6/NKX2-1/SEMA6D/EFNB3/ERBB2/APBB2/TNFRSF12A/AUTS2/NEFL/NTRK2/SHANK3/ARTN/SHC1/MAPT/METRN/LAMA1/GRB7/SHC3/LLGL1/TRPV2/GLI3/SHH/NTN1/EXT1/PTPRM/SKIL/EZR/DPYSL2/CRMP1/LHX2/CDH4/MT3/MAP1B/ADGRB1/PLPPR4/AMIGO1",51
"GO:0050769","GO:0050769","positive regulation of neurogenesis","51/932","485/18866",3.07755510930979e-07,0.000233630397869603,0.000196176783584424,"TP73/VLDLR/TGFB1/FOXO6/GPRC5B/FN1/RUFY3/EGR2/BRINP1/MAGI2/ALKAL2/ITPKA/CNTN1/CPNE5/CX3CL1/RASSF10/HGF/REG1A/TNFRSF12A/E2F1/GDPD5/NEFL/NTRK2/SHANK3/MAPT/FGFR1/CCL3/HMG20B/METRN/SOX8/TRPV2/FOXA1/GLI3/SHH/CDON/NTN1/TCF3/HAP1/ADRA2C/MMD/IL6/SKIL/RNF157/GPER1/SYT17/CDH4/ITGA3/ASCL1/MAP1B/FES/AMIGO1",51
"GO:0030595","GO:0030595","leukocyte chemotaxis","31/932","232/18866",4.59732424796736e-07,0.000305377263171232,0.000256421809041232,"CCL26/CXCL17/S100A7/CCL11/PLA2G1B/SLAMF8/THBS4/MMP28/SLC12A2/CD74/DPEP1/S100A14/RPS19/CCL5/CX3CL1/PDGFB/MCU/S100A8/TGFB2/CCL3/PPBP/STK39/CXCL13/EDN1/LYST/CCR5/DUSP1/ARHGEF5/IL6/CCR1/GPR183",31
"GO:0031589","GO:0031589","cell-substrate adhesion","41/932","359/18866",5.34318337549451e-07,0.000315485293970865,0.000264909407353465,"ITGA8/JAG1/CD96/VTN/PLAU/PIK3R1/FN1/PLEKHA2/LYVE1/CCDC80/BCAM/DLC1/ADAM15/ITGAL/VCAM1/ACTN1/LAMC3/CX3CL1/CDKN2A/EPDR1/FBLN1/GPM6B/TNFRSF12A/SORBS3/AGR2/ARHGAP6/ANGPT2/SGCE/ITGA11/CEACAM6/SRCIN1/ACTN4/FZD7/UNC13D/ACTN2/COL26A1/POSTN/ITGBL1/LIMS2/ITGA3/NINJ1",41
"GO:0045785","GO:0045785","positive regulation of cell adhesion","46/932","428/18866",6.34007411430613e-07,0.000336911538434228,0.000282900780742565,"IGF2/VTN/ADAM19/PIK3R1/FN1/PLEKHA2/EFNB2/SOX12/CD74/LILRB2/CCDC80/CCL5/VCAM1/TJP1/CX3CL1/HAVCR2/EFNB3/ERBB2/CD24/PYCARD/HLA-DMB/ZBTB7B/AGR2/TGFB2/CEACAM6/CD1D/F11R/CXCL13/AFDN/FOXA1/UNC13D/GLI3/SHH/COL26A1/FOXA2/PIEZO1/IL6/LIMS2/TFRC/CD6/DUSP10/SMAD7/ITGA3/NINJ1/IL18/TNFSF9",46
