"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",34,"34/1080","DDO/LGR5/LHFPL2/CLIC4/SELENOP/NR2F2/CCNA1/PAQR5/LIMK2/TRIP13/CREB3L4/ADAMTS2/GGT7/HOXA9/ADCYAP1R1/WFDC2/E2F1/PAQR8/LY6K/SLC26A6/ANGPT2/GAL3ST1/BCL2L10/B4GALT1/INHBA/SOX8/NRIP1/TESMIN/IGSF8/SKIL/TSPAN8/TDRP/YBX2/PRSS21"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/1080",""
"GO:0022414","GO:0022414","reproductive process",88,"88/1080","DDO/LGR5/IGF2/LHFPL2/IGFBP5/CLIC4/ADAM19/SELENOP/SERPINB5/EPOR/HTRA1/NR2F2/CCNA1/RAD54L/BRINP1/ADAM15/PAQR5/STRA6/P3H4/SOX15/LRRC6/CDC20/LIMK2/CST3/KITLG/HAVCR2/TRIP13/VASH1/CREB3L4/MMP2/ADAMTS2/GGT7/IDO1/PDGFB/HOXA9/ADCYAP1R1/FBLN1/NKX2-1/WFDC2/E2F1/PAQR8/LY6K/SLC26A6/ANGPT2/TGFB2/ESR1/GAL3ST1/STS/BCL2L10/GATA4/DSG2/B4GALT1/RAMP2/INHBA/SOX8/NRIP1/FOXA1/EDN1/GLI3/SHH/LDOC1/TESMIN/IGSF8/SALL1/MAMLD1/DUSP1/ADRA2C/EPAS1/SKIL/TSPAN8/PRLR/SMC4/TIPARP/COL9A3/PLA2G4C/GJB5/ZFP36L1/HEY1/CTSB/RBBP8/TDRP/YBX2/ITGA3/PRSS21/SLC2A1/PHLDA2/BIK/MYH9"
"GO:0032504","GO:0032504","multicellular organism reproduction",39,"39/1080","DDO/LGR5/EPOR/NR2F2/CCNA1/BRINP1/PAQR5/LIMK2/HAVCR2/TRIP13/CREB3L4/ADAMTS2/GGT7/HOXA9/ADCYAP1R1/WFDC2/E2F1/PAQR8/SLC26A6/ANGPT2/TGFB2/ESR1/GAL3ST1/BCL2L10/DSG2/B4GALT1/INHBA/SOX8/NRIP1/EDN1/LDOC1/TESMIN/SKIL/TSPAN8/CTSB/TDRP/YBX2/ITGA3/PRSS21"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/1080",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/1080",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/1080",""
"GO:0001776","GO:0001776","leukocyte homeostasis",10,"10/1080","PMAIP1/CD74/KITLG/SH2B3/DOCK10/TNFRSF17/SLC7A11/IL6/SKIL/GPR183"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",5,"5/1080","TGFB1/SAMHD1/BATF/TCF3/TFRC"
"GO:0002252","GO:0002252","immune effector process",115,"115/1080","CTSA/CNN2/IGHV3-13/JAG1/TGFB1/CD96/S100A7/VTN/DNASE1L3/PMAIP1/PLA2G1B/SLAMF8/PTPRB/PLAU/SLC11A1/CDH17/CPPED1/NOP53/FABP5/GLIPR1/PIK3R1/GPRC5B/SH2D1A/STAT1/A2M/HTRA1/CD93/MILR1/WAS/IGHV3-11/CD74/IGHV3-7/FTL/LILRB2/SYNGR1/CEACAM1/SAMHD1/PLPP4/FCGR3A/HP/RPS19/ITGAL/SLAMF6/IGHV1-18/SERPINB4/OSCAR/IRF7/CD1E/ITM2A/PRDX1/CST3/HAVCR2/IGHV6-1/IGHV2-5/IGHV3-15/CAPN1/SFTPA1/SKP2/DOCK10/PYCARD/IGKV1-39/HLA-DMB/BST2/ZBTB7B/LAT2/CLU/SUSD4/S100A8/NFAM1/TGFB2/CCL3/HCK/SERPINA1/OAS2/PPBP/HLA-H/IGHV4-59/B4GALT1/CEACAM6/NAPRT/CD1D/IL13RA2/BATF/PLEKHO2/UNC13D/ADA2/LYST/CD53/SBNO2/NBEAL2/AZGP1/HK3/CD3G/STK10/IGHV3-21/IGHV1-24/ALDH3B1/IL6/IGKV1-16/GPR183/RNASE6/PGM2/TFRC/CDA/CD1A/IGHV1-3/DUSP10/CTSB/SMAD7/CTSH/RFTN1/C3/IL18/FES/IQGAP2"
