"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","60/969","427/19559",2.59143439505537e-13,1.38900883574968e-10,1.17296504197243e-10,"TPSB2/TGFB1/S100A7/LUM/VTN/FREM2/ADAM19/CD151/THBS4/AEBP1/HAPLN1/FN1/A2M/HTRA1/MMP28/CCDC80/BCAM/LRRC15/TIMP3/CST3/LAMC3/COL23A1/LTBP1/COL4A1/MMP2/ADAMTS2/F12/COL10A1/PDGFB/FBLN1/MXRA7/APLP1/CLU/S100A8/ANGPT2/TGFB2/LAMA1/SERPINA1/CLEC3B/SPON1/SBSPON/SHH/CDON/NTN1/COL26A1/AZGP1/POSTN/TGFBI/ACHE/EFEMP1/CTSL/CPA3/COL9A3/S100A4/COL1A2/CTSB/ELN/MXRA5/CTSH/BGN",60
"GO:0045177","GO:0045177","apical part of cell","53/969","433/19559",1.16375938413833e-09,3.11887514949073e-07,2.63377123778676e-07,"ITGA8/JAG1/CLIC4/AMOTL1/MUC1/DDR2/OSMR/FN1/GPIHBP1/MUC13/SLC12A2/DPEP1/CLCA4/SNX10/SLC5A1/CEACAM1/VCAM1/KCNMA1/LRRC6/SLC7A8/TJP1/HOMER2/PARD6G/ERBB3/VASH1/SLC5A8/DUOX1/ERBB2/PROM1/BST2/KL/SLC26A6/EPCAM/FAP/SLC9A3R2/SLC9A3R1/SLC6A20/DSG2/NOX4/CEACAM6/SLC6A6/STK39/LDLR/SLC7A11/ATP6V1B1/CTSL/MAL2/EZR/CTSB/AQP1/SLC2A1/ACY3/PTH1R",53
"GO:0016324","GO:0016324","apical plasma membrane","42/969","361/19559",2.56384742854966e-07,4.58074073900872e-05,3.86826103254861e-05,"JAG1/AMOTL1/MUC1/DDR2/OSMR/FN1/GPIHBP1/MUC13/SLC12A2/DPEP1/CLCA4/SLC5A1/CEACAM1/KCNMA1/SLC7A8/PARD6G/ERBB3/SLC5A8/DUOX1/ERBB2/PROM1/BST2/KL/SLC26A6/EPCAM/SLC9A3R2/SLC9A3R1/SLC6A20/DSG2/NOX4/CEACAM6/SLC6A6/STK39/ATP6V1B1/CTSL/MAL2/EZR/CTSB/AQP1/SLC2A1/ACY3/PTH1R",42
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","37/969","308/19559",6.01085907618489e-07,8.05455116208775e-05,6.80176158620922e-05,"BPIFB2/VTN/IGFBP5/LIPC/FAM20C/FN1/SDF2L1/CST3/COL23A1/RCN1/LTBP1/TMEM132A/COL4A1/P4HA1/COL10A1/PDGFB/IGFBP4/ARSD/CLU/GOLM1/PDIA5/SERPINA1/STS/FOXRED2/COLGALT1/EDN1/SPON1/SHH/COL26A1/MGAT4A/CP/IL6/COL9A3/P4HA2/COL1A2/C3/CERCAM",37
"GO:0005902","GO:0005902","microvillus","17/969","93/19559",2.79030361594829e-06,0.000299120547629657,0.000252595906285845,"TGFB1/CLIC4/CNP/DPEP1/CEACAM1/VCAM1/SLC7A8/RAPGEF3/STARD10/PROM1/SLC9A3R1/SLC6A6/FOXA1/ATP6V1B1/CD302/EZR/IQGAP2",17
"GO:0031093","GO:0031093","platelet alpha granule lumen","14/969","67/19559",4.09547622089827e-06,0.000357867750672354,0.000302205681046961,"TGFB1/IGF2/FN1/A2M/ACTN1/HGF/SRGN/PDGFB/CLU/TGFB2/SERPINA1/PPBP/ACTN4/ACTN2",14
"GO:0009897","GO:0009897","external side of plasma membrane","43/969","417/19559",4.67364599758672e-06,0.000357867750672354,0.000302205681046961,"IGHV3-13/OSMR/GPIHBP1/HEG1/IGHV3-11/CD74/IGHV3-7/FCGR3A/BCAM/VCAM1/IGHV1-18/CD1E/CD79A/RTN4RL2/IGHV6-1/IGHV2-5/IGHV3-15/IL13RA1/CD24/CRLF1/CD3D/HLA-H/IGHV4-59/B4GALT1/CD1D/IL13RA2/CSF2RA/LDLR/CCR5/AZGP1/CD3G/IGHV3-21/IGHV1-24/AQP4/PRLR/CD302/CCR1/TFRC/CD1A/CD6/IGHV1-3/CTSB/ITGA3",43
"GO:0034774","GO:0034774","secretory granule lumen","35/969","322/19559",1.14824696949544e-05,0.000660027683396465,0.000557368232247604,"CTSA/CNN2/TGFB1/S100A7/IGF2/SELENOP/CPPED1/FABP5/FN1/A2M/FTL/HP/ACTN1/OSCAR/TIMP3/HGF/SRGN/PDGFB/PYCARD/CLU/S100A8/TGFB2/SERPINA1/CLEC3B/PPBP/NAPRT/ACTN4/UNC13D/ADA2/ACTN2/HK3/PGM2/CDA/CTSH/C3",35
"GO:0005604","GO:0005604","basement membrane","17/969","103/19559",1.1668159430926e-05,0.000660027683396465,0.000557368232247604,"VTN/FREM2/CD151/THBS4/FN1/CCDC80/TIMP3/CST3/LAMC3/COL4A1/FBLN1/APLP1/LAMA1/NTN1/TGFBI/ACHE/COL9A3",17
"GO:0098858","GO:0098858","actin-based cell projection","27/969","220/19559",1.316415483744e-05,0.000660027683396465,0.000557368232247604,"MAP2/TGFB1/CLIC4/CNP/CIB2/RUFY3/DPEP1/CEACAM1/VCAM1/SLC7A8/RAPGEF3/HOMER2/KITLG/STARD10/PROM1/SLC9A3R1/B4GALT1/SLC6A6/SRCIN1/FOXA1/ACTN2/ATP6V1B1/CD302/EZR/ITGA3/GPM6A/IQGAP2",27
