"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/1080",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",6,"6/1080","FBXL7/CDC20/DTL/SKP2/FBXL6/FBXO44"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",0,"0/1080",""
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/1080",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",2,"2/1080","CCNG1/CCNA1"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/1080",""
"GO:0000502","GO:0000502","proteasome complex",0,"0/1080",""
"GO:0005737","GO:0005737","cytoplasm",672,"672/1080","IKBKE/CTSA/CNN2/TRIB2/CYBRD1/MTMR11/ATP10A/KDELR3/ITGA8/MAP2/TNS1/BPIFB2/TP73/SNTA1/XYLT1/DDO/VLDLR/ARC/TGFB1/PLIN3/CIDEC/GSPT2/ATP8B2/CD96/AHR/S100A7/SLC27A3/HNF4G/LGR5/LUM/PLK2/IGF2/LHFPL2/VTN/TMEM97/GLS/ALDH1A3/IGFBP5/RFLNB/ABHD17C/LIMD2/FBXL7/UACA/CLIC4/SPRED1/LIPC/AMOTL1/DNASE1L3/PMAIP1/MUC1/DLK1/NDUFA3/PLA2G1B/DYNC1I1/RAB39B/DCTPP1/GNG4/FGD6/AHNAK/SYNM/FGFR4/SPART/GSTT2B/CNP/KCNIP2/ADAM19/ARRDC3/FAM20C/CD151/PTPRB/THBS4/CCNG1/SH3BP5/RAB11FIP4/PLAU/PPT1/STIL/SELENOP/SCIN/AMACR/HLTF/SLC11A1/PHLDB1/MARCO/CCDC88C/CHDH/SYT13/SERPINB5/JPH4/TP53INP2/NOL4L/CPPED1/FOXO6/PLIN2/CDKN2B/NOP53/LRBA/ALG1L/FABP5/ADCY1/CHMP4C/AEBP1/GAS2L3/GLIPR1/PIK3R1/SNX20/GPRC5B/FN1/PECR/EFHD1/CIB2/TNFAIP8L3/DENND5A/SH2D1A/STAT1/A2M/PLEKHA2/MAPK4/HTRA1/DUSP23/AHCYL2/NR2F2/EGLN3/KIF5C/SEPHS2/CDO1/MMP16/FOXO1/TMTC1/PIP4K2A/CCNA1/ITPR1/TSPAN1/DMGDH/CD93/MUC13/MMP28/MILR1/POLR2L/SDF2L1/MSI1/PSAT1/SLC12A2/EYA2/RHOBTB1/WAS/RUFY3/CD74/TACC3/CYP24A1/ITPKC/HSD17B14/SNX10/FTL/EGR2/CIT/LILRB2/PRR7/SLC5A1/SYNGR1/BRINP1/CST7/LIPE/SLC1A3/CEACAM1/TOX3/HP/MAGI2/S100A14/RPS19/KAZN/DLC1/ADAM15/SYTL3/PREX2/CCL5/ITGAL/VCAM1/PHLDA1/PEG10/SSBP2/ACTN1/HMMR/FAM20A/ITPKA/RPLP1/PLCB2/KCNE3/PLEKHF2/PACSIN3/LARGE2/P3H4/SERPINB4/MGST2/MANEAL/GSTA4/OSCAR/STAC3/IRF7/CD1E/LSAMP/INPP5J/CYP2D6/TIMP3/CISD3/RPL36/CLIC2/TMEM150B/GLYCTK/KIF5A/SOX15/LRRC6/SLC7A8/LAMP3/LXN/AMPH/ITM2A/RAPGEF3/MYZAP/MTRNR2L1/IER2/GIMAP4/PIK3R3/CDC20/LGR6/PRDX1/LIMK2/B4GALNT4/QPRT/TJP1/CST3/AHCY/HOMER2/COL23A1/RCN1/KITLG/LTBP1/CX3CL1/TMEM132A/HAVCR2/CRACR2B/TMEM35A/F2RL3/CASD1/RAB3IP/SYNGR3/LRRC61/PARD6G/HOGA1/ARHGDIG/CDKN2A/ABCA7/LPAR2/RASSF10/COL4A1/CD79A/DDX39B/CCDC69/BBC3/MYH14/STARD10/SIDT1/VASH1/LMCD1/HGF/WWTR1/SNAI2/CAPN1/BLVRA/CREB3L4/GIMAP2/DTL/PKDCC/MMP2/WNT11/EPDR1/KREMEN2/SFTPA1/P4HA1/BICC1/F12/COL10A1/ACADS/SRGN/IDO1/CHST3/SKP2/BHMT/PDGFB/RAB36/HSPA7/NLRP1/ADCYAP1R1/NEBL/SH2B3/DUOX1/SPR/REG1A/SEMA6D/NACAD/KLF11/BZW2/UCP2/DOCK10/EPN3/PER3/IGFBP4/ABHD6/PNMT/ERBB2/IL17RE/APBB2/PROM1/ARSD/PYCARD/ZNF106/E2F1/HLA-DMB/DECR2/NRBP2/AUTS2/MTSS1/PAQR8/GDPD5/CALCRL/HIPK2/NEFL/MARCKS/FZD2/LYNX1/MAGED1/MCU/GADD45GIP1/BST2/ATP1A2/NTRK2/SHANK3/BHMT2/KL/SEC24D/SHC1/MXRA7/LY6K/AP1S2/BACE2/TONSL/NYNRIN/CYS1/BCL2L15/APLP1/MAPT/NOXA1/LAT2/FOLH1/SLC26A6/MLANA/SORBS3/CLU/UQCRH/AGR2/S100A8/PKLR/MIOX/NFE2L3/ARHGAP6/CRLF1/NFAM1/ADCY2/FAP/FGFR1/GPR137B/SLC25A43/TGFB2/ESR1/SDSL/DUSP6/PEA15/STAP2/MLF1/ALS2CL/GAL3ST1/VPREB3/GOLM1/SGCE/SDS/HNF1A/SPRR2A/OTULINL/CD3D/CCL3/DGKA/PDIA5/SNCAIP/MYLK/TRAM2/HCK/PPP1R16B/SERPINA1/STS/CAPNS2/TAX1BP3/AP1G2/ACAP1/GOLGA8B/MACC1/OAS2/DOK7/SUGCT/BCL2L10/SLC9A3R1/GPNMB/FLNB/STAC2/MIEN1/GRB7/CLEC3B/PPBP/SPRR1B/IQANK1/SPRR2E/HLA-H/DENND1C/JPT2/LMO3/B4GALT1/NOX4/CEACAM6/SHC3/NAPRT/DPYS/CD1D/F11R/CDKN2C/ZWINT/LLGL1/AKAP12/COX4I2/FKBP9/ACSS2/NUDT10/CKMT2/RAMP2/INHBA/LIX1L/GGCT/SOX8/FOXRED2/SULT1C2/TRPV2/STK39/SRCIN1/LMBRD1/PXK/NRIP1/ACTN4/BATF/AFDN/COLGALT1/APOC1/LDLR/ARHGEF6/FZD7/BBOX1/INMT/PLEKHO2/SLC22A17/UNC13D/CDC45/JADE1/ADA2/ACTN2/EDN1/SPON1/GLI3/LYST/RASSF3/CDCA7L/CD53/ANXA9/SHH/NTN1/OAT/ADH1C/COL26A1/EXT1/CCR5/NBEAL2/HK3/RECQL4/GIMAP6/POSTN/TESMIN/P2RY13/CD3G/SLC7A11/FOXA2/SLC25A23/STK10/MGAT4A/TCF3/FAH/PIEZO1/SALL1/FAM83D/MAMLD1/PLEKHB1/NCDN/MCRIP1/DUSP1/GLT8D2/HAP1/TGFBI/PTPRM/LIX1/ARHGEF5/CP/ALDH3B1/CROT/ACHE/LPCAT2/CAPN8/WSB1/ACSM2A/ADAP2/ADRA2C/TSPYL2/MMD/TBC1D4/AQP4/KIF23/ALDH2/UNC119B/ATP6V1B1/EPAS1/IL6/SKIL/BICDL1/GALNT11/GNAZ/CTSL/CCDC184/GNAI1/IDUA/HMGCR/PRLR/ST8SIA4/SMC4/FGD3/GTF2I/RPL36A/CD302/CENPM/TTLL12/MAL2/ARHGAP39/RNF157/SECTM1/CPA3/KIF15/CCR1/RNASE6/PGM2/ECSCR/GBA3/FAR2/COL9A3/EZR/CLSPN/DPYSL2/ZDHHC9/CTNND1/WDHD1/PLA2G4C/S100A4/TMEM198/BCAT2/SPRY4/FNBP1/NDE1/P4HA2/LIMS2/CRMP1/EVC/TFRC/ALDH3A2/KCNS3/ZFP36L1/KRT6B/PMEL/CDA/TNFAIP2/CD1A/SNRPGP15/MTCO2P12/SFTA3/COL1A2/GPER1/DUSP10/HEY1/ASAP1/CTSB/LCP2/CELF2/LIMA1/BCAR1/CRYM/SYT17/LIPG/SMAD7/CTSH/MAP1LC3A/ACACA/SAC3D1/GADD45G/MTURN/GNL3L/TDRP/PLVAP/C1orf194/YBX2/ITGA3/PRSS21/GBP2/LRIG3/AMDHD1/MRPL12/MT3/ORC1/TUBA1B/SSPN/HJURP/EPS8L1/SH3BGRL/RFTN1/KCNC3/MAP1B/FMO5/NR0B2/MCCC2/CHSY1/AQP1/CHCHD10/MYRF/ADGRB1/C3/IL18/UBA7/NOCT/SHMT2/FBXL6/SLC2A1/FES/DIXDC1/KPNA2/LMNA/SIAH2/BGN/ACY3/PTH1R/FBXO44/PHLDA2/SLC39A11/NTS/NAPB/IQGAP2/NKD2/CERCAM/BIK/MYH9/NCF4/BCAS1/NTHL1"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/1080",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/1080",""
