"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1080",""
"GO:0009975","GO:0009975","cyclase activity",2,"2/1080","ADCY1/ADCY2"
"GO:0016491","GO:0016491","oxidoreductase activity",46,"46/1080","CYBRD1/DDO/ALDH1A3/NDUFA3/CHDH/PECR/EGLN3/CDO1/DMGDH/RDH11/CYP24A1/HSD17B14/VCAM1/MGST2/CYP2D6/CLIC2/PRDX1/BLVRA/P4HA1/ACADS/IDO1/DUOX1/SPR/DECR2/MICAL2/UQCRH/MIOX/PDIA5/NOX4/COX4I2/FOXRED2/BBOX1/ADH1C/ALDH3B2/CP/ALDH3B1/ALDH2/CYP4F11/HMGCR/FAR2/P4HA2/ALDH3A2/MTCO2P12/CRYM/FMO5/NCF4"
"GO:0016740","GO:0016740","transferase activity",95,"95/1080","NHLRC4/IKBKE/XYLT1/PLK2/UBE2E2/FGFR4/GSTT2B/DCLK1/FAM20C/AMACR/HLTF/ALG1L/EFNA3/DDR2/MAPK4/SEPHS2/TMTC1/PIP4K2A/POLR2L/SDF2L1/PSAT1/ITPKC/EGR2/CIT/CCL5/ITPKA/LARGE2/MGST2/GSTA4/GLYCTK/PIK3R3/LIMK2/B4GALNT4/QPRT/LTBP1/CASD1/ERBB3/DTL/PKDCC/GGT7/CHST3/SKP2/BHMT/EFNB3/PNMT/ERBB2/NRBP2/HIPK2/NTRK2/BHMT2/CRIM1/PKLR/FGFR1/GAL3ST1/CCL3/DGKA/MYLK/HCK/UBE2QL1/ALPK3/OAS2/SUGCT/B4GALT1/NAPRT/CKMT2/SULT1C2/STK39/COLGALT1/INMT/OAT/EXT1/HK3/STK10/MGAT4A/GLT8D2/CROT/LPCAT2/ACSM2A/MMD/EFEMP1/GALNT11/ST8SIA4/RNF157/TIPARP/ZDHHC9/PLA2G4C/BCAT2/SPEG/CHSY1/UBA7/SHMT2/FBXL6/FES/SIAH2/FBXO44"
"GO:0016787","GO:0016787","hydrolase activity",126,"126/1080","CTSA/MTMR11/TPSB2/GSPT2/GZMA/GLS/ABHD17C/LIPC/DNASE1L3/PLA2G1B/DYNC1I1/RAB39B/DCTPP1/GNG4/CNP/ADAM19/PTPRB/PLAU/PPT1/HLTF/CPPED1/MMP17/AEBP1/HTRA1/DUSP23/RNASE1/NT5DC2/KIF5C/MMP16/LPIN3/MMP28/EYA2/RHOBTB1/DPEP1/CLCA4/RAD54L/LIPE/SAMHD1/PLPP4/HP/ADAM15/CCL5/PLCB2/MANEAL/INPP5J/GNA14/KIF5A/AHCY/RASL10B/ABCA7/DDX39B/MYH14/VASH1/HGF/CAPN1/MMP2/ADAMTS2/GGT7/F12/RAB36/HSPA7/ABHD6/ARSD/PYCARD/GDPD5/ATP1A2/PDE6B/KL/BACE2/NYNRIN/FOLH1/FAP/DUSP6/STS/CAPNS2/PTER/DPYS/NUDT10/ADA2/SHH/CCR5/AZGP1/RECQL4/FAH/DUSP1/HELLS/PTPRM/ACHE/GNAO1/TMPRSS2/KIF23/ATP6V1B1/CEMIP2/GNAZ/CTSL/GNAI1/IDUA/RASD2/RASL10A/CPA3/KIF15/CCR1/RNASE6/GBA3/PLA2G4C/PLPPR2/PDE6G/CDA/DUSP10/CTSB/RHBDL1/RBBP8/LIPG/CTSH/PRSS21/GBP2/AMDHD1/TUBA1B/MYRF/NOCT/PLPPR4/FAAH/ACY3/ATP13A3/MYH9/NTHL1"
"GO:0016829","GO:0016829","lyase activity",11,"11/1080","ADCY1/RNASE1/MGST2/HOGA1/ADCY2/SDSL/SDS/GGCT/HACD1/SHMT2/NTHL1"
"GO:0016853","GO:0016853","isomerase activity",4,"4/1080","AMACR/PDIA5/FKBP9/PGM2"
"GO:0016874","GO:0016874","ligase activity",8,"8/1080","SLC27A3/SLC27A6/NAPRT/ACSS2/ACSM2A/ACACA/MCCC2/UBA7"
"GO:0032451","GO:0032451","demethylase activity",0,"0/1080",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/1080",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/1080",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",101,"101/1080","NHLRC4/IKBKE/CTSA/XYLT1/TPSB2/PLK2/GZMA/ABHD17C/UBE2E2/FGFR4/DCLK1/ADAM19/FAM20C/PTPRB/PLAU/PPT1/HLTF/CPPED1/MMP17/EFNA3/AEBP1/DDR2/MAPK4/HTRA1/DUSP23/EGLN3/MMP16/MMP28/EYA2/DPEP1/CLCA4/EGR2/CIT/HP/ADAM15/CCL5/ITPKA/LIMK2/B4GALNT4/LTBP1/ERBB3/VASH1/HGF/CAPN1/DTL/PKDCC/MMP2/ADAMTS2/GGT7/P4HA1/F12/SKP2/EFNB3/ERBB2/PYCARD/NRBP2/HIPK2/NTRK2/BACE2/CRIM1/FOLH1/FAP/FGFR1/DUSP6/CCL3/PDIA5/MYLK/HCK/CAPNS2/UBE2QL1/ALPK3/FKBP9/STK39/COLGALT1/SHH/STK10/MGAT4A/DUSP1/PTPRM/TMPRSS2/MMD/EFEMP1/GALNT11/CTSL/RNF157/TIPARP/CPA3/ZDHHC9/P4HA2/SPEG/DUSP10/CTSB/RHBDL1/CTSH/PRSS21/MYRF/UBA7/FBXL6/FES/SIAH2/FBXO44"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",5,"5/1080","DNASE1L3/RAD54L/RECQL4/RBBP8/NTHL1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",8,"8/1080","RNASE1/POLR2L/SAMHD1/DDX39B/NYNRIN/AZGP1/RNASE6/NOCT"
"GO:0003735","GO:0003735","structural constituent of ribosome",5,"5/1080","RPS19/RPLP1/RPL36/RPL36A/MRPL12"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/1080",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",5,"5/1080","SYNM/NEFL/SORBS3/KRT6B/TUBA1B"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",21,"21/1080","LUM/VTN/AEBP1/HAPLN1/FN1/COL23A1/LTBP1/COL4A1/COL10A1/FBLN1/LAMA1/SPON1/SBSPON/POSTN/TGFBI/EFEMP1/COL9A3/COL1A2/ELN/MXRA5/BGN"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/1080",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/1080",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/1080",""
"GO:0008307","GO:0008307","structural constituent of muscle",3,"3/1080","SYNM/NEBL/ACTN2"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/1080",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/1080",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/1080",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",1,"1/1080","MAL2"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",1,"1/1080","SPRR2E"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/1080",""
