"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",1,"1/154","GAMT"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/154",""
"GO:0022414","GO:0022414","reproductive process",8,"8/154","IL1A/GRHL2/RAMP2/AREG/VDR/GAMT/IRX5/MAPK15"
"GO:0032504","GO:0032504","multicellular organism reproduction",2,"2/154","VDR/GAMT"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/154",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/154",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/154",""
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/154","SLC40A1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/154",""
"GO:0002252","GO:0002252","immune effector process",11,"11/154","SLA2/NR4A3/SIGLEC14/VCL/KCNAB2/CFD/CANT1/TCIM/SLC27A2/FCN3/S100A9"
"GO:0002253","GO:0002253","activation of immune response",6,"6/154","SLA2/NR4A3/CD4/CFD/FCN3/BTNL9"
"GO:0002262","GO:0002262","myeloid cell homeostasis",1,"1/154","ADGRF5"
"GO:0002339","GO:0002339","B cell selection",0,"0/154",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/154",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",2,"2/154","NR4A3/IGLV5-37"
"GO:0002507","GO:0002507","tolerance induction",0,"0/154",""
"GO:0002520","GO:0002520","immune system development",11,"11/154","FOXE1/IL1A/CD2/NR4A3/ADGRF5/CD4/KCNAB2/SCIN/PREX1/SLC40A1/TCIM"
"GO:0002682","GO:0002682","regulation of immune system process",16,"16/154","CCL4/SLA2/IL1A/CD2/NR4A3/XG/ADGRF5/DAPK2/CD4/CFD/GPNMB/SCIN/CD5/TCIM/FCN3/BTNL9"
"GO:0002683","GO:0002683","negative regulation of immune system process",3,"3/154","SLA2/ADGRF5/GPNMB"
"GO:0002684","GO:0002684","positive regulation of immune system process",13,"13/154","CCL4/SLA2/IL1A/CD2/NR4A3/XG/DAPK2/CD4/CFD/SCIN/CD5/FCN3/BTNL9"
"GO:0006955","GO:0006955","immune response",22,"22/154","CCL4/SLA2/IL1A/NR4A3/RGS1/IGLV5-37/SIGLEC14/VCL/CD4/KCNAB2/CFD/ASS1/CXCR4/CANT1/AQP4/TCIM/SLC27A2/FCN3/CXCL16/GBP4/S100A9/BTNL9"
"GO:0019882","GO:0019882","antigen processing and presentation",0,"0/154",""
"GO:0031294","GO:0031294","lymphocyte costimulation",1,"1/154","CD5"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/154",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/154",""
"GO:0045058","GO:0045058","T cell selection",1,"1/154","CD4"
"GO:0045321","GO:0045321","leukocyte activation",17,"17/154","SLA2/CCND3/IL1A/CD2/NR4A3/ADGRF5/SIGLEC14/VCL/CD4/KCNAB2/CFD/GPNMB/CD5/PREX1/CANT1/SLC27A2/S100A9"
"GO:0050900","GO:0050900","leukocyte migration",9,"9/154","CCL4/CD2/XG/DAPK2/MMP1/CXCR4/PREX1/CXCL16/S100A9"
