"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/154",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/154",""
"GO:0016491","GO:0016491","oxidoreductase activity",7,"7/154","CYB5R1/KCNAB2/CYP4F3/SH3BGRL3/ADHFE1/STEAP2/NCF1C"
"GO:0016740","GO:0016740","transferase activity",16,"16/154","CCND3/BSPRY/SGK2/PARP12/DAPK2/CDK4/RNF43/GAMT/CHST11/TYMS/MAPK15/PJA1/EXT1/UBE2E2/SOSTDC1/ARMT1"
"GO:0016787","GO:0016787","hydrolase activity",15,"15/154","CPVL/RGS1/RGS11/MMP1/CFD/RERGL/RASL11A/DDX39A/C11orf54/CANT1/KLK12/ADAMTSL4/ARMT1/GBP4/ADAMTS9"
"GO:0016829","GO:0016829","lyase activity",0,"0/154",""
"GO:0016853","GO:0016853","isomerase activity",1,"1/154","GLCE"
"GO:0016874","GO:0016874","ligase activity",3,"3/154","ACSL1/ASS1/SLC27A2"
"GO:0032451","GO:0032451","demethylase activity",0,"0/154",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/154",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/154",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",18,"18/154","CPVL/CCND3/BSPRY/SGK2/PARP12/DAPK2/MMP1/CFD/CDK4/RNF43/MAPK15/PJA1/UBE2E2/KLK12/SOSTDC1/ADAMTSL4/ARMT1/ADAMTS9"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",0,"0/154",""
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",1,"1/154","DDX39A"
"GO:0003735","GO:0003735","structural constituent of ribosome",2,"2/154","RPLP0P6/RPL28"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/154",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/154","DMD/TPM1"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",1,"1/154","CD4"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/154",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/154",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/154",""
"GO:0008307","GO:0008307","structural constituent of muscle",2,"2/154","DMD/TPM1"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/154",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/154",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/154",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/154",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/154",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/154",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/154",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/154",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/154",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/154",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/154",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/154",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/154",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/154",""
"GO:0005319","GO:0005319","lipid transporter activity",1,"1/154","SLC27A2"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/154",""
"GO:0022857","GO:0022857","transmembrane transporter activity",12,"12/154","MFSD4A/SLC16A4/KCNK15/KCNAB2/S100A6/SLC35F2/SLC40A1/CLCN5/AQP4/SLC27A2/ANXA9/TRPV6"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/154",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/154",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/154",""
"GO:0000035","GO:0000035","acyl binding",0,"0/154",""
"GO:0003682","GO:0003682","chromatin binding",4,"4/154","GRHL2/GRHL1/MAPK15/APBB1"
"GO:0003823","GO:0003823","antigen binding",1,"1/154","FCN3"
"GO:0005515","GO:0005515","protein binding",103,"103/154","CCL4/MISP/GPC6/SLA2/CAB39L/PPP1R13L/FOXE1/ZMAT3/CCND3/IL1A/CD2/NR4A3/SCRG1/SAA4/PRRG2/CYB5R1/C4orf19/TSPAN12/RGS1/ADGRF5/PSD/DKK3/DAPK2/NEAT1/VCL/CD4/IGFBPL1/GRHL2/RGS11/KCNAB2/MPZL1/PAX2/S100A6/GRHL1/ARHGEF16/PRRC2B/GPNMB/RAMP2/TNS3/MYCN/PSRC1/RAB11FIP5/CDK4/TMEM160/ASS1/SCIN/RPL28/RUNDC3A/RNF43/AREG/TBC1D9/CD5/GLCE/VDR/GAMT/WASF1/CRY2/CXCR4/DDX39A/PREX1/SNRPN/SLC40A1/CREB5/VAMP1/C11orf54/CANT1/CLCN5/AQP4/TYMS/TCIM/CUEDC1/MAPK15/PJA1/EXT1/UBE2E2/FAM131C/DMD/SOSTDC1/NETO2/EMB/TMEM154/SLC27A2/BCL2A1/TPM1/ARRDC4/SH3BGRL3/FCN3/ADAMTSL4/ANP32E/ANXA9/ARMT1/TACC1/SST/SYN2/GPRASP2/CXCL16/TEDC2/GBP4/SPATA18/S100A9/TRPV6/BTNL9/APBB1"
"GO:0005549","GO:0005549","odorant binding",0,"0/154",""
"GO:0008144","GO:0008144","drug binding",2,"2/154","CXCR4/TYMS"
