"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","63/1144","395/18866",1.4870982068772e-12,4.72769008960145e-09,3.58561874469582e-09,"ANXA2/MFAP5/TNFRSF1B/PAPLN/KDR/SPOCK2/NTN4/ANTXR1/TPSAB1/MELTF/COL6A1/DPP4/CD44/ITGB8/BSG/RB1/FBN1/ADAMTS4/TNFRSF11B/TIMP1/COL4A4/LUM/ADAMTS15/HTRA1/JAM3/HAPLN1/TTR/HPN/SPINT1/FOXC1/COL15A1/CHADL/CAPN2/F11R/LRP1/SPP1/FGFR4/SPINK5/HAS2/COL4A6/MMP24/KAZALD1/COL4A5/COL6A2/EGFL6/MMP16/COL12A1/COL5A3/AGRN/COL14A1/APP/CYP1B1/ADAM19/CPB2/COL5A1/LAMA5/IBSP/ITGB3/TNXB/ITGA5/A2M/TGFBI/COMP",63
"GO:0043062","GO:0043062","extracellular structure organization","63/1144","396/18866",1.66732149165983e-12,4.72769008960145e-09,3.58561874469582e-09,"ANXA2/MFAP5/TNFRSF1B/PAPLN/KDR/SPOCK2/NTN4/ANTXR1/TPSAB1/MELTF/COL6A1/DPP4/CD44/ITGB8/BSG/RB1/FBN1/ADAMTS4/TNFRSF11B/TIMP1/COL4A4/LUM/ADAMTS15/HTRA1/JAM3/HAPLN1/TTR/HPN/SPINT1/FOXC1/COL15A1/CHADL/CAPN2/F11R/LRP1/SPP1/FGFR4/SPINK5/HAS2/COL4A6/MMP24/KAZALD1/COL4A5/COL6A2/EGFL6/MMP16/COL12A1/COL5A3/AGRN/COL14A1/APP/CYP1B1/ADAM19/CPB2/COL5A1/LAMA5/IBSP/ITGB3/TNXB/ITGA5/A2M/TGFBI/COMP",63
"GO:0010001","GO:0010001","glial cell differentiation","40/1144","230/18866",1.43101372703058e-09,2.70509294866348e-06,2.05162178549016e-06,"BNIP3/TNFRSF1B/DNER/CDK6/GPR157/KLF15/ASCL1/BMP2/NDRG1/DTX1/IFNGR1/SLC45A3/NTRK2/LIF/ABCA2/AGER/SPINT1/NCMAP/LRP1/PPARG/TREM2/BIN1/CLU/CSPG5/GSN/MMP24/ERBB2/NLGN3/HES1/APP/HDAC1/TLR4/RNF112/MAG/SOX13/S100A8/ADAM22/ID4/PLP1/VIM",40
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","60/1144","439/18866",2.81177089168743e-09,3.98638818168986e-06,3.02339364827233e-06,"DMTN/DLG5/GATA3/PNP/CEBPB/HHLA2/BMP2/CD83/DPP4/CD44/SIRPG/CD55/ARG2/ZC3H12A/SFTPD/IGF2/DTX1/RARA/RHOH/PIK3R1/VSIR/NOTCH4/AGER/ZBTB16/PRKCD/VAV1/PDCD1LG2/HAVCR2/F11R/FUT4/PODXL/CXCL13/PTPRC/KLF4/IL1RN/MAGI1/CD86/GCNT2/RIPOR2/HAS2/FOXA2/CXCL12/ERBB2/AFDN/KIF26B/EPHA7/LGALS3/WNT5A/HSPH1/HES1/FUT3/C1QTNF1/ZDHHC2/ADAM19/MAD2L2/JAK3/ITPKB/SOX13/TESPA1/ASS1",60
"GO:0042063","GO:0042063","gliogenesis","47/1144","307/18866",4.12506596202415e-09,4.6786498141278e-06,3.54842516228015e-06,"BNIP3/TNFRSF1B/DNER/CDK6/GPR157/KLF15/ASCL1/BMP2/NDRG1/TIAM1/DTX1/IFNGR1/SLC45A3/LRP2/LEPR/NTRK2/LIF/ABCA2/AGER/SPINT1/NCMAP/LRP1/PPARG/TREM2/BIN1/CLU/CSPG5/GSN/NDN/MMP24/ERBB2/NLGN3/HES1/SYNE2/APP/GJC2/HDAC1/TLR4/RNF112/MAG/SOX13/S100A8/ADAM22/CX3CR1/ID4/PLP1/VIM",47
"GO:0016049","GO:0016049","cell growth","64/1144","490/18866",5.16472224895183e-09,4.88152331230097e-06,3.7022903700381e-06,"IL17RB/ENO1/ENPP1/SPHK1/CYFIP2/ACVRL1/IGFBP4/CDA/TIAM1/MIR23A/RB1/CDKN2A/AVPR1A/MFSD2A/NRP2/FRZB/KIF26A/SOX17/PLXNA1/HYAL1/AKAP6/FLRT3/KRT17/HPN/ZEB2/SCGB3A1/SOCS2/GNG4/SEMA6D/OLFM1/APOE/FAM107A/LRP1/PPARG/SPP1/NET1/NDN/DCBLD2/CDHR2/CXCL12/HSPA1B/HSPA1A/KAZALD1/ERBB2/EPHA7/SFRP1/NLGN3/SGK1/WNT5A/SEMA3C/HAMP/SEMA3A/APP/BST2/SEMA4G/SMARCA2/MAD2L2/SLC44A4/MAG/SH3GL2/S100A8/AURKA/WASF1/GATA4",64
"GO:0060485","GO:0060485","mesenchyme development","44/1144","290/18866",1.69569717045154e-08,1.27380467190347e-05,9.66090801658961e-06,"ACTA2/HEYL/DLG5/TCF21/PKD2/GATA3/ACVRL1/BMP2/SERPINB3/TIAM1/NRP2/FRZB/FGFR2/HIF1A/MEF2C/OVOL2/RBM24/NOTCH4/HPN/ZEB2/RDH10/TBX2/SEMA6D/OLFM1/SPRED1/FOXC1/SIX4/GCNT2/HAS2/FOXA2/ERBB4/SFRP1/WNT5A/HES1/SEMA3C/SEMA3A/BAMBI/SEMA4G/MIR590/MAD2L2/LAMA5/TEAD2/ACTA1/GATA4",44
"GO:0045785","GO:0045785","positive regulation of cell adhesion","57/1144","428/18866",1.79693834865592e-08,1.27380467190347e-05,9.66090801658961e-06,"CDK6/DMTN/KDR/SPOCK2/GATA3/PNP/HHLA2/CD83/DPP4/CD44/SIRPG/CD55/IGF2/RARA/HYAL1/RHOH/CYTH3/PIK3R1/LIF/VSIR/AGER/ZBTB16/COL26A1/VAV1/PDCD1LG2/HAVCR2/F11R/FUT4/PODXL/CXCL13/PTPRC/MAGI1/CSPG5/CD86/GCNT2/HAS2/FOXA2/CXCL12/ERBB2/AFDN/KIF26B/SFRP1/EGFL6/NEDD9/WNT5A/HSPH1/HES1/FUT3/ADAM19/VAV3/IBSP/JAK3/ITPKB/SOX13/PLEKHA2/ITGA5/TESPA1",57
"GO:0048568","GO:0048568","embryonic organ development","58/1144","451/18866",4.72901496727283e-08,2.97980487548935e-05,2.25997136330722e-05,"MFAP5/TCF7/IFT57/TCF21/PKD2/KDR/GATA3/CEBPB/OSR2/STRA6/TPRN/IGF2/FBN1/TBX3/RARA/FRZB/FGFR2/HIF1A/SOX17/MEF2C/HYAL1/OVOL2/STIL/HOXB4/LIF/DLX5/HPN/PKDCC/RDH10/TBX2/WNT9A/SPINT1/FOXC1/SIX4/HOXB2/ATP6V1B1/VAX2/PRRX1/FZD6/CTHRC1/RIPOR2/SOCS3/HOXC11/MMP16/HS6ST1/WNT5A/HES1/SLITRK6/WNT7B/CITED1/EN1/HOXA4/RNF112/TEAD2/SLC44A4/WHRN/TTC39C/GATA4",58
"GO:0048562","GO:0048562","embryonic organ morphogenesis","44/1144","302/18866",5.74658835247656e-08,3.25889025468946e-05,2.47163789560203e-05,"MFAP5/TCF7/IFT57/TCF21/PKD2/GATA3/OSR2/STRA6/TPRN/FBN1/TBX3/FRZB/FGFR2/HIF1A/SOX17/MEF2C/HYAL1/OVOL2/STIL/HOXB4/DLX5/HPN/RDH10/TBX2/WNT9A/SIX4/HOXB2/ATP6V1B1/VAX2/PRRX1/FZD6/CTHRC1/RIPOR2/HOXC11/MMP16/WNT5A/HES1/SLITRK6/HOXA4/TEAD2/SLC44A4/WHRN/TTC39C/GATA4",44
