"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",49,"49/1283","NPM2/BNC1/NCAPH/BCL2L10/MAPK8IP2/PCYT1B/LHFPL2/SPINK2/PAQR7/DDX3Y/SPAG1/THRB/CREB3L4/DPCD/AVPR1A/TOP2A/RARA/PPP1R1B/SRPK1/SOX17/LEPR/JAM3/CNR1/ZBTB16/CLIC4/SKIL/RPL39L/USP9Y/SSTR2/ADCY3/FOXC1/RAB3A/PI3/GAL3ST1/VGF/DEFB1/PAQR8/NECTIN2/TNFAIP6/B4GALNT1/APP/SLCO4C1/LY6K/SMARCA2/LGR5/CCNB1/AURKA/HOXA10/STXBP1"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/1283",""
"GO:0022414","GO:0022414","reproductive process",114,"114/1283","NPM2/BNC1/TCF7/NCAPH/BCL2L10/TCF21/PKD2/CKS2/MAPK8IP2/NAMPT/GATA3/ANTXR1/CEBPB/PCYT1B/MND1/STRA6/INHA/LHFPL2/SPINK2/PAQR7/ITGB8/DDX3Y/BUB1/CBX2/SPAG1/BSG/THRB/CREB3L4/IGF2/DPCD/AVPR1A/TBX3/TOP2A/RARA/PPP1R1B/MGST1/FGFR2/HIF1A/TRO/CENPX/SRPK1/MAGED2/SOX17/LRP2/TIMP1/LEPR/INSR/OVOL2/HTRA1/JAM3/CNR1/PAM/LIF/ZBTB16/CLIC4/DHCR24/SKIL/RDH10/RPL39L/EGR1/USP9Y/RRM1/SSTR2/SPINT1/ADCY3/FOXC1/HSD11B2/NUPR1/HAVCR2/RAB3A/CAPN2/SIX4/PPARG/PI3/SPP1/GAL3ST1/VGF/DEFB1/CTSB/SMC2/PAQR8/HAS2/SOCS3/NECTIN2/HOXB13/SFRP1/CDK2/TNFAIP6/APOL2/HS6ST1/WNT5A/B4GALNT1/HES1/ETNK2/WNT7B/SEMA3A/CITED1/FOSB/APP/SLCO4C1/GJB1/ADAM19/LY6K/SMARCA2/SERPINF1/PTPRN/LGR5/CCNB1/AURKA/HOXA10/ITGA5/ID4/GATA4/STXBP1"
"GO:0032504","GO:0032504","multicellular organism reproduction",51,"51/1283","NPM2/BNC1/NCAPH/BCL2L10/MAPK8IP2/PCYT1B/SPINK2/PAQR7/DDX3Y/BSG/THRB/CREB3L4/DPCD/AVPR1A/TOP2A/RARA/PPP1R1B/SRPK1/SOX17/JAM3/CNR1/PAM/LIF/ZBTB16/SKIL/RPL39L/EGR1/USP9Y/SSTR2/FOXC1/HAVCR2/SPP1/GAL3ST1/DEFB1/CTSB/PAQR8/HAS2/NECTIN2/SFRP1/TNFAIP6/APOL2/B4GALNT1/APP/SLCO4C1/SMARCA2/SERPINF1/PTPRN/LGR5/CCNB1/AURKA/HOXA10"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/1283",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/1283",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/1283",""
"GO:0001776","GO:0001776","leukocyte homeostasis",12,"12/1283","FCER1G/SLC7A11/HIF1A/MEF2C/JAM3/HCAR2/FAS/SKIL/TNFAIP3/P2RX7/JAK3/ITPKB"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",4,"4/1283","TCF7/BATF/PTPRC/MAD2L2"
"GO:0002252","GO:0002252","immune effector process",135,"135/1283","PROS1/ANXA2/BNIP3/TNFRSF1B/FPR1/VAMP8/LPCAT1/CYFIP2/GATA3/CHGA/FCER1G/PNP/C4BPB/MASP2/SERPINB3/CD44/DMBT1/APOA2/CDA/CRISP3/CD55/PKP1/ZC3H12A/OASL/IQGAP2/RARA/C4BPA/APOBEC3A/MGST1/CD8A/PYGL/AGPAT2/DTX3L/IGHV3-43/S100A7/TRPM2/IFITM3/HTRA1/CD96/PIK3R1/TTR/IL13RA2/RAC2/SLAMF7/AGER/PIGR/PKM/UNC93B1/CD247/DSP/IGKC/VAMP2/PRKCD/RTP4/BTN3A3/VAV1/IFI44L/RAB31/GZMM/NME2/CFB/HAVCR2/RAB3A/SLAMF8/TNFAIP3/LRP1/TREM2/IFITM1/BATF/ISG20/CTSB/PTPRC/CLU/LCN2/CD86/GSN/STOM/S100P/IGHV1-69D/PRF1/SPINK5/OSCAR/APOBEC3D/HSPA1B/HSPA1A/NECTIN2/CTSC/C1QC/SUCNR1/GSDMD/TUBB/LGALS3/SLPI/TRIM22/TNFAIP6/HK3/FRK/WNT5A/IGKV1-5/NEU1/RNASET2/GZMB/HSPA8/P2RX7/CD1E/APP/IRF5/BST2/IGHV3-66/SLCO4C1/IGHV1-69/IGHV3-73/PGC/VAV3/IGKV5-2/CPB2/MAD2L2/TLR4/CXCL1/DDX58/JAK3/LYST/S100A8/PLA2G1B/CD84/OAS1/IGHV2-70D/C2/TRPM4/CLEC12A/CD63/A2M/CPLX2/STXBP1/NAPRT"
