"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/1283",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",9,"9/1283","ASB2/CKS2/FBXO6/CBX2/FBXO2/FBXO27/RNF19B/MAD2L2/UBE2L6"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",2,"2/1283","PPP2R2C/PPP2R2B"
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/1283",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",7,"7/1283","CDK6/CKS2/RB1/CCNJL/CDK2/CCNB1/CDK4"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/1283",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/1283","PSMB8"
"GO:0005737","GO:0005737","cytoplasm",848,"848/1283","MCM3/ST3GAL1/S1PR5/C16orf89/PROS1/ANXA2/BNIP3/MPEG1/IL17RB/PHYH/CA8/ACTA2/TNFRSF1B/LIPA/DNER/CDK6/ENO1/ASB2/NPM2/DMTN/SQLE/SFTA2/RASSF9/STMN2/TMEM14A/GOLIM4/BNC1/RPL8/CERS6/ALDH7A1/SRM/STK17B/SRPX2/PORCN/IFT57/HEYL/KIF15/AMDHD1/DLG5/NCAPH/SIGMAR1/SHC3/NTS/PKIA/FPR1/GIMAP6/MVD/PCSK2/CDT1/CLMP/GPT2/CMAHP/BCL2L10/APOC1/MIEN1/HNF1A/PFKFB2/ABCG2/PKD2/TUBA1B/CASQ2/VAMP8/KDR/MAPK8IP2/SOD2/PHACTR1/LPCAT1/MCOLN3/FAR1/ENPP1/SPHK1/CYFIP2/TRAF1/KCNH2/KNTC1/PON2/SRI/ETHE1/ARHGEF10L/SFXN3/NAMPT/CHGA/CDKN3/ITPK1/HAAO/KLF6/FCER1G/NEO1/GALNT16/ANTXR1/MUC2/SCAMP5/PNP/CEBPB/RECQL4/BICD2/FGF18/ARHGEF2/GPER1/USP11/BAALC/PCYT1B/COX6C/MICALL2/FBXO6/CAMK2N2/SCPEP1/UGCG/CCR1/ECHDC2/MELTF/S1PR1/GIMAP4/FKBP10/COL6A1/LARP6/BDKRB2/IGFBP4/SDS/INHA/ARHGAP26/LHFPL2/N4BP3/ELOVL4/SPINK2/RHOBTB2/IL32/SERPINB3/SOAT1/GYG2/DPP4/SERPINB13/NUAK1/CD44/TMEM59L/DMBT1/TPRG1/S100A3/ARL4C/DHRS2/TRIM17/APOA2/DUSP23/CDA/LZTS3/DDX3Y/BUB1/ACOT7/NDRG1/CRISP3/CD55/SPAG1/TIAM1/BSG/SH2B2/MGAT4B/IER2/CLDN8/FUT6/BEX4/FGD1/CADPS2/PKP1/PCSK1N/ARG2/ADCY1/DNALI1/SLC7A11/PLS1/ASTN2/GNB4/GALNT6/NMNAT3/PODXL2/ZC3H12A/TKT/CDKN2A/CLEC3B/SFTPD/LBR/CREB3L4/TRIP10/LAMP5/PRRT2/IGF2/VASP/RPL13/CACNB3/DUOX1/PGGHG/ACE2/GABRB3/CKB/AVPR1A/FBN1/PNMT/GADD45G/CCDC146/DTX1/CCNJL/OASL/FMO5/ACSL3/LIX1/IQGAP2/TOP2A/RARA/BHMT/ALDH8A1/PPP1R1B/SSBP2/CHPF/SRD5A3/APOBEC3A/TST/VPREB3/CAP2/MGST1/CHST13/ASAP1/RASSF5/ATP9A/TTC3/CEND1/PTP4A3/SIPA1L3/NPM3/UPK1A/PALM3/FRZB/DTX4/VSNL1/PYGL/FGFR2/GNPNAT1/HIF1A/KIF26A/PFKP/TAGLN2/SIGLEC1/SMOX/CLIC3/PLAT/NCALD/GDAP1/JPH1/SLC39A14/AGPAT2/SRPK1/INPP5F/HKDC1/MAGED2/LRP2/ARMCX3/PHKG1/TIMP1/MEF2C/TP53INP1/PGK1/FBXO2/COL4A4/NDC80/BCL9/CIB2/LUM/PLXNA1/GRIK3/DTX3L/HYAL1/CDKN2B/NTRK2/SLC25A25/PTGES/MAT1A/GLT8D2/AKAP6/ANXA2P2/S100A7/HS6ST2/INSR/CA4/FLRT3/ENGASE/ACAA2/FILIP1L/TRPM2/PGPEP1/HELZ2/PPP1R14D/PXK/IFITM3/PCBD1/GRB7/STAC2/TAP1/HTRA1/RHOH/JAM3/MSI1/BICDL1/RBM24/C1orf210/CYTH3/AASS/BAG2/CYB561/CD96/SHISA2/PIK3R1/TNFAIP8/PPL/CNR1/ATP10B/TTR/NFE2/OBSL1/STIL/ENKD1/FAM210B/RAB38/FCRLA/PAM/CHRDL2/ZFP36/KRT17/SPECC1/BAIAP2L2/RAC2/LIF/P4HTM/GLDC/FAS/MAF/TYMP/PTGDS/ABCA2/DLX5/NOTCH4/PALD1/SIAE/PIGR/PKDCC/B3GAT1/RN7SL2/PKM/ZBTB16/UNC93B1/LAPTM4B/ASB13/SCD/CD247/DSP/CLIC4/ZEB2/COL26A1/STK38L/MFSD12/VAMP2/TONSL/CLEC7A/CD8B/MAGI3/PLS3/RHOU/DHCR24/SMS/PHLPP1/SYTL4/SPR/SLC25A36/SKIL/RDH10/RPL39L/PRKCD/SOCS2/GAS2L3/RTP4/LIMD2/EGR1/CPA3/USP9Y/ST6GALNAC4/SOX7/MAP3K21/GSTA4/ZNF415/NRSN2/MYO5B/RRM1/RRBP1/SNX20/JSRP1/S1PR4/SSTR2/SLC25A27/ZDHHC20/VAV1/PLPP2/GNG4/SEMA6D/OLFM1/BCAR3/HUNK/GDF15/ARHGAP29/IFI44L/APOE/AMN/SPRED1/FAM107A/RAB31/ADCY3/PARVA/FOXC1/TUBB6/NME2/DUSP8/NUPR1/HILPDA/HAVCR2/NT5E/ATP2A3/WDR91/GRIK5/RRAGD/MGLL/HACD3/PPP2R2C/SH2D2A/COL15A1/SHB/PIP5K1B/RAB3A/CUBN/CAPN2/LGMN/PLEK2/IDI1/SERPINA4/CERK/PHKA1/CAPN13/ST3GAL4/LPXN/SIX4/F11R/PRAC1/TPX2/EPB41L1/MIS18A/TNFAIP3/CXCL14/SLC6A11/NR0B2/DNAJB1/LRP1/RNF145/PTPRE/PPARG/AMD1/IQCA1/TENM2/PI3/SPP1/LLGL1/SORBS1/NET1/SPTBN2/RYR1/EPS8L3/COLGALT2/FUT4/FKBP5/ANXA13/SPRR1A/HOXB2/IL11/GAL3ST1/PODXL/VGF/MGAT3/COX7A1/FBXO27/PGAP3/BATF/PLXDC1/KLHDC8B/ISG20/RASA3/FGFR4/ATP6V1B1/ERRFI1/VAX2/PRRX1/DEFB1/FZD6/CTHRC1/CTSB/PTPRC/PIM2/SMC2/KLF4/IL1RN/BIN1/LYPLA1/CLU/AKAP1/MAGI1/CSPG5/NOCT/CSAD/SEC24D/LCN2/ECT2/GSN/STOM/DUSP4/VLDLR/S100P/SGMS2/GCNT2/PTP4A1/TENM1/SASH1/RIPOR2/SPAG9/TXNIP/TMEM64/PRF1/PDGFD/SPINK5/PAQR8/TMTC1/OSCAR/HAS2/GPX2/NDN/COL4A6/SOCS3/SERPINB2/APOBEC3D/GNG8/FOXA2/MMP24/DTX3/ERBB4/NWD1/NOTCH3/MIPEP/TYRP1/CXCL12/HSPA1B/HSPA1A/PDLIM1/COL4A5/ARHGAP21/BORCS7/LIPC/SCNN1B/UACA/PLCB2/CLCA2/COL6A2/LSM7/ERBB2/AFDN/ASAP3/KLHL5/KIF26B/CTSC/ISOC1/DYNC1I1/MDFIC/CKAP2L/SPRR1B/SFRP1/TBC1D2/CA2/GSDMD/EEF1A1P5/TUBB/SH2D4A/NLGN3/ITPR3/PIAS3/CHSY1/TBC1D14/LGALS3/RAP1GAP2/SGK1/CYP2E1/SLPI/HOXC11/CDK2/TRIM22/KCNJ2/G0S2/TNFAIP6/NMI/MMP16/CALB2/HK3/IRS2/CSDC2/IKZF3/NEDD9/IYD/FRK/MLXIPL/COL12A1/JARID2/RNF19B/YWHAZ/TMEM184A/COL5A3/HNF4G/PTPRH/MPST/DNAJB9/GALNT5/MBIP/HS6ST1/AMOTL2/PLIN2/ITPR1/WNT5A/SDSL/B4GALNT1/BCHE/ABHD17C/HSPH1/FGF12/HES1/PLBD1/GALC/PKP2/SYNE2/SEC61G/CAVIN3/ETNK2/GIMAP8/IRAK2/FUT3/AGRN/HAMP/NEU1/RNASET2/WNT7B/RPL18A/COL14A1/ISYNA1/CITED1/ROMO1/DSTN/SNRPB/CD3D/OR51E2/GZMH/SH3D19/SNX25/GZMB/FGFR3/TESC/HSPA8/P2RX7/CD1E/GDPD5/SGCB/EFS/ITPKA/APP/GCHFR/FNBP1L/SAMD1/SULT4A1/CYP1B1/ACOX2/KIF5C/AMOTL1/IRF5/BST2/ACTN4/KHK/TNNI2/SLCO4C1/CDC7/CRAT/BAMBI/ZDHHC2/GSR/THEM5/SELENOM/NUDT11/ARHGAP11A/ADAM19/VAV3/HMGCS2/SPTLC3/LY6K/RCAN2/PPP2R2B/PLEKHG6/UST/RUBCNL/RENBP/ASB9/MAD2L2/DNAJC6/ABCD1/CA3/FMC1/PDP1/EPB41L2/ATP8B1/RALGPS2/HDAC1/HJURP/SARDH/COL5A1/HMGN3/MREG/MCCC2/SERPINF1/RHPN2/GSTA1/VPS37D/BEX5/PTPRN/SORBS3/CSTA/KAT2B/LGR5/TLR4/SLAIN1/TROAP/ABLIM2/CXCL1/RBP1/CEP55/HGD/CDC42EP1/SDF2L1/RNF112/APOL3/TEAD2/ARNTL2/MAG/TFPT/KANK1/DDX58/SH3GL2/B3GNT9/ARRDC2/JAK3/ITPKB/LYST/ACTA1/SLC27A3/SOX13/S100A8/PLA2G1B/GSTM3/GSTM1/MEIS2/CCNB1/RRAS2/NCAPG/PPARGC1A/ITGB3/AURKA/PIR/IL2RB/TRIM9/DOCK3/MTHFD2/PDE4A/SLC23A2/OAS1/MPV17L/UGT1A6/FN3K/ID1/NAPB/PLEKHA2/WHRN/CCDC8/PLK3/DCXR/HOXA10/WASF1/FHL5/RAB23/MAN1A1/CX3CR1/REEP4/PLEKHF1/TRPM4/RPL36/IFI44/CD109/UBE2L6/ITGA5/KRT5/MAGEA3/CLEC12A/ID4/MRAP2/ELF5/TES/SORT1/CD63/TESPA1/CDK4/SESN1/MARK1/PLP2/DLC1/SRPX/KCNN2/KLHL14/C1orf116/DOK7/A2M/UNC119B/TOP1MT/F7/RAB32/PNPLA7/ASS1/CPLX2/PLAGL1/TGFBI/PFKFB4/RAB20/STXBP1/BAAT/PHLDA1/GLTP/NAPRT/VIM/PARP10/PSMB8/IGF2BP2/HSD17B6/GSDMB/MPDZ/STEAP1B/MAST1"
"GO:0005845","GO:0005845","mRNA cap binding complex",1,"1/1283","ZFP36"
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/1283",""
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex",0,"0/1283",""
"GO:0005953","GO:0005953","CAAX-protein geranylgeranyltransferase complex",0,"0/1283",""
"GO:0005954","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",0,"0/1283",""
"GO:0005955","GO:0005955","calcineurin complex",1,"1/1283","ITPR1"
"GO:0005956","GO:0005956","protein kinase CK2 complex",0,"0/1283",""
