"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1283",""
"GO:0009975","GO:0009975","cyclase activity",2,"2/1283","ADCY1/ADCY3"
"GO:0016491","GO:0016491","oxidoreductase activity",56,"56/1283","PHYH/SQLE/GPX3/ALDH7A1/SOD2/FAR1/ETHE1/HAAO/DIO1/COX6C/BMP2/DHRS2/LBR/DUOX1/FMO5/ALDH8A1/SRD5A3/MGST1/SMOX/PGK1/RDH16/PCBD1/HR/DEGS2/AASS/CYB561/PAM/P4HTM/GLDC/SCD/DIO2/DHCR24/SPR/RDH10/RRM1/HSD11B2/SC5D/COX7A1/GPX2/TYRP1/DHRS7/CYP2E1/IYD/CYP1B1/ACOX2/CRAT/GSR/SELENOM/SARDH/GSTA1/HGD/PIR/MTHFD2/DCXR/SESN1/HSD17B6"
"GO:0016740","GO:0016740","transferase activity",153,"153/1283","ST3GAL1/CDK6/ASB2/CERS6/SRM/STK17B/PORCN/GPT2/PFKFB2/KDR/LPCAT1/SPHK1/NAMPT/ITPK1/GALNT16/PNP/PCYT1B/FBXO6/ACVRL1/UGCG/ELOVL4/SOAT1/GYG2/NUAK1/TRIM17/BUB1/SH3RF2/MGAT4B/FUT6/GALNT6/NMNAT3/TKT/CKB/PNMT/DTX1/NRP2/BHMT/CHPF/TST/MGST1/CHST13/TTC3/DTX4/PYGL/FGFR2/GNPNAT1/PFKP/DPY19L1/AGPAT2/SRPK1/HKDC1/PHKG1/PGK1/FBXO2/DTX3L/HYAL1/NTRK2/MAT1A/GLT8D2/HS6ST2/INSR/EFNA3/ACAA2/TYMP/PKDCC/B3GAT1/PKM/STK38L/MAGI3/SMS/PRKCD/ST6GALNAC4/MAP3K21/GSTA4/ZDHHC20/HUNK/NME2/PIP5K1B/CERK/PHKA1/ST3GAL4/TNFAIP3/RNF145/COLGALT2/FUT4/GAL3ST1/MGAT3/FBXO27/FGFR4/PIM2/SGMS2/GCNT2/TMTC1/HAS2/DTX3/ERBB4/ERBB2/DNMT3B/EPHA7/PIAS3/CHSY1/SGK1/CDK2/TRIM22/HK3/POMK/FRK/RNF19B/MPST/GALNT5/HS6ST1/B4GALNT1/EFNA4/ETNK2/IRAK2/FUT3/FGFR3/ITPKA/SULT4A1/KHK/PDGFRL/CDC7/CRAT/ZDHHC2/UGT2A3/HMGCS2/SPTLC3/UST/GSTA1/KAT2B/CRIM1/SDF2L1/RNF112/B3GNT9/JAK3/ITPKB/GSTM3/GSTM1/CCNB1/AURKA/TRIM9/OAS1/UGT1A6/FN3K/PLK3/UBE2L6/CDK4/MARK1/PFKFB4/BAAT/NAPRT/PARP10/MAST1"
"GO:0016787","GO:0016787","hydrolase activity",171,"171/1283","MCM3/ADPRHL1/LIPA/PLPP1/PAPLN/KIF15/AMDHD1/PCSK2/PFKFB2/ABCG2/TUBA1B/ENPP1/PON2/ETHE1/CDKN3/ITPK1/TPSAB1/RECQL4/USP11/SCPEP1/CCR1/BDKRB2/MASP2/RHOBTB2/DPP4/ARL4C/DUSP23/CDA/DDX3Y/ACOT7/SPAG1/ARG2/DNALI1/ZC3H12A/PGGHG/ACE2/TOP2A/RASL11B/APOBEC3A/PTP4A3/KIF26A/ADAMTS4/PLAT/INPP5F/GEM/LIPH/HYAL1/ENGASE/ACAA2/PGPEP1/HELZ2/ADAMTS15/TAP1/HTRA1/RHOH/RAB38/RAC2/ABCA2/HPN/PALD1/SIAE/RHOU/PHLPP1/SMARCA1/RFC4/CPA3/USP9Y/MYO5B/PLPP2/GNG4/NT5DC2/RAB31/GZMM/TUBB6/DUSP8/CFB/NT5E/ATP2A3/RRAGD/MGLL/PON3/RAB3A/CAPN2/LGMN/IDI1/CAPN13/CPXM1/TNFAIP3/PTPRE/CPA4/PGAP3/ISG20/TPSG1/ATP6V1B1/CTSB/PTPRC/LYPLA1/NOCT/DUSP4/PTP4A1/TMPRSS11D/EPHX1/APOBEC3D/GNG8/MMP24/RAB42/MIPEP/HSPA1B/HSPA1A/LIPC/PLCB2/CLCA2/KIF26B/CTSC/DYNC1I1/TPSD1/SFRP1/CA2/EEF1A1P5/TUBB/GZMA/MMP16/YDJC/NT5DC3/PTPRH/BCHE/ABHD17C/PLBD1/GALC/NEU1/RNASET2/GZMH/GZMB/HSPA8/GDPD5/DPP6/KIF5C/PGC/THEM5/NUDT11/ADAM19/CPB2/SMARCA2/DNAJC6/ABCD1/CA3/PDP1/MYORG/HDAC1/TLR4/PLPPR1/RNF112/DDX58/PLA2G1B/RRAS2/ATP13A3/MPPED2/MTHFD2/PDE4A/ADAM22/RAB23/MAN1A1/C2/PTPRD/F7/RAB32/PNPLA7/PFKFB4/RAB20/BAAT/PSMB8"
"GO:0016829","GO:0016829","lyase activity",21,"21/1283","CA8/ENO1/MVD/ECHDC2/SDS/ADCY1/CA4/PCBD1/PAM/GLDC/ADCY3/CA12/HACD3/CA14/AMD1/CSAD/CA9/CA2/SDSL/RNASET2/CA3"
"GO:0016853","GO:0016853","isomerase activity",12,"12/1283","ITPK1/FKBP10/TOP2A/PTGES/PTGDS/IDI1/FKBP5/ISYNA1/RENBP/GSTA1/ITGB3/TOP1MT"
"GO:0016874","GO:0016874","ligase activity",5,"5/1283","ACSL3/MCCC2/SLC27A3/ASS1/NAPRT"
"GO:0032451","GO:0032451","demethylase activity",2,"2/1283","HR/JARID2"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/1283",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/1283",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",142,"142/1283","CDK6/ASB2/PAPLN/STK17B/PCSK2/KDR/CDKN3/GALNT16/TPSAB1/USP11/FBXO6/ACVRL1/SCPEP1/FKBP10/MASP2/DPP4/NUAK1/TRIM17/DUSP23/BUB1/SH3RF2/MGAT4B/GALNT6/ZC3H12A/PGGHG/ACE2/DTX1/NRP2/TTC3/PTP4A3/DTX4/FGFR2/ADAMTS4/PLAT/SRPK1/PHKG1/FBXO2/DTX3L/NTRK2/INSR/EFNA3/PGPEP1/HR/ADAMTS15/HTRA1/PAM/P4HTM/HPN/PALD1/PKDCC/STK38L/PHLPP1/PRKCD/CPA3/USP9Y/MAP3K21/ZDHHC20/HUNK/GZMM/NME2/DUSP8/CFB/CAPN2/LGMN/PHKA1/CAPN13/CPXM1/TNFAIP3/RNF145/PTPRE/COLGALT2/FKBP5/CPA4/MGAT3/FBXO27/FGFR4/TPSG1/CTSB/PTPRC/PIM2/LYPLA1/DUSP4/PTP4A1/TMPRSS11D/MMP24/DTX3/ERBB4/MIPEP/CLCA2/ERBB2/CTSC/EPHA7/TPSD1/SFRP1/PIAS3/SGK1/CDK2/TRIM22/GZMA/MMP16/POMK/FRK/JARID2/RNF19B/PTPRH/GALNT5/ABHD17C/EFNA4/IRAK2/GZMH/GZMB/FGFR3/ITPKA/DPP6/PDGFRL/CDC7/ZDHHC2/PGC/ADAM19/CPB2/DNAJC6/PDP1/HDAC1/CRIM1/RNF112/JAK3/CCNB1/ITGB3/AURKA/TRIM9/FN3K/PLK3/ADAM22/C2/UBE2L6/PTPRD/CDK4/MARK1/F7/PARP10/PSMB8/MAST1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",7,"7/1283","MCM3/RECQL4/TOP2A/RFC4/ISG20/DNMT3B/TOP1MT"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",7,"7/1283","DDX3Y/ZC3H12A/HELZ2/ISG20/NOCT/RNASET2/DDX58"
"GO:0003735","GO:0003735","structural constituent of ribosome",5,"5/1283","RPL8/RPL13/RPL39L/RPL18A/RPL36"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/1283",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",12,"12/1283","TUBA1B/PLS1/PPL/DSP/TUBB6/SPTBN2/TUBB/AGRN/SORBS3/ACTA1/KRT5/VIM"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",26,"26/1283","MFAP5/SRPX2/COL6A1/FBN1/COL4A4/SBSPON/LUM/HAPLN1/COL15A1/TFPI2/CHADL/CTHRC1/COL4A6/COL4A5/COL6A2/EMILIN2/COL12A1/COL5A3/AGRN/COL14A1/COL5A1/LAMA5/TNXB/SRPX/TGFBI/COMP"
"GO:0005212","GO:0005212","structural constituent of eye lens",1,"1/1283","VIM"
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/1283",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/1283",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/1283","JPH1"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/1283",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/1283",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/1283",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",2,"2/1283","NCMAP/PLP1"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",3,"3/1283","PKP1/PI3/SPRR1A"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/1283",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/1283",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/1283",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/1283",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/1283",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/1283",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/1283",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",2,"2/1283","FBN1/EMILIN2"
"GO:0098918","GO:0098918","structural constituent of synapse",1,"1/1283","SPTBN2"
"GO:0005319","GO:0005319","lipid transporter activity",11,"11/1283","STRA6/APOA2/MFSD2A/ABCA2/APOE/PLSCR4/ABCD1/ATP8B1/APOL3/SLC27A3/GLTP"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/1283",""
"GO:0022857","GO:0022857","transmembrane transporter activity",75,"75/1283","ANXA2/KCNF1/SLC28A1/GABRE/KCNN3/ABCG2/PKD2/MCOLN3/KCNH2/SCN1B/SFXN3/COX6C/STRA6/SLC4A11/SLC7A11/CACNB3/GABRB3/MFSD2A/SLC45A3/CLIC3/SLC39A14/KCNMA1/ORAI2/SLC6A20/GRIK3/SLC25A25/ANXA2P2/TRPM2/TAP1/SLC16A7/CNR1/KCNG1/ABCA2/SLC35F1/CLIC4/SLC38A11/MFSD12/SLC25A36/SLC44A5/ATP2A3/GRIK5/KCNJ3/SLC22A31/SLC6A11/RYR1/COX7A1/RASA3/ATP6V1B1/PRF1/GRID1/SCNN1B/CLCA2/SLC15A1/ITPR3/KCNJ2/SLC4A4/LRRC8A/ITPR1/SLC39A5/SEC61G/P2RX7/CACHD1/SLCO4C1/GJC2/GJB1/ABCD1/KCND2/KCNJ8/SLC44A4/SLC23A2/TRPM4/PLP2/KCNN2/KCNMB1/CLDN16"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/1283",""
"GO:0140318","GO:0140318","protein transporter activity",1,"1/1283","SEC61G"
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/1283",""
"GO:0000035","GO:0000035","acyl binding",0,"0/1283",""
"GO:0003682","GO:0003682","chromatin binding",40,"40/1283","NPM2/NCAPH/CDT1/CKS2/CEBPB/GPER1/ACTL6A/ASCL1/TSHZ3/CBX2/THRB/ZC3H12A/TOP2A/RARA/NPM3/MEF2C/OVOL2/HR/EPOP/SMARCA1/SKIL/EGR1/FOXC1/NUPR1/PPARG/VAX2/KLF4/DNMT3B/IKZF3/JARID2/BAHCC1/CITED1/SAMD1/ACTN4/SMARCA2/HDAC1/HMGN3/KAT2B/PPARGC1A/HOXC13"
"GO:0003823","GO:0003823","antigen binding",13,"13/1283","IGHV3-43/TAP1/IGKC/DHCR24/IGHV1-69D/IGKV1-5/JCHAIN/CD1E/IGHV3-66/IGHV1-69/IGHV3-73/IGKV5-2/IGHV2-70D"
