"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",9,"9/202","STXBP1/HOXD10/ATP2B4/PACRG/KIFC1/MDK/PTN/CABYR/OXTR"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/202",""
"GO:0022414","GO:0022414","reproductive process",18,"18/202","STXBP1/NOTCH2/HOXD10/SORD/IDH1/ATP2B4/PACRG/CCND1/INSR/KIFC1/MDK/PTN/RETN/ETNK2/CABYR/PLK4/OXTR/MSX1"
"GO:0032504","GO:0032504","multicellular organism reproduction",8,"8/202","ATP2B4/PACRG/KIFC1/MDK/PTN/RETN/CABYR/OXTR"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/202",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/202",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/202",""
"GO:0001776","GO:0001776","leukocyte homeostasis",3,"3/202","SIT1/MEF2C/HCAR2"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",1,"1/202","TNFSF13"
"GO:0002252","GO:0002252","immune effector process",24,"24/202","SLPI/PTPN22/TLR4/STXBP1/RSAD2/NOTCH2/CPLX2/IDH1/PLD1/BCL3/PKM/SLC2A3/GRN/NR4A3/CD58/FOXP1/RGCC/IGKV3-15/IGLV6-57/CD247/MDK/RETN/FCN3/TNFSF13"
"GO:0002253","GO:0002253","activation of immune response",12,"12/202","PTPN22/TLR4/MEF2C/NR4A3/FOXP1/RGCC/IGKV3-15/IGLV6-57/CD247/LCK/KCNN4/FCN3"
"GO:0002262","GO:0002262","myeloid cell homeostasis",2,"2/202","HCAR2/CDK6"
"GO:0002339","GO:0002339","B cell selection",0,"0/202",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/202",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",8,"8/202","PTPN22/TLR4/RSAD2/NR4A3/IGKV3-15/IGLV5-45/IGLV6-57/TNFSF13"
"GO:0002507","GO:0002507","tolerance induction",0,"0/202",""
"GO:0002520","GO:0002520","immune system development",15,"15/202","PTPN22/TLR4/RSAD2/NOTCH2/MEF2C/BCL3/NR4A3/FOXP1/FASN/MDK/HOXB4/LCK/PTN/CDK6/TNFSF13"
"GO:0002682","GO:0002682","regulation of immune system process",29,"29/202","CX3CL1/PTPN22/TLR4/STXBP1/RSAD2/NOTCH2/HCST/SIT1/MAPK8IP1/MEF2C/GRN/NR4A3/FOXP1/RGCC/IGKV3-15/IGLV6-57/AIF1/CD247/HCAR2/MDK/LCK/PTN/CDK6/KCNN4/RIPOR2/FCN3/ALOX15/TNFAIP8L2/TNFSF13"
"GO:0002683","GO:0002683","negative regulation of immune system process",9,"9/202","CX3CL1/PTPN22/TLR4/GRN/MDK/CDK6/RIPOR2/ALOX15/TNFAIP8L2"
