"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/202",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/202",""
"GO:0016491","GO:0016491","oxidoreductase activity",15,"15/202","SORD/QDPR/IDH1/CH25H/CYP2C18/CYP2S1/FASN/NDUFS8/ETHE1/CBR1/PDIA6/ALOX15/CYGB/BDH1/PGD"
"GO:0016740","GO:0016740","transferase activity",24,"24/202","TRIM47/UBE2L6/MAST4/PKM/PARP12/GYG2/RNF19A/STK17B/CCND1/MET/CDK5R1/FASN/INSR/FUT3/UGT2B7/CHKA/LCK/CDK6/ETNK2/NAGS/PLK4/BRSK1/TNK1/SGMS2"
"GO:0016787","GO:0016787","hydrolase activity",30,"30/202","PTPN22/TLR4/MYO5C/CPXM2/DUSP5/PLD1/VNN2/LHPP/ATP5F1D/ACP5/RPP25/ARSJ/FEN1/FASN/GNG12/THEM5/KIFC1/CHKA/LCK/PON3/ETHE1/MCM3/MCM4/PTPN7/ALOX15/PM20D2/DDAH1/PDP1/PADI3/DQX1"
"GO:0016829","GO:0016829","lyase activity",5,"5/202","DDC/PCK2/CYP2S1/FASN/HOGA1"
"GO:0016853","GO:0016853","isomerase activity",4,"4/202","CYP2S1/PDIA6/GALM/ALOX15"
"GO:0016874","GO:0016874","ligase activity",1,"1/202","ATP5F1D"
"GO:0032451","GO:0032451","demethylase activity",0,"0/202",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/202",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/202",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",23,"23/202","PTPN22/TRIM47/UBE2L6/CPXM2/DUSP5/MAST4/PARP12/RNF19A/STK17B/CCND1/LHPP/MET/CDK5R1/INSR/LCK/CDK6/PTPN7/PDIA6/PM20D2/PLK4/BRSK1/TNK1/PDP1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",4,"4/202","FEN1/MCM3/MCM4/DQX1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",2,"2/202","RPP25/FEN1"
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/202","MRPL14"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/202",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",1,"1/202","INA"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",2,"2/202","LAMA5/LAMC2"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/202",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/202",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/202",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/202","TCAP"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/202",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/202",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/202",""
