"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",21,"21/698","FOXJ1/CLGN/WT1/SPIN4/EDNRB/HOXA11/CLDN11/TMEM119/ADAM28/IL4R/P2RY1/SPIRE2/JAG2/PDE3A/MERTK/SERPINA5/MST1R/POC1A/ITGB1/ADA/NANOS1"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/698",""
"GO:0022414","GO:0022414","reproductive process",46,"46/698","FOXJ1/MSX2/CLGN/PKMYT1/WT1/SPINT2/SPIN4/EDNRB/VASH1/HOXA11/CITED2/CLDN11/SGO1/NUF2/TMEM119/ADAM28/IDO1/DLX3/IGFBP5/IL4R/EAF2/P2RY1/SPIRE2/JAG2/MAPK15/PDE3A/KRT19/MERTK/MAMLD1/SERPINA5/MST1R/POC1A/IRX5/ITGB1/EMP2/ADA/ITGA3/HMGCS1/PRLR/PCDH12/STC1/HEY1/NANOS1/ZNF711/ITGA5/BASP1"
"GO:0032504","GO:0032504","multicellular organism reproduction",21,"21/698","FOXJ1/WT1/SPIN4/EDNRB/HOXA11/CLDN11/TMEM119/ADAM28/IL4R/P2RY1/SPIRE2/JAG2/PDE3A/MERTK/SERPINA5/POC1A/ITGB1/ADA/ITGA3/STC1/NANOS1"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/698",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/698",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/698",""
"GO:0001776","GO:0001776","leukocyte homeostasis",4,"4/698","DOCK11/MERTK/ADA/TNFRSF17"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/698",""
"GO:0002252","GO:0002252","immune effector process",74,"74/698","FOXJ1/CANT1/IGLV2-11/IGLV3-1/IL20RB/PTPRB/MVP/CD177/RASGRP1/IRF1/IGLV2-14/FOXF1/DOCK11/TCN1/VAT1/MYO10/ELMO1/EXOSC4/GM2A/TNFRSF4/FCGR2A/RFTN1/ORM2/IL1R1/GGH/SLAMF6/FTH1/IGLC7/IL4R/LRG1/DOCK1/PLAC8/ITGAM/ALOX5/LOXL3/BIN2/S100A11/HCK/NBEAL2/FCN1/BTN3A2/LCP1/LAIR1/APRT/MCEMP1/MX2/PLA2G5/LIMK1/PRSS2/IL23A/TCIM/SKP2/SIRPA/EMP2/CCL19/SVIP/ADA/DDX60/DUSP10/S100A8/ITGAL/APBB1IP/IGLV3-21/IGLV2-23/IGKV1-17/LGALS1/MFNG/CD22/CAPN1/CMTM6/ZBTB7B/PRDX1/C8G/CD47"
