"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/698",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/698",""
"GO:0016491","GO:0016491","oxidoreductase activity",38,"38/698","NNT/HSD11B1/CYC1/KDM5D/PLOD3/P4HA1/LOX/VAT1/ALDH1A1/SNCA/CLIC2/ABCC4/CYP4F3/IDO1/FTH1/C15orf48/HBA2/DPYD/ALOX5/LOXL3/DHTKD1/ACADS/COX7A1/ADH1B/ERO1B/CP/EGLN3/ADH1C/ALDH1L1/AKR1B10/MSRB3/CYB5R2/FADS2/CBR1/FDXR/PRDX1/NQO1/GPD1"
"GO:0016740","GO:0016740","transferase activity",76,"76/698","PJA2/ACSM3/RPS6KA2/TPST1/PKMYT1/FBLL1/NAT8B/EZH2/ST3GAL5/ST3GAL6/TYMS/KSR1/AMT/SLA/CHST6/JADE2/NME4/GCAT/CHST10/PLOD3/MOGAT3/SULT1C4/AURKB/DAPK1/TGM2/CAMK1D/SOSTDC1/CLK1/GALNT3/AATK/RASSF2/KCTD11/CIT/CASK/MAP3K20/SIK1B/EPHB1/MAPK15/SGMS2/HCK/GOT1/APRT/CROT/MERTK/GALNT15/FGFRL1/CHST7/MST1R/LIMK1/PJA1/ALDH1L1/SKP2/CAMK2D/ELOVL2/CERS1/LMO7/B3GNT7/MAPK13/GLYATL2/ST6GALNAC1/TENT5C/MAP4K4/HMGCS1/MFNG/PFKM/KAT2A/HIPK2/ELOVL5/NCCRP1/ZNF711/TMTC2/DPM3/ZDHHC12/CDK18/CDK5R1/PAPSS1"
"GO:0016787","GO:0016787","hydrolase activity",88,"88/698","ABCB1/PDE2A/GBP6/CANT1/RGS16/PIK3IP1/ABCC1/DUSP2/PTPRB/RAB7B/TOR4A/RAB30/RND2/BMP1/PRSS23/RAP2A/PPP3CA/VASH1/MEST/RGS20/USP18/DDAH2/ABCC3/MYO10/KIF5A/RHOC/ABHD14A/ADAM9/EXOSC4/ABCC4/GM2A/ADAM28/ADAMTSL4/ATP6V1B2/IL1R1/TNS2/SLC25A42/SMPDL3A/RND1/GGH/DAGLA/PLD3/SCRN2/GZMK/FEN1/KLK12/DIRAS2/PSMB9/CGN/RHBDL1/IDUA/ALOX5/CARNS1/PDE3A/ENTPD7/PLCB4/ATP6V1G2/CHRM1/YDJC/MX2/F12/PLPPR4/PLA2G5/PRSS2/SMPD1/FBP1/DUSP16/ADAM12/USP54/ADA/TMPRSS4/DDX60/DUSP10/ATP1B1/IMPA2/SGPP2/RFC4/ACMSD/HAGHL/RAC3/CAPN1/PGAP3/PLPP7/CCR5/F3/ECE1/MYO1D/TPP1"
"GO:0016829","GO:0016829","lyase activity",3,"3/698","CA11/GOT1/ACMSD"
"GO:0016853","GO:0016853","isomerase activity",4,"4/698","ERO1B/HMGCS1/EBP/GALE"
"GO:0016874","GO:0016874","ligase activity",3,"3/698","ACSM3/CARNS1/ACSS1"
"GO:0032451","GO:0032451","demethylase activity",1,"1/698","KDM5D"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/698",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/698",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",77,"77/698","PJA2/RPS6KA2/PIK3IP1/DUSP2/TPST1/PTPRB/PKMYT1/FBLL1/EZH2/KSR1/BMP1/PRSS23/SLA/PPP3CA/VASH1/KDM5D/PLOD3/USP18/P4HA1/LOX/ADAM9/AURKB/DAPK1/TGM2/CAMK1D/ADAM28/SOSTDC1/ADAMTSL4/CLK1/GALNT3/TNS2/AATK/RASSF2/GGH/CIT/SCRN2/GZMK/KLK12/PSMB9/RHBDL1/CASK/MAP3K20/SIK1B/LOXL3/EPHB1/MAPK15/HCK/ERO1B/MERTK/GALNT15/F12/EGLN3/FGFRL1/MST1R/LIMK1/PRSS2/DUSP16/PJA1/SKP2/CAMK2D/ADAM12/USP54/LMO7/TMPRSS4/MAPK13/DUSP10/MAP4K4/HIPK2/NCCRP1/CAPN1/ZNF711/ZDHHC12/F3/ECE1/CDK18/CDK5R1/TPP1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",3,"3/698","PLD3/FEN1/RFC4"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",4,"4/698","FBLL1/EXOSC4/FEN1/DDX60"
"GO:0003735","GO:0003735","structural constituent of ribosome",4,"4/698","RPS2/RPS4Y1/MRPL14/RPS4X"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/698",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",4,"4/698","VILL/KRT16/KRT19/ANK2"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",11,"11/698","FBN2/COL4A2/MUC6/EFEMP2/POSTN/MUC3A/COL27A1/COL1A2/DPT/HMCN1/SPARC"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/698",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/698",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/698",""
"GO:0008307","GO:0008307","structural constituent of muscle",4,"4/698","MYL9/MYL3/KRT19/ACTN2"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/698",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/698",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/698",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",1,"1/698","MARVELD1"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/698",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/698",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/698",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/698",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/698",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/698",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/698",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/698",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",2,"2/698","FBN2/AHNAK"
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/698",""
"GO:0005319","GO:0005319","lipid transporter activity",6,"6/698","ABCB1/ABCC1/OSBPL3/ABCC3/FABP1/GM2A"
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/698","HBA2"
"GO:0022857","GO:0022857","transmembrane transporter activity",42,"42/698","ABCB1/SLC25A24/SLC26A9/MFSD4A/ABCC1/SLC6A6/SLC16A2/SLC6A12/CLIC1/NNT/TTYH1/SLC39A8/SLC52A3/SLC1A5/ABCC3/CLIC2/ABCC4/SLC2A6/CNNM4/SLC1A1/ATP6V1B2/SLC25A42/NIPAL4/C15orf48/GPM6A/KCNC3/SLC7A7/ATP6V1G2/SLC43A3/COX7A1/SLC12A7/SLC41A2/SLC16A6/TSPOAP1/SLC25A43/SLC16A13/SLC19A2/SLC26A2/ATP1B1/AQP1/SLC16A4/EBP"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/698",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/698",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/698",""
"GO:0000035","GO:0000035","acyl binding",0,"0/698",""
"GO:0003682","GO:0003682","chromatin binding",14,"14/698","EZH2/CITED2/SVEP1/FABP1/DLX3/ORC1/PLAC8/MAPK15/ZIC2/AJUBA/APBB1/NAP1L2/KAT2A/CHAF1B"
"GO:0003823","GO:0003823","antigen binding",10,"10/698","IGLV2-11/IGLV3-1/IGLV2-14/IGLC7/FCN1/SIRPA/IGLV3-21/IGLV2-23/IGKV1-17/HLA-DQA1"
