"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",4,"4/200","QKI/ZMIZ1/PLA2G10/YBX3"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/200",""
"GO:0022414","GO:0022414","reproductive process",8,"8/200","QKI/VDR/ZMIZ1/PLA2G10/YBX3/LFNG/MAPK15/BASP1"
"GO:0032504","GO:0032504","multicellular organism reproduction",4,"4/200","QKI/VDR/ZMIZ1/YBX3"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/200",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/200",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/200",""
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/200","SIT1"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",1,"1/200","TNFSF13"
"GO:0002252","GO:0002252","immune effector process",22,"22/200","SASH3/NR4A3/FOXP1/DYSF/PLD1/STK10/PLA2G10/STAP1/CDH17/CEACAM1/LFNG/SERPING1/IGLV1-40/HLA-G/MYO18A/IGLL5/IGKV1-39/APOBEC3G/SLFN11/TNFSF13/S100A12/VSIG4"
"GO:0002253","GO:0002253","activation of immune response",13,"13/200","NR4A3/FOXP1/CCR7/THEMIS2/STAP1/CEACAM1/SERPING1/IGLV1-40/CD3E/IGLL5/IGKV1-39/VSIG4/MUC20"
"GO:0002262","GO:0002262","myeloid cell homeostasis",1,"1/200","KLF13"
"GO:0002339","GO:0002339","B cell selection",0,"0/200",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/200",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",9,"9/200","SASH3/NR4A3/IGLV1-36/IGLV1-40/IGLV5-45/HLA-G/GAS6/IGKV1-39/TNFSF13"
"GO:0002507","GO:0002507","tolerance induction",2,"2/200","HLA-G/CD3E"
"GO:0002520","GO:0002520","immune system development",19,"19/200","HMGB3/SASH3/CSF3R/NR4A3/FOXP1/CCR7/ZMIZ1/CDH17/CEACAM1/LFNG/DHTKD1/HLA-G/CD3E/GAS6/KLF13/TNFSF13/HAND2/FOXE1/ANGPT1"
"GO:0002682","GO:0002682","regulation of immune system process",35,"35/200","HMGB3/SASH3/CSF3R/NR4A3/FOXP1/XG/CCR7/DYSF/GPR17/THEMIS2/ZMIZ1/STK10/PLA2G10/STAP1/CEACAM1/TTLL12/SERPING1/IGLV1-40/HLA-G/CD3E/MYO18A/CXCL17/GAS6/IGLL5/IGKV1-39/APOBEC3G/GPX1/KLF13/ALOX15/BCL6B/TNFSF13/VSIG4/MUC20/SOX11/SIT1"
"GO:0002683","GO:0002683","negative regulation of immune system process",12,"12/200","HMGB3/GPR17/STAP1/CEACAM1/TTLL12/SERPING1/HLA-G/GPX1/KLF13/ALOX15/VSIG4/SOX11"
"GO:0002684","GO:0002684","positive regulation of immune system process",23,"23/200","HMGB3/SASH3/NR4A3/FOXP1/XG/CCR7/DYSF/THEMIS2/ZMIZ1/STAP1/CEACAM1/SERPING1/IGLV1-40/HLA-G/CD3E/MYO18A/CXCL17/GAS6/IGLL5/IGKV1-39/TNFSF13/VSIG4/MUC20"
"GO:0006955","GO:0006955","immune response",39,"39/200","HMGB3/SASH3/CXCR4/NR4A3/FOXP1/CCR7/DYSF/GPR17/XAF1/THEMIS2/PLD1/STK10/STAP1/BPIFB2/CDH17/CEACAM1/LFNG/FCGRT/TTLL12/SERPING1/IGLV1-36/IGLV1-40/IGLV5-45/HLA-G/TRIM31/CD3E/GAS6/IGLL5/IGKV1-39/TRGC2/APOBEC3G/GPX1/ALOX15/BCL6B/TNFSF13/S100A12/VSIG4/MUC20/SIT1"
"GO:0019882","GO:0019882","antigen processing and presentation",2,"2/200","CCR7/HLA-G"
"GO:0031294","GO:0031294","lymphocyte costimulation",2,"2/200","CCR7/CD3E"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/200",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/200",""
"GO:0045058","GO:0045058","T cell selection",2,"2/200","CCR7/CD3E"
"GO:0045321","GO:0045321","leukocyte activation",25,"25/200","HMGB3/SASH3/NR4A3/FOXP1/CCND3/CCR7/DYSF/ZMIZ1/PLD1/STK10/PLA2G10/STAP1/CDH17/CEACAM1/LFNG/HLA-G/CD3E/MYO18A/GAS6/IGLL5/TNFSF13/S100A12/VSIG4/SOX11/SIT1"
"GO:0050900","GO:0050900","leukocyte migration",16,"16/200","CXCR4/CSF3R/XG/CCR7/DYSF/STK10/STAP1/CEACAM1/IGLV1-40/MMP1/CXCL17/GAS6/IGKV1-39/S100A12/ANGPT1/SLC16A1"
"GO:0090713","GO:0090713","immunological memory process",0,"0/200",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/200",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/200",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/200",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/200",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/200",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/200",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/200",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/200",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/200",""
"GO:0007611","GO:0007611","learning or memory",2,"2/200","CNTNAP2/BTG2"
"GO:0007622","GO:0007622","rhythmic behavior",0,"0/200",""
"GO:0007625","GO:0007625","grooming behavior",0,"0/200",""
"GO:0007626","GO:0007626","locomotory behavior",2,"2/200","GAD1/NLGN2"
"GO:0007631","GO:0007631","feeding behavior",2,"2/200","NR4A3/HAND2"
"GO:0007632","GO:0007632","visual behavior",1,"1/200","SLC1A2"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/200",""
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/200","CNTNAP2"
"GO:0019098","GO:0019098","reproductive behavior",0,"0/200",""
"GO:0030534","GO:0030534","adult behavior",3,"3/200","NR4A3/SLC1A2/CNTNAP2"
"GO:0030537","GO:0030537","larval behavior",0,"0/200",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/200",""
"GO:0035176","GO:0035176","social behavior",2,"2/200","GAD1/CNTNAP2"
"GO:0035187","GO:0035187","hatching behavior",0,"0/200",""
"GO:0035640","GO:0035640","exploration behavior",2,"2/200","GAD1/NLGN2"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/200",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/200",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/200",""
"GO:0048520","GO:0048520","positive regulation of behavior",1,"1/200","NR4A3"
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/200",""
"GO:0050795","GO:0050795","regulation of behavior",1,"1/200","NR4A3"
"GO:0051780","GO:0051780","behavioral response to nutrient",1,"1/200","SLC16A1"
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/200",""
"GO:0060273","GO:0060273","crying behavior",0,"0/200",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/200",""
"GO:0061744","GO:0061744","motor behavior",0,"0/200",""
"GO:0071625","GO:0071625","vocalization behavior",1,"1/200","CNTNAP2"
"GO:0006734","GO:0006734","NADH metabolic process",1,"1/200","GPD2"
"GO:0006739","GO:0006739","NADP metabolic process",0,"0/200",""
"GO:0006807","GO:0006807","nitrogen compound metabolic process",93,"93/200","HS3ST1/HMGB3/PCBP4/MSLN/GDA/PMEPA1/CXCR4/FABP3/NR4A3/HIF3A/CTH/FOXP1/DNPH1/CCND3/QKI/VDR/BCL2L12/CCR7/DYSF/FGF7/SECISBP2L/PKIB/CMPK2/GAD1/ZMIZ1/PAX2/PLD1/STK10/PLA2G10/MCM10/CREB3L3/YBX3/NFE2L3/RCN1/STAP1/BPIFB2/CEACAM1/HIBADH/PPP1R13L/TTLL12/DLG3/ATP5F1D/TMPRSS11E/ACHE/PLOD1/TRAF5/SERPING1/DHTKD1/PAPSS2/GSTM2/TRIM31/CD3E/SNHG12/ERO1A/MMP1/MYO18A/CXCL17/GAS6/GPC2/ASPRV1/APOBEC3G/GPX1/LDLRAD4/KLF13/CHD3/MAPK15/SMPDL3A/SLFN11/ALOX15/SERPINB7/BTG2/ATP13A2/BCL6B/TNFSF13/S100A12/HAND2/FBP1/FOXE1/DEPTOR/ANGPT1/GAL3ST2/LMX1B/MMP13/MYOZ1/PNPLA2/MUC20/SOX11/BASP1/TINAG/CDK5R1/FOXP4/GMPR/SLC26A2"
"GO:0009056","GO:0009056","catabolic process",36,"36/200","PCBP4/GDA/FABP3/CRYZ/CTH/GPD2/DNPH1/DYSF/GAD1/CYP2C18/PLD1/PLA2G10/PYGM/YBX3/CEACAM1/HIBADH/DHDH/ACHE/HSD17B14/DHTKD1/GSTM2/MMP1/GPC2/APOBEC3G/GPX1/MAPK15/SMPDL3A/SLFN11/BTG2/ATP13A2/TNFSF13/FBP1/RETREG1/MMP13/PNPLA2/CDK5R1"
"GO:0009058","GO:0009058","biosynthetic process",69,"69/200","HS3ST1/HMGB3/GDA/FABP3/NR4A3/HIF3A/CTH/GPD2/FOXP1/DNPH1/CCND3/QKI/VDR/BCL2L12/CCR7/FGF7/SECISBP2L/PKIB/CMPK2/GAD1/ZMIZ1/PAX2/PLD1/PLA2G10/MCM10/TRAM2/CREB3L3/YBX3/NFE2L3/SH3YL1/CEACAM1/PPP1R13L/ATP5F1D/ACHE/HSD17B14/TRAF5/PAPSS2/GSTM2/TRIM31/GAS6/GPC2/GPX1/SLC25A10/KLF13/CHD3/MAPK15/SMPDL3A/SLFN11/ALOX15/SERPINB7/BTG2/PTMS/BCL6B/S100A12/HAND2/FBP1/FOXE1/ANGPT1/GAL3ST2/LMX1B/MYOZ1/PNPLA2/MUC20/SOX11/BASP1/CDK5R1/FOXP4/GMPR/SLC26A2"
"GO:0009892","GO:0009892","negative regulation of metabolic process",40,"40/200","PCBP4/PMEPA1/NR4A3/FOXP1/CCND3/VDR/BCL2L12/CCR7/DYSF/PKIB/PAX2/YBX3/NFE2L3/STAP1/CEACAM1/PPP1R13L/DLG3/SERPING1/CD3E/GAS6/GPX1/LDLRAD4/SLFN11/SERPINB7/BTG2/ATP13A2/BCL6B/TNFSF13/HAND2/FBP1/FOXE1/DEPTOR/ANGPT1/VSIG4/MYOZ1/SOX11/BASP1/CDK5R1/MYO1D/FOXP4"
"GO:0009893","GO:0009893","positive regulation of metabolic process",45,"45/200","HMGB3/SASH3/CXCR4/FABP3/NR4A3/FOXP1/CCND3/QKI/VDR/BCL2L12/CCR7/DNAJA4/FGF7/PKIB/ZMIZ1/PAX2/PLD1/PLA2G10/CREB3L3/YBX3/NFE2L3/STAP1/GRB10/DLG3/ACHE/TRAF5/HLA-G/CD3E/CXCL17/GAS6/MAPK15/ALOX15/SERPINB7/BTG2/ATP13A2/TNFSF13/S100A12/HAND2/FOXE1/ANGPT1/LMX1B/PNPLA2/MUC20/SOX11/CDK5R1"
"GO:0018933","GO:0018933","nicotine metabolic process",0,"0/200",""
"GO:0019222","GO:0019222","regulation of metabolic process",68,"68/200","HMGB3/PCBP4/PMEPA1/SASH3/CXCR4/FABP3/NR4A3/HIF3A/CTH/FOXP1/CCND3/QKI/VDR/BCL2L12/CCR7/DYSF/DNAJA4/FGF7/SECISBP2L/PKIB/ZMIZ1/PAX2/PLD1/PLA2G10/CREB3L3/YBX3/NFE2L3/STAP1/CEACAM1/GRB10/PPP1R13L/DLG3/ACHE/TRAF5/SERPING1/HLA-G/TRIM31/CD3E/CXCL17/GAS6/GPX1/LDLRAD4/KLF13/CHD3/MAPK15/SLFN11/ALOX15/SERPINB7/BTG2/ATP13A2/BCL6B/TNFSF13/S100A12/HAND2/FBP1/FOXE1/DEPTOR/ANGPT1/VSIG4/LMX1B/MYOZ1/PNPLA2/MUC20/SOX11/BASP1/CDK5R1/MYO1D/FOXP4"
"GO:0019674","GO:0019674","NAD metabolic process",1,"1/200","GPD2"
"GO:0019748","GO:0019748","secondary metabolic process",0,"0/200",""
