"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/200",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/200",""
"GO:0016491","GO:0016491","oxidoreductase activity",14,"14/200","CRYZ/GPD2/CYP2C18/HIBADH/DHDH/NDUFB7/HSD17B14/PLOD1/DHTKD1/GSTM2/ERO1A/GPX1/ALOX15/GMPR"
"GO:0016740","GO:0016740","transferase activity",14,"14/200","HS3ST1/CCND3/CMPK2/STK10/PYGM/LFNG/TRAF5/PAPSS2/GSTM2/TRIM31/SUGCT/MAPK15/GAL3ST2/CDK5R1"
"GO:0016787","GO:0016787","hydrolase activity",23,"23/200","GDA/DNPH1/CGNL1/RGS11/PLD1/PLA2G10/ATP5F1D/TMPRSS11E/ACHE/MMP1/ASPRV1/APOBEC3G/CHD3/SMPDL3A/SLFN11/ALOX15/ATP13A2/FBP1/DYNLT3/MMP13/PNPLA2/TINAG/MYO1D"
"GO:0016829","GO:0016829","lyase activity",2,"2/200","CTH/GAD1"
"GO:0016853","GO:0016853","isomerase activity",2,"2/200","ERO1A/ALOX15"
"GO:0016874","GO:0016874","ligase activity",1,"1/200","ATP5F1D"
"GO:0032451","GO:0032451","demethylase activity",0,"0/200",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/200",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/200",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",13,"13/200","CCND3/STK10/TMPRSS11E/PLOD1/TRAF5/TRIM31/ERO1A/MMP1/ASPRV1/MAPK15/MMP13/TINAG/CDK5R1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/200","CHD3"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",1,"1/200","SLFN11"
"GO:0003735","GO:0003735","structural constituent of ribosome",0,"0/200",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/200",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/200",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",2,"2/200","MATN2/COL23A1"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/200",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/200",""
