"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","49/972","395/18866",1.10536979526075e-08,3.14437892328189e-05,2.69452308250817e-05,"COL11A1/ITGAX/NID1/MMP1/SCX/SERPINH1/NPNT/COL6A3/LOXL1/FURIN/AGT/FGF2/LAMA4/JAM2/FOXF2/ITGB6/MYO1E/MMP15/EFEMP2/WT1/COL27A1/DCN/BSG/ITGAM/FBN1/SPINT1/ITGB5/ICAM1/SH3PXD2B/MMP14/ITGA2/HAS3/MMP11/FMOD/COL3A1/MFAP4/MMP10/VCAN/VWF/FSCN1/RGCC/ITGA9/TPSAB1/SPINT2/CD47/BCL3/CDH1/TIMP2/PRSS2",49
"GO:0043062","GO:0043062","extracellular structure organization","49/972","396/18866",1.20037370615839e-08,3.14437892328189e-05,2.69452308250817e-05,"COL11A1/ITGAX/NID1/MMP1/SCX/SERPINH1/NPNT/COL6A3/LOXL1/FURIN/AGT/FGF2/LAMA4/JAM2/FOXF2/ITGB6/MYO1E/MMP15/EFEMP2/WT1/COL27A1/DCN/BSG/ITGAM/FBN1/SPINT1/ITGB5/ICAM1/SH3PXD2B/MMP14/ITGA2/HAS3/MMP11/FMOD/COL3A1/MFAP4/MMP10/VCAN/VWF/FSCN1/RGCC/ITGA9/TPSAB1/SPINT2/CD47/BCL3/CDH1/TIMP2/PRSS2",49
"GO:0030595","GO:0030595","leukocyte chemotaxis","34/972","232/18866",3.57842304916735e-08,6.24911945152925e-05,5.35507870340307e-05,"VEGFA/CCL22/DYSF/CCL17/HRH1/TMEM102/CCL13/CCL18/PGF/CXCR4/CCL24/CCL19/VEGFD/CXCR3/CXADR/S100A9/IL34/MPP1/CXCL16/MDK/CYP7B1/SYK/S100A12/CMKLR1/CCR7/IL16/CCL20/CCL4/STAP1/DAPK2/S1PR1/CORO1A/ITGA9/PIK3CD",34
"GO:0045785","GO:0045785","positive regulation of cell adhesion","49/972","428/18866",1.40566699191731e-07,0.000149452017544309,0.000128070414166319,"VEGFA/RIN2/CHRD/DYSF/ARL2/PAK1/NID1/NFAT5/PTPRU/TNFRSF18/TMEM102/RPS3/IQGAP1/NPNT/CD209/CCL19/PLAUR/ZAP70/SIRPA/RRAS/SELP/RASGRP1/CIB1/SOX2/IL7R/BMP7/MDK/IL27RA/RASAL3/TPM1/SASH3/IL6ST/SYK/HLA-G/ICAM1/EDIL3/ITGA2/CCR7/LILRB4/CD5/NR4A3/CORO1A/OLFM4/CD47/RAC3/FYN/PRSS2/FUT3/IL2RA",49
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation","9/972","19/18866",1.4263410721923e-07,0.000149452017544309,0.000128070414166319,"GSTP1/AGT/TYROBP/CD177/EGFR/CLEC7A/ITGAM/SYK/MAPT",9
"GO:0060326","GO:0060326","cell chemotaxis","39/972","311/18866",2.61846819592911e-07,0.00022863591464121,0.000195925734309432,"VEGFA/CCL22/DYSF/GSTP1/CCL17/HRH1/TMEM102/CCL13/CCL18/PGF/CXCR4/CCL24/HSPB1/CCL19/VEGFD/LPAR1/FGF2/CXCR3/CXADR/S100A9/IL34/MPP1/CXCL16/MDK/CYP7B1/SYK/S100A12/CMKLR1/CCR7/IL16/CCL20/CCL4/STAP1/DAPK2/S1PR1/ARHGEF16/CORO1A/ITGA9/PIK3CD",39
"GO:0097529","GO:0097529","myeloid leukocyte migration","31/972","222/18866",4.25478037123021e-07,0.000318439919498216,0.000272881778696193,"VEGFA/CCL22/DYSF/CCL17/HRH1/CCL13/CCL18/PGF/CCL24/CCL19/VEGFD/SIRPA/CXADR/CD177/S100A9/IL34/MPP1/MDK/SYK/S100A12/CMKLR1/MMP14/CD99/CCR7/CCL20/CCL4/STAP1/DAPK2/ITGA9/PIK3CD/CD47",31
"GO:0071621","GO:0071621","granulocyte chemotaxis","22/972","127/18866",5.16180576574316e-07,0.000338033755084105,0.000289672389353876,"CCL22/DYSF/CCL17/HRH1/CCL13/CCL18/CCL24/CCL19/CXADR/S100A9/IL34/MPP1/MDK/SYK/S100A12/CMKLR1/CCR7/CCL20/CCL4/DAPK2/ITGA9/PIK3CD",22
"GO:0038083","GO:0038083","peptidyl-tyrosine autophosphorylation","12/972","41/18866",6.44561509591802e-07,0.000343172963686513,0.000294076348464045,"VEGFA/STYK1/AATK/IQGAP1/ZAP70/IGF1R/EGFR/SYK/TNK2/ACE/FYN/TNK1",12
"GO:0032928","GO:0032928","regulation of superoxide anion generation","9/972","22/18866",6.67407496165374e-07,0.000343172963686513,0.000294076348464045,"GSTP1/AGT/TYROBP/CD177/EGFR/CLEC7A/ITGAM/SYK/MAPT",9
"GO:0097530","GO:0097530","granulocyte migration","24/972","150/18866",7.20538767045551e-07,0.000343172963686513,0.000294076348464045,"CCL22/DYSF/CCL17/HRH1/CCL13/CCL18/CCL24/CCL19/CXADR/CD177/S100A9/IL34/MPP1/MDK/SYK/S100A12/CMKLR1/CD99/CCR7/CCL20/CCL4/DAPK2/ITGA9/PIK3CD",24
"GO:1990266","GO:1990266","neutrophil migration","21/972","122/18866",1.03825635039855e-06,0.000453285418311499,0.000388435380214895,"CCL22/DYSF/CCL17/CCL13/CCL18/CCL24/CCL19/CXADR/CD177/S100A9/MPP1/MDK/SYK/S100A12/CD99/CCR7/CCL20/CCL4/DAPK2/ITGA9/PIK3CD",21
"GO:0030593","GO:0030593","neutrophil chemotaxis","19/972","103/18866",1.13855205796408e-06,0.000458836479359525,0.000393192269410268,"CCL22/DYSF/CCL17/CCL13/CCL18/CCL24/CCL19/CXADR/S100A9/MPP1/MDK/SYK/S100A12/CCR7/CCL20/CCL4/DAPK2/ITGA9/PIK3CD",19
"GO:0072676","GO:0072676","lymphocyte migration","20/972","117/18866",2.08727380810194e-06,0.000781087677189006,0.000669340059515398,"CCL22/CCL17/TMEM102/CCL13/CCL18/CCL24/CCL19/ZAP70/CXCR3/JAM2/CXCL16/IL27RA/CYP7B1/ICAM1/CD99/CCR7/CCL20/CCL4/S1PR1/PIK3CD",20
"GO:0043406","GO:0043406","positive regulation of MAP kinase activity","33/972","264/18866",2.31026335596319e-06,0.00080689798145941,0.000691457769346175,"VEGFA/PDE5A/PAK1/ROBO1/TGFA/RPS3/IQGAP1/GADD45B/CXCR4/HRAS/MUC20/CCL19/LPAR1/MAGED1/TGFB3/RASGRP1/AGT/FGF2/LPAR3/INAVA/FZD5/IL34/EGFR/S1PR2/FPR1/SYK/S100A12/ERN2/ZEB2/F2R/MAP3K6/FZD4/DUSP9",33
"GO:0032963","GO:0032963","collagen metabolic process","19/972","113/18866",4.80182309167511e-06,0.00150877074418774,0.00129291592890582,"P3H3/P3H2/MRC2/MMP1/SCX/SERPINH1/NPPC/FURIN/TGFB3/MMP15/MMP14/ITGA2/MMP11/MFAP4/MMP10/LARP6/RGCC/PRSS2/F2R",19
