"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",40,"40/1074","P2RX1/BMPR1B/PDE5A/SPIN4/ABHD2/PABPC1L/ASF1B/PAEP/CYP26B1/OVOL1/AVPR1A/SERPINA5/NPPC/TTK/BNC1/MFGE8/CFTR/JAG2/CIB1/DPCD/CXADR/JAM2/PLA2G10/HSPA2/MDK/AMH/WT1/TMEM119/P2RY1/HOXD10/ACE/NPR2/FST/NANOS1/RACGAP1/RPL39L/SPAG4/YBX3/SLCO4C1/FOLR2"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/1074",""
"GO:0022414","GO:0022414","reproductive process",82,"82/1074","VEGFA/P2RX1/BMPR1B/PDE5A/SPIN4/ANTXR2/ABHD2/PABPC1L/ASF1B/RETN/SCX/TPPP3/PGF/PAEP/CYP26B1/RPL29/FKBP4/OVOL1/AVPR1A/SERPINA5/NPPC/TTK/BNC1/MFGE8/CFTR/CD38/TGFB3/JAG2/CIB1/RARG/AGT/DPCD/CXADR/JAM2/FZD5/FOXF2/PLA2G10/HNF4A/BMP7/ST14/HSPA2/MDK/AMH/EGFR/CYP7B1/MAFF/WT1/TMEM119/DCN/BSG/JUNB/MDFI/P2RY1/SPINT1/TUBG2/GRHL2/ICAM1/SH3PXD2B/MMP14/ITGA2/CLIC5/HOXD10/ACE/NPR2/PCNA/FST/SLC38A2/GJB2/NANOS1/NDP/BASP1/RACGAP1/RPL39L/IRF2BPL/SPAG4/YBX3/SPINT2/SLCO4C1/FOLR2/PLK4/FZD4/WNT2"
"GO:0032504","GO:0032504","multicellular organism reproduction",47,"47/1074","P2RX1/BMPR1B/PDE5A/SPIN4/ABHD2/PABPC1L/ASF1B/RETN/TPPP3/PAEP/CYP26B1/OVOL1/AVPR1A/SERPINA5/NPPC/TTK/BNC1/CFTR/TGFB3/JAG2/CIB1/DPCD/CXADR/JAM2/HSPA2/MDK/AMH/EGFR/WT1/TMEM119/BSG/JUNB/P2RY1/SH3PXD2B/ACE/NPR2/PCNA/FST/GJB2/NANOS1/RACGAP1/RPL39L/SPAG4/YBX3/SLCO4C1/FOLR2/FZD4"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/1074",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/1074",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/1074",""
"GO:0001776","GO:0001776","leukocyte homeostasis",6,"6/1074","TSC22D3/TCIRG1/CORO1A/PIK3CD/DOCK10/IL2RA"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",2,"2/1074","IL27RA/TNFSF13"
"GO:0002252","GO:0002252","immune effector process",103,"103/1074","P2RX1/CTSZ/IGLV3-27/DYSF/APOBEC3G/PAK1/ITGAX/SNAP25/GSTP1/RETN/ZDHHC1/IQGAP1/TCIRG1/HBB/CCL19/RAB37/MX2/ABR/HERC5/PLAUR/IGLL5/SIRPA/C8G/AOC1/TGFB3/IFI6/RASGRP1/GNS/RAP2B/SEMA7A/TYROBP/IGLV3-21/IGLV2-23/BTK/TNFRSF4/HLA-F/CD177/FZD5/S100A9/IL7R/PLA2G10/SLA2/IL20RB/LYZ/IRAK3/SVIP/TCIM/MDK/APRT/IL27RA/IGLC3/IGHV3-64/SPON2/SASH3/RSAD2/ITGAM/FPR1/SYK/S100A12/HLA-G/SIGLEC14/ICAM1/POU2AF1/SLC2A3/SLFN11/CLEC12A/BTN3A2/ACE/IGLV3-25/IGLC7/MFAP4/STAP1/RAB27A/CYBB/FUCA1/DPP7/TNFSF13/IRF4/NR4A3/CORO1A/RGCC/OLFM4/PIK3CD/LAIR1/SLCO4C1/CD47/GM2A/RELB/BCL3/ATP11A/TIMP2/DOCK10/C1R/IGLV3-19/PRSS3/FYN/PRSS2/SERPING1/IL2RA/MX1/LAG3/ATP8A1/NPC2"
"GO:0002253","GO:0002253","activation of immune response",44,"44/1074","HLA-DQA1/IGLV3-27/PAK1/MUC6/RPS3/CD209/HRAS/MUC20/PAG1/ZAP70/IGLL5/NFATC2/C8G/CD38/IGLV3-21/IGLV2-23/BTK/THEMIS2/SLA2/IGLC3/IGHV3-64/FPR1/SYK/PRKCB/CMKLR1/CCR7/LILRB4/BTN3A2/IGLV3-25/IGLC7/MFAP4/STAP1/NR4A3/RGCC/PIK3CD/CD47/RELB/MUCL1/CACNB3/C1R/IGLV3-19/FYN/SERPING1/MUC3A"
"GO:0002262","GO:0002262","myeloid cell homeostasis",9,"9/1074","VEGFA/NCAPG2/HOXB6/TGFBR3/KLF13/ADGRF5/MB/PIK3CD/HOXA5"
"GO:0002339","GO:0002339","B cell selection",1,"1/1074","BTK"
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/1074",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",29,"29/1074","IGLV3-27/IGKV1D-8/TCIRG1/IGLV5-37/TGFB3/IGLV3-16/IGLV2-18/SEMA7A/IGLV3-21/IGLV2-23/BTK/TNFRSF4/HLA-F/INAVA/FZD5/IL7R/IGKV1-6/IRAK3/IL27RA/IGLV3-10/IGLV1-36/SPON2/SASH3/RSAD2/HLA-G/IGLV3-25/TNFSF13/NR4A3/IGLV3-19"
"GO:0002507","GO:0002507","tolerance induction",3,"3/1074","IRAK3/HLA-G/IL2RA"
"GO:0002520","GO:0002520","immune system development",74,"74/1074","VEGFA/NCAPG2/LRP5/TNFRSF18/MELK/TCIRG1/DLL4/CYP26B1/TPD52/CCL19/ANLN/ZAP70/TWSG1/FLT4/NFATC2/TMEM176A/RRAS/RASGRP1/JAG2/CIB1/RARG/TYROBP/BTK/FAXDC2/FZD5/IL7R/TGFBR3/NME1/CSF3/IL34/MYO1E/THPO/IRAK3/TCIM/SIX1/MDK/IL27RA/LY6D/DHTKD1/HERC6/SASH3/JUNB/RSAD2/KLF13/FBN1/SYK/ADGRF5/PRKCB/HLA-G/PIM1/MMP14/FOXE1/POU2AF1/CCR7/MB/GPR68/CD2/LILRB4/ACE/LMO4/FST/RRS1/TNFSF13/IRF4/NR4A3/PIK3CD/RELB/BCL3/DOCK10/IL2RA/HOXA5/HOXA3/CD248/LAG3"
