"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/1074",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",7,"7/1074","FBXL7/RNF19A/KLHL13/FBXO17/UBE2L6/DERL3/FBXO27"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",0,"0/1074",""
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/1074",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",1,"1/1074","PCNA"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/1074",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/1074","HSPB1"
"GO:0005737","GO:0005737","cytoplasm",678,"678/1074","IFI27L2/TFCP2L1/P3H3/HIF3A/ARVCF/AKT3/MYO5C/VEGFA/USP2/ATP1B3/FAT1/MAOB/RPS5/RIN2/GNG8/TSPAN5/TRIO/P2RX1/GALK1/P3H2/HIBADH/AURKB/CYC1/CTSZ/BRSK2/HIP1R/TSC22D3/BICDL2/SPAG5/ACACB/TRAF4/NT5C2/ICA1/ELOVL7/WNK4/STAT5A/ASL/MSLN/ELMO3/COL11A1/HLA-DQA1/GBP6/DMPK/SSH3/RIPK4/KLC3/TWIST2/FHL3/CES3/RILP/PJA2/FAM131B/MZT2B/MMRN1/KCNK1/PDE5A/DYSF/RAB11FIP5/SPIN4/GLT1D1/MYRIP/MID1IP1/WNK2/FABP6/KIF2C/LDHA/ARL2/LY96/CLDN1/ANTXR2/GMPR/APOBEC3G/ENTPD7/CAPN5/PAK1/PCSK6/ITGAX/ABHD2/TP53I3/APLN/SNAP25/SLC27A5/GSTP1/MAT2A/PABPC1L/SHMT1/TFPI/LRP5/ASRGL1/FLRT1/GLIS2/NFAT5/RHOJ/GPRASP1/RETN/HRH1/MUC6/ZDHHC1/ZYX/TMEM102/TPPP3/ARHGAP30/AATK/APH1B/ARHGAP24/ROBO1/ADRA1B/CLDN3/MELK/CKB/HEYL/GABBR1/TGFA/RPS3/NCAM1/SERPINH1/IQGAP1/MCTP2/ARRDC4/GPD2/TCIRG1/PITPNM1/PAIP2B/GADD45B/RASSF7/RIMS3/CXCR4/KRT15/NPNT/VAMP5/RAB25/PLA2G4F/OXCT1/TMTC2/CD209/EPHB6/LGALS7B/HRAS/HSPB1/DPM3/MUC20/CASP10/LAP3/CYP26B1/RPL29/HBB/TPD52/FKBP4/BCAT1/NDRG4/RAB37/DMD/SORCS2/PSPH/FBXL7/ACSM5/GPC6/TENT5C/MX2/ANLN/ABR/HERC5/PLAUR/KRT14/KLK12/KRT16/MYO7B/AVPR1A/VEGFD/AQP3/GABRB3/NAV1/ZAP70/SERPINA5/FAM83G/RALGAPA2/TUBB2A/NPPC/COL6A3/PBXIP1/TINAG/CHODL/PPFIBP1/IL17RD/BCAS4/SIRPA/ELOVL2/SULT1C4/CD2AP/LPAR1/RPS4X/TFDP1/CEP170B/PALM/LOXL1/TPPP/TMOD2/RPL21/MAP7D1/TTK/DNPH1/FLT4/RNF19A/TPP1/BNC1/RUNDC3A/KRT23/NFATC2/STX1A/PER1/MAGED1/B4GAT1/CPED1/TGFB1I1/FURIN/MFGE8/FANCI/RHCG/CYP11A1/CFTR/FUT2/AOC1/KLHL13/CD38/TUBA3D/PNMA1/GALNT12/TGFB3/CREB3L3/PARD6A/IFI6/MPC1/STEAP3/CYTIP/SELP/TNNT1/NXN/ARHGEF37/RASGRP1/USP18/BRI3BP/CIB1/OLFM2/RARG/CES2/RNASEH2A/SPRR2G/GNS/LRRC75A/SOX2/RAP2B/AGT/ASTN1/FGF2/LRRC23/PTPN14/TYROBP/CXCR3/BTK/SYT7/PDE2A/FAXDC2/SMIM22/RNF183/HSPB2/RNF150/TRERF1/RPLP0P6/KRTDAP/CERKL/ZDHHC9/LPAR3/MCC/ISLR/GAD1/SNRPN/CXADR/HLA-F/BTG3/INAVA/CD177/SORBS2/PDLIM3/CAMK2N2/FZD5/SGPP2/ARHGAP25/MEX3A/S100A9/TUBB2B/LRRC1/CAVIN2/PITX1/NUCB2/IL7R/ATOH8/CENPN/BTBD3/JSRP1/TPM4/PLA2G10/TGFBR3/POMGNT2/NME1/ASPA/ENO3/KCNIP3/THEMIS2/ERG/MYO1E/MPP1/SLA2/HNF4A/LYZ/CERS4/PNCK/PCBP4/COBL/PODN/IRAK3/HMGN5/AKR1B10/SVIP/S100A6/RPL12/ANXA5/STX19/TCIM/ITIH3/FIBIN/SEC24C/HSPB6/GLB1L2/CCDC3/GDPD3/TSC22D1/MEDAG/PRDX5/SIX1/HSPA2/NDUFS8/MDK/EGFR/APRT/NIPSNAP2/MSRB3/IL4I1/TUBB4A/GPT/MAFF/BDKRB2/RASAL3/WT1/COL27A1/TLE1/DHTKD1/DST/STX11/DCN/MICAL1/HK2/HERC6/FMO1/MFSD12/TPM1/GMDS/BSG/CERS6/CLEC7A/KIF21B/SYNPO2/KRT13/TMEM9/SASH3/CHAC1/HS3ST2/MDFI/GPSM2/P2RY1/RSAD2/TPST1/CMPK2/ITGAM/S1PR2/GRP/IL15RA/CTNND2/SPTSSA/FBN1/FPR1/NCF1C/DYNLT3/SYK/CHD3/SLN/SOX7/CLIC3/FAM234B/MTCL1/APLP2/ADGRF5/ITGB5/NES/DEPDC1B/TUBG2/PRKCB/RIMKLB/DPYD/LBH/PPIF/RASD1/S100A12/HMGA1/SPRR2D/IER3/HLA-G/PIM1/SIGLEC14/RPS6/OPLAH/CNTNAP2/CASZ1/RGS1/SH3PXD2B/SGK2/MMP14/GRB10/SELENOW/ABHD11/DOK5/GOLT1A/PAX2/WDR62/MOCOS/CD99/CACNG4/CAPN13/ITGA2/TYMS/NAGS/FBXO41/RBMS3/CASTOR3/DCDC2/TNFSF12/PACSIN1/DLGAP5/CCR7/TNK2/GUCY1B1/MXD1/LZTS1/SLC2A3/HAS3/MB/ATP5F1D/SERPIND1/MMP11/ADH1B/DAPK1/GPX1/RND1/KIFC2/SLFN11/DHCR7/SPTBN2/PPP1R13L/CKM/FCGRT/CTSF/TNFAIP8L3/CABCOCO1/ALDH6A1/CLIC5/HPCA/HOXD10/IL16/CLEC12A/HOPX/NAT1/CHST11/ST6GALNAC5/KRT20/FMOD/TENM4/EPS8/RTKN/CENPA/FRAT2/ACE/NPL/SLC25A42/IDS/KIAA0513/PJA1/CHCHD6/BTG2/GNE/AP1S3/ALDH4A1/BAG3/CENPV/SLC4A7/MOGAT2/COL3A1/WEE1/CCDC68/LDLRAD4/STAP1/CA4/MVD/PKIG/TUBA1C/RAB27A/VCAN/SFTPB/DAPK2/CRABP1/DLG3/REEP2/EFR3B/FBXO17/MORN4/CDC42BPG/MTRNR2L12/SYTL1/FST/SPIB/SYPL2/HS6ST2/ABCA1/RASEF/S1PR1/GRHL1/CYBB/SLC38A2/GJB2/TMEM100/LARP6/TRIM16L/VWF/PHLDA3/PRELID3B/FUCA1/LPCAT4/APOLD1/RRS1/RCC2/GIMAP7/CACNA1D/ARHGEF16/RAB5IF/BIRC5/HBA2/S100A16/NANOS1/CLIC1/F13A1/DBNDD1/BASP1/DPP7/FSCN1/TNFSF13/RACGAP1/PHETA2/UQCC3/IRF4/GLYATL2/ABLIM2/TKT/RPL39L/NOSTRIN/UBE2L6/BSPRY/NR4A3/MISP/DERL3/CORO1A/NME3/SPAG4/NR1D1/YBX3/RGCC/OLFM4/FNDC4/MRPS12/CHN1/CRYZ/PIK3CD/ALDH1A2/MANEAL/SPINT2/LAIR1/SLC25A10/CHST6/CTSW/SLCO4C1/MVB12B/CDCA5/IGFBP3/CD47/GM2A/RELB/PLIN4/CMAHP/TAP1/KLK1/NBEA/EPHX3/MUCL1/RASGRP2/BCL3/PLOD1/GAL/ATP11A/RTN4R/RBM38/VSTM2L/RAC3/CDH1/ZEB2/NSG1/CXXC4/CKAP2L/MAST4/SYT11/TMEM130/TIMP2/CACNB3/TOR4A/ARHGAP23/DOCK10/GLUL/PRSS3/FYN/CKMT1A/WWC2/KRT7/RPL8/PRSS2/F2R/MAPT/PLXDC1/FBXO27/BDH1/PBLD/ENDOD1/SESN3/SERPING1/TNKS1BP1/FUT3/PKIA/MUC3A/ATP6V1C2/TINAGL1/PLK4/SVEP1/CNKSR1/ECHDC3/TRAM1L1/TNK1/FZD4/HOXA13/ZBTB4/CD248/WNT2/SPHK1/MX1/AFAP1L1/DUSP9/GMIP/GNG7/BLVRB/GINS1/RFLNA/ATP8A1/NEK6/NPC2"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/1074",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/1074",""
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex",0,"0/1074",""
"GO:0005953","GO:0005953","CAAX-protein geranylgeranyltransferase complex",0,"0/1074",""
"GO:0005954","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",0,"0/1074",""
"GO:0005955","GO:0005955","calcineurin complex",0,"0/1074",""
"GO:0005956","GO:0005956","protein kinase CK2 complex",0,"0/1074",""
"GO:0005963","GO:0005963","magnesium-dependent protein serine/threonine phosphatase complex",0,"0/1074",""
"GO:0008043","GO:0008043","intracellular ferritin complex",0,"0/1074",""
"GO:0009318","GO:0009318","exodeoxyribonuclease VII complex",0,"0/1074",""
"GO:0009327","GO:0009327","NAD(P)+ transhydrogenase complex (AB-specific)",0,"0/1074",""
"GO:0009330","GO:0009330","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",0,"0/1074",""
"GO:0009337","GO:0009337","sulfite reductase complex (NADPH)",0,"0/1074",""
"GO:0009338","GO:0009338","exodeoxyribonuclease V complex",0,"0/1074",""
"GO:0009350","GO:0009350","ethanolamine ammonia-lyase complex",0,"0/1074",""
"GO:0009356","GO:0009356","aminodeoxychorismate synthase complex",0,"0/1074",""
"GO:0009366","GO:0009366","enterobactin synthetase complex",0,"0/1074",""
"GO:0009368","GO:0009368","endopeptidase Clp complex",0,"0/1074",""
"GO:0009375","GO:0009375","ferredoxin hydrogenase complex",0,"0/1074",""
"GO:0009579","GO:0009579","thylakoid",0,"0/1074",""
"GO:0010170","GO:0010170","glucose-1-phosphate adenylyltransferase complex",0,"0/1074",""
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)",0,"0/1074",""
"GO:0016234","GO:0016234","inclusion body",3,"3/1074","GPX1/BAG3/MAPT"
"GO:0016610","GO:0016610","nitrogenase complex",0,"0/1074",""
"GO:0017101","GO:0017101","aminoacyl-tRNA synthetase multienzyme complex",0,"0/1074",""
"GO:0017122","GO:0017122","protein N-acetylglucosaminyltransferase complex",0,"0/1074",""
"GO:0030008","GO:0030008","TRAPP complex",0,"0/1074",""
"GO:0030014","GO:0030014","CCR4-NOT complex",1,"1/1074","TNKS1BP1"
"GO:0030076","GO:0030076","light-harvesting complex",0,"0/1074",""
"GO:0030289","GO:0030289","protein phosphatase 4 complex",0,"0/1074",""
"GO:0030880","GO:0030880","RNA polymerase complex",0,"0/1074",""
"GO:0030956","GO:0030956","glutamyl-tRNA(Gln) amidotransferase complex",0,"0/1074",""
"GO:0031026","GO:0031026","glutamate synthase complex",0,"0/1074",""
"GO:0031074","GO:0031074","nucleocytoplasmic transport complex",0,"0/1074",""
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane",14,"14/1074","GNG8/STYK1/SNAP25/IQGAP1/ZAP70/S100A6/GNA15/SYK/RGS1/TNK2/RACGAP1/FYN/TNK1/GNG7"
"GO:0031248","GO:0031248","protein acetyltransferase complex",0,"0/1074",""
"GO:0031371","GO:0031371","ubiquitin conjugating enzyme complex",0,"0/1074",""
"GO:0031421","GO:0031421","invertasome",0,"0/1074",""
"GO:0031431","GO:0031431","Dbf4-dependent protein kinase complex",0,"0/1074",""
"GO:0031501","GO:0031501","mannosyltransferase complex",1,"1/1074","DPM3"
"GO:0031588","GO:0031588","nucleotide-activated protein kinase complex",0,"0/1074",""
"GO:0032045","GO:0032045","guanyl-nucleotide exchange factor complex",0,"0/1074",""
