"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1074",""
"GO:0009975","GO:0009975","cyclase activity",5,"5/1074","ADCY9/GUCY2C/ADCY6/GUCY1B1/NPR2"
"GO:0016491","GO:0016491","oxidoreductase activity",47,"47/1074","P3H3/MAOB/P3H2/HIBADH/CYC1/LDHA/GMPR/TP53I3/SLC27A5/GSTP1/GPD2/CYP26B1/HBB/LOXL1/CYP11A1/AOC1/STEAP3/NXN/FAXDC2/ASPDH/AKR1B10/PRDX5/NDUFS8/MSRB3/IL4I1/CYP7B1/DHTKD1/MICAL1/FMO1/NCF1C/DPYD/ADH1B/GPX1/DHCR7/ALDH6A1/ALDH4A1/CYBB/HBA2/CRYZ/ALDH1A2/PLOD1/ALDH3B2/CYP4F3/BDH1/SESN3/ASPHD1/BLVRB"
"GO:0016740","GO:0016740","transferase activity",123,"123/1074","AKT3/TENT5A/TRIO/GALK1/AURKB/BRSK2/ELOVL7/STYK1/WNK4/DMPK/RIPK4/UGT2B15/PJA2/BMPR1B/GLT1D1/WNK2/PAK1/GSTP1/MAT2A/SHMT1/ZDHHC1/AATK/MELK/CKB/OXCT1/TMTC2/EPHB6/DPM3/BCAT1/ACSM5/TENT5C/HERC5/ZAP70/ELOVL2/SULT1C4/TTK/PTK7/FLT4/RNF19A/GUCY2C/RNF43/B4GAT1/IGF1R/FUT2/KLHL13/CD38/GALNT12/BTK/RNF183/RNF150/CERKL/ZDHHC9/SOSTDC1/TGFBR3/POMGNT2/NME1/MPP1/LTBP4/UGT8/CERS4/PNCK/IRAK3/EGFR/APRT/GPT/HK2/HERC6/CERS6/HS3ST2/TPST1/CMPK2/SPTSSA/SYK/PRKCB/PIM1/SGK2/MOCOS/TYMS/NAGS/TNK2/HAS3/DAPK1/CKM/GGT6/NAT1/CHST11/ST6GALNAC5/PJA1/GNE/NPR2/MOGAT2/WEE1/DAPK2/FBXO17/ERN2/CDC42BPG/HS6ST2/METTL27/LPCAT4/DNMT1/FBLL1/F13A1/GLYATL2/TKT/UBE2L6/IRF2BPL/BSPRY/NME3/PARP12/PIK3CD/UGT2B7/CHST6/MAST4/GLUL/FYN/CKMT1A/FBXO27/FUT3/MAP3K6/PLK4/TNK1/SPHK1/NEK6"
"GO:0016787","GO:0016787","hydrolase activity",137,"137/1074","MYO5C/RASL11A/USP2/GNG8/CTSZ/RGS11/NT5C2/GBP6/SSH3/KLC3/CES3/PDE5A/KIF2C/ARL2/LIPH/APOBEC3G/ENTPD7/CAPN5/PCSK6/ABHD2/ASRGL1/PTPRU/RHOJ/MMP1/PIP/APH1B/YDJC/CPM/PTPRF/TRABD2B/RPS3/RAB25/PLA2G4F/HRAS/CASP10/LAP3/RAB37/PSPH/MX2/KLK12/MYO7B/TUBB2A/TINAG/TPPP/XPNPEP2/DNPH1/TPP1/FURIN/CFTR/CD38/TUBA3D/ASPRV1/RRAS/USP18/CES2/RNASEH2A/GNS/RAP2B/PTPN14/PDE2A/CGNL1/ENPP5/SGPP2/TUBB2B/RRAD/PLA2G10/NME1/ASPA/CPVL/MYO1E/LYZ/GLB1L2/ST14/GNA15/GDPD3/MMP15/HSPA2/TUBB4A/BDKRB2/KIF21B/DYNLT3/CHD3/TUBG2/RASD1/CPD/OPLAH/RGS1/MMP14/ABHD11/CAPN13/PTPRG/ATP5F1D/MMP11/SMPDL3A/RND1/KIFC2/SLFN11/CTSF/GGT6/ECEL1/ADAM33/ACE/SLC25A42/IDS/GNE/MMP10/TUBA1C/RAB27A/PCNA/ERN2/DIRAS2/ABCA1/RASEF/FUCA1/GIMAP7/MCM6/DPP7/RFC4/TPSAB1/MANEAL/CTSW/GM2A/TAP1/KLK1/EPHX3/RAC3/CHRM1/TOR4A/C1R/PRSS3/PRSS2/ENDOD1/SMPDL3B/MX1/DUSP9/GNG7/ATP8A1"
"GO:0016829","GO:0016829","lyase activity",19,"19/1074","ASL/SHMT1/RPS3/ADCY9/GUCY2C/CD38/GAD1/ENO3/ADCY6/GMDS/CHAC1/MOCOS/GUCY1B1/NPL/NPR2/CENPV/CA4/MVD/ECHDC3"
"GO:0016853","GO:0016853","isomerase activity",6,"6/1074","FKBP4/CFTR/FKBP11/PPIF/GNE/PBLD"
"GO:0016874","GO:0016874","ligase activity",6,"6/1074","ACACB/SLC27A5/ACSM5/RIMKLB/ATP5F1D/GLUL"
"GO:0032451","GO:0032451","demethylase activity",0,"0/1074",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",1,"1/1074","LYZ"
