"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/173",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/173",""
"GO:0016491","GO:0016491","oxidoreductase activity",9,"9/173","CRYZ/AOX1/NQO1/ALDH3B1/TBXAS1/ETFB/PIPOX/ALOX15/BDH2"
"GO:0016740","GO:0016740","transferase activity",14,"14/173","MOGAT2/FLT1/LFNG/UBE2S/CAMK1D/RNF39/IKBKE/PYGB/CKM/CDK5R1/RNF186/ZDHHC12/CDS1/STK17A"
"GO:0016787","GO:0016787","hydrolase activity",25,"25/173","PRSS3/PLD1/PHLPP1/APOBEC3C/HSPA7/ADAM23/KLK12/MME/CTSW/GAA/RAC3/MYO1D/PNPLA2/PPA1/ADAM9/BMP1/HSPA13/ABHD3/ATP13A2/PLCD3/ALOX15/ABCA3/PRSS12/PDP1/SGPP2"
"GO:0016829","GO:0016829","lyase activity",0,"0/173",""
"GO:0016853","GO:0016853","isomerase activity",2,"2/173","TBXAS1/ALOX15"
"GO:0016874","GO:0016874","ligase activity",1,"1/173","SLC27A2"
"GO:0032451","GO:0032451","demethylase activity",0,"0/173",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/173",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/173",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",19,"19/173","PRSS3/PHLPP1/FLT1/UBE2S/CAMK1D/RNF39/IKBKE/ADAM23/KLK12/MME/CTSW/CDK5R1/RNF186/ADAM9/BMP1/ZDHHC12/PRSS12/STK17A/PDP1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",0,"0/173",""
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",0,"0/173",""
"GO:0003735","GO:0003735","structural constituent of ribosome",1,"1/173","RPLP2"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/173",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",1,"1/173","EPB41L3"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",5,"5/173","MUC3A/PODN/COL8A2/THBS2/ABI3BP"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/173",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/173",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/173",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/173",""
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/173",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/173",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/173",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/173",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/173",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/173",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/173",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/173",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/173",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/173",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/173",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/173",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/173",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/173",""
"GO:0005319","GO:0005319","lipid transporter activity",3,"3/173","SLC27A2/ABCA3/FABP1"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/173",""
"GO:0022857","GO:0022857","transmembrane transporter activity",12,"12/173","TRPV6/S100A6/SLC12A8/SLC27A2/P2RX7/KCNIP3/SLC2A12/KCNK3/SLC20A2/ATP2B2/ATP13A2/ABCA3"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/173",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/173",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/173",""
"GO:0000035","GO:0000035","acyl binding",0,"0/173",""
"GO:0003682","GO:0003682","chromatin binding",7,"7/173","THRA/HOXD13/HNF4A/GMNN/NFIA/CHAF1B/FABP1"
"GO:0003823","GO:0003823","antigen binding",4,"4/173","IGHV6-1/IGLV7-43/IGLV1-51/CD40"
"GO:0005515","GO:0005515","protein binding",121,"121/173","CRYZ/PRRC2B/DLG4/SIT1/AOX1/MYOM3/GPR17/LRRC4C/MFSD6/TRPV6/CNTNAP2/NQO1/THRA/CD5/DNAJC12/ALDH3B1/PRSS3/GAB2/APBA2/PLD1/PHLPP1/GMIP/EFNA2/FLT1/MEDAG/UBE2S/CAMK1D/PSORS1C2/APOBEC3C/POU3F3/S100A6/RNF39/TEAD4/SCX/IKBKE/SLC12A8/CCR2/HPCA/SLPI/SNAI1/ADGRB2/MAP7/VAV3/SORT1/NOTCH2/SPIRE1/IGHV6-1/SLC27A2/DNAJA4/LRP11/NR3C1/IL1R2/ETFB/EPB41L3/SEMA5B/LAT2/P2RX7/PYGB/CD40/HNF4A/TNNC2/FGL1/CKM/RABAC1/KCNIP3/DLX5/GSDME/HSPA7/GMNN/PERP/SMOC2/SDK1/FOXP1/ADAM23/DOK2/MME/SAA1/AFF1/NINJ2/KCNK3/THBS2/MAGEA6/LINGO1/RAC3/CXCL11/EFNA1/MYO1D/CDK5R1/PXMP2/RPLP2/THBD/RNF186/RFLNA/FOXE1/ZNF552/PIPOX/MAP6D1/PRKAR1B/HEPACAM2/FNBP1/ADAM9/BMP1/NFIA/HSPA13/ATP2B2/SYN2/CIART/CHAF1B/ARHGAP27/ATP13A2/RACGAP1/ALOX15/VSNL1/TNFAIP8L2/FABP1/CDS1/BDH2/SAP30/DACT2/PDP1/PSCA"
"GO:0005549","GO:0005549","odorant binding",0,"0/173",""
"GO:0008144","GO:0008144","drug binding",1,"1/173","FABP1"
"GO:0008289","GO:0008289","lipid binding",13,"13/173","GAB2/PLD1/NR3C1/P2RX7/HNF4A/GSDME/MME/FNBP1/ATP13A2/RACGAP1/ALOX15/FABP1/FABP7"
"GO:0008430","GO:0008430","selenium binding",0,"0/173",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/173",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/173",""
"GO:0030246","GO:0030246","carbohydrate binding",2,"2/173","SIGLEC14/GAA"
"GO:0031409","GO:0031409","pigment binding",0,"0/173",""
"GO:0033218","GO:0033218","amide binding",2,"2/173","APBA2/MME"
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/173",""
"GO:0036094","GO:0036094","small molecule binding",25,"25/173","CRYZ/AOX1/FLT1/UBE2S/CAMK1D/SIGLEC14/IKBKE/SLC27A2/DNAJA4/P2RX7/PYGB/HNF4A/CKM/HSPA7/RAC3/MYO1D/PRKAR1B/HSPA13/ATP2B2/SYN2/ATP13A2/ABCA3/FABP1/BDH2/STK17A"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/173",""
"GO:0042562","GO:0042562","hormone binding",2,"2/173","THRA/NR3C1"
"GO:0043167","GO:0043167","ion binding",68,"68/173","CRYZ/AOX1/LENG9/TRPV6/THRA/PRSS3/GAB2/TBXAS1/PLD1/PHLPP1/GMIP/FLT1/LFNG/UBE2S/CAMK1D/APOBEC3C/S100A6/RNF39/SIGLEC14/IKBKE/HPCA/SNAI1/VAV3/NOTCH2/SLC27A2/DNAJA4/NR3C1/P2RX7/PYGB/HNF4A/TNNC2/CKM/KCNIP3/GSDME/HSPA7/SMOC2/FOXP1/MME/SAA1/NDNF/THBS2/RAC3/CXCL11/MYO1D/CDK5R1/THBD/RNF186/ZNF552/PPA1/PRKAR1B/ADAM9/BMP1/ABI3BP/HSPA13/ATP2B2/SYN2/ATP13A2/ZNF761/PLCD3/RACGAP1/ALOX15/ADGRL4/ABCA3/VSNL1/FABP1/SAP30/STK17A/PDP1"
"GO:0043176","GO:0043176","amine binding",0,"0/173",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/173",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/173",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/173",""
"GO:0044877","GO:0044877","protein-containing complex binding",12,"12/173","DLG4/MYOM3/PODN/THRA/UBE2S/SORT1/TNNC2/ADAM23/MYO1D/CDK5R1/ADAM9/ABI3BP"
"GO:0046790","GO:0046790","virion binding",0,"0/173",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/173",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/173",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/173",""
"GO:0048038","GO:0048038","quinone binding",0,"0/173",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/173",""
"GO:0050825","GO:0050825","ice binding",0,"0/173",""
"GO:0050840","GO:0050840","extracellular matrix binding",2,"2/173","SMOC2/ADAM9"
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/173",""
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/173",""
"GO:0051540","GO:0051540","metal cluster binding",1,"1/173","AOX1"
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/173",""
"GO:0072328","GO:0072328","alkene binding",0,"0/173",""
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/173","MME"
