"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","GO:0031589","cell-substrate adhesion","47/1015","359/18866",1.52655314653305e-08,8.16095312136567e-05,7.18283427895023e-05,"LGALS1/PTPRO/PHLDB2/FZD4/FOXF1/MEGF9/ACTN2/FBLN1/PARVB/ITGA6/CD3E/MELTF/ADAM9/TESK2/MACF1/ANTXR1/POSTN/LAMB3/S100A10/CD34/FERMT1/CASK/ITGA5/FMN1/AGR2/LIMCH1/LAMB1/RAC3/AXL/CTTN/TTYH1/MAP4K4/MMP12/COL8A1/SPOCK1/CIB1/EMP2/FLNA/TEK/FGB/EPHB1/VTN/ACER2/COL3A1/ADAMTS12/FERMT3/PDPN",47
"GO:0030198","GO:0030198","extracellular matrix organization","48/1015","395/18866",1.11794098497652e-07,0.000173564706628895,0.000152762368053077,"NFKB2/PHLDB2/FOXF1/FBLN1/ITGA6/MELTF/BMP1/COL18A1/MIA/TMPRSS6/ANTXR1/POSTN/LAMB3/FERMT1/ITGA5/SPINT2/TNXB/PRDX4/PLOD3/TGFB1/ICAM5/LAMB1/TNC/ITGAM/MMP12/CTSS/COL8A1/VWA1/SLC39A8/ETS1/FGB/B4GALT1/KLK2/KLK4/AGRN/VTN/FBN1/FOXC2/SMPD3/COL3A1/ADAMTS12/SPINK5/CAPN2/PDPN/CAPN1/WDR72/CD47/LAMA2",48
"GO:0043062","GO:0043062","extracellular structure organization","48/1015","396/18866",1.20772228951238e-07,0.000173564706628895,0.000152762368053077,"NFKB2/PHLDB2/FOXF1/FBLN1/ITGA6/MELTF/BMP1/COL18A1/MIA/TMPRSS6/ANTXR1/POSTN/LAMB3/FERMT1/ITGA5/SPINT2/TNXB/PRDX4/PLOD3/TGFB1/ICAM5/LAMB1/TNC/ITGAM/MMP12/CTSS/COL8A1/VWA1/SLC39A8/ETS1/FGB/B4GALT1/KLK2/KLK4/AGRN/VTN/FBN1/FOXC2/SMPD3/COL3A1/ADAMTS12/SPINK5/CAPN2/PDPN/CAPN1/WDR72/CD47/LAMA2",48
"GO:0061041","GO:0061041","regulation of wound healing","26/1015","151/18866",1.2986510035832e-07,0.000173564706628895,0.000152762368053077,"F3/APOH/PRKCD/PHLDB2/DUOX1/ANO6/THBD/SELP/CD34/C1QTNF1/SH2B3/CASK/VIL1/CLEC7A/PROC/SERPINC1/SYK/HMGCR/SLC12A2/FGB/EPPK1/F2R/VTN/HBEGF/FOXC2/PDPN",26
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","31/1015","217/18866",6.48457699778375e-07,0.000693330972603038,0.00061023282484407,"LGALS1/PTPRO/PHLDB2/FZD4/FOXF1/FBLN1/ITGA6/CD3E/MELTF/MACF1/POSTN/S100A10/FERMT1/CASK/ITGA5/FMN1/AGR2/LIMCH1/RAC3/MAP4K4/MMP12/COL8A1/SPOCK1/CIB1/EMP2/FLNA/TEK/FGB/VTN/ACER2/PDPN",31
"GO:0015849","GO:0015849","organic acid transport","42/1015","353/18866",1.21057412927569e-06,0.00107862154918464,0.000949344975063566,"ABCC4/ABCC1/SLC27A6/PLIN2/ERFE/SLC1A1/STRA6/NTRK2/CROT/SLC26A9/ACE2/MIF/SLC16A14/SLC1A5/SLC26A4/CES1/NR1H4/SLC6A6/NFKBIE/MFSD2A/GLS/SLC9A3R1/AQP9/SLC51B/PLA2G5/SLC6A12/BDKRB2/FABP4/SYK/SLC7A5/SLC16A6/ABCC3/GIPC1/SLC12A2/SLC16A11/SLC16A13/SLC16A2/OSR1/SLC25A18/TSPOAP1/SLCO2A1/PDPN",42
"GO:1903034","GO:1903034","regulation of response to wounding","27/1015","183/18866",1.7940754593103e-06,0.0010996341440258,0.00096783913674667,"F3/APOH/PRKCD/PHLDB2/DUOX1/ANO6/THBD/SELP/CD34/C1QTNF1/SH2B3/CASK/VIL1/CLEC7A/PROC/SERPINC1/SYK/HMGCR/SLC12A2/FGB/EPPK1/F2R/VTN/HBEGF/FOXC2/PDPN/RTN4R",27
"GO:0061448","GO:0061448","connective tissue development","34/1015","262/18866",1.80978461392391e-06,0.0010996341440258,0.00096783913674667,"ARRDC3/MGP/TYMS/GLI3/HOXC4/ZEB1/WNT5B/BMP1/MAF/RARB/AXIN2/MSX1/CHI3L1/NR1H4/BARX2/CD34/RUNX1/FRZB/DGAT2/TGFB1/STC1/POC1A/OSR2/CHSY1/FGFR1/OSR1/POR/FOXC2/SMPD3/ADAMTS12/TGFBR2/NOG/RFLNB/SERPINB7",34
"GO:0048705","GO:0048705","skeletal system morphogenesis","31/1015","228/18866",1.9058631696047e-06,0.0010996341440258,0.00096783913674667,"MGP/GLI3/HOXC4/CHAD/ZEB1/BMP1/IRX5/RARB/AXIN2/MSX1/BARX2/FMN1/SOX11/STC1/MTHFD1L/POC1A/OSR2/DSCAML1/CHSY1/FGFR1/OSR1/POR/LTF/TEK/INSIG1/FOXC2/SMPD3/TGFBR2/NOG/TMEM119/RFLNB",31
"GO:0015718","GO:0015718","monocarboxylic acid transport","26/1015","174/18866",2.17703947715271e-06,0.0010996341440258,0.00096783913674667,"ABCC4/SLC27A6/PLIN2/ERFE/STRA6/CROT/MIF/SLC16A14/CES1/NR1H4/SLC6A6/MFSD2A/SLC9A3R1/AQP9/SLC51B/PLA2G5/SLC6A12/BDKRB2/FABP4/SYK/SLC16A6/ABCC3/SLC16A11/SLC16A13/SLC16A2/SLCO2A1",26
