"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",40,"40/1147","SLCO4C1/C9orf24/NANOS1/TRIP13/TESK2/IL4R/BCL2L10/SKIL/INHBB/RPL39L/MST1R/GGT5/LGR4/SPIRE2/DPCD/PRDX4/FUOM/AXL/POC1A/GGT1/WFDC2/CDC25B/P2RY1/LHFPL2/FOXJ1/TOP2A/PPP1R1B/JAG2/CIB1/GJB3/LRRK2/ADAM28/RAI14/ADA/HOOK1/B4GALT1/GAMT/NECTIN2/CIP2A/TMEM119"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/1147",""
"GO:0022414","GO:0022414","reproductive process",89,"89/1147","DSG2/SLCO4C1/INSR/HOXB13/INCENP/BUB1/HSD11B2/FZD4/C9orf24/IGFBP5/IGFBP2/PRLR/GLI3/FBLN1/NANOS1/PKMYT1/STRA6/NCAPD3/ARHGDIB/TRIP13/TESK2/IRX5/BASP1/THBD/IL4R/DLX3/BCL2L10/ANTXR1/CENPX/SKIL/MSX1/INHBB/RPL39L/MST1R/GGT5/ITGA5/LGR4/SPINT2/SPIRE2/DPCD/PRDX4/MAFF/FUOM/TNC/AXL/STC1/POC1A/GGT1/WFDC2/CDC25B/SYCE1L/P2RY1/LHFPL2/BOK/FOXJ1/PCDH12/TOP2A/PPP1R1B/JAG2/CIB1/EMP2/OSR1/GJB3/LRRK2/CCNE1/ADAM28/MAMLD1/FLNA/RAI14/ADA/HOOK1/ETS1/TBX3/B4GALT1/FOS/VASH1/PLCD1/EPAS1/PHLDA2/GAMT/NECTIN2/HMGCS1/CDK2/CIP2A/TGFBR2/VMP1/CAPN2/NOG/TMEM119"
"GO:0032504","GO:0032504","multicellular organism reproduction",42,"42/1147","DSG2/SLCO4C1/FZD4/C9orf24/NANOS1/TRIP13/TESK2/IL4R/BCL2L10/SKIL/INHBB/RPL39L/GGT5/LGR4/SPIRE2/DPCD/PRDX4/FUOM/AXL/STC1/POC1A/GGT1/WFDC2/CDC25B/P2RY1/FOXJ1/TOP2A/PPP1R1B/JAG2/CIB1/GJB3/LRRK2/ADAM28/RAI14/ADA/HOOK1/ETS1/B4GALT1/GAMT/NECTIN2/CIP2A/TMEM119"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/1147",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/1147",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/1147",""
"GO:0001776","GO:0001776","leukocyte homeostasis",9,"9/1147","PDE4B/FOXN1/MIF/SKIL/SH2B3/HCAR2/AXL/DOCK11/ADA"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",3,"3/1147","SWAP70/TGFB1/TNFSF13"
"GO:0002252","GO:0002252","immune effector process",91,"91/1147","AGPAT2/SLCO4C1/FCN1/LGALS1/IGHV4-59/ALDOC/STXBP2/RTP4/PRKCD/GM2A/OAS3/LAIR1/FOXF1/IGLC2/PRAM1/ACLY/FCGR2A/CLEC12A/FUCA1/RASGRP1/MFNG/IGHV4-4/HLA-B/IGLC3/ANO6/IGLV2-11/IRF1/DPP7/IL4R/MIF/IGHV3-30/APBB1IP/IL20RB/BNIP3/CHI3L1/SWAP70/EXOSC4/LCN2/RAB31/RAP2B/IGLC7/PRDX4/VAT1/CPPED1/NLRC5/IGKV1-17/TRIL/RPS19/TGFB1/PLA2G5/TMEM98/MX2/OAS2/FPR1/ITGAM/MMP12/TMBIM1/ZC3H12A/CTSS/SYK/SLC7A5/FOXJ1/IGLV3-1/IMPDH1/RFTN1/EMP2/IGKV1-16/DOCK11/CD53/LTF/FLNA/ADA/SVIP/OASL/CANT1/B4GALT1/STAT1/C2/VTN/NECTIN2/TRBC2/IGHV3-74/LBP/CD19/CTSH/SPINK5/S100P/TNFSF13/ORM2/CAPN1/CD47"
"GO:0002253","GO:0002253","activation of immune response",46,"46/1147","PDE4B/FCN1/IGHV4-59/CARD11/PRKCD/PSMB10/LILRB4/IGLC2/CD3E/PRAM1/FCGR2A/LCP2/CACNB3/IGHV4-4/IGLC3/IGLV2-11/IGHV3-30/RUNX1/IGLC7/IGKV1-17/MS4A1/MUCL1/FPR1/LCK/ZC3H12A/SYK/IGLV3-1/RFTN1/IGKV1-16/MUC15/SH2B2/CD79A/SLC39A10/ADA/CMTM3/MUC3A/C2/VTN/NECTIN2/TRBC2/HLA-DPB1/IGHV3-74/CD19/MUC6/PSMB9/CD47"
"GO:0002262","GO:0002262","myeloid cell homeostasis",13,"13/1147","PDE4B/HIPK2/KLF2/MB/SH2B3/HCAR2/RPS19/AXL/KLF13/ZFP36/ETS1/EPAS1/STAT1"
"GO:0002339","GO:0002339","B cell selection",0,"0/1147",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/1147",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",18,"18/1147","CARD11/IGKV1-8/IGLV2-11/IGKV3D-15/IL4R/MIF/SWAP70/IGKV1D-13/IGLV3-9/IGKV1-17/TRIL/TGFB1/SLC7A5/IGLV3-1/IGKV1-16/SPINK5/TNFSF13/IGKV1-6"
"GO:0002507","GO:0002507","tolerance induction",6,"6/1147","CD274/CD3E/HLA-B/FOXJ1/PDCD1/TGFBR2"
"GO:0002520","GO:0002520","immune system development",75,"75/1147","FASN/LTBR/LGALS1/FOXN1/NFKB2/HIPK2/CARD11/CD274/RASSF2/PSMB10/LILRB4/GLI3/TF/CD3E/ZEB1/RASGRP1/MFNG/HLA-B/TMEM176B/IRF1/IL4R/KLF2/MB/SWAP70/CD34/PRR7/SH2B3/RUNX1/RHOH/MS4A1/RPS19/TGFB1/TMEM98/AXL/NRROS/LY6D/KLF13/LCK/ZC3H12A/SYK/FOXJ1/FZD8/BARX1/TOP2A/JAG2/CIB1/UBD/GPR137B/IKZF3/DOCK11/CD79A/ZFP36/PDCD1/LTF/ADA/TEK/ETS1/DTX1/RAB7B/MYL9/FOS/DHTKD1/EPAS1/STAT1/CRIP2/FBN1/CD19/SMPD3/CD248/SPINK5/TGFBR2/TNFSF13/PDPN/PSMB9/FOXE1"
