"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","56/1048","417/19559",2.10855877235796e-10,1.21031273533347e-07,1.04318170842973e-07,"CD6/FCN1/INSR/SCNN1B/CXCR3/F3/IGHV4-59/ABCC4/EBI3/CD274/PRLR/IGLC2/ITGA6/TF/CD3E/CSF2RA/ADAM9/CA4/IGHV4-4/IGLC3/THBD/IGHV3-30/IL3RA/ANTXR1/SELP/CD34/ITGA5/IGLC7/LIFR/MS4A1/CEACAM5/GFRA2/NLGN1/RTN4RL2/ITGAM/SLC2A4/SLC7A5/TRGC1/CLEC14A/CRLF1/CD79A/PDCD1/NRCAM/ADA/FGB/B4GALT1/S1PR1/TRBC2/IGHV3-74/ABCA1/GHR/CD19/CD248/TGFBR2/CAPN2/RTN4R",56
"GO:0045121","GO:0045121","membrane raft","43/1048","329/19559",5.92224019416841e-08,1.23715722349162e-05,1.06631926470028e-05,"INSR/CARD11/PDZK1/PRKAR2B/BAALC/GPC1/LCP2/ACE2/LTB4R/CLIP3/S100A10/ANO1/ATP1B1/RAP2B/MAPT/SLC9A3R1/MYO1D/MS4A1/SLC25A5/TPP1/RTN4RL2/ITGAM/LCK/SLC2A4/TUBA1B/SGCA/RFTN1/PPT1/EMP2/LRRK2/CD79A/TEK/EPHB1/S1PR1/F2R/ABCA1/UNC5A/CD19/AKAP6/TGFBR2/CAPN2/PDPN/RTN4R",43
"GO:0098857","GO:0098857","membrane microdomain","43/1048","330/19559",6.46597851999105e-08,1.23715722349162e-05,1.06631926470028e-05,"INSR/CARD11/PDZK1/PRKAR2B/BAALC/GPC1/LCP2/ACE2/LTB4R/CLIP3/S100A10/ANO1/ATP1B1/RAP2B/MAPT/SLC9A3R1/MYO1D/MS4A1/SLC25A5/TPP1/RTN4RL2/ITGAM/LCK/SLC2A4/TUBA1B/SGCA/RFTN1/PPT1/EMP2/LRRK2/CD79A/TEK/EPHB1/S1PR1/F2R/ABCA1/UNC5A/CD19/AKAP6/TGFBR2/CAPN2/PDPN/RTN4R",43
"GO:0098589","GO:0098589","membrane region","43/1048","343/19559",1.94604697313036e-07,2.79257740644206e-05,2.40695283518755e-05,"INSR/CARD11/PDZK1/PRKAR2B/BAALC/GPC1/LCP2/ACE2/LTB4R/CLIP3/S100A10/ANO1/ATP1B1/RAP2B/MAPT/SLC9A3R1/MYO1D/MS4A1/SLC25A5/TPP1/RTN4RL2/ITGAM/LCK/SLC2A4/TUBA1B/SGCA/RFTN1/PPT1/EMP2/LRRK2/CD79A/TEK/EPHB1/S1PR1/F2R/ABCA1/UNC5A/CD19/AKAP6/TGFBR2/CAPN2/PDPN/RTN4R",43
"GO:0016324","GO:0016324","apical plasma membrane","43/1048","361/19559",7.97624896027548e-07,9.15673380639625e-05,7.89228844490416e-05,"DSG2/SCNN1A/SCNN1B/ABCC4/ABCC1/STXBP2/MSN/PTPRO/PDZK1/GM2A/IGFBP2/SLC1A1/AQP5/AQP1/TF/DUOX1/SLC26A9/CA4/CACNB3/ACE2/SLC26A4/KL/CD34/SLC6A6/ANO1/ATP1B1/SLC9A3R1/CEACAM5/ZMYND10/STC1/P2RY1/SLC7A5/CYP4F12/CIB1/SAPCD2/EMP2/SLC12A2/SLC16A2/ABCC6/TEK/SLC39A8/LMO7/PDPN",43
"GO:0016323","GO:0016323","basolateral plasma membrane","33/1048","246/19559",1.12167647579236e-06,0.000107307049517469,9.24891129162123e-05,"SLCO4C1/ABCC4/ABCC1/MSN/GM2A/AQP5/AQP1/ITGA6/TF/SLC41A1/ADAM9/SLC1A5/CD34/SLC6A6/MST1R/ATP1B1/CASK/AQP9/MYO1D/SLC51B/CA11/CEACAM5/P2RY1/SLC7A5/ERBB4/SLC12A2/ABCC6/TEK/SLC39A8/B4GALT1/EPPK1/ATP7B/PDPN",33
"GO:0098858","GO:0098858","actin-based cell projection","30/1048","220/19559",2.42352111408525e-06,0.00019872873135499,0.000171286454679709,"MSN/PDZK1/MORN4/AQP5/ACTN2/ITGA6/AOC3/ANTXR1/SLC6A6/OSBPL3/EPS8L2/SLC9A3R1/MYO1D/ACTG2/TGFB1/VIL1/NLGN1/EPS8/TTYH1/SLC7A5/APBB1/CIB1/ADCY6/LRRK2/TEK/B4GALT1/EPHB1/S100P/PDPN/SPATA13",30
"GO:0005911","GO:0005911","cell-cell junction","50/1048","493/19559",1.14428384832442e-05,0.000763322805920237,0.000657916227365691,"GJC3/DSG2/SCN4B/TJP3/PRKCD/PDLIM4/DSC3/CNTNAP2/FZD4/SH3BP1/NGFR/CD3E/CD2AP/SH3KBP1/PLXDC1/LCP2/EFNB2/CLDN15/CDH6/CLDN9/PDLIM5/RND1/ATP1B1/CASK/ITGA5/FMN1/RAP2B/ESAM/CNN3/PMP22/CLMP/PCDH12/CNTNAP1/SGCA/SAPCD2/CD53/GJB3/FLNA/TEK/DSG3/KIFC3/MARVELD3/B4GALT1/CTNND2/EPPK1/NECTIN2/DBN1/AKAP6/CLDN6/GJC1",50
"GO:0009925","GO:0009925","basal plasma membrane","12/1048","51/19559",1.19684760510142e-05,0.000763322805920237,0.000657916227365691,"ABCC1/AQP5/AQP1/ITGA6/TF/SLC1A5/CD34/MST1R/SLC7A5/ERBB4/SLC12A2/TEK",12
"GO:0045178","GO:0045178","basal part of cell","14/1048","69/19559",1.43581417332883e-05,0.000784813316403711,0.00067643913205528,"ABCC1/PHLDB2/AQP5/AQP1/ITGA6/TF/SLC1A5/CD34/MST1R/KRT14/SLC7A5/ERBB4/SLC12A2/TEK",14
