"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/1147",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",5,"5/1147","FBXL16/WWP1/FBXL7/LMO7/FBXO17"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",1,"1/1147","NKD1"
"GO:0000178","GO:0000178","exosome (RNase complex)",1,"1/1147","EXOSC4"
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",3,"3/1147","CCNE1/CCNJL/CDK2"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/1147",""
"GO:0000502","GO:0000502","proteasome complex",2,"2/1147","PSMB10/PSMB9"
"GO:0005737","GO:0005737","cytoplasm",709,"709/1147","GNG12/AGPAT2/LPCAT4/FASN/COPZ2/PDE4B/AIFM3/GPD1/MAP6D1/CCDC170/SLCO4C1/LTBR/CTHRC1/SCNN1A/FCN1/LGALS1/INSR/MLPH/CHST10/SCNN1B/FEN1/SFTPC/NT5M/CDC42BPG/RPS6KA2/CXCR3/ABHD14A/WIPI1/ACADS/FGF1/ABCC4/NME4/ARRDC3/PLEKHF1/MEOX2/ALDOC/CAPN13/STXBP2/EDARADD/SLC25A43/NFKB2/MTCO2P12/MBNL3/HIPK2/AP1G2/MANEAL/S100A16/EBI3/APOH/CHTF18/LPAR1/CARD11/AKR1B10/RTP4/PRKCD/PDLIM4/PLIN2/MSN/HNF1A/DSC3/KSR1/TAGLN/INCENP/PHLDB2/ARNT2/BUB1/CNTNAP2/PRKAR2B/FZD4/B3GALT5/RIPK4/CDCA2/TUBA1C/GM2A/GIMAP7/PPA1/MSRB3/CD274/CTSF/C9orf24/SNPH/BAALC/SH3BP1/OAS3/ORC1/RASSF2/PPP1R14A/LAIR1/PSMB10/C19orf33/GNLY/IL1R2/MORN4/IGFBP5/IGFBP2/PRKAR1B/ATP6V0E2/PHYHIP/MEST/FA2H/TYMS/PRLR/PARP10/STX19/ITPR2/NR3C1/ST8SIA4/ZHX2/WSB1/MMD/SLC1A1/GLI3/GIMAP2/AHR/NOTUM/BRI3BP/AQP5/SGCB/FBXO41/GPC1/AQP1/CAPN6/NGFR/JADE1/ATP2C2/ACTN2/NANOS1/TMEM198/PKMYT1/DPYD/PARVB/TF/SULT1C2/HSD17B11/CD2AP/DUOX1/MELTF/BDH2/NTS/BEX2/SFTPD/DDAH1/FMO5/GALNT15/PLEKHH2/ACLY/AOC3/NTRK2/ZEB1/SH3KBP1/PLXDC1/FCGR2A/PNMT/CLEC12A/CSDC2/MAPK13/CROT/PODN/TNK1/SKAP2/MBIP/JPH2/FUCA1/OPLAH/TENT5C/CA4/CYP2S1/LCP2/CACNB3/CHST13/MLANA/TCAP/RASGRP1/SLC25A24/MFNG/ARHGDIB/PDP1/DUSP16/WNT5B/PLCB4/SOX2/AATK/TMEM150C/PJA1/ST6GALNAC1/HS6ST2/BMP1/COL18A1/IRF6/PABPC1/CDC42EP5/HLA-B/TAP1/TESK2/REEP4/TPST1/SLC25A42/GIMAP8/TMEM100/FAM20A/ANO6/MAF/ZWINT/NECAB2/BASP1/EZH2/CDKN2C/RPS4Y1/IRF1/MPP2/THBD/PDE8B/FIBIN/DPP7/PCBD1/WWC1/BORCS7/ACE2/MIF/RARB/KIF18B/GALNT17/CTSO/APBB1IP/ZDHHC9/RALGAPA2/SYNGR3/MACF1/ETFB/FSD1/CLIP3/BCL2L15/FBXL16/SLC1A5/PNKD/BBC3/MYH14/RAPGEF4/MAP3K20/SULT1C4/CES1/HMGN5/TOR4A/TFDP1/MB/BCL2L10/GPX2/AXIN2/BNIP3/CLIC3/ANTXR1/SKIL/FLNB/VILL/PDLIM5/NOSTRIN/RNF128/KL/POSTN/INHBB/CHI3L1/SWAP70/ABLIM2/HEYL/RPL39L/CAMK2N2/EXOSC4/TMTC2/MAGED1/CIITA/CAMK1D/GPC6/S100A10/UPP1/CLK1/BARX2/GPRC5A/RPL13/SELP/CD34/RND1/ANO1/PRR7/CACNA2D1/NR0B2/PDE3B/GFPT2/NAPSA/MST1R/PRODH/FERMT1/SH2B3/NFKBIE/PDIA6/CBR3/FDXR/NACC2/CASK/COX7A1/ITGA5/LCN2/PGAP3/SPINT2/ROBO1/RAB31/OSBPL3/RCAN3/KLK12/CMAHP/SOX7/SPIRE2/FMN1/DAPP1/RAP2B/RHOH/EFHD1/GLS/MAPT/ALDH1A1/SMPD1/LARP6/SEC24C/EPS8L2/RPS6KA3/DDX39A/PRDX4/WWP1/SSPN/CIT/VAT1/RND2/SLC9A3R1/SNRPGP15/THBS4/PXMP2/PNMA1/CDK5R1/GLCCI1/SYT17/QPRT/TOX3/CPPED1/MOGAT3/SAT1/PLOD3/MYO1D/AGR2/B3GNT5/NLRC5/NKD1/IGFBP4/MCRIP2/NPTX1/KRT5/ARMCX2/SORCS2/NRBP2/ACTG2/TAX1BP3/INPP5J/MAFF/PPP1R12B/CST7/ARHGEF25/FRZB/CTTNBP2/POLD1/DGAT2/LPAR2/DGKD/LIMCH1/SFTA3/GLYATL2/RPS19/NOXA1/PRELP/TGFB1/APLP1/VIL1/RABAC1/HIP1/TUBA4A/PLA2G5/LAMB1/DTX2/TMEM98/SLC25A5/ZMYND10/NLGN1/RAC3/PEG3/TMEM25/CCDC3/EPS8/QDPR/FUOM/ANKRD50/TNC/LMO3/CP/TPP1/TPM4/CHST6/EMILIN3/MACC1/TNFAIP8L3/MX2/PRAC1/STC1/MUCL1/NRROS/MTHFD1L/SEMA6D/GCHFR/RAB30/SPEF1/OAS2/CDK2AP1/MAPRE3/CTTN/POC1A/CDC25B/CLEC7A/PROC/TTYH1/KRT14/FILIP1L/BDKRB2/LGI3/CNN3/SLC35A3/FUT3/FPR1/MT1H/P2RY1/ITGAM/FABP4/SERPINC1/MAP4K4/LCK/SLC2A4/NUCB2/PTPN3/LMCD1/MMP12/TNFAIP8L2/CDC42EP3/TKT/TMBIM1/GIMAP4/ZC3H12A/CTSS/COL8A1/PLA1A/LHFPL2/LPP/BOK/SYK/TRIP10/SLC7A5/RNF152/RPL36/HMGCR/STARD8/TMEM97/GIPC1/CWH43/IMPDH1/RAB34/APBB1/CLMP/TRIM14/ERBB4/CKB/TUBA1B/SGCA/FZD8/B3GNT8/RFTN1/PPT1/KREMEN2/CHSY1/TOP2A/AK5/SPOCK1/PPP1R1B/CYP4F12/CIB1/SAPCD2/ST3GAL6/MTRNR2L8/EMP2/SLC12A2/UBD/SDC3/LAPTM5/AK4/DDAH2/FGFR1/GPR137B/RAVER1/MUC15/GNG7/PCDH7/GOLT1A/SLC16A13/ZBTB4/CRLF1/IKZF3/OGT/DOCK11/MFSD12/OSR1/CD53/RPL8/SH2B2/EBP/PTGES/MYL6B/GJB3/LRRK2/CD79A/CCNE1/POR/ZFP36/TGM1/HEBP1/ADAM28/MAMLD1/GBP6/ZNF703/FBXL7/CPNE7/VWA1/LTF/ACSM5/DPM3/FLNA/RAI14/APOLD1/ADA/NBEA/CARNS1/MYD88/CES2/ADH6/PIFO/TEK/SVIP/SLC39A8/PIM3/TXNRD1/DTNA/DAGLA/STAC2/DSG3/HOOK1/CCNJL/ETS1/FHOD3/MIEN1/RPS2/CMTM3/KIFC3/OASL/MARVELD3/DTX1/MSI1/HOPX/FGB/CANT1/PPM1H/RAB7B/MCM5/SYNDIG1/MAP1LC3A/GCAT/MYL9/B4GALT1/AIF1/TMEM184A/ALDH2/HKDC1/VOPP1/EPHB1/RAB6B/PKIA/KLK2/CTNND2/MUC3A/CMTM8/FOS/S1PR1/MT1DP/PDE7A/STMN1/RPH3AL/DHTKD1/KLK4/MRPL12/SPON1/EPPK1/SLC44A1/ASNS/MGAT4A/VASH1/TRIB2/PLCD1/AGRN/F2R/EPAS1/SLC25A18/PHLDA2/STAT1/P2RY13/C1orf116/CRIP2/INSIG1/FHL2/MEX3D/ST3GAL5/GABRB3/VTN/GAMT/SVEP1/PPP1R14D/HLA-DPB1/CLIP2/KIF20A/ABCA1/DBN1/GHR/TNNI3/FBN1/HBEGF/HMGCS1/EHHADH/ATP7B/OPTN/HCFC1R1/CDK2/RAP2A/SHMT1/ACER2/PHETA2/SLC2A4RG/SRMS/SMPD3/CTSH/COL3A1/ATOH8/CD248/SFTPB/MCUB/BTC/TSPOAP1/TRAM1L1/AKAP6/ME3/FERMT3/DUSP15/FADS1/FEZ1/SGPP2/SPINK5/VSTM2L/PEMT/TMTC1/S100P/CIP2A/LMO7/TGFBR2/FAM110C/EID1/NAGS/VMP1/TNFSF13/USP18/RASA3/TNFAIP2/ALG3/ORM2/SPATA18/CAPN2/MUC6/PDPN/PSMB9/RBP7/FBXO17/ZIC2/CAPN1/RTN4R/RFLNB/ADRB1/SPATA13/BEX3/PCP4/CABCOCO1/WDR72/RIC3/SERPINB7/FHL3/FAM3C/GADD45GIP1/CD47/ADH1B/SHISA2/SNN/CHEK2"
"GO:0005845","GO:0005845","mRNA cap binding complex",1,"1/1147","ZFP36"
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/1147",""
