"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1147",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/1147","ADCY6"
"GO:0016491","GO:0016491","oxidoreductase activity",48,"48/1147","FASN/AIFM3/GPD1/ACADS/ABCC4/MTCO2P12/AKR1B10/HSD11B2/MSRB3/FA2H/DPYD/HSD17B11/DUOX1/BDH2/FMO5/AOC3/CYP2S1/HR/HSD11B1/PCBD1/ETFB/GPX2/PRODH/PDIA6/CBR3/FDXR/COX7A1/ALDH1A1/PRDX4/VAT1/PLOD3/FADS2/ASPHD1/QDPR/CP/CYB5R2/HMGCR/IMPDH1/CYP4F12/POR/ADH6/TXNRD1/ALDH2/DHTKD1/EHHADH/ME3/FADS1/ADH1B"
"GO:0016740","GO:0016740","transferase activity",128,"128/1147","AGPAT2/LPCAT4/FASN/INSR/CHST10/CDC42BPG/RPS6KA2/NME4/HIPK2/FBLL1/FBL/CARD11/PRKCD/EFNA3/KSR1/BUB1/B3GALT5/RIPK4/JADE2/OAS3/RASSF2/TYMS/PARP10/ST8SIA4/MMD/PKMYT1/SULT1C2/GALNT15/ACLY/NTRK2/PNMT/MAPK13/CROT/TNK1/TENT5C/CHST13/MFNG/AATK/PJA1/ST6GALNAC1/HS6ST2/TESK2/TPST1/EZH2/EFNB3/GALNT17/UBE2T/ZDHHC9/MAP3K20/SULT1C4/RNF128/DCLK1/TMTC2/CIITA/CAMK1D/UPP1/CLK1/GFPT2/MST1R/GGT5/CASK/RPS6KA3/WWP1/CIT/CDK5R1/QPRT/MOGAT3/SAT1/PLOD3/B3GNT5/NRBP2/POLD1/DGAT2/DGKD/GLYATL2/DTX2/CHST6/AXL/OAS2/GGT1/FUT3/MAP4K4/LCK/TKT/SYK/RNF152/TRIM14/ERBB4/CKB/CCL8/B3GNT8/CHSY1/AK5/ST3GAL6/AK4/FGFR1/OGT/LRRK2/CCNE1/TGM1/ACSM5/DPM3/TEK/PIM3/DTX1/GCAT/B4GALT1/HKDC1/EPHB1/MGAT4A/ST3GAL5/GAMT/HMGCS1/CDK2/SHMT1/SRMS/CRIM1/PEMT/TMTC1/LMO7/TGFBR2/NAGS/LTK/KCTD11/ALG3/FBXO17/RNF186/CHEK2"
"GO:0016787","GO:0016787","hydrolase activity",146,"146/1147","GNG12/FASN/PDE4B/FEN1/NT5M/F3/ABHD14A/PLPPR3/ABCC4/ABCC1/CAPN13/MANEAL/CHTF18/ATP13A3/USP43/PTPRO/TUBA1C/GM2A/GIMAP7/PPA1/CTSF/PIK3IP1/HPR/PSMB10/FAAH/ATP6V0E2/DIRAS2/MEST/RASL12/RPP25/NOTUM/ATP2C2/LIPH/DDAH1/ADAM9/PRSS22/FUCA1/OPLAH/ARHGDIB/PDP1/DUSP16/PLCB4/BMP1/TAP1/SLC25A42/TMPRSS6/RHBDL1/PDE8B/DPP7/ACE2/KIF18B/CTSO/MACF1/PNKD/MYH14/CES1/TOR4A/CHRM1/KL/RFC4/EXOSC4/RND1/PDE3B/NAPSA/GGT5/ATP1B1/PGAP3/TRABD2A/RAB31/KLK12/RAP2B/RHOH/GLS/SMPD1/DDX39A/RND2/CPPED1/MYO1D/INPP5J/POLD1/TUBA4A/PLA2G5/RAC3/TPP1/MX2/RAB30/GGT1/CDC25B/PROC/BDKRB2/PLPPR4/LCK/PTPN3/MMP12/ZC3H12A/CTSS/PLA1A/GZMK/ABCC3/RAB34/TUBA1B/PPT1/TOP2A/DDAH2/GNG7/YDJC/HABP2/MYL6B/LRRK2/POR/ABCC6/RASL11B/ADAM28/GBP6/LTF/ADA/CARNS1/CES2/DAGLA/KIFC3/ECEL1/CANT1/PPM1H/RAB7B/TNS2/MCM5/RAB6B/KLK2/PDE7A/KLK4/VASH1/PLCD1/C2/KIF20A/ABCA1/RAP2A/ACER2/SMPD3/CTSH/ADAMTS12/DUSP15/SGPP2/USP18/CAPN2/PSMB9/CAPN1"
"GO:0016829","GO:0016829","lyase activity",10,"10/1147","FASN/ALDOC/CA4/CYP2S1/PCBD1/CA11/ADCY6/EHHADH/SHMT1/ME3"
"GO:0016853","GO:0016853","isomerase activity",9,"9/1147","CYP2S1/MIF/PDIA6/FUOM/TOP2A/EBP/PTGES/HMGCS1/EHHADH"
"GO:0016874","GO:0016874","ligase activity",5,"5/1147","SLC27A6/MTHFD1L/ACSM5/CARNS1/ASNS"
"GO:0032451","GO:0032451","demethylase activity",1,"1/1147","HR"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/1147",""
