"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",8,"8/215","VGF/YBX3/ATP2B4/HMGB2/POC1A/ABAT/CADM1/RACGAP1"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/215",""
"GO:0022414","GO:0022414","reproductive process",27,"27/215","SLC38A3/WNT2/SCX/VGF/NCAPD3/IDH1/HEY2/GRHL2/TRO/YBX3/ATP2B4/HNF4A/PCDH12/MDFI/ARHGDIB/CCND1/HMGB2/MAPK15/POC1A/MSX1/SOCS3/ABAT/CADM1/TIMP4/MMP14/RACGAP1/HOXB13"
"GO:0032504","GO:0032504","multicellular organism reproduction",7,"7/215","YBX3/ATP2B4/HMGB2/POC1A/CADM1/TIMP4/RACGAP1"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/215",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/215",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/215",""
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/215","P2RX7"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",1,"1/215","HMGB2"
"GO:0002252","GO:0002252","immune effector process",18,"18/215","SLPI/RGCC/SIGLEC14/IRF5/IDH1/P2RX7/SBNO2/FOXP1/S100A11/MILR1/MCEMP1/MX2/SH2D1A/CADM1/C3AR1/PTGER4/GAA/LRG1"
"GO:0002253","GO:0002253","activation of immune response",7,"7/215","RGCC/HLA-DQB2/VTCN1/CCR7/FOXP1/SH2D1A/C3AR1"
"GO:0002262","GO:0002262","myeloid cell homeostasis",1,"1/215","HMGB2"
"GO:0002339","GO:0002339","B cell selection",0,"0/215",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/215",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",4,"4/215","IGLV5-45/IGKV6-21/IGKV6D-21/GAS6"
"GO:0002507","GO:0002507","tolerance induction",1,"1/215","PHLPP1"
"GO:0002520","GO:0002520","immune system development",14,"14/215","PHLPP1/MEIS2/CCR7/CD164/EPHA2/SBNO2/FOXP1/NME1/PRKCA/CD34/HMGB2/GAS6/MMP14/PTGER4"
"GO:0002682","GO:0002682","regulation of immune system process",24,"24/215","RGCC/PHLPP1/HLA-DQB2/MEIS2/VTCN1/CCR7/GPR17/P2RX7/FOXP1/NME1/PRKCA/CD34/HMGB2/MILR1/TNFAIP8L2/SOCS3/GAS6/SH2D1A/CADM1/MMP14/ALOX15/CD8B/C3AR1/PTGER4"
"GO:0002683","GO:0002683","negative regulation of immune system process",9,"9/215","MEIS2/VTCN1/GPR17/NME1/MILR1/TNFAIP8L2/SH2D1A/ALOX15/PTGER4"
"GO:0002684","GO:0002684","positive regulation of immune system process",13,"13/215","RGCC/HLA-DQB2/VTCN1/CCR7/P2RX7/FOXP1/PRKCA/HMGB2/GAS6/SH2D1A/CADM1/MMP14/C3AR1"
"GO:0006955","GO:0006955","immune response",38,"38/215","SLPI/RPL39/SIGLEC10/FCGRT/RGCC/IGLV5-45/HLA-DQB2/SIGLEC14/VTCN1/CCR7/IRF5/CD164/GPR17/IDH1/PRG4/P2RX7/SBNO2/FOXP1/IGKV6-21/S100A11/IGKV6D-21/CTSW/CD34/HMGB2/MILR1/TNFAIP8L2/MCEMP1/SOCS3/GAS6/MX2/SH2D1A/CADM1/ALOX15/CD8B/C3AR1/PTGER4/GAA/LRG1"
