"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/215",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/215",""
"GO:0016491","GO:0016491","oxidoreductase activity",13,"13/215","DHDH/HSD3B7/CRYZ/IDH1/ERO1B/PDIA5/CYP2C18/NQO1/ALOX15/COX7A1/CYGB/RRM2/CYB5R1"
"GO:0016740","GO:0016740","transferase activity",19,"19/215","HS3ST1/MOCOS/SULT4A1/AK5/EPHA2/PELI2/DGKA/TRAF5/RNF19A/CCND1/NME1/PRKCA/MAPK15/PJA1/SPTSSB/ABAT/ACSM5/NAT1/SOSTDC1"
"GO:0016787","GO:0016787","hydrolase activity",22,"22/215","GNG2/ATP5F1D/ERMP1/PHLPP1/ASPRV1/PNPLA7/RGS10/DNAJC6/RAB23/ARHGDIB/NME1/CTSW/DIRAS1/NYNRIN/MMP1/ARSI/MX2/MMP14/ALOX15/GNG12/ECEL1/GAA"
"GO:0016829","GO:0016829","lyase activity",3,"3/215","MOCOS/CTH/GAD1"
"GO:0016853","GO:0016853","isomerase activity",4,"4/215","GALM/ERO1B/PDIA5/ALOX15"
"GO:0016874","GO:0016874","ligase activity",3,"3/215","ATP5F1D/ACSL5/ACSM5"
"GO:0032451","GO:0032451","demethylase activity",0,"0/215",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/215",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/215",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",19,"19/215","ERMP1/PHLPP1/ASPRV1/DNAJC6/EPHA2/PELI2/ERO1B/TRAF5/PDIA5/RNF19A/CCND1/PRKCA/CTSW/MAPK15/PJA1/MMP1/MMP14/ECEL1/SOSTDC1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/215","NME1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",1,"1/215","NYNRIN"
"GO:0003735","GO:0003735","structural constituent of ribosome",2,"2/215","RPL39/MRPS12"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/215",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",3,"3/215","ADD3/CCDC6/TLN2"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",5,"5/215","LAMA5/ABI3BP/PRG4/ELN/PODN"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/215",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/215",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/215",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/215","CSRP1"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/215",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/215",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/215",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/215",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/215",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/215",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/215",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/215",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/215",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/215",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/215",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/215",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/215","ELN"
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/215",""
"GO:0005319","GO:0005319","lipid transporter activity",1,"1/215","PLSCR4"
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/215","CYGB"
"GO:0022857","GO:0022857","transmembrane transporter activity",13,"13/215","S100A6/SLC38A3/ATP5F1D/SLC12A8/P2RX7/ATP2B4/TRPV6/SLC16A11/SLC26A9/LRRC26/ATP2B2/COX7A1/TMEM37"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/215",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/215",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/215",""
"GO:0000035","GO:0000035","acyl binding",0,"0/215",""
"GO:0003682","GO:0003682","chromatin binding",10,"10/215","PHF19/NCAPD3/GRHL2/SBNO2/HNF4A/HMGB2/FOXC2/MAPK15/NFIA/CHAF1B"
"GO:0003823","GO:0003823","antigen binding",0,"0/215",""
