"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/780",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",4,"4/780","CBX7/ASB2/WWP1/LMO7"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",2,"2/780","PPP2R2B/IER5"
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/780",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",1,"1/780","CCNG1"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/780",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/780","PSMB9"
"GO:0005737","GO:0005737","cytoplasm",484,"484/780","MEOX1/CX3CL1/MAPK8IP2/IYD/RUFY3/SLC11A1/WWTR1/PHLDB1/CYP24A1/SYT13/ARNTL2/EPN3/LTBP1/NEDD4L/NFE2L3/GYG2/SERPINB3/SOAT1/CALCRL/NTHL1/OAT/TRAM2/NTN1/MTHFD2/SLC9A7/PHKA1/PTPN3/LNX1/ALDH3A2/RHOBTB1/P4HA2/SIDT1/MCM2/TP63/CLCN4/ARHGEF10L/TP73/PTPRC/FAT2/NOX4/HSD17B14/PTHLH/TFAP2C/PIR/COL9A3/EZR/CLSPN/DPYSL2/CDC45/ADA2/DSP/ACOT7/SCD/NDUFB7/CBX7/FOXRED2/PVALB/NCF4/SIX4/GALNT16/ASB2/SERPINA4/MAP1LC3A/TNNC2/MYOM1/STS/PGRMC1/BEX4/TSC22D1/PYCARD/CEMIP/OCA2/SLC39A14/BNIP3L/NOP53/RABAC1/PTPRS/CLEC11A/RAB3D/PRUNE2/SFXN3/FAM20A/ALDOC/AREG/INPP4B/AADAT/DUSP16/ALDH2/LTBR/OAS2/RASAL1/SOD2/RBM24/CCNG1/NR3C1/ERGIC1/PDGFRB/DOK1/STAT1/CHST10/ID2/PLCL1/ERRFI1/ARHGEF2/SRM/PIK3R3/IRF6/MLANA/CD274/GRIA2/ARAP3/SRGN/BICC1/EGR2/P4HA1/ACADS/CDKN2C/ITPR2/WWP1/DDX39A/PKN1/ADGRE5/GIPC1/EBPL/STIL/COL10A1/MT1G/MT2A/RAP2A/IRF1/SRMS/SDCBP2/RAB3IP/IDUA/AUNIP/SYNGR3/PKMYT1/PNKD/ECHS1/VPREB3/GNAZ/A4GALT/ARHGEF6/APOE/PLVAP/BST2/ARPC1B/HIGD1B/SH3BGRL/PRR7/IDO1/PPT1/SH3BP5/GALNT15/NAPSA/CKMT2/TNS4/FMO5/LLGL1/NR0B2/GCH1/MATN3/SLC6A11/PIK3C2B/LGR6/TMCC2/POSTN/KL/RNF128/RAB33A/CDCA8/HOOK1/CYP2J2/DSC2/DSG3/DSC3/DTNA/TCN1/ADAM19/ARHGEF4/CKAP4/VILL/TBC1D4/LMO7/SCEL/ABHD17C/IL1RN/BIN1/GYPC/SMC2/KLF4/BAAT/CPEB2/ARRB1/SYTL2/TTPA/SULF1/DDX60/PLCB2/DUOX1/GCHFR/GIPC2/CYP1B1/SLC3A1/MYOF/SHROOM3/CENPE/ENPEP/CASP6/LEF1/PPP3CA/SLC39A8/MAPK8IP3/PARVG/ERP27/ETV6/GLIPR1/DUSP6/LUM/RAB20/SSTR1/NOVA1/TOM1L1/SKAP1/PMAIP1/GRB7/COL6A1/UCK2/CRABP2/RGS16/DEGS1/REN/AMT/ILDR1/ECE2/ATP10D/DDIT4L/PDGFC/BHMT/RNF145/N4BP3/IL2RG/DOCK11/MFHAS1/ATP6V1B2/TACC1/ADHFE1/LACTB2/MAL2/ARHGAP39/SIGMAR1/SLC25A25/NOTCH1/CDC42EP2/ALDOA/ITGB1/FCGR1A/LATS2/MAT1A/AKAP6/GPD1L/GJA1/UTRN/PLOD2/PROM2/PIP4P2/GOLGA7B/HSPA13/RHOC/FZD7/PPP2R2B/HK1/RAB11FIP1/GLYATL2/ATP2B2/HPD/RHPN1/XDH/TMSB15A/GPRASP2/SHROOM4/GDPD5/CDA/DMTN/STC1/CSTB/CD3G/CCR5/PTH1R/MYL3/FGFR4/LY6K/RECQL4/COL26A1/PGAP3/IKZF3/CYGB/AKR7A3/NEXN/DNAJB4/ADGRL4/HENMT1/GBP4/PEA15/VANGL2/IER5/KIF26B/PKDCC/HAAO/CAPN2/TRIM17/FRZB/FBXO41/SPATA18/FABP1/SMIM14/PPBP/CXCL1/CPA3/DTX3L/GRIK3/BDH2/DACT2/TAGAP/CTSB/DLC1/ADCY1/GPER1/TMEM184A/TP53INP1/ARHGEF40/CASP7/HSPA12A/AMOTL1/PPP1R14D/APBB1/SCG5/MAP1A/MAPRE2/ENGASE/ACAA2/RAB3IL1/FTH1/SLC3A2/PXK/RGS14/THBS3/ADRB2/B3GALNT1/KCNAB1/PGM2/P2RY12/RNASE2/COL22A1/SDC2/CLIC4/CCDC8/ELOVL6/PFKFB3/SERPINB9/SMAGP/CDH2/SGCD/GTSF1/SDR16C5/CEL/NDUFA3/ATP6V0E2/GAA/COL8A2/RRM2/AQP4/TLN2/SYNPO/KLF11/CD8B/SNTB1/BSG/MCRIP2/SAA1/PTPRM/FKBP2/VEGFB/CSPG4/CD34/CTSF/SELP/SLC16A13/CLTB/LRRC25/FOSL1/SUGCT/RMI2/TOM1L2/MTLN/KDF1/NR2F1/BAIAP2/PLEKHF2/LPCAT4/CDK5R1/JUN/AGTRAP/CRACR2B/CD151/POLR2L/CCDC184/LRRC75B/ALS2CL/MLF1/THBD/ZHX2/RFLNA/PIPOX/SEPHS2/LYNX1/TDRP/EXT1/BACE2/AP1S2/KPNA2/ARHGEF37/KIRREL1/CLDN5/FMNL1/SOCS1/STAC3/MUC1/NR2F2/LSAMP/INKA1/INSIG1/ENTPD5/FNBP1/KCNJ11/AGMO/NANOS3/PLEKHN1/ISG15/PALM3/HEPACAM2/SMTNL2/LITAF/S100A13/MAOA/S100A14/GSPT2/RASSF10/GAL3ST4/SRC/RPS4X/CCDC69/SREBF2/IQANK1/CAPN8/RAET1G/SAMD5/DDO/FOXO6/HSD17B8/LST1/HLA-E/CYS1/NYNRIN/JPT2/CLIC1/GOLGA8B/CKMT1A/MCRIP1/SLC26A6/ORM2/TWIST2/CASTOR3/PSMB9/PLEKHO2/PEG10/C4A/SELENOP/SIGLEC14/HP/GTF2I/CCL5/SRCIN1/NEFL"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/780",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/780",""
