"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/780",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/780","ADCY1"
"GO:0016491","GO:0016491","oxidoreductase activity",44,"44/780","IYD/CYP24A1/MTHFD2/ALDH3A2/P4HA2/NOX4/HSD17B14/PIR/SCD/NDUFB7/FOXRED2/NCF4/ALDH2/SOD2/HSD11B1/P4HA1/ACADS/IDO1/FMO5/MICAL2/CYP2J2/DUOX1/CYP1B1/RDH16/DEGS1/ADHFE1/PLOD2/HPD/XDH/CYGB/AKR7A3/HAAO/BDH2/FTH1/KCNAB1/SDR16C5/NDUFA3/RRM2/PHYHD1/PIPOX/AGMO/MAOA/DDO/HSD17B8"
"GO:0016740","GO:0016740","transferase activity",59,"59/780","LTBP1/NEDD4L/GYG2/SOAT1/OAT/PHKA1/LNX1/GALNT16/ASB2/AADAT/OAS2/PDGFRB/CHST10/SRM/PIK3R3/EGR2/WWP1/PKN1/SRMS/PKMYT1/A4GALT/GALNT15/CKMT2/PIK3C2B/RNF128/UGT2A3/LMO7/ALPK3/BAAT/UCK2/AMT/ECE2/BHMT/RNF145/LATS2/MAT1A/GOLGA7B/SH3RF2/HK1/GLYATL2/FGFR4/HENMT1/PKDCC/TRIM17/DTX3L/ACAA2/B3GALNT1/ELOVL6/PFKFB3/SUGCT/LPCAT4/CDK5R1/POLR2L/SEPHS2/EXT1/GAL3ST4/SRC/CKMT1A/CCL5"
"GO:0016787","GO:0016787","hydrolase activity",107,"107/780","MASP2/NTHL1/MTHFD2/PTPN3/RHOBTB1/MCM2/PTPRC/ADAMTS2/TMPRSS11E/CPXM1/ADA2/ACOT7/RASL10A/PAPLN/STS/PYCARD/CEMIP/PTPRS/RAB3D/PRUNE2/INPP4B/DUSP16/IL1R1/PLCL1/DDX39A/RAP2A/IDUA/PNKD/GNAZ/RNASE1/GINS2/PPT1/NAPSA/GCH1/KL/RAB33A/ADAM19/ABHD17C/BAAT/SULF1/DDX60/PLCB2/CENPE/ENPEP/CASP6/PPP3CA/DUSP6/RAB20/RGS16/EPHX1/REN/ECE2/PM20D2/ATP6V1B2/LACTB2/PLPPR1/PIP4P2/HSPA13/RHOC/MRAS/RHBDL2/GDPD5/CDA/ADAMTS4/CCR5/RECQL4/PGAP3/DIRAS3/GBP4/KIF26B/CAPN2/PPM1L/CPA3/CTSB/CASP7/ADAMTS15/ENGASE/ACAA2/ENTPD3/NT5DC2/RGS14/RNASE2/PFKFB3/HTRA3/CEL/ATP6V0E2/GAA/SMPDL3A/PTPRM/MST1/CTSF/NRIP3/LPL/DIRAS1/PGBD5/BACE2/C11orf54/TMPRSS2/PDE6G/ENTPD5/GSPT2/IL1RAP/PLPP4/NYNRIN/PSMB9/HP/CCL5"
"GO:0016829","GO:0016829","lyase activity",8,"8/780","NTHL1/ALDOC/ECHS1/RNASE1/ALDOA/HMGA2/ADCY1/RNASE2"
"GO:0016853","GO:0016853","isomerase activity",5,"5/780","EBPL/CYP2J2/DEGS1/PGM2/FKBP2"
"GO:0016874","GO:0016874","ligase activity",0,"0/780",""
"GO:0032451","GO:0032451","demethylase activity",0,"0/780",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/780",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/780",""
