"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",6,"6/82","ADAM28/LGR4/CYP26B1/MMP19/CLDN11/GTSF1"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/82",""
"GO:0022414","GO:0022414","reproductive process",12,"12/82","EMP2/ADAM28/LGR4/ITGA3/ARID5B/INHA/DCN/CYP26B1/MMP19/CLDN11/GTSF1/IGF2"
"GO:0032504","GO:0032504","multicellular organism reproduction",7,"7/82","ADAM28/LGR4/ITGA3/CYP26B1/MMP19/CLDN11/GTSF1"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/82",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/82",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/82",""
"GO:0001776","GO:0001776","leukocyte homeostasis",2,"2/82","PIK3CD/TNFAIP3"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/82",""
"GO:0002252","GO:0002252","immune effector process",10,"10/82","EMP2/CD27/BST1/KRT1/CD93/PIK3CD/BST2/CD58/TNFAIP3/IGHV1-3"
"GO:0002253","GO:0002253","activation of immune response",3,"3/82","KRT1/PIK3CD/IGHV1-3"
"GO:0002262","GO:0002262","myeloid cell homeostasis",2,"2/82","INHA/PIK3CD"
"GO:0002339","GO:0002339","B cell selection",0,"0/82",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/82",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",1,"1/82","BST2"
"GO:0002507","GO:0002507","tolerance induction",1,"1/82","TNFAIP3"
"GO:0002520","GO:0002520","immune system development",5,"5/82","CD27/INHA/CYP26B1/PIK3CD/TNFAIP3"
"GO:0002682","GO:0002682","regulation of immune system process",14,"14/82","CD27/BST1/KRT1/INHA/CYP26B1/PIK3CD/BST2/GPX1/TRPV4/TNFAIP3/SLC7A2/IGF2/FUT4/IGHV1-3"
"GO:0002683","GO:0002683","negative regulation of immune system process",4,"4/82","INHA/BST2/GPX1/TNFAIP3"
"GO:0002684","GO:0002684","positive regulation of immune system process",8,"8/82","CD27/BST1/KRT1/PIK3CD/TRPV4/IGF2/FUT4/IGHV1-3"
"GO:0006955","GO:0006955","immune response",12,"12/82","EMP2/CD27/LGR4/BST1/KRT1/CD93/PIK3CD/BST2/GPX1/CD58/TNFAIP3/IGHV1-3"
"GO:0019882","GO:0019882","antigen processing and presentation",0,"0/82",""
"GO:0031294","GO:0031294","lymphocyte costimulation",0,"0/82",""
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/82",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/82",""
"GO:0045058","GO:0045058","T cell selection",0,"0/82",""
"GO:0045321","GO:0045321","leukocyte activation",13,"13/82","CD27/BST1/KRT1/CD93/INHA/CYP26B1/PIK3CD/BST2/CD58/TNFAIP3/SLC7A2/IGF2/IGHV1-3"
"GO:0050900","GO:0050900","leukocyte migration",6,"6/82","BST1/ITGA3/PIK3CD/TRPV4/CD58/FUT4"
"GO:0090713","GO:0090713","immunological memory process",0,"0/82",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/82",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/82",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/82",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/82",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/82",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/82",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/82",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/82",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/82",""
"GO:0007611","GO:0007611","learning or memory",4,"4/82","DKK1/FOXO6/ITGA3/HMGCR"
"GO:0007622","GO:0007622","rhythmic behavior",0,"0/82",""
"GO:0007625","GO:0007625","grooming behavior",0,"0/82",""
"GO:0007626","GO:0007626","locomotory behavior",0,"0/82",""
"GO:0007631","GO:0007631","feeding behavior",0,"0/82",""
"GO:0007632","GO:0007632","visual behavior",1,"1/82","HMGCR"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/82",""
"GO:0007638","GO:0007638","mechanosensory behavior",0,"0/82",""
"GO:0019098","GO:0019098","reproductive behavior",0,"0/82",""
"GO:0030534","GO:0030534","adult behavior",0,"0/82",""
"GO:0030537","GO:0030537","larval behavior",0,"0/82",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/82",""
"GO:0035176","GO:0035176","social behavior",0,"0/82",""
"GO:0035187","GO:0035187","hatching behavior",0,"0/82",""
"GO:0035640","GO:0035640","exploration behavior",1,"1/82","ITGA3"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/82",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/82",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/82",""
"GO:0048520","GO:0048520","positive regulation of behavior",0,"0/82",""
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/82",""
"GO:0050795","GO:0050795","regulation of behavior",0,"0/82",""
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/82",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/82",""
"GO:0060273","GO:0060273","crying behavior",0,"0/82",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/82",""
"GO:0061744","GO:0061744","motor behavior",0,"0/82",""
"GO:0071625","GO:0071625","vocalization behavior",0,"0/82",""
"GO:0006734","GO:0006734","NADH metabolic process",0,"0/82",""
"GO:0006739","GO:0006739","NADP metabolic process",0,"0/82",""
"GO:0006807","GO:0006807","nitrogen compound metabolic process",46,"46/82","EMP2/TRIM16/SNAI2/ADAM28/CD27/NKD1/DKK1/LGR4/FOXO6/BST1/KRT1/ARID5B/EPHB4/PSCA/INHA/ACSM3/CKB/DCN/PDLIM1/TMEM132A/CELSR3/RNF145/TACC1/RAB23/MMP19/PIK3CD/BST2/ZSCAN18/SMOC2/GPX1/TRPV4/ST3GAL1/NEURL1B/TNFAIP3/GGT6/SLC7A2/IGF2/KANK2/FUT4/F13A1/NT5C2/SPEG/MVB12B/MVD/ATN1/HMGCR"
"GO:0009056","GO:0009056","catabolic process",12,"12/82","NKD1/ACOX2/DCN/CYP26B1/RAB23/MMP19/GPX1/TNFAIP3/FUT4/NT5C2/MVB12B/HMGCR"
"GO:0009058","GO:0009058","biosynthetic process",30,"30/82","TRIM16/SNAI2/DKK1/LGR4/FOXO6/PTGES/ARID5B/ACOX2/INHA/ACSM3/CKB/DCN/PDLIM1/TACC1/PIK3CD/ZSCAN18/SMOC2/GPX1/TRPV4/ST3GAL1/TNFAIP3/GGT6/SLC7A2/IGF2/KANK2/FUT4/NT5C2/MVD/ATN1/HMGCR"
"GO:0009892","GO:0009892","negative regulation of metabolic process",19,"19/82","SNAI2/CD27/DKK1/LGR4/FOXO6/ARID5B/PSCA/INHA/PIK3CD/BST2/GPX1/TRPV4/TNFAIP3/IGF2/KANK2/MIR3142HG/MIR616/ATN1/HMGCR"
"GO:0009893","GO:0009893","positive regulation of metabolic process",23,"23/82","EMP2/TRIM16/SNAI2/CD27/NKD1/DKK1/LGR4/FOXO6/ITGA3/ARID5B/EPHB4/INHA/DCN/PDLIM1/CYP26B1/TACC1/PIK3CD/SMOC2/TRPV4/CD58/TNFAIP3/IGF2/HMGCR"
"GO:0018933","GO:0018933","nicotine metabolic process",0,"0/82",""
"GO:0019222","GO:0019222","regulation of metabolic process",34,"34/82","EMP2/TRIM16/SNAI2/CD27/NKD1/DKK1/LGR4/FOXO6/BST1/ITGA3/ARID5B/EPHB4/PSCA/INHA/DCN/PDLIM1/CYP26B1/CELSR3/TACC1/PIK3CD/BST2/ZSCAN18/SMOC2/GPX1/TRPV4/CD58/TNFAIP3/IGF2/KANK2/MVD/MIR3142HG/MIR616/ATN1/HMGCR"
"GO:0019674","GO:0019674","NAD metabolic process",1,"1/82","BST1"
"GO:0019748","GO:0019748","secondary metabolic process",0,"0/82",""
"GO:0032259","GO:0032259","methylation",0,"0/82",""
"GO:0032963","GO:0032963","collagen metabolic process",1,"1/82","MMP19"
"GO:0042440","GO:0042440","pigment metabolic process",0,"0/82",""
"GO:0042445","GO:0042445","hormone metabolic process",1,"1/82","CYP26B1"
"GO:0044033","GO:0044033","multi-organism metabolic process",0,"0/82",""
