"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",28,"28/780","MAPK8IP2/TP63/ADAMTS2/OCA2/HOOK1/PAQR5/ETV6/SSTR1/NOTCH1/ALDOA/ITGB1/GJA1/SPATC1L/LY6K/SOX17/CLIC4/FOXA3/GTSF1/ZNF296/FOSL1/NECTIN3/TDRP/NR2F2/NANOS3/SRC/DDO/SLC26A6/SELENOP"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/780",""
"GO:0022414","GO:0022414","reproductive process",53,"53/780","MAPK8IP2/TP63/SEMA3A/ADAMTS2/PTHLH/TFAP2C/COL9A3/SIX4/STS/OCA2/AREG/PDGFRB/PKMYT1/FOXA1/IDO1/HOOK1/ADAM19/NKX2-1/SMC2/ARRB1/TTPA/SULF1/PAQR5/LEF1/ETV6/SSTR1/REN/NOTCH1/ALDOA/ITGB1/GJA1/STC1/SPATC1L/LY6K/CAPN2/CTSB/SOX17/E2F7/CLIC4/FOXA3/GTSF1/ZNF296/BSG/FOSL1/NECTIN3/THBD/TDRP/NR2F2/NANOS3/SRC/DDO/SLC26A6/SELENOP"
"GO:0032504","GO:0032504","multicellular organism reproduction",28,"28/780","MAPK8IP2/TP63/ADAMTS2/OCA2/HOOK1/ARRB1/PAQR5/ETV6/SSTR1/NOTCH1/ITGB1/GJA1/STC1/SPATC1L/CTSB/SOX17/FOXA3/GTSF1/ZNF296/BSG/FOSL1/NECTIN3/TDRP/NR2F2/NANOS3/SRC/DDO/SLC26A6"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/780",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/780",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/780",""
"GO:0001776","GO:0001776","leukocyte homeostasis",4,"4/780","FOXN1/PKN1/PMAIP1/DOCK11"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",3,"3/780","PTPRC/LEF1/CLCF1"
"GO:0002252","GO:0002252","immune effector process",63,"63/780","MASP2/SLC11A1/SERPINB3/PTPRC/ADA2/DSP/PGRMC1/PYCARD/BNIP3L/NOP53/RAB3D/ALDOC/OAS2/STAT1/IL1R1/PKN1/ADGRE5/IRF1/BST2/ARPC1B/TCN1/CKAP4/DDX60/CXCL9/LEF1/GLIPR1/PMAIP1/DEGS1/DOCK11/ALDOA/FCGR1A/SLAMF8/CDA/C1QC/CSTB/CD3G/ZBTB7B/PPBP/CXCL1/DTX3L/CTSB/FTH1/CXCL10/PGM2/RNASE2/SERPINB9/GAA/CLCF1/BAIAP2/ISG15/S100A13/SRC/RAET1G/PLPP4/MICB/HLA-E/IGHV2-5/IGHV3-7/ORM2/PLEKHO2/C4A/SIGLEC14/HP"
"GO:0002253","GO:0002253","activation of immune response",22,"22/780","MASP2/PTPRC/EZR/PYCARD/CD276/ARPC1B/SKAP1/FCGR1A/C1QC/CD3G/BTNL9/BAIAP2/MUC1/FPR3/SLC39A10/SRC/PLPP4/MICB/IGHV2-5/IGHV3-7/PSMB9/C4A"
"GO:0002262","GO:0002262","myeloid cell homeostasis",7,"7/780","STAT1/ID2/KLF2/MFHAS1/DMTN/ISG15/MAFB"
"GO:0002339","GO:0002339","B cell selection",0,"0/780",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/780",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",11,"11/780","SLC11A1/PTPRC/IL1R1/PKN1/VPREB3/BST2/CLCF1/RAET1G/HLA-E/IGLV5-45/IGKV1-27"
"GO:0002507","GO:0002507","tolerance induction",3,"3/780","CD274/IDO1/HLA-E"
"GO:0002520","GO:0002520","immune system development",46,"46/780","MEOX1/TP73/PTPRC/PIR/SIX4/FOXN1/LTBR/STAT1/ID2/HOXB8/CD274/PKN1/MT1G/IRF1/KLF2/PRR7/IDO1/LRRC8A/KLF4/LEF1/ETV6/DOCK11/MFHAS1/NOTCH1/ITGB1/CMTM7/FZD7/SLAMF8/DMTN/C1QC/CD3G/ZBTB7B/IKZF3/GFI1/DACT2/CD34/CLCF1/JUN/SOX12/MLF1/SOCS1/ISG15/SRC/MAFB/HLA-E/PSMB9"
"GO:0002682","GO:0002682","regulation of immune system process",73,"73/780","CX3CL1/MASP2/SLC11A1/TP73/PTPRC/EZR/PYCARD/CD276/NOP53/FOXN1/STAT1/IL1R1/ID2/HOXB8/CD274/PKN1/IRF1/APOE/PLVAP/BST2/ARPC1B/IDO1/DDX60/EMILIN1/LEF1/PPP3CA/SKAP1/MFHAS1/NOTCH1/ITGB1/FCGR1A/SLAMF8/NBL1/C1QC/CD3G/ZBTB7B/IKZF3/DTX3L/GPER1/BTNL9/GREM1/CXCL10/P2RY12/CXCL8/SERPINB9/CD8B/VEGFB/MST1/CD34/SELP/CLCF1/BAIAP2/JUN/SOX12/SOCS1/MUC1/FPR3/ISG15/S100A14/SLC39A10/SRC/RAET1G/PLPP4/MAFB/LST1/MICB/HLA-E/IGHV2-5/IGHV3-7/ORM2/PSMB9/C4A/CCL5"
"GO:0002683","GO:0002683","negative regulation of immune system process",24,"24/780","CX3CL1/PTPRC/EZR/ID2/HOXB8/CD274/PKN1/IRF1/BST2/IDO1/EMILIN1/NOTCH1/SLAMF8/NBL1/C1QC/ZBTB7B/GPER1/GREM1/SERPINB9/SOCS1/MAFB/LST1/MICB/HLA-E"
