"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",38,"38/901","CYP26B1/SPATA20/MAPK8IP2/PRDM1/ATP2B4/ASPM/PLA2G10/TP63/HOXA9/ADCYAP1R1/PAFAH1B3/PGR/REC8/PABPC1L/ASF1B/TGFBR1/TTK/BMP4/TOP2A/RARA/PPP1R1B/PAQR5/CABYR/NPM2/IGSF8/C9orf24/AXL/FOXA3/CADM1/ABAT/NR2F2/SYCP2/CACNA1H/SRC/DDO/ETV5/SELENOP/HOXA10"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/901",""
"GO:0022414","GO:0022414","reproductive process",71,"71/901","CYP26B1/SPATA20/TEAD3/MAPK8IP2/BAK1/TUBG2/PRDM1/ATP2B4/ASPM/TRO/PLA2G10/TP63/HOXA9/ADCYAP1R1/PAFAH1B3/PGR/TFAP2C/ICAM1/TEKT2/PDGFB/REC8/PABPC1L/RETN/ASF1B/WNT2/TGFBR1/ARHGDIB/TTK/NDP/BMP4/FOSB/PKMYT1/E2F8/TOP2A/RARA/PPP1R1B/HAVCR2/NKX2-1/PAQR5/P3H4/SCGB1A1/ARID5B/BMP6/CABYR/CDC25C/NPM2/ITGA5/IGSF8/MSX1/TIPARP/C9orf24/AXL/FOXA3/LDOC1/CADM1/ABAT/ADRA2C/SOCS3/NR2F2/EPOR/SLC38A3/GJB5/SYCP2/CACNA1H/SRC/DDO/DDR1/SERPINB5/ETV5/SELENOP/HOXA10"
"GO:0032504","GO:0032504","multicellular organism reproduction",37,"37/901","CYP26B1/SPATA20/MAPK8IP2/PRDM1/ATP2B4/ASPM/TP63/HOXA9/ADCYAP1R1/PAFAH1B3/PGR/REC8/PABPC1L/RETN/ASF1B/TGFBR1/TTK/BMP4/TOP2A/RARA/PPP1R1B/HAVCR2/PAQR5/CABYR/NPM2/C9orf24/AXL/FOXA3/LDOC1/CADM1/NR2F2/EPOR/SYCP2/SRC/DDO/ETV5/HOXA10"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/901",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/901",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/901",""
"GO:0001776","GO:0001776","leukocyte homeostasis",8,"8/901","BAK1/TNFRSF17/MEF2C/JAK3/TCIRG1/PMAIP1/ADAM17/AXL"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",3,"3/901","CD40/IL27RA/CLCF1"
"GO:0002252","GO:0002252","immune effector process",75,"75/901","CFH/NOS2/SLC11A1/TIMP2/SBNO2/PLA2G10/PVR/GSTP1/FTL/ICAM1/UNC13D/CTSG/CD40/CTSZ/OLFM4/RETN/IL27RA/JAK3/IMPDH1/TCIRG1/POU2AF1/APOA1/TTR/NPC2/SASH3/LRP1/IFI6/LBP/RARA/HAVCR2/OASL/MYO1G/GLIPR1/PMAIP1/DUSP10/MYO10/DOCK1/ADAM17/ENPP3/ELMO1/CD3G/ZBTB7B/FTH1/C3AR1/C1QA/CLCF1/APOBEC3B/CADM1/PLSCR1/SRC/SERPINA1/MYO1C/PNP/SUCNR1/FCGR3A/PLPP4/MICB/TRIM15/HLA-H/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/TNF/NFAM1/PLEKHO2/IGKV1D-39/HP/MILR1"
