"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/82",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/82","BST1"
"GO:0016491","GO:0016491","oxidoreductase activity",4,"4/82","ACOX2/CYP26B1/GPX1/HMGCR"
"GO:0016740","GO:0016740","transferase activity",14,"14/82","TRIM16/BST1/EPHB4/ACSM3/CKB/RNF145/PIK3CD/ST3GAL1/NEURL1B/TNFAIP3/GGT6/FUT4/F13A1/SPEG"
"GO:0016787","GO:0016787","hydrolase activity",9,"9/82","ADAM28/BST1/PDE6B/ARSD/RAB23/MMP19/TNFAIP3/GGT6/NT5C2"
"GO:0016829","GO:0016829","lyase activity",2,"2/82","BST1/MVD"
"GO:0016853","GO:0016853","isomerase activity",1,"1/82","PTGES"
"GO:0016874","GO:0016874","ligase activity",1,"1/82","ACSM3"
"GO:0032451","GO:0032451","demethylase activity",0,"0/82",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/82",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/82",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",9,"9/82","ADAM28/EPHB4/RNF145/MMP19/NEURL1B/TNFAIP3/GGT6/F13A1/SPEG"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",0,"0/82",""
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",0,"0/82",""
"GO:0003735","GO:0003735","structural constituent of ribosome",0,"0/82",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/82",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/82",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",1,"1/82","DCN"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/82",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/82",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/82",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/82",""
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/82",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/82",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/82",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/82",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",1,"1/82","KRT1"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/82",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/82",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/82",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/82",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/82",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/82",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/82",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/82",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/82",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/82",""
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/82",""
"GO:0022857","GO:0022857","transmembrane transporter activity",4,"4/82","SLC6A13/TRPV4/SLC7A2/TMC8"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/82",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/82",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/82",""
"GO:0000035","GO:0000035","acyl binding",0,"0/82",""
"GO:0003682","GO:0003682","chromatin binding",1,"1/82","SNAI2"
"GO:0003823","GO:0003823","antigen binding",1,"1/82","IGHV1-3"
"GO:0005515","GO:0005515","protein binding",55,"55/82","EMP2/TRIM16/SNAI2/ADAM28/CD27/NKD1/DKK1/LGR4/FOXO6/EMP1/KRT1/ITGA3/C20orf85/CD93/PTGES/ARID5B/EPHB4/ACOX2/RIC3/PSCA/INHA/P2RY13/PSD4/MS4A7/CKB/DCN/PDLIM1/CELSR3/CD69/TACC1/RAB23/CLDN11/PIK3CD/BST2/ZSCAN18/SMOC2/GPX1/SEMA6B/TRPV4/CD58/NEURL1B/EGFL7/TNFAIP3/GGT6/IGF2/TMC8/KANK2/TMEM88/NT5C2/SPEG/MVB12B/MVD/IGHV1-3/ATN1/HMGCR"
"GO:0005549","GO:0005549","odorant binding",0,"0/82",""
"GO:0008144","GO:0008144","drug binding",0,"0/82",""
"GO:0008289","GO:0008289","lipid binding",5,"5/82","ACOX2/PSD4/CYP26B1/TRPV4/MVB12B"
"GO:0008430","GO:0008430","selenium binding",0,"0/82",""
"GO:0015643","GO:0015643","toxic substance binding",0,"0/82",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/82",""
"GO:0030246","GO:0030246","carbohydrate binding",4,"4/82","EVA1C/KRT1/CD93/CD69"
"GO:0031409","GO:0031409","pigment binding",0,"0/82",""
"GO:0033218","GO:0033218","amide binding",1,"1/82","PTGES"
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/82",""
"GO:0036094","GO:0036094","small molecule binding",13,"13/82","EPHB4/ACOX2/ACSM3/CKB/CYP26B1/GIMAP6/RAB23/PIK3CD/TRPV4/NT5C2/SPEG/MVD/HMGCR"
"GO:0042165","GO:0042165","neurotransmitter binding",1,"1/82","SLC6A13"
"GO:0042562","GO:0042562","hormone binding",0,"0/82",""
