"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/901",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/901",""
"GO:0016491","GO:0016491","oxidoreductase activity",52,"52/901","CYP26B1/NOS2/FMO3/CYP24A1/MSMO1/TBXAS1/GSTO2/ME1/MTHFD2/MAOB/ALDH3A2/CYP2W1/MOXD1/GSTP1/ERO1B/PIR/CYP2D6/FOXRED2/IL4I1/IMPDH1/EHHADH/TP53I3/GPD2/PECR/ALKBH7/SRD5A3/IVD/AOC3/FMO5/AKR1C2/PLOD2/PDIA4/FRRS1/CBR1/CBR3/CYGB/BDH2/STEAP1/GPD1/CYP2S1/FTH1/DCXR/RRM2/MSRB3/PIPOX/PDIA2/P4HB/AGMO/DDO/GSTM2/FADS3/DECR2"
"GO:0016740","GO:0016740","transferase activity",82,"82/901","MYLIP/HHATL/RNF19A/FLT4/LTBP1/PRDM1/GSTO2/TIE1/FGFR3/LNX1/ACAT1/PAFAH1B3/TRAF5/OXCT1/GSTP1/TGM1/NANS/DMPK/JAK3/EPHB6/TGFBR1/ENG/RNF43/GALK1/GALNT18/CCND3/TTK/CHST10/ST6GALNAC5/BSPRY/GLT8D2/TGM3/FGFRL1/PKMYT1/CASD1/PIAS3/DCLK1/ALPK3/GLYAT/HNMT/PIP4K2A/RNF144A/STK32B/CHST9/PRKCA/SLA/NMNAT2/ZDHHC12/IP6K3/CDS1/TIPARP/STK17A/LARGE2/GLYATL1/AXL/B3GALNT1/STK32A/FUT3/CDC42BPG/TNK1/B3GNT5/RNF152/POLR2L/B3GNT3/UBE2E2/B4GALNT4/LCK/ABAT/ALG1L/EPHB4/SULT1A1/SRC/STK39/PNP/DDR1/TRIM15/GSTM2/NEURL1B/UBE2QL1/TSTD1/NHLRC4/IKBKE"
"GO:0016787","GO:0016787","hydrolase activity",89,"89/901","LAP3/CASP10/RHOBTB2/IDS/USP2/TUBG2/NRIP2/GNA15/PTPRU/ABCA7/MTHFD2/PLA2G10/RGS11/PAFAH1B3/PTPRH/ACHE/TMPRSS11E/MCM5/CTSG/CTSZ/ACP5/FAH/CEMIP/MCM4/TUBB4A/PLPPR2/PTPRZ1/PRUNE2/RAB34/ARHGDIB/NUDT12/PLCL1/RASL11A/XPNPEP2/TUBA1B/UNC5CL/RASL11B/DPP6/ACE2/NAPSA/TOP2A/ATP13A3/MYO1G/ABHD17C/DUSP10/MYO10/PRSS23/ADAM17/PTPRK/ACMSD/ENPP3/RAB39B/RHBDL2/CDC25C/ATP13A2/CCR5/DIRAS3/GBP4/PTPN13/ADAMTS9/PPM1K/USP54/TUBA1A/TUBA1C/ENTPD3/BMP1/FEN1/PTPRM/MST1/CTSF/NRIP3/LPL/MYO1D/RPP25/APOBEC3B/SLC25A42/LCK/DUSP8/PDE6G/PLA2G2A/GSPT2/MYL6B/TPSB2/MYO1C/CES1/PLPP4/NEU4/GBA3/HP"
"GO:0016829","GO:0016829","lyase activity",8,"8/901","ME1/DDT/GMDS/EHHADH/ASL/ACMSD/CYP2S1/HOGA1"
"GO:0016853","GO:0016853","isomerase activity",10,"10/901","TBXAS1/ERO1B/DDT/EHHADH/TOP2A/PDIA4/CYP2S1/FKBP2/PDIA2/P4HB"
"GO:0016874","GO:0016874","ligase activity",7,"7/901","GCLC/GCLM/ACACB/ACSL1/SUCLG2/ACSL5/ACACA"
"GO:0032451","GO:0032451","demethylase activity",1,"1/901","JARID2"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/901",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/901",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",91,"91/901","LAP3/CASP10/MYLIP/JARID2/RNF19A/USP2/FLT4/LTBP1/NRIP2/PTPRU/TIE1/FGFR3/LNX1/PTPRH/TRAF5/ERO1B/TMPRSS11E/TGM1/CTSG/CTSZ/DMPK/JAK3/EPHB6/PTPRZ1/TGFBR1/ENG/RNF43/GALNT18/CCND3/TTK/BSPRY/XPNPEP2/UNC5CL/TGM3/FGFRL1/PKMYT1/DPP6/ACE2/NAPSA/PIAS3/DCLK1/ABHD17C/ALPK3/DUSP10/PRSS23/RNF144A/ADAM17/PTPRK/PLOD2/STK32B/PRKCA/PDIA4/SLA/RHBDL2/CDC25C/ZDHHC12/PTPN13/ADAMTS9/PPM1K/TIPARP/STK17A/USP54/AXL/BMP1/STK32A/CDC42BPG/PTPRM/FKBP2/MST1/CTSF/TNK1/NRIP3/RNF152/B3GNT3/UBE2E2/B4GALNT4/LCK/DUSP8/PDIA2/P4HB/EPHB4/SRC/TPSB2/STK39/DDR1/TRIM15/NEURL1B/UBE2QL1/HP/NHLRC4/IKBKE"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",4,"4/901","MCM5/MCM4/TOP2A/FEN1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",3,"3/901","FEN1/POLR2L/RPP25"
"GO:0003735","GO:0003735","structural constituent of ribosome",7,"7/901","RPS5/RPS4Y1/RPLP1/RPS21/MRPL14/MRPL41/RPS26"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/901",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",9,"9/901","TUBG2/CTNNA2/NEFH/TUBB4A/TUBA1B/TUBA1A/TUBA1C/TLN2/SYNM"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",14,"14/901","VCAN/LTBP1/ELN/COL11A1/COL17A1/COL5A3/PCOLCE/LAMA4/LTBP2/THBS3/COL8A2/THBS2/COL5A2/COL15A1"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/901",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/901",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/901",""
"GO:0008307","GO:0008307","structural constituent of muscle",4,"4/901","MYOM1/SYNM/SMTN/MYL6B"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/901",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/901",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/901",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",2,"2/901","MAL2/MAL"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",2,"2/901","KRT10/SPRR2E"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/901",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/901",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/901",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/901",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/901",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/901",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/901",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",1,"1/901","ELN"
"GO:0098918","GO:0098918","structural constituent of synapse",1,"1/901","NEFH"
"GO:0005319","GO:0005319","lipid transporter activity",5,"5/901","GRAMD1B/ABCA7/APOA1/NPC2/PLSCR1"
"GO:0005344","GO:0005344","oxygen carrier activity",1,"1/901","CYGB"
"GO:0022857","GO:0022857","transmembrane transporter activity",45,"45/901","SLC11A1/KCNG1/SLC4A7/KCNQ1/KCNH2/ATP2B4/MPC1/ABCA7/SLC9A7/SLC9A3/TMEM38A/PANX2/CLCN4/SLC4A4/FXYD3/SLC22A17/SLC7A4/SLCO4A1/SLC30A4/KCNN4/TCIRG1/ASIC1/SLC22A3/SLC39A4/SLC43A1/ATP2B2/CNNM4/SLC13A3/ATP13A2/SLC16A14/SLC29A4/STEAP1/TTYH1/KCNS3/AQP4/KCNE3/SLCO3A1/SLC25A42/GJC1/KCNJ11/SLC38A3/GJB5/SLC6A9/CACNA1H/FXYD1"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/901",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/901",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/901",""
"GO:0000035","GO:0000035","acyl binding",0,"0/901",""
"GO:0003682","GO:0003682","chromatin binding",25,"25/901","JARID2/PRDM1/SBNO2/SREBF1/TP63/MEF2C/REC8/NFATC2/NFAT5/LHX2/CENPA/AJUBA/TOP2A/RARA/ZNF750/FOXO1/AUTS2/NPM2/CHAF1B/SVEP1/APBB1/SMAD3/INSM1/TOX/EPOP"
"GO:0003823","GO:0003823","antigen binding",15,"15/901","CD40/ITGA4/HLA-DRA/HLA-H/IGKV5-2/IGLV1-47/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/IGKV1D-39"
