"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005911","GO:0005911","cell-cell junction","44/786","493/19559",6.93080704998146e-07,0.00034376802967908,0.000307873744746545,"PKP2/PTPRU/COL17A1/CTNNA2/PVR/PANX2/FSCN1/CAMSAP3/ADCYAP1R1/FAT1/FAT2/ARVCF/PARD6A/TGFBR1/LIN7A/PERP/VASP/FGFRL1/AJUBA/ADAM17/PTPRK/SHROOM4/TSPAN33/JAML/ITGA5/CADM3/STEAP1/STX3/CTNND2/FRMD5/SYNPO/PTPRM/CCDC85B/SCRIB/SYNM/GJC1/CADM1/CLDN6/MAGI2/KCNJ11/GJB5/OCLN/CD3E/FXYD1",44
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","39/786","427/19559",1.69516824071736e-06,0.000413629966600456,0.000370441099120103,"TIMP2/VCAN/LTBP1/ELN/LAMC3/COL11A1/COL17A1/COL5A3/ACHE/ICAM1/PDGFB/CTSG/CTSZ/WNT2/PTPRZ1/PCOLCE/MEGF9/LAMA4/KNG1/APOA1/LTBP2/NDP/ANGPT1/ADAMTS9/LTBP3/SCARA3/THBS3/COL8A2/C1QA/MST1/CTSF/THBS2/PLSCR1/SERPINA1/TPSB2/S100A10/L1CAM/COL5A2/COL15A1",39
"GO:0031252","GO:0031252","cell leading edge","38/786","421/19559",3.04749178664328e-06,0.000413629966600456,0.000370441099120103,"RUFY3/SYNE2/ABCA7/CTNNA2/RASGRP2/FSCN1/FAT1/ASAP3/PARD6A/CORO1C/UNC5A/BSPRY/VASP/AJUBA/MYO1G/MYO10/ADAM17/PTPRK/ITGA5/PTPN13/APBB2/APBB1/STX3/LDB2/CDC42BPG/TLN2/PTPRM/MYO1D/SCRIB/SPATA13/P4HB/KCNJ11/EVL/SRC/PARVA/OCLN/MYO1C/LAYN",38
"GO:0045121","GO:0045121","membrane raft","32/786","329/19559",3.91161525542477e-06,0.000413629966600456,0.000370441099120103,"SELE/CNTN1/KCNQ1/ATP2B4/PAG1/ADCYAP1R1/ICAM1/EFNB1/CAV1/TGFBR1/CORO1C/UNC5A/TUBA1B/ACE2/MAL2/ADAM17/ANGPT1/TUBA1A/PRNP/MAL/KCNE3/MYO1D/LCK/PLSCR1/SRC/S100A10/MYO1C/ARC/TNF/NFAM1/FXYD1/CD24",32
"GO:0098857","GO:0098857","membrane microdomain","32/786","330/19559",4.16965692137556e-06,0.000413629966600456,0.000370441099120103,"SELE/CNTN1/KCNQ1/ATP2B4/PAG1/ADCYAP1R1/ICAM1/EFNB1/CAV1/TGFBR1/CORO1C/UNC5A/TUBA1B/ACE2/MAL2/ADAM17/ANGPT1/TUBA1A/PRNP/MAL/KCNE3/MYO1D/LCK/PLSCR1/SRC/S100A10/MYO1C/ARC/TNF/NFAM1/FXYD1/CD24",32
"GO:0009897","GO:0009897","external side of plasma membrane","37/786","417/19559",6.0766700176617e-06,0.000502338054793368,0.000449886797798814,"BTN3A1/IL12RB2/ICAM1/CD40/CD276/FCGRT/IL27RA/WNT2/ENG/GHR/ENPP3/RAET1L/CD3G/IL6R/CCR5/ITGA5/BTNL9/PRNP/AQP4/CD34/CD163/P4HB/CD3E/FCGR3A/LY6G6C/MICB/HLA-H/IGHV3-7/IGHV3-20/IGHV3-23/IGHV1-24/IGHV4-28/IGHV3-73/IGLC6/IGHV4-31/TNF/CD24",37
"GO:0098589","GO:0098589","membrane region","32/786","343/19559",9.29651848338018e-06,0.000658724738250939,0.000589944481200968,"SELE/CNTN1/KCNQ1/ATP2B4/PAG1/ADCYAP1R1/ICAM1/EFNB1/CAV1/TGFBR1/CORO1C/UNC5A/TUBA1B/ACE2/MAL2/ADAM17/ANGPT1/TUBA1A/PRNP/MAL/KCNE3/MYO1D/LCK/PLSCR1/SRC/S100A10/MYO1C/ARC/TNF/NFAM1/FXYD1/CD24",32
"GO:0030055","GO:0030055","cell-substrate junction","36/786","423/19559",2.00936291260151e-05,0.00103875093373903,0.000930290522151676,"LAP3/FHL1/SYNE2/COL17A1/FGFR3/PVR/EPB41L2/RPS5/FAT1/ASAP3/ICAM1/CAV1/ENG/CORO1C/ITGA4/LRP1/VASP/AJUBA/STARD8/TNS4/RPLP1/DIXDC1/ADAM17/DAB2/SLA/SHROOM4/ITGA5/TLN2/SYNPO2/P4HB/EVL/SRC/PARVA/L1CAM/LAYN/SCARF2",36
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","29/786","308/19559",2.03233268313439e-05,0.00103875093373903,0.000930290522151676,"VCAN/LTBP1/RCN1/COL11A1/COL17A1/CYP2W1/COL5A3/TSPAN15/SERPIND1/PDGFB/FOXRED2/CTSZ/MSLN/SCG3/KNG1/APOA1/BMP4/IGFBP3/PRSS23/PDIA4/TSPAN33/ALB/COL8A2/PDIA2/P4HB/SERPINA1/CES1/COL5A2/COL15A1",29
"GO:0016323","GO:0016323","basolateral plasma membrane","25/786","246/19559",2.09425591479643e-05,0.00103875093373903,0.000930290522151676,"SLC4A7/KCNQ1/ATP2B4/CTNNA2/SLC4A4/PDGFB/LIN7A/LRP1/NKD2/ADRA2A/CNNM4/SLC13A3/SHROOM4/IL6R/PTH1R/SLC29A4/AQP4/CD34/MYO1D/SCRIB/CADM1/SLC38A3/SLC6A9/MYO1C/STK39",25
"GO:0098858","GO:0098858","actin-based cell projection","23/786","220/19559",2.83066106512437e-05,0.00127637080754699,0.00114309949232774,"USH1C/RUFY3/SLC4A7/SYNE2/FSCN1/MAP2/PTPRH/FAT1/PVALB/ICAM2/VASP/AOC3/MYO1G/MYO10/UTRN/ANGPT1/APBB1/TTYH1/DCXR/MORN4/MYO1D/SPATA13/MYO1C",23
"GO:0005925","GO:0005925","focal adhesion","35/786","415/19559",3.15260944807829e-05,0.00130307857187236,0.00116701858516582,"LAP3/FHL1/SYNE2/FGFR3/PVR/EPB41L2/RPS5/FAT1/ASAP3/ICAM1/CAV1/ENG/CORO1C/ITGA4/LRP1/VASP/AJUBA/STARD8/TNS4/RPLP1/DIXDC1/ADAM17/DAB2/SLA/SHROOM4/ITGA5/TLN2/SYNPO2/P4HB/EVL/SRC/PARVA/L1CAM/LAYN/SCARF2",35
"GO:0030027","GO:0030027","lamellipodium","20/786","201/19559",0.00018156507612207,0.00692740598127284,0.00620408600190395,"RUFY3/SYNE2/CTNNA2/FSCN1/FAT1/CORO1C/VASP/AJUBA/MYO1G/MYO10/PTPN13/APBB2/APBB1/STX3/PTPRM/SCRIB/SPATA13/P4HB/EVL/PARVA",20
