"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031589","GO:0031589","cell-substrate adhesion","37/756","359/18866",1.52461553858282e-07,0.000609027927858302,0.000521386333975962,"LAMC3/COL17A1/CAMSAP3/COL5A3/EPDR1/FAT2/UNC13D/OLFM4/MSLN/MEGF9/CORO1C/ITGA4/APOA1/LRP1/LYPD3/AJUBA/MYO1G/DOCK1/UTRN/PTPRK/ANGPT1/FZD7/ITGA5/ADAMTS9/SMAD3/AXL/TTYH1/THBS3/NDNF/CD34/P4HB/SRC/PARVA/S100A10/CD3E/L1CAM/DDR1",37
"GO:0045785","GO:0045785","positive regulation of cell adhesion","41/756","428/18866",2.4091294614648e-07,0.000609027927858302,0.000521386333975962,"SELE/IBSP/PTPRU/ICAM1/EFNB1/UNC13D/OLFM4/NFAT5/CD276/IL27RA/JAK3/CAV1/ITGA4/APOA1/HSPH1/SASH3/RARA/HAVCR2/DUSP10/MYO10/DOCK1/UTRN/ANGPT1/PRKCA/RUNX1/ZBTB7B/ITGA5/STX3/SMAD3/CCDC88B/FUT3/FRMD5/NDNF/LCK/P4HB/SRC/S100A10/PNP/CD3E/TNF/CD24",41
"GO:0045216","GO:0045216","cell-cell junction organization","25/756","210/18866",1.18342957707436e-06,0.00151456477522745,0.00129661274894555,"PKP2/PVR/FSCN1/CAMSAP3/ARVCF/PARD6A/CAV1/TGFBR1/PERP/ACE2/BMP6/PRKCA/RUNX1/CADM3/SVEP1/SMAD3/CTNND2/TLN2/GJC1/CADM1/CLDN6/SRC/OCLN/MYO1C/TNF",25
"GO:0030198","GO:0030198","extracellular matrix organization","37/756","395/18866",1.59432944462969e-06,0.00151456477522745,0.00129661274894555,"IBSP/TIMP2/VCAN/ELN/LAMC3/COL11A1/COL17A1/FSCN1/COL5A3/ERO1B/ICAM1/PDGFB/CTSG/CAV1/TGFBR1/ENG/ICAM2/LAMA4/ITGA4/TTR/LRP1/P3H4/MPZL3/ITGA5/ADAMTS9/APBB2/SMAD3/LTBP3/BMP1/COL8A2/NDNF/OLFML2A/COL5A2/COL15A1/DDR1/SERPINB5/TNF",37
"GO:0043062","GO:0043062","extracellular structure organization","37/756","396/18866",1.69301700349015e-06,0.00151456477522745,0.00129661274894555,"IBSP/TIMP2/VCAN/ELN/LAMC3/COL11A1/COL17A1/FSCN1/COL5A3/ERO1B/ICAM1/PDGFB/CTSG/CAV1/TGFBR1/ENG/ICAM2/LAMA4/ITGA4/TTR/LRP1/P3H4/MPZL3/ITGA5/ADAMTS9/APBB2/SMAD3/LTBP3/BMP1/COL8A2/NDNF/OLFML2A/COL5A2/COL15A1/DDR1/SERPINB5/TNF",37
"GO:0042493","GO:0042493","response to drug","37/756","397/18866",1.79734743895662e-06,0.00151456477522745,0.00129661274894555,"NOS2/GCLM/BAK1/TIMP2/KCNQ1/KCNH2/MAOB/SREBF1/CYP2W1/ACACB/ADCYAP1R1/MEF2C/OXCT1/ICAM1/CYP2D6/TSPO/NFATC2/ENG/APOA1/FOSB/SLC22A3/SCGB1A1/VEGFC/ADAM17/ACSL1/CYP2S1/PRNP/PTPRM/VEGFB/LPL/LCK/ABAT/KCNJ11/SRC/S100A10/PNP/TXNIP",37
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","35/756","374/18866",3.10755433330793e-06,0.00224454210131498,0.00192154337121236,"CNTN1/FLT4/TIE1/FGFR3/IL12RB2/ICAM1/PDGFB/CD40/JAK3/CAV1/EPHB6/TTK/GHR/SH3BP5/ADRA2A/ADAM17/BANK1/BMP6/ANGPT1/SLA/SHC1/IL6R/ITGA5/AXL/PRNP/TNK1/CLCF1/LCK/SOCS3/EPHB4/SRC/CD3E/DDR1/TNF/CD24",35
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","35/756","377/18866",3.71706409445045e-06,0.0022559583595962,0.00193131678353172,"CNTN1/FLT4/TIE1/FGFR3/IL12RB2/ICAM1/PDGFB/CD40/JAK3/CAV1/EPHB6/TTK/GHR/SH3BP5/ADRA2A/ADAM17/BANK1/BMP6/ANGPT1/SLA/SHC1/IL6R/ITGA5/AXL/PRNP/TNK1/CLCF1/LCK/SOCS3/EPHB4/SRC/CD3E/DDR1/TNF/CD24",35
"GO:0043270","GO:0043270","positive regulation of ion transport","29/756","284/18866",4.01574866225589e-06,0.0022559583595962,0.00193131678353172,"CNTN1/FHL1/BAK1/KCNQ1/KCNH2/PKP2/ABCA7/PLA2G10/ADCYAP1R1/TSPO/PDGFB/CEMIP/CAV1/APOA1/ACE2/ADRA2A/PLA2R1/S100A1/ADRB2/KCNE3/ABAT/STAC3/KCNJ11/SLC38A3/ACSL5/ARC/STK39/GSTM2/FXYD1",29
"GO:1990823","GO:1990823","response to leukemia inhibitory factor","15/756","97/18866",6.97223377827337e-06,0.0032046921802682,0.00274352395179522,"JARID2/GCLM/MPC1/SBNO2/PLA2G10/SNX10/ICAM1/NEFH/MYBL2/KLF5/PCOLCE/BSPRY/ARID5B/VEGFC/SOCS3",15
