"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/901",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",2,"2/901","RNF19A/RNF144A"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",0,"0/901",""
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/901",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",1,"1/901","CCND3"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/901",""
"GO:0000502","GO:0000502","proteasome complex",0,"0/901",""
"GO:0005737","GO:0005737","cytoplasm",518,"518/901","GCLC/LAP3/CYP26B1/CASP10/USH1C/SCIN/NOS2/BAIAP3/SELE/MYLIP/SYN1/JARID2/MAPK8IP2/RHOBTB2/TENM1/HHATL/FUZ/IDS/RUFY3/SLC11A1/CYP24A1/SYT13/NCDN/FHL1/NLRP2/GCLM/SH2D2A/ARNTL2/BAK1/SLC4A7/TMSB10/RNF19A/TIMP2/USP2/TUBG2/FLT4/VCAN/CELF2/EPN3/LTBP1/RCN1/MSMO1/NRIP2/KCNQ1/SYNE2/KCNH2/PKP2/PRDM1/ATP2B4/CREB3L3/COL11A1/MPC1/ABCA7/CALCRL/COL17A1/GSTO2/ME1/TBC1D1/MTHFD2/SLC9A7/CTNNA2/NGEF/ASPM/KLF6/PDZD4/FGFR3/RASGRP2/MAOB/PLA2G10/LNX1/ALDH3A2/SREBF1/TMEM38A/PVR/CYP2W1/PANX2/TP63/CLCN4/ACAT1/GRAMD4/FSCN1/SPAG5/TPD52/ACACB/CAMSAP3/MAP2/LAMP3/ADCYAP1R1/PAFAH1B3/EPB41L2/MOXD1/PTPRH/COL5A3/MEF2C/FYB1/PGR/TRAF5/OXCT1/RPS5/FAT1/GSTP1/FAM234B/MAPRE3/EPDR1/SNX10/FAT2/ERO1B/ACHE/FTL/TFAP2C/PIR/ASAP3/PEBP1/EFNB1/SLC22A17/TGM1/TEKT2/UNC13D/NANS/TSPAN15/CEP170B/ARVCF/SERPIND1/DDT/CYP2D6/NEFH/MCM5/TSPO/PDGFB/FOXRED2/PVALB/CTSG/CD40/NFATC2/PABPC1L/CTSZ/MYOM1/GPR143/CAB39L/KLF5/ACP5/TSC22D1/OLFM4/MSLN/NFAT5/PARD6A/AP3B2/FAH/CEMIP/SCG3/SLC30A4/TUBB4A/FCGRT/RETN/DMPK/IL4I1/TNNT1/PLEKHA4/JAK3/ARRDC2/CAV1/WNT2/EPHB6/IMPDH1/PRUNE2/TGFBR1/GALK1/SYNGR2/RAB34/IL10RA/GALNT18/TCIRG1/CORO1C/ASIC1/ARHGDIB/ATN1/PERP/CCND3/GMDS/TTK/NUDT12/GHR/EHHADH/KNG1/TP53I3/GPD2/CENPA/FNDC4/PECR/CHST10/MLPH/ID2/PLCL1/ST6GALNAC5/APOA1/CAMSAP2/TTR/BSPRY/NPC2/CNRIP1/HSPH1/GLT8D2/SASH3/NR4A1/LRP1/TUBA1B/UNC5CL/BMP4/ALKBH7/VASP/SDCBP2/TGM3/ASL/IFI6/FGFRL1/PKMYT1/CASD1/SRD5A3/IVD/E2F8/AJUBA/RPS4Y1/TNNI3/CBFA2T3/STARD8/SH3BP4/GADD45G/ACE2/RAB11FIP4/SH3BP5/NAPSA/AOC3/TNS4/TOP2A/RARA/PPP1R1B/FMO5/PIAS3/GIMAP6/GIMAP4/SFTPD/HAVCR2/MSI1/OASL/MYO1G/ABHD17C/LIMD2/RPLP1/UACA/LRIG3/GLIPR1/SECTM1/PMAIP1/P3H4/MIEN1/DUSP10/ATP8B2/NKD2/MYO10/IGFBP3/SYBU/MAL2/FAM83A/SLC39A4/SCGB1A1/GLYAT/HNMT/PDCD4/ADRA2A/VEGFC/PRSS23/DOCK1/DIXDC1/PIP4K2A/FOXO1/ANKRD50/AKR1C2/RNF144A/ADAM17/ACSL1/UTRN/PLOD2/CENPH/DAB2/ACMSD/BMP6/RASSF3/PID1/CABYR/CHST9/PRKCA/ENPP3/PDIA4/FZD7/ELMO1/RAET1L/SLA/RAB39B/MPV17L/NMNAT2/ATP2B2/AUTS2/SHROOM4/CDC25C/TSPAN33/AHCYL2/NPM2/CBR1/CBR3/CHAF1B/ARHGAP27/ATP13A2/ZDHHC12/CD3G/S100A1/SHC1/CCR5/PTH1R/CYGB/ITGA5/IP6K3/GBP4/CDS1/PTPN13/ALB/ADAMTS9/PPM1K/SMIM14/APBB2/BDH2/STEAP1/CDCA7L/SYTL3/C9orf24/MAMDC2/SVEP1/ARHGEF40/NSMF/LARGE2/PLEKHF1/TMEM100/APBB1/GLYATL1/CHP2/STX3/SMAD3/TUBA1A/TUBA1C/GPD1/CYP2S1/TTYH1/FTH1/ATG16L2/SAC3D1/CCDC88B/SCARA3/LGI3/BMP1/PHYHIP/FEN1/THBS3/ADRB2/B3GALNT1/MT1E/DCXR/CTNND2/SMAGP/SGCD/KCNS3/GIMAP8/FUT3/MORN4/CDC42BPG/COL8A2/RRM2/RPS21/C3AR1/PRNP/AQP4/TLN2/SYNPO/MAL/SUCLG2/RCAN2/IL16/ARNT2/SYNPO2/EHBP1L1/PPP1R14B/AGR3/PTPRM/FKBP2/VEGFB/CCDC106/HOXB2/NRROS/CD34/CTSF/MSRB3/TNK1/KCNE3/CCDC85B/B3GNT5/RNF152/MYO1D/CD163/AGTRAP/POLR2L/MYOZ1/STX19/ZHX2/APOBEC3B/PIPOX/CITED4/B3GNT3/LYNX1/TMEM64/SSR4/SCRIB/MRPL14/SLC25A42/MRPL41/RGMA/SYNM/B4GALNT4/AP1S2/C1orf116/CRIP2/LCK/SPATA13/ABAT/SMTN/ADRA2C/DUSP8/SOCS3/NELL2/CDCA2/STAC3/NR2F2/DLK1/PDIA2/P4HB/KLHDC8B/THBS2/KRT10/MAGI2/KCNJ11/AGMO/PRKAR1B/PLA2G2A/PLSCR1/ALG1L/GSPT2/EVL/EPHB4/MYL6B/SULT1A1/SLC6A9/SRC/ACSL5/NOL4L/SERPINA1/KANK2/STMN3/SERPINB2/PARVA/RPS26/S100A10/ATAD3A/OCLN/MYO1C/ARC/LRBA/STK39/SCAMP5/PNP/ARHGEF15/CES1/RUSC2/PRC1/SREBF2/RASGEF1A/SPRR2E/DDO/FOXO6/NEU4/COL5A2/HLA-DRA/COL15A1/POU5F1/TRIM15/CYS1/SERPINB5/HLA-H/GSTM2/NEURL1B/GOLGA8B/TSTD1/APOL6/TNF/NFAM1/PLEKHO2/HOGA1/ARHGDIG/DECR2/SPRR2F/GBA3/CHCHD10/SELENOP/HOXA10/C1orf210/HP/HOXB7/IKBKE/TXNIP/MILR1/RN7SL2/ACACA"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/901",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/901",""
