"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007219","GO:0007219","Notch signaling pathway","23/588","195/18866",4.64606583727089e-08,0.000131332458565926,0.000114617960095989,"TSPAN15/NFKBIA/CDK6/LFNG/NEURL1/ZMIZ1/DTX4/PERP/SNAI1/NOTCH2/MYC/APH1B/DLX1/EGFR/ADAM17/SORBS2/MMP14/ELF3/TSPAN5/DLK2/EGFL7/JAG2/DLK1",23
"GO:0022612","GO:0022612","gland morphogenesis","18/588","124/18866",5.6608818347382e-08,0.000131332458565926,0.000114617960095989,"SEMA3A/SEMA3C/NRP1/PTN/PLXNA1/HOXD13/TWSG1/LAMA5/NOTCH2/FGF7/EGFR/MSN/LRP5/ELF3/CYP7B1/RARG/SERPINB5/TNF",18
"GO:0045746","GO:0045746","negative regulation of Notch signaling pathway","10/588","40/18866",2.92195749732718e-07,0.000437219109548,0.000381574844471678,"TSPAN15/NFKBIA/LFNG/NEURL1/DLX1/EGFR/MMP14/DLK2/EGFL7/DLK1",10
"GO:0035272","GO:0035272","exocrine system development","11/588","51/18866",3.76913025472414e-07,0.000437219109548,0.000381574844471678,"SEMA3A/SEMA3C/NRP1/PLXNA1/WLS/TWSG1/LAMA5/FGF7/IGSF3/EGFR/TNF",11
"GO:0050673","GO:0050673","epithelial cell proliferation","35/588","453/18866",8.42214332608163e-07,0.000551423096788361,0.000481244249851367,"GRN/NRP1/HIF1A/FLT1/CDK6/PTN/CAV2/HOXA5/CCND1/SLURP1/NR1D1/RIDA/NOTCH2/MYC/FGF2/FGF7/COL8A1/EGFR/IGFBP3/ADAM17/WNT7A/MMP14/TGFA/HMGB2/VEGFD/B2M/ATOH8/MCC/CYP7B1/EGFL7/FUT2/SOX2/PRKX/SERPINB5/TNF",35
"GO:0007435","GO:0007435","salivary gland morphogenesis","9/588","35/18866",8.92914025623599e-07,0.000551423096788361,0.000481244249851367,"SEMA3A/SEMA3C/NRP1/PLXNA1/TWSG1/LAMA5/FGF7/EGFR/TNF",9
"GO:0030198","GO:0030198","extracellular matrix organization","32/588","395/18866",8.99772509509654e-07,0.000551423096788361,0.000481244249851367,"ITGAL/ITGA3/TNFRSF1B/IBSP/GPM6B/COL9A2/PAPLN/CAV2/SPOCK2/KAZALD1/SH3PXD2A/COL5A1/LAMA5/ITGB4/ADAMTS14/ITGAV/FGF2/FURIN/COL8A1/ADAMTS1/MMP14/PDPN/COL6A3/ELF3/ITGA2/SERPINF2/KLK4/KLK2/SH3PXD2B/WT1/SERPINB5/TNF",32
"GO:0043062","GO:0043062","extracellular structure organization","32/588","396/18866",9.50729477221312e-07,0.000551423096788361,0.000481244249851367,"ITGAL/ITGA3/TNFRSF1B/IBSP/GPM6B/COL9A2/PAPLN/CAV2/SPOCK2/KAZALD1/SH3PXD2A/COL5A1/LAMA5/ITGB4/ADAMTS14/ITGAV/FGF2/FURIN/COL8A1/ADAMTS1/MMP14/PDPN/COL6A3/ELF3/ITGA2/SERPINF2/KLK4/KLK2/SH3PXD2B/WT1/SERPINB5/TNF",32
"GO:0048608","GO:0048608","reproductive structure development","34/588","443/18866",1.40472537686437e-06,0.000651792574865068,0.000568839844715498,"BAK1/PRDM1/SEMA3A/LRP2/HIF1A/REC8/FNDC3A/PTN/LFNG/CCND1/TNFSF10/PTGIS/SNAI1/HOXD13/NOTCH2/RBP4/IDH1/PLK4/RSPO3/EGFR/ADM/ADAMTS1/WNT7A/MMP14/TPPP3/CCNF/FZD5/HMGB2/CYP7B1/RARG/FZD4/WT1/GJB5/SERPINB5",34
"GO:0048732","GO:0048732","gland development","34/588","443/18866",1.40472537686437e-06,0.000651792574865068,0.000568839844715498,"PKM/SEMA3A/SEMA3C/NRP1/HIF1A/PCK2/PTN/MET/HOXA3/HOXA5/NEURL1/CCND1/PLXNA1/WLS/THRA/HOXD13/TWSG1/LAMA5/ASS1/NOTCH2/FGF7/IGSF3/EGFR/MSN/LRP5/AK4/ELF3/ITGA2/CYP7B1/RARG/SOX2/WT1/SERPINB5/TNF",34
"GO:0061458","GO:0061458","reproductive system development","34/588","447/18866",1.71716838170348e-06,0.000724332844645829,0.000632148015733327,"BAK1/PRDM1/SEMA3A/LRP2/HIF1A/REC8/FNDC3A/PTN/LFNG/CCND1/TNFSF10/PTGIS/SNAI1/HOXD13/NOTCH2/RBP4/IDH1/PLK4/RSPO3/EGFR/ADM/ADAMTS1/WNT7A/MMP14/TPPP3/CCNF/FZD5/HMGB2/CYP7B1/RARG/FZD4/WT1/GJB5/SERPINB5",34
"GO:0007431","GO:0007431","salivary gland development","9/588","39/18866",2.39766243764683e-06,0.000924283026401185,0.000806650817278893,"SEMA3A/SEMA3C/NRP1/PLXNA1/TWSG1/LAMA5/FGF7/EGFR/TNF",9
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","31/588","395/18866",2.58958606534815e-06,0.000924283026401185,0.000806650817278893,"GRN/NRP1/HIF1A/FLT1/CDK6/PTN/CAV2/HOXA5/CCND1/SLURP1/NR1D1/RIDA/NOTCH2/MYC/FGF2/FGF7/EGFR/ADAM17/WNT7A/TGFA/HMGB2/VEGFD/B2M/ATOH8/MCC/CYP7B1/EGFL7/FUT2/SOX2/SERPINB5/TNF",31
"GO:0042063","GO:0042063","gliogenesis","26/588","307/18866",4.26502782334718e-06,0.00135321319855987,0.00118099164583935,"CD9/IFNGR1/TNFRSF1B/GRN/LRP2/CDK6/PTN/ZMIZ1/ADGRG6/CCR2/NR1D1/TSPAN2/IL33/GPR17/DLX1/EGFR/APCDD1/MMP14/IL34/S100A9/HDAC11/GPR37L1/TPPP/SOX2/GJC2/TNF",26
"GO:0060445","GO:0060445","branching involved in salivary gland morphogenesis","7/588","23/18866",4.37461163327546e-06,0.00135321319855987,0.00118099164583935,"SEMA3A/SEMA3C/NRP1/PLXNA1/LAMA5/FGF7/TNF",7
"GO:0045785","GO:0045785","positive regulation of cell adhesion","32/588","428/18866",4.96029723855e-06,0.0014384861991795,0.00125541207083565,"ITGA3/IBSP/NRP1/CDK6/PTN/VSIR/SPOCK2/MAP3K8/ZMIZ1/CD5/CCR2/CCR7/RRAS/VAV3/PTPN22/VTCN1/CCL21/ITGAV/TPM1/NFKBIZ/COL8A1/ALOX15/PLPP3/PDPN/ITGA2/EDIL3/SERPINF2/CCL19/SOX2/LILRB4/SIRPA/TNF",32
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","14/588","108/18866",6.60476654129333e-06,0.00170256204175561,0.00148587934996231,"ITGAL/ITGA3/FYB1/NRP1/PTN/LAMA5/ITGB4/VAV3/ITGAV/ADAMTS1/ZYX/PLPP3/ITGA2/RCC2",14
"GO:0008593","GO:0008593","regulation of Notch signaling pathway","14/588","108/18866",6.60476654129333e-06,0.00170256204175561,0.00148587934996231,"TSPAN15/NFKBIA/LFNG/NEURL1/ZMIZ1/DLX1/EGFR/MMP14/ELF3/TSPAN5/DLK2/EGFL7/JAG2/DLK1",14
"GO:0140058","GO:0140058","neuron projection arborization","7/588","26/18866",1.08202603648395e-05,0.00258094185079226,0.00225246898820277,"SEMA3A/LRP2/NRP1/PTN/PHACTR1/DLG4/FZD4",7
