"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",25,"25/651","CD9/PRDM1/REC8/FNDC3A/PTN/NEURL1/ZMIZ1/PACRG/QKI/RGS2/PI3/THRA/CCDC136/SPIRE1/PDE5A/MFGE8/SYT8/ADAMTS1/NPPC/CIP2A/HMGB2/HPGD/JAG2/WT1/SELENOP"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/651",""
"GO:0022414","GO:0022414","reproductive process",60,"60/651","ITGA3/CD9/BAK1/PRDM1/TRO/SEMA3A/LRP2/HIF1A/REC8/PLTP/FNDC3A/PTN/LFNG/NEURL1/ZMIZ1/CCND1/PACRG/QKI/RGS2/TNFSF10/PI3/PTGIS/SNAI1/THRA/CCDC136/HOXD13/NOTCH2/SPIRE1/SLC38A2/RBP4/IDH1/PDE5A/SORD/MFGE8/PLK4/RSPO3/EGFR/ADM/SYT8/ADAMTS1/WNT7A/MMP14/TPPP3/CCNF/FZD5/NPPC/ANTXR2/CIP2A/HMGB2/HPGD/ITGA2/CYP7B1/RARG/SH3PXD2B/FZD4/JAG2/WT1/GJB5/SERPINB5/SELENOP"
"GO:0032504","GO:0032504","multicellular organism reproduction",27,"27/651","ITGA3/CD9/PRDM1/REC8/FNDC3A/PTN/NEURL1/ZMIZ1/PACRG/QKI/RGS2/PTGIS/THRA/CCDC136/SPIRE1/PDE5A/EGFR/ADAMTS1/TPPP3/NPPC/CIP2A/HMGB2/HPGD/SH3PXD2B/FZD4/JAG2/WT1"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/651",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/651",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/651",""
"GO:0001776","GO:0001776","leukocyte homeostasis",5,"5/651","BAK1/HIF1A/CCR2/ADAM17/TSC22D3"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",2,"2/651","TNFSF13/HMGB2"
"GO:0002252","GO:0002252","immune effector process",53,"53/651","ITGAL/MASP2/WAS/TNFRSF1B/GRN/SERPINB3/PKM/OAS1/BNIP3L/LFNG/UNC93B1/FOXP1/CD58/VAMP8/CAT/CCR2/FFAR2/GMFG/VAV3/PTPN22/NOTCH2/RSAD2/IL33/RBP4/IDH1/ITGAV/HERC5/ANXA3/SLC27A2/NLRC5/FCN3/CREG1/NFKBIZ/ADAM17/SLFN13/SPON2/TNFSF13/S100A9/S100A12/FZD5/B2M/KRT1/CCL19/RAB37/DPP7/RAP2B/IRF7/TNFRSF4/SERPINA1/SIRPA/IGHV2-5/IGHV1-18/TNF"
"GO:0002253","GO:0002253","activation of immune response",19,"19/651","MASP2/WAS/FYB1/PSME2/FOXP1/FFAR2/CCR7/CLEC10A/VAV3/PTPN22/VTCN1/FCN3/NFKBIZ/KRT1/CMKLR1/MUC1/LILRB4/IGHV2-5/IGHV1-18"
"GO:0002262","GO:0002262","myeloid cell homeostasis",11,"11/651","BAK1/HIF1A/CDK6/HOXA5/PTBP3/CCR2/FAM210B/THRA/ADAM17/HMGB2/B2M"
"GO:0002339","GO:0002339","B cell selection",1,"1/651","BAK1"
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/651",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",16,"16/651","TNFRSF1B/CCR2/FFAR2/PTPN22/RSAD2/IL33/RBP4/KLK3/SPON2/TNFSF13/FZD5/B2M/TNFRSF4/IGLV4-69/IGLV4-60/TNF"
"GO:0002507","GO:0002507","tolerance induction",1,"1/651","PHLPP1"
"GO:0002520","GO:0002520","immune system development",54,"54/651","BAK1/PRDM1/PHLPP1/TESC/HIF1A/NFKBIA/PSME2/FLT1/CDK6/PTN/HOXA3/LFNG/HOXA5/VSIR/SH3PXD2A/ZMIZ1/FOXP1/CD2/PTBP3/CCR2/FAM210B/THRA/CCR7/RRAS/LRRC17/TWSG1/TSPAN2/PTPN22/NOTCH2/RSAD2/CD164/MYC/HERC6/NFKBIZ/ADAM17/MMP14/IL34/TNFSF13/LRP5/PDPN/FZD5/HMGB2/MELK/B2M/FAXDC2/CCL19/RARG/CD248/PRKX/JAG2/IRF7/LILRB4/TOX/TNF"
"GO:0002682","GO:0002682","regulation of immune system process",82,"82/651","ITGAL/MASP2/CD9/WAS/IFNGR1/TNFRSF1B/GRN/F7/PRDM1/PHLPP1/FYB1/TESC/HIF1A/NFKBIA/PSME2/CDK6/PTN/HOXA5/VSIR/MAP3K8/ZMIZ1/CD5/FOXP1/PLA2G4A/CD2/VAMP8/CCR2/FAM210B/EDN3/FFAR2/HCST/CCR7/NR1D1/LRRC17/TWSG1/CLEC10A/VAV3/PTPN22/NOTCH2/VTCN1/RSAD2/MYC/IL33/CCL21/RBP4/HERC5/PDE5A/NLRC5/FCN3/GPR17/NFKBIZ/MSN/ADAM17/MMP14/IL34/TSC22D3/SPON2/ALOX15/BCL6B/TNFSF13/FZD5/HMGB2/ITGA2/VEGFD/AQP3/B2M/KRT1/FAXDC2/CCL19/RARG/CMKLR1/MUC1/IRF7/LILRB4/TNFRSF4/S100A14/SIRPA/TOX/LST1/IGHV2-5/IGHV1-18/TNF"
"GO:0002683","GO:0002683","negative regulation of immune system process",22,"22/651","GRN/NFKBIA/CDK6/HOXA5/VSIR/CCR2/NR1D1/LRRC17/TWSG1/PTPN22/VTCN1/MYC/IL33/CCL21/PDE5A/NLRC5/GPR17/TSC22D3/ALOX15/LILRB4/LST1/TNF"
"GO:0002684","GO:0002684","positive regulation of immune system process",59,"59/651","MASP2/WAS/F7/FYB1/TESC/HIF1A/PSME2/PTN/HOXA5/VSIR/MAP3K8/ZMIZ1/CD5/FOXP1/PLA2G4A/CD2/VAMP8/CCR2/FAM210B/EDN3/FFAR2/CCR7/CLEC10A/VAV3/PTPN22/NOTCH2/VTCN1/RSAD2/IL33/CCL21/RBP4/NLRC5/FCN3/NFKBIZ/ADAM17/MMP14/IL34/SPON2/TNFSF13/FZD5/HMGB2/ITGA2/VEGFD/AQP3/B2M/KRT1/FAXDC2/CCL19/CMKLR1/MUC1/IRF7/LILRB4/TNFRSF4/S100A14/SIRPA/TOX/IGHV2-5/IGHV1-18/TNF"
"GO:0006955","GO:0006955","immune response",90,"90/651","ITGAL/MASP2/WAS/IFNGR1/TNFRSF1B/GRN/SERPINB3/PRDM1/PKM/SEMA3C/FYB1/OAS1/PSME2/LFNG/VSIR/UNC93B1/FOXP1/RNF19B/PRG4/PLA2G4A/CD58/VAMP8/CAT/CCR2/TNFSF10/PI3/FFAR2/HCST/CCR7/ASS1/GMFG/SMPDL3B/CLEC10A/XAF1/VAV3/PTPN22/NOTCH2/VTCN1/RSAD2/CD164/IL33/CCL21/IDH1/ITGAV/HERC5/ANXA3/SLC27A2/PSTPIP1/NLRC5/KLK3/FCN3/CREG1/GPR17/ACKR3/NFKBIZ/ADAM17/CYSLTR2/LY96/IL34/SPON2/ZYX/ALOX15/BCL6B/TNFSF13/S100A9/S100A12/FZD5/HMGB2/B2M/KRT1/ALCAM/CCL19/RAB37/CMKLR1/DPP7/RAP2B/GBP6/TMEM106A/MUC1/IRF7/LILRB4/TNFRSF4/SERPINA1/SIRPA/LST1/IGLV4-69/IGLV4-60/IGHV2-5/IGHV1-18/TNF"
"GO:0019882","GO:0019882","antigen processing and presentation",12,"12/651","WAS/PSME2/VAMP8/CCR7/CCL21/KIF11/ITGAV/KIF2C/B2M/RILP/CCL19/SEC24C"
"GO:0031294","GO:0031294","lymphocyte costimulation",5,"5/651","MAP3K8/CD5/CCR7/CCL21/CCL19"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/651",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/651",""
"GO:0045058","GO:0045058","T cell selection",3,"3/651","CCR7/JAG2/TOX"
"GO:0045321","GO:0045321","leukocyte activation",64,"64/651","ITGAL/WAS/IFNGR1/TNFRSF1B/BAK1/GRN/SERPINB3/PRDM1/PKM/CDK6/LFNG/VSIR/MAP3K8/ZMIZ1/CD5/FOXP1/PLA2G4A/CD58/CD2/VAMP8/CAT/CCR2/CCR7/NR1D1/TWSG1/GMFG/VAV3/PTPN22/NOTCH2/VTCN1/RSAD2/IL33/CCL21/IDH1/ITGAV/PDE5A/ANXA3/SLC27A2/CREG1/NFKBIZ/MSN/ADAM17/MMP14/TNFSF13/S100A9/S100A12/FZD5/B2M/KRT1/CCL19/RAB37/DPP7/RAP2B/JAG2/TMEM106A/LILRB4/TNFRSF4/SERPINA1/SIRPA/TOX/LST1/IGHV2-5/IGHV1-18/TNF"
"GO:0050900","GO:0050900","leukocyte migration",33,"33/651","ITGAL/ITGA3/CD9/F7/FLT1/PTN/CD58/CD2/CCR2/EDN3/FFAR2/CCR7/VAV3/IL33/CCL21/ITGAV/ATP1B1/MSN/ADAM17/MMP14/IL34/S100A9/S100A12/ITGA2/VEGFD/CCL19/CYP7B1/CMKLR1/GCNT1/S100A14/SIRPA/IGHV2-5/TNF"
"GO:0090713","GO:0090713","immunological memory process",0,"0/651",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/651",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/651",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/651",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/651",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/651",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/651",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/651",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/651",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/651",""
"GO:0007611","GO:0007611","learning or memory",13,"13/651","ITGA3/HIF1A/PTN/NRXN2/THRA/DLG4/NGF/EGFR/NLGN4X/BTG2/B2M/RIN1/ARC"
"GO:0007622","GO:0007622","rhythmic behavior",1,"1/651","NR1D1"
"GO:0007625","GO:0007625","grooming behavior",1,"1/651","DLG4"
"GO:0007626","GO:0007626","locomotory behavior",6,"6/651","SOBP/SLURP1/DLG4/APH1B/FZD4/SELENOP"
"GO:0007631","GO:0007631","feeding behavior",0,"0/651",""
"GO:0007632","GO:0007632","visual behavior",2,"2/651","HIF1A/SLC1A2"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/651",""
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/651","NRXN2"
"GO:0019098","GO:0019098","reproductive behavior",1,"1/651","THRA"
"GO:0030534","GO:0030534","adult behavior",5,"5/651","NRXN2/SLC1A2/PCDH17/SDK1/NLGN4X"
"GO:0030537","GO:0030537","larval behavior",0,"0/651",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/651",""
"GO:0035176","GO:0035176","social behavior",3,"3/651","NRXN2/DLG4/NLGN4X"
"GO:0035187","GO:0035187","hatching behavior",0,"0/651",""
"GO:0035640","GO:0035640","exploration behavior",2,"2/651","ITGA3/DLG4"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/651",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/651",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/651",""
"GO:0048520","GO:0048520","positive regulation of behavior",0,"0/651",""
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/651",""
"GO:0050795","GO:0050795","regulation of behavior",2,"2/651","NR1D1/DLG4"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/651",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/651",""
"GO:0060273","GO:0060273","crying behavior",0,"0/651",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/651",""
"GO:0061744","GO:0061744","motor behavior",0,"0/651",""
"GO:0071625","GO:0071625","vocalization behavior",3,"3/651","NRXN2/DLG4/NLGN4X"
"GO:0006734","GO:0006734","NADH metabolic process",2,"2/651","PKM/PGM2L1"
"GO:0006739","GO:0006739","NADP metabolic process",3,"3/651","IDH1/PGD/NADK2"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",316,"316/651","ST3GAL1/MASP2/MLXIPL/WAS/IFNGR1/TNFRSF1B/ARNTL2/BAK1/GRN/CP/LMO3/SERPINB3/F7/PRDM1/PKM/SEMA3A/LRP2/PHLPP1/ATP8B1/SMARCD3/STRADB/MGST2/TESC/OAS1/CHGB/PEBP1/SCD/ERMP1/NRP1/PRTFDC1/TSPAN15/ASB2/HIF1A/SERPINA4/PAPLN/NFKBIA/PSME2/REC8/BEX4/NDFIP2/CAB39L/ACP5/PARP4/FLT1/TSC22D1/BNIP3L/MAP4K1/CDK6/WDR91/PTN/CAV2/MET/HOXA3/HOXA5/PALD1/VSIR/SPOCK2/ACTA2/NPM3/LHPP/NEURL1/MAP3K8/UBE2S/RPL28/ZMIZ1/PPIF/DTX4/CCND1/UST/PHACTR1/BAG2/RAB23/PTP4A1/ALDH5A1/GMNN/PERP/QKI/ZBTB47/FOXP1/RNF19B/FBXO2/IVNS1ABP/PLA2G4A/RGS2/CTH/AGMAT/ABCG2/ELL2/GDA/PTBP3/NEK6/CAT/FABP3/TNFSF10/CPXM2/PI3/EDN3/PTGIS/SNAI1/PMEPA1/PLAGL2/F10/HCST/THRA/CCR7/NR1D1/PRDX5/BCL2L12/RRAS/CALU/MRPS12/HOXD13/TWSG1/TNNI2/PNPLA7/ASS1/GMFG/SMPDL3B/TRIM47/DLG4/RIDA/GSTM1/PTPN22/NOTCH2/NGF/SPIRE1/FKBP11/SLC38A2/PPP1R1A/PKIB/LMX1B/MYC/IL33/CCL21/DNAJB5/RPS6/FOXP4/GMPR/TCF19/ADAMTS14/AOX1/IDH1/ITGAV/SECISBP2L/GLCE/APH1B/HERC6/HERC5/FGF2/PDE5A/ANXA3/DUOXA1/DUOXA2/DUOX2/FGF7/MFGE8/FURIN/NKD1/NLRC5/KLK3/PADI3/PLK4/FCN3/PTPRF/ZNF697/MPC2/CREG1/NAT8/ST6GAL2/THNSL2/LYG1/GALNT13/DLX1/ACKR3/RBMS3/POMGNT2/CSRNP1/NFKBIZ/PM20D2/CREB5/EGFR/CDCA5/IGFBP3/IGFBP1/ZNF92/MSN/TNKS1BP1/AKR1C2/RNF144A/ADAM17/WWC2/BAG3/PTPN14/MGAT5/TCF7L1/SPOCK1/NADK2/TNIK/ADAMTS1/SLFN13/WNT7A/MMP14/FZD1/IL34/TSC22D3/ATP13A2/BTG2/ALDH4A1/ABCG1/TMPRSS3/ALOX15/BCL6B/ASGR2/TNFSF13/CCNF/ADCY9/ASRGL1/ITIH3/LRP5/PLPP3/AK4/S100A9/S100A12/TGFA/FZD5/NPPC/PBXIP1/COL6A3/FSTL1/ELF3/HDAC11/HMGB2/MAD2L1/GUCY1A1/ITGA2/ELOVL7/RNF183/VEGFD/CLDN3/WNK2/ZNF367/MELK/SPTSSA/PGM2L1/WEE1/RIMKLB/SEC11C/CENPV/BEX3/B2M/NNMT/ACSM1/NXN/GPT/RILP/SERPINF2/GGT6/KLK1/KLK4/KLK2/KLK6/KLK11/KRT1/SEMA4C/TSPAN5/ATOH8/SFTPB/PPIC/GPR37L1/SERPINA6/RNF150/ADRA1B/FAXDC2/TPPP/HOPX/LPAR3/ECEL1/CCL19/RARG/SSH3/CMKLR1/UGT8/B4GAT1/FZD4/FUT2/DPP7/ACER2/DPM3/TMTC2/GIMAP7/GADD45GIP1/SOX2/RAP2B/TENT5C/ACSM5/TNFAIP8L3/FBXL7/PRKX/WT1/TMEM106A/MUC1/IRF7/LILRB4/TNFRSF4/GCNT1/SERPINA1/SIRPA/GJC2/TOX/SOX18/SERPINB5/SNORD60/TNF/SCARNA7/GBA3/FXYD1"
"GO:0009056","GO:0009056","catabolic process",92,"92/651","MLXIPL/TNFRSF1B/PKM/LRP2/MGST2/ASB2/HIF1A/PCK2/PSME2/NDFIP2/BNIP3L/PON2/WDR91/MET/VSIR/UBE2S/RPL28/IL10RA/BAG2/RAB23/ALDH5A1/AADAC/PLCH1/RNF19B/FBXO2/PLA2G4A/CTH/CRYZ/VAMP8/GDA/CAT/FABP3/THRA/NR1D1/PRDX5/PNPLA7/SMPDL3B/ITGB4/RIDA/GSTM1/PTPN22/IL33/ALDH1B1/RPS6/ADAMTS14/AOX1/IDH1/FGF2/PDE5A/SORD/DUOX2/SLC27A2/FURIN/NKD1/PGD/THNSL2/LYG1/CYP39A1/EGFR/MSN/TNKS1BP1/RNF144A/BAG3/SLFN13/MMP14/ATP13A2/BTG2/ALDH4A1/TNFSF13/CCNF/ASRGL1/LRP5/S100A9/FZD5/DAPL1/HMGB2/MAD2L1/HPGD/PGM2L1/GPT/RILP/KLK6/RNF150/FABP6/CES3/CES2/FUT2/ACER2/TENT5C/FBXL7/TNF/GBA3"
"GO:0009058","GO:0009058","biosynthetic process",185,"185/651","ST3GAL1/MLXIPL/WAS/TNFRSF1B/ARNTL2/PRDM1/PKM/ATP8B1/SMARCD3/MGST2/TESC/SCD/PRTFDC1/HIF1A/PCK2/NFKBIA/PSME2/PLTP/ACP5/PARP4/TSC22D1/SQLE/SLC39A14/CDK6/MET/HOXA3/HOXA5/ACTA2/NPM3/LHPP/NEURL1/RPL28/ZMIZ1/CCND1/UST/GMNN/QKI/ZBTB47/FOXP1/IVNS1ABP/PLA2G4A/RGS2/CTH/AGMAT/ELL2/GDA/PTBP3/CAT/FABP3/PTGIS/SNAI1/PLAGL2/THRA/CCR7/NR1D1/PRDX5/BCL2L12/MRPS12/HOXD13/TNNI2/COL5A1/ASS1/RIDA/GSTM1/NOTCH2/PKIB/LMX1B/MYC/IL33/CCL21/DNAJB5/RPS6/FOXP4/GMPR/TCF19/RBP4/IDH1/ITGAV/SECISBP2L/GLCE/GPAT3/FGF2/PDE5A/ANXA3/DUOXA1/SORD/DUOXA2/DUOX2/SLC27A2/FGF7/FURIN/NLRC5/PGD/FCN3/ZNF697/MPC2/CREG1/ST6GAL2/THNSL2/GALNT13/DLX1/RBMS3/POMGNT2/CSRNP1/NFKBIZ/CYP39A1/CREB5/EGFR/ZNF92/ADM/TNKS1BP1/WWC2/BAG3/PTPN14/MGAT5/TCF7L1/NADK2/WNT7A/FZD1/TSC22D3/BTG2/ABCG1/ALOX15/BCL6B/ASGR2/ADCY9/LRP5/PLPP3/AK4/S100A9/S100A12/TGFA/FZD5/NPPC/PBXIP1/ATP1A1/ELF3/HMGB2/GUCY1A1/HPGD/ITGA2/ELOVL7/METTL27/MID1IP1/ZNF367/SPTSSA/PGM2L1/RIMKLB/CENPV/NNMT/ACSM1/GPT/SERPINF2/GGT6/ATOH8/MAT2A/FAXDC2/HOPX/CCL19/CYP7B1/RARG/DHCR7/CMKLR1/UGT8/B4GAT1/FZD4/FUT2/ACER2/DPM3/TMTC2/GADD45GIP1/SOX2/ACSM5/WT1/TMEM106A/MUC1/IRF7/LILRB4/TNFRSF4/GCNT1/SIRPA/TOX/SOX18/FADS3/TNF"
