"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/651",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",7,"7/651","ASB2/UBE2S/RNF19B/FBXO2/RNF144A/CCNF/FBXL7"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",1,"1/651","NKD1"
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/651",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",3,"3/651","CDK6/CCND1/CCNF"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/651",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/651","PSME2"
"GO:0005737","GO:0005737","cytoplasm",426,"426/651","ITGAL/ITGA3/ST3GAL1/MLXIPL/CD9/WAS/TNFRSF1B/ARNTL2/BAK1/GRN/CP/LMO3/COL9A2/IL17RB/SERPINB3/PKP2/F7/PRDM1/PKM/SYT1/PRR11/REEP1/GTSE1/LRP2/PHLPP1/ATP8B1/FYB1/STRADB/MGST2/LZTS3/TESC/OAS1/CHGB/PEBP1/SCD/ABLIM1/NRP1/TSPAN15/MICALL1/ASB2/HIF1A/SERPINA4/EFS/PCK2/NFKBIA/PSME2/SYTL4/BEX4/NDFIP2/FNDC3A/CAB39L/ACP5/PARP4/FLT1/MEDAG/TSC22D1/NCALD/SQLE/SLC39A14/BNIP3L/CDK6/PON2/WDR91/PTN/CAV2/LFNG/PALD1/ACTA2/SFXN3/NPM3/LHPP/NEURL1/SH3PXD2A/MAP3K8/UBE2S/RPL28/ZMIZ1/DNAJC12/PPIF/DTX4/UNC93B1/CCND1/ARHGEF17/IL10RA/UST/PHACTR1/BAG2/RAB23/PTP4A1/ALDH5A1/GMNN/PERP/ARFGEF3/ADGRG6/PACRG/QKI/PLXNA1/PLCH1/TNNC1/RNF19B/RHOU/FBXO2/IVNS1ABP/PLA2G4A/WLS/RGS2/CTH/AGMAT/CRYZ/CD58/VAMP8/ABCG2/PPL/GDA/CTNNAL1/NEK6/DEPDC7/CAT/GJB6/FABP3/CCR2/GPSM2/FAM210B/PI3/PARD6B/PTGIS/SNAI1/PMEPA1/F10/THRA/CCR7/NR1D1/PRDX5/FLNC/CALU/CCDC136/MRPS12/MYO1B/CHN1/TNNI2/COL5A1/PNPLA7/ASS1/GMFG/ARHGEF16/RAP1GAP2/TRIM47/XAF1/DLG4/RIDA/REEP2/GSTM1/VAV3/PTPN22/SORT1/PTGFRN/NOTCH2/NGF/SPIRE1/SLC38A2/RSAD2/PPP1R1A/TROAP/KRT7/MAP7/CD164/PKIB/RAB11FIP5/IL33/DNAJB5/ALDH1B1/RPS6/GMPR/KIF11/CEP55/RBP4/AOX1/IDH1/ITPRID2/ITGAV/GLCE/APH1B/HERC6/HERC5/GPAT3/FGF2/MMRN1/PDE5A/SHROOM3/ANXA3/SORD/DUOXA2/DUOX2/SLC27A2/FGF7/PSTPIP1/BCL2A1/DNAJA4/TPM1/MFGE8/FURIN/NKD1/NLRC5/KLK3/PADI3/ARHGEF19/PGD/SH3BGRL3/PLK4/SYTL1/KIF2C/SYPL2/GPR161/MPC2/CREG1/NAT8/SFXN5/ST6GAL2/AFF3/GALNT13/GULP1/ABCA12/ACKR3/RBMS3/POMGNT2/NFKBIZ/COL8A1/ANO7/ARHGAP18/SLC2A12/EGFR/CDCA5/IGFBP3/IGFBP1/NIPSNAP2/SYTL5/MSN/ADM/SYT8/TNKS1BP1/AKR1C2/RNF144A/ADAM17/WWC2/SLC25A4/BAG3/MZT2B/PTPN14/MGAT5/PSTPIP2/TCF7L1/SPOCK1/NADK2/TNIK/PGM5/ENAH/SORBS2/LY96/ADAMTS1/SLFN13/WNT7A/FGD5/STEAP2/MMP14/TSC22D3/ATP13A2/BTG2/ALDH4A1/CHCHD6/TPPP3/ZYX/CCDC28B/ABCG1/TMPRSS3/ALOX15/ASGR2/TNFSF13/TEDC2/CCNF/BICDL2/ASRGL1/ITIH3/LRP5/PLPP3/AK4/PDPN/LAPTM5/SPRR2D/ARHGAP25/S100A9/S100A12/TGFA/FZD5/NPPC/ANTXR2/PBXIP1/COL6A3/ATP1A1/FSTL1/LMOD1/ELF3/CIP2A/HMGB2/MAD2L1/MAP9/GUCY1A1/HPGD/ITGA2/ELOVL7/CMYA5/MID1IP1/RNF183/VEGFD/CLDN3/WNK2/AQP3/MELK/SPTSSA/CFL2/PGM2L1/PHYHIPL/SKA3/WEE1/CCDC68/RIMKLB/CENPV/BEX3/B2M/NNMT/ACSM1/NXN/GPT/KIFC2/RILP/SERPINF2/KLK1/KLK4/KLK2/KLK6/KLK11/KRT1/SEMA4C/TSPAN5/ATOH8/SFTPB/VAMP5/MAT2A/PPIC/CPLX1/RNF150/ADRA1B/FABP6/FAXDC2/HSPB2/CMTM8/KRT15/TPPP/NAT1/KRT20/MCC/HOPX/LPAR3/MAP6/CLSTN1/RAB37/RARG/CES3/SSH3/CES2/DHCR7/NBEA/ADH6/TRAM1L1/B4GAT1/SH3PXD2B/RIN1/FZD4/CD248/CNIH2/FUT2/FIBIN/DPP7/SEC24C/ACER2/RCC2/DPM3/TMTC2/GIMAP7/GADD45GIP1/FRAT2/LRRC75A/SOX2/RAP2B/CABCOCO1/GBP6/TENT5C/ACSM5/TNFAIP8L3/FBXL7/RFLNB/PRKX/SMTN/WT1/SORCS2/MANEAL/MUC1/IRF7/DLK1/KRT14/GCNT1/FNBP1/S100A14/KAZN/NOL4L/SERPINA1/SIRPA/ARC/LRBA/LST1/DENND1C/JPT2/SERPINB5/TNF/SPRR2F/GBA3/SELENOP"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/651",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/651",""
