"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/651",""
"GO:0009975","GO:0009975","cyclase activity",2,"2/651","ADCY9/GUCY1A1"
"GO:0016491","GO:0016491","oxidoreductase activity",30,"30/651","CP/MGST2/SCD/SQLE/ALDH5A1/CRYZ/CAT/PTGIS/PRDX5/ALDH1B1/GMPR/AOX1/IDH1/SORD/DUOX2/PGD/SH3BGRL3/CYP39A1/AKR1C2/STEAP2/ALDH4A1/ALOX15/DHRS3/HPGD/NXN/FAXDC2/CYP7B1/DHCR7/ADH6/FADS3"
"GO:0016740","GO:0016740","transferase activity",63,"63/651","ST3GAL1/PRDM1/PKM/MGST2/OAS1/NRP1/ASB2/PARP4/FLT1/MAP4K1/CDK6/MET/LFNG/NEURL1/MAP3K8/UBE2S/DTX4/CCND1/UST/RNF19B/FBXO2/PLA2G4A/NEK6/TRIM47/GSTM1/HERC6/HERC5/GPAT3/PLK4/NAT8/ST6GAL2/GALNT13/POMGNT2/EGFR/RNF144A/MGAT5/NADK2/TNIK/AK4/ELOVL7/METTL27/RNF183/WNK2/MELK/SPTSSA/PGM2L1/WEE1/NNMT/ACSM1/GPT/GGT6/MAT2A/RNF150/NAT1/UGT8/B4GAT1/FUT2/DPM3/TMTC2/TENT5C/ACSM5/PRKX/GCNT1"
"GO:0016787","GO:0016787","hydrolase activity",78,"78/651","MASP2/F7/PHLPP1/ERMP1/PAPLN/ACP5/PON2/PALD1/LHPP/RAB23/PTP4A1/AADAC/PLCH1/RHOU/PLA2G4A/RGS2/AGMAT/ABCG2/GDA/CAT/CPXM2/F10/RRAS/MYO1B/PNPLA7/SMPDL3B/RIDA/PTPN22/KIF11/ADAMTS14/APH1B/PDE5A/FURIN/KLK3/PADI3/KIF2C/PTPRF/ATP1B1/DQX1/LYG1/ABCA12/PM20D2/ADAM17/PTPN14/ADAMTS1/SLFN13/MMP14/ATP13A2/ABCG1/TMPRSS3/ALOX15/ASRGL1/PLPP3/ATP1A1/HDAC11/F2RL2/SEC11C/RRAD/KIFC2/GGT6/KLK1/KLK4/KLK2/KLK6/KLK11/TPPP/ECEL1/RAB37/CES3/SSH3/CES2/DPP7/ACER2/GIMAP7/RAP2B/GBP6/MANEAL/GBA3"
"GO:0016829","GO:0016829","lyase activity",6,"6/651","MGST2/PCK2/CTH/ADCY9/GUCY1A1/CENPV"
"GO:0016853","GO:0016853","isomerase activity",7,"7/651","PPIF/PTGIS/FKBP11/GLCE/ALOX15/PGM2L1/PPIC"
"GO:0016874","GO:0016874","ligase activity",5,"5/651","ASS1/SLC27A2/RIMKLB/ACSM1/ACSM5"
"GO:0032451","GO:0032451","demethylase activity",0,"0/651",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",1,"1/651","LYG1"
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/651",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",69,"69/651","MASP2/F7/PHLPP1/ERMP1/NRP1/ASB2/PAPLN/PARP4/FLT1/MAP4K1/CDK6/MET/PALD1/LHPP/NEURL1/MAP3K8/UBE2S/PPIF/DTX4/CCND1/PTP4A1/RNF19B/FBXO2/NEK6/CPXM2/F10/TRIM47/PTPN22/FKBP11/ADAMTS14/APH1B/HERC6/HERC5/FURIN/KLK3/PLK4/PTPRF/GALNT13/POMGNT2/PM20D2/EGFR/RNF144A/ADAM17/PTPN14/MGAT5/TNIK/ADAMTS1/MMP14/TMPRSS3/ASRGL1/HDAC11/RNF183/WNK2/MELK/WEE1/SEC11C/GGT6/KLK1/KLK4/KLK2/KLK6/KLK11/PPIC/RNF150/ECEL1/SSH3/DPP7/PRKX/GCNT1"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",1,"1/651","DQX1"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",2,"2/651","RIDA/SLFN13"
"GO:0003735","GO:0003735","structural constituent of ribosome",3,"3/651","RPL28/MRPS12/RPS6"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/651",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",7,"7/651","PPL/TPM1/MSN/SORBS2/KRT15/KRT20/KRT14"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",10,"10/651","COL9A2/PRG4/COL5A1/LAMA5/CILP/MMRN1/MFGE8/COL8A1/COL6A3/EDIL3"
"GO:0005212","GO:0005212","structural constituent of eye lens",1,"1/651","HSPB2"
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/651",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/651",""
"GO:0008307","GO:0008307","structural constituent of muscle",3,"3/651","TPM1/SORBS2/SMTN"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/651",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/651",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/651",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",1,"1/651","CMTM8"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",2,"2/651","PI3/KRT1"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/651",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/651",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/651",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/651",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/651",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/651",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/651",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/651",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/651",""
"GO:0005319","GO:0005319","lipid transporter activity",9,"9/651","ATP8B1/PLTP/FABP3/RBP4/SLC27A2/ABCA12/ANO7/ABCG1/TNFAIP8L3"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/651",""
"GO:0022857","GO:0022857","transmembrane transporter activity",35,"35/651","SLC39A14/SFXN3/SLC1A2/SLC4A3/ABCG2/GJB6/SLC38A2/KCNH3/SLC22A23/RBP4/ITGAV/SLC27A2/ATP1B1/MPC2/SFXN5/ABCA12/ANO7/SLC2A12/SLC43A1/SLC25A4/ATP13A2/ABCG1/NIPAL1/ATP1A1/SLC15A2/AQP3/MFSD3/SLC43A2/CPLX1/SLC16A5/KCND3/SLC24A3/GJB5/GJC2/FXYD1"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/651",""
"GO:0140318","GO:0140318","protein transporter activity",0,"0/651",""
"GO:0140481","GO:0140481","ATPase-coupled iron-sulfur cluster transmembrane transporter activity",0,"0/651",""
"GO:0000035","GO:0000035","acyl binding",0,"0/651",""
"GO:0003682","GO:0003682","chromatin binding",13,"13/651","PRDM1/SMARCD3/REC8/NPM3/GMNN/THRA/HOXD13/DLX1/EGFR/CDCA5/TCF7L1/HMGB2/TOX"
"GO:0003823","GO:0003823","antigen binding",6,"6/651","FCN3/SPON2/LILRB4/SIRPA/IGHV2-5/IGHV1-18"
