"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",27,"27/677","HOXA11/RAI14/FOXC1/DDX3Y/AURKA/GGT5/PABPC1L/SPAG1/PTN/FOLR1/QKI/PTK2B/SKIL/BCL2L10/SSTR1/CABYR/HMGB2/AVPR1A/OVOL1/OXTR/CADM1/TMEM119/JAG2/WT1/LRRK2/GJB3/ANG"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/677",""
"GO:0022414","GO:0022414","reproductive process",65,"65/677","HOXA11/MGST1/RAI14/FOXC1/DDX3Y/LRP2/COL16A1/HSD17B2/AURKA/GGT5/PDGFB/MYH9/SIX4/PABPC1L/MAGED2/SPAG1/PTN/WNT2/NUDT1/CCND1/FOLR1/ARHGDIB/QKI/PTK2B/CITED1/GATA4/SKIL/BCL2L10/SSTR1/OSR1/PAM/CABYR/BUB1B/STC1/ITGA5/CDC25A/HMGB2/SPINT1/AVPR1A/SPINT2/GJB1/BUB1/FOS/HAS2/KRT19/ID4/BSG/CYP7B1/OVOL1/RARG/SH3PXD2B/FZD4/NUPR1/OXTR/CADM1/TMEM119/JAG2/WT1/WNT7B/LRRK2/GJB3/CLDN4/FLNA/SYCE1L/ANG"
"GO:0032504","GO:0032504","multicellular organism reproduction",32,"32/677","HOXA11/RAI14/FOXC1/DDX3Y/AURKA/GGT5/PABPC1L/PTN/FOLR1/QKI/PTK2B/SKIL/BCL2L10/SSTR1/PAM/CABYR/STC1/HMGB2/AVPR1A/HAS2/BSG/OVOL1/SH3PXD2B/FZD4/OXTR/CADM1/TMEM119/JAG2/WT1/LRRK2/GJB3/ANG"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/677",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/677",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/677",""
"GO:0001776","GO:0001776","leukocyte homeostasis",4,"4/677","MEF2C/TNFSF13B/SKIL/MIF"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",3,"3/677","MAD2L2/SWAP70/HMGB2"
"GO:0002252","GO:0002252","immune effector process",55,"55/677","ALDH3B1/MGST1/MASP2/STAP1/CYFIP2/SERPINB3/STXBP2/OAS1/MFNG/HMOX1/GZMB/SMAD7/POU2AF1/BTN3A3/VNN1/C7/IFIH1/MAD2L2/PTK2B/IL13RA2/SLPI/CD93/SPINK5/SWAP70/OASL/CD36/CD63/TLR4/ZC3H12A/SYK/IL7R/ISG20/SLFN11/CCL19/RAB37/IL20RB/TCIM/C8G/DPP7/FUCA1/CADM1/MX2/PROS1/GM2A/FLNA/SVIP/CFI/IGLV2-14/TRBC2/IGHG4/IGHG2/IGHV3-64/IGKV1-17/IGKV1-16/MIF"
