"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/677",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",5,"5/677","RHBDD2/CBX7/MAD2L2/UBE2L6/BUB1B"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",1,"1/677","PPP2R2C"
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/677",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",1,"1/677","CCND1"
"GO:0000408","GO:0000408","EKC/KEOPS complex",1,"1/677","LAGE3"
"GO:0000502","GO:0000502","proteasome complex",1,"1/677","HSPB1"
"GO:0005737","GO:0005737","cytoplasm",437,"437/677","RHBDD2/CRLF1/ALDH3B1/SYN1/MGST1/RHOBTB2/FHL1/NLRP2/HSD17B6/TYMP/VIM/ARNTL2/STAP1/RAI14/RTN4R/CAPG/LTBP1/NRIP2/KCNQ1/FOXC1/CHRDL2/GALC/CYFIP2/SERPINB3/SOAT1/F7/RPL18/GPC1/SLC9A7/ISOC1/DDX3Y/IDI1/NUCB2/PFN2/ASNS/FERMT2/PPP2R2C/RAP1GAP/STXBP2/RARB/NFKB2/MOXD1/MEF2C/LRP2/ATP8B1/FYB1/TRAF5/FAM234B/COL16A1/EFR3B/MAPRE3/MGST2/NOX4/GNAS/AURKA/OAS1/PEBP1/GADD45B/SERPIND1/MFNG/SLC5A1/KDELR3/HMOX1/CBX7/PDGFB/MYH9/CERK/GZMB/SIX4/DHRS2/NFATC4/PABPC1L/DOK5/BIRC7/SMAD7/USP11/PORCN/MAGED2/SRPX2/ARMCX3/RUBCNL/TNFSF13B/NME3/FA2H/SPAG1/OLFM2/RASAL3/ETHE1/DLX5/PTN/WNT2/HSPB1/NUDT1/PLOD3/MPDZ/PALD1/LIPA/SFXN3/NPM3/TRIM16L/GALK1/ENO3/RASD1/ALDH3A1/SYNGR2/CRYAB/CCND1/FOLR1/APOC3/IL10RA/NDUFS8/CHKA/P3H3/ASIC1/RASAL1/ARHGDIB/COL12A1/VNN1/PERP/QKI/NUDT12/RBP1/COL7A1/CISH/PLCH1/REEP6/APC2/IFIH1/BCL9/PRRX1/MAD2L2/IVNS1ABP/RGS4/PPL/GDA/NEK6/DUSP4/SORBS3/PTK2B/EPHX2/ECHDC2/PLBD1/CSTA/AMD1/NMI/FAM210B/SLPI/ARHGAP40/BCAS4/VASP/GPCPD1/TGM3/FOXA2/CD93/SNRPB/NRSN2/FAM110A/CITED1/ID1/GNAZ/A4GALT/PLVAP/LSM7/ACTN4/MCCC2/CHSY1/LLGL1/NR0B2/RHPN2/SPINK5/SWAP70/LOXL2/EDEM1/MEIS2/HNF1A/OASL/BICDL1/DTX1/CD36/HILPDA/EHF/PRRG4/CD63/GALNT5/SKIL/IL1RN/GYPC/TMOD1/DAB2IP/TLR4/BAAT/RPL35/BCL2L10/GCHFR/BCAR3/FNBP1L/CYP1B1/SLC3A1/CYP2C8/MYOF/CH25H/TACC2/SSTR1/FRMD6/DOP1B/LMTK3/MYO1F/PKLR/LBR/OSR1/RHOB/PAM/GFRA3/DCDC2/PLA2G7/TNFRSF21/ST8SIA6/THRSP/QDPR/NR3C2/PID1/CABYR/CHST9/TIAM1/HKDC1/HK1/CD109/UBE2L6/RAB11FIP1/GLYATL2/AIFM1/MAPK13/B3GNT7/MPV17L/BUB1B/DUSP23/F11R/STC1/PRAC1/RCAN1/COX7A1/PLXDC1/PGAP3/FDXR/ITGA5/ACTG2/SPATA18/GRIK3/ZC3H12A/DNALI1/CAMK2N2/MELTF/ABLIM2/CDC25A/HSPA4L/ETNPPL/HMGB2/SCRG1/MICALL2/CA3/ALDH7A1/COX6C/TP53INP1/PDP1/PSIP1/SYK/MAMDC2/RASEF/SVEP1/DYNLT3/MID1IP1/AMN/PPP1R14D/AVPR1A/CKB/LARP6/BORCS7/PLEKHF1/TMEM100/SMPD1/MOGAT2/TUB/WDR72/TBC1D16/CA4/TPM4/RPL13/CACNB3/TUBA1C/CYP2S1/TTYH1/PPP1R14A/SPINT2/PLIN4/FILIP1L/TAP1/BDKRB2/RHOH/SCNN1B/BMP1/CAVIN2/COL3A1/LDLRAD4/IL7R/PKIG/NSG1/CLIC3/CKAP2L/BUB1/DCXR/CTNND2/MUC3A/CHD3/MYRIP/RNF150/FOS/HAS2/HS6ST2/PKIA/KRT19/CLCN5/TPPP/KRT13/ISG20/ID4/BSG/IL16/CARNS1/SLFN11/RAB37/RARG/PLK3/SPTBN2/PIFO/MSRB3/SELP/PHLDA3/SLC16A13/PODN/GOLT1A/TRAM1L1/SH3PXD2B/FZD4/NUPR1/B3GNT5/PNMA1/TCIM/FIBIN/SHMT1/DPP7/PARP10/ZHX2/OPLAH/AURKB/RRS1/RCC2/DPM3/CYC1/FUCA1/ARSJ/FRAT2/TMEM102/SOX2/SPATA13/PYCR1/AFMID/GPC6/ARHGEF37/CHST6/CABCOCO1/MX2/UPP1/KNTC1/PTP4A3/PROS1/CDCA2/WT1/USP18/SORCS2/BRI3BP/INPP5J/TCN2/GAS2L1/IRS2/BICD2/THBS2/INSIG1/ARHGAP30/PDE2A/CXCR3/KRT14/MAPT/ZNF395/EMID1/ENTPD5/LYPD6/DNER/S100A3/WNT7B/HEPACAM2/KRTDAP/FAM83G/RALGAPA2/LRRK2/GJB3/HLA-DQA1/GM2A/FLNA/FAM3C/CASP4/LAGE3/SERTAD1/SLC25A29/SULT1A2/SERPINB2/MB/SVIP/PEG3/ASPH/HLA-DRB5/RPL39/CHML/PDE7A/MT1H/MT1A/MT1M/KRT6A/LBH/S1PR3/ANG/AQP1/MIF/ADH1C/ABHD14A/ECSCR/EID1/CTSO"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/677",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/677",""
