"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/677",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/677","ADCY6"
"GO:0016491","GO:0016491","oxidoreductase activity",40,"40/677","ALDH3B1/MGST1/KDM5D/HSD17B6/MOXD1/MGST2/HSD17B2/NOX4/HMOX1/DHRS2/FA2H/ETHE1/PLOD3/ALDH3A1/NDUFS8/P3H3/MICAL2/LOXL2/CYP1B1/CYP2C8/LOXL4/CH25H/LBR/PAM/QDPR/AIFM1/FRRS1/COX7A1/FDXR/ALDH7A1/COX6C/CYB5R2/CYP2S1/DCXR/CYP7B1/MSRB3/CYC1/PYCR1/ASPH/ADH1C"
"GO:0016740","GO:0016740","transferase activity",60,"60/677","MGST1/TYMP/LTBP1/SOAT1/TRAF5/MGST2/AURKA/OAS1/GGT5/MFNG/CERK/BIRC7/PORCN/NME3/PLOD3/GALK1/CCND1/CHKA/NEK6/PTK2B/TGM3/A4GALT/CHSY1/DTX1/EPHA7/GALNT5/BAAT/LMTK3/CBLC/PKLR/ST8SIA6/CHST9/SH3RF2/HKDC1/HK1/UBE2L6/GLYATL2/MAPK13/B3GNT7/BUB1B/ETNPPL/SYK/CKB/MOGAT2/BUB1/RNF150/HAS2/HS6ST2/MBOAT1/PLK3/DPY19L1/B3GNT5/SHMT1/PARP10/AURKB/DPM3/CHST6/UPP1/LRRK2/SULT1A2"
"GO:0016787","GO:0016787","hydrolase activity",94,"94/677","RHBDD2/RHOBTB2/MASP2/PRSS8/NRIP2/GALC/F7/DDX3Y/IDI1/PFN2/RAP1GAP/GNAS/GGT5/RASL10A/HMOX1/MYH9/GZMB/PAPLN/USP11/SPAG1/MCM4/ETHE1/NUDT1/PALD1/LIPA/RASD1/CHKA/ARHGDIB/VNN1/NUDT12/AADAC/PLCH1/IFIH1/RGS4/GDA/DUSP4/EPHX2/PLBD1/GPCPD1/GNAZ/EDEM1/TLR4/BAAT/MYO1F/RHOB/PLA2G7/PLPPR1/ADAMTS12/TMPRSS11D/DUSP23/PGAP3/ZC3H12A/DNALI1/CDC25A/CA3/GEM/PDP1/RASEF/DYNLT3/SMPD1/SEC11C/TUBA1C/TAP1/BDKRB2/RHOH/BMP1/ADAM9/CHD3/TPPP/ISG20/CARNS1/SLFN11/RAB37/DPP7/OPLAH/FUCA1/ARSJ/AFMID/MX2/PTP4A3/USP18/INPP5J/PDE2A/TMPRSS6/ENTPD5/ENTPD8/LRRK2/GM2A/CASP4/PDE7A/CFI/ANG/ABHD14A/CTSO"
"GO:0016829","GO:0016829","lyase activity",12,"12/677","CA11/MGST2/ENO3/ECHDC2/AMD1/PAM/ETNPPL/CA3/CA4/CYP2S1/ADCY6/SHMT1"
"GO:0016853","GO:0016853","isomerase activity",3,"3/677","IDI1/CYP2S1/MIF"
"GO:0016874","GO:0016874","ligase activity",3,"3/677","ASNS/MCCC2/CARNS1"
"GO:0032451","GO:0032451","demethylase activity",1,"1/677","KDM5D"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/677",""
