"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",20,"20/656","ADAM28/IL4R/CDC25B/CD46/EREG/THRA/GGT7/ETV6/KIT/ACE/RSPH1/LY6K/NPPC/SPINK1/C9orf24/FOLR2/SPIN4/SERPINA5/CACNA1H/SPIRE2"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/656",""
"GO:0022414","GO:0022414","reproductive process",45,"45/656","ADAM28/VMP1/IL4R/AKR1B1/CDC25B/SALL1/SYDE1/CD46/CNTFR/EREG/THRA/GGT7/AGT/HS6ST1/IDH1/ETV6/REN/OSR1/RSPO3/KIT/STC1/HOXB13/ACE/TPPP3/RSPH1/LY6K/NPPC/ANTXR2/CDC25A/ITGA2/SPINK1/RHOBTB3/C9orf24/FOLR2/SPINT1/KRT19/BASP1/GATA2/SPIN4/SERPINA5/CACNA1H/FLNA/SPIRE2/ADGRG1/CEBPA"
"GO:0032504","GO:0032504","multicellular organism reproduction",20,"20/656","ADAM28/IL4R/AKR1B1/CDC25B/EREG/THRA/GGT7/ETV6/KIT/STC1/ACE/TPPP3/RSPH1/NPPC/SPINK1/C9orf24/FOLR2/SPIN4/SERPINA5/SPIRE2"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/656",""
"GO:0061887","GO:0061887","reproduction of symbiont in host",0,"0/656",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/656",""
"GO:0001776","GO:0001776","leukocyte homeostasis",7,"7/656","SH2B3/CXCL6/CCNB2/TSC22D3/FCER1G/PIK3CD/SPNS2"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",2,"2/656","TGFB1/BCL11B"
"GO:0002252","GO:0002252","immune effector process",77,"77/656","TYROBP/MVP/STAP1/IL4R/APBB1IP/CMTM6/MFNG/TGFB1/VAT1/BIN2/IL23A/CD46/CAT/SFTPA1/CXCL6/RAC2/APOBEC3A/IRF5/TRPM4/GNS/MYO1G/TLR2/IDH1/RORC/CPLX2/DOK3/STOM/KIT/FCER1G/APOA2/ACE/SPON2/ZDHHC1/ABR/CSTB/S100A11/S100A12/ZC3H12A/CGAS/CYBB/MFAP4/B2M/KLK5/KRT1/KLK7/PIK3CD/CCL19/HPSE/HLA-DQB1/GATA2/SELL/FLNA/PLCG2/APRT/HLA-G/HLA-F/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/CPNE1/IGLC6/IGHV3-64/C4B/ORM2/ORM1/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29/TRIL/MMP12"
"GO:0002253","GO:0002253","activation of immune response",31,"31/656","STAP1/CD79A/CD46/CLEC10A/MYO1G/FCER1G/ZC3H12A/CGAS/MFAP4/KRT1/PIK3CD/HLA-DQB1/MUC6/PLCG2/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/PSMB9/IGKV1-17/IGKV1-16/IGKV2-29"
"GO:0002262","GO:0002262","myeloid cell homeostasis",8,"8/656","SH2B3/THRA/KIT/FCER1G/B2M/PIK3CD/GATA2/MB"
"GO:0002339","GO:0002339","B cell selection",0,"0/656",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/656",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",32,"32/656","IL4R/TGFB1/TRPM4/TLR2/KIT/FCER1G/APOA2/SPON2/INAVA/CGAS/B2M/KLK5/KLK7/HLA-DQB1/GAS6/HLA-G/HLA-F/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLV3-9/IGKV3D-15/IGKV1D-8/IGKV3-20/IGKV1-17/IGKV1-8/IGKV1-16/IGKV2D-24/IGKV2-29/TRIL"
"GO:0002507","GO:0002507","tolerance induction",1,"1/656","HLA-G"
"GO:0002520","GO:0002520","immune system development",41,"41/656","TYROBP/IL4R/TF/MFNG/DHRS2/RASSF2/TGFB1/CD79A/IL23A/SH2B3/LOX/CD46/RUNX2/THRA/BCL11B/LRRC17/TLR2/ETV6/RORC/IL34/KIT/CCNB2/FCER1G/ACE/ZC3H12A/PITX2/HAND2/B2M/PIK3CD/IL17D/CCL19/FZD8/GATA2/DHTKD1/SPNS2/GAS6/PLCG2/MB/HLA-G/PSMB9/CEBPA"
"GO:0002682","GO:0002682","regulation of immune system process",80,"80/656","TYROBP/STAP1/IL4R/RASSF2/TGFB1/CD79A/SERPINE1/RARRES2/CCL8/COL1A1/IL23A/LOX/CD46/CXCL6/EREG/RAC2/LRRC17/TRPM4/CLEC10A/MYO1G/CXCL13/IL34/KIT/TSC22D3/FCER1G/APOA2/ACE/SPON2/ZDHHC1/PIP/ABR/ADORA1/ZC3H12A/ITGA2/CGAS/AQP3/MFAP4/B2M/KLK5/KRT1/KLK7/PIK3CD/IL17D/CCL19/PARP14/LGALS7B/HLA-DQB1/GATA2/SPNS2/CAMK1D/GAS6/MUC6/SELL/PLCG2/HLA-G/HLA-F/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/ORM2/ORM1/IGKV3-20/PSMB9/IGKV1-17/IGKV1-16/CEBPA/IGKV2-29/TRIL/MMP12/MMP28/CCL5"
"GO:0002683","GO:0002683","negative regulation of immune system process",19,"19/656","TYROBP/STAP1/IL4R/TGFB1/LRRC17/TSC22D3/FCER1G/APOA2/ABR/ADORA1/ZC3H12A/IL17D/PARP14/LGALS7B/GATA2/HLA-G/HLA-F/MMP12/MMP28"
"GO:0002684","GO:0002684","positive regulation of immune system process",57,"57/656","TYROBP/STAP1/IL4R/TGFB1/CD79A/SERPINE1/RARRES2/CCL8/IL23A/CD46/EREG/RAC2/CLEC10A/MYO1G/CXCL13/IL34/FCER1G/SPON2/ZC3H12A/ITGA2/CGAS/AQP3/MFAP4/B2M/KLK5/KRT1/KLK7/PIK3CD/CCL19/HLA-DQB1/GATA2/CAMK1D/GAS6/MUC6/PLCG2/HLA-G/HLA-F/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/PSMB9/IGKV1-17/IGKV1-16/CEBPA/IGKV2-29/MMP12/CCL5"
"GO:0006955","GO:0006955","immune response",113,"113/656","TYROBP/NR1H4/MVP/STAP1/IL4R/APBB1IP/CMTM6/TF/MFNG/TGFB1/CD79A/RARRES2/CCL8/COL1A1/VAT1/BIN2/IL23A/CD46/CAT/CXCL6/EREG/RAC2/APOBEC3A/IRF5/TRPM4/CLEC10A/XAF1/ADAMDEC1/GNS/MYO1G/TLR2/IDH1/RAB20/SIGLEC10/RORC/CPLX2/DOK3/STOM/CXCL13/IL34/KIT/FCER1G/APOA2/SPON2/ABR/CSTB/S100A11/S100A12/CLDN1/INAVA/ZC3H12A/LEAP2/CGAS/CYBB/MFAP4/B2M/KLK5/KRT1/KLK7/ALCAM/PIK3CD/CCL19/HPSE/PARP14/WFDC5/PNMA1/HLA-DQB1/GATA2/SPNS2/GAS6/MUC6/SELL/DAPK1/PLCG2/MBP/APRT/HLA-G/HLA-F/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLV3-9/IGLC2/TRBV6-5/TRBJ2-1/TRBJ2-3/IGHG3/IGHD/IGHV6-1/IGHV3-23/LTB4R/CPNE1/IGLC6/IGHV3-64/IGKV3D-15/C4B/TRGC2/ORM2/ORM1/IGKV1D-8/IGKV3-20/PSMB9/IGKV1-17/IGKV1-8/IGKV1-16/IGKV2D-24/IGKV2-29/TRIL/MMP12/CCL5/CCL3L1"
"GO:0019882","GO:0019882","antigen processing and presentation",12,"12/656","RAB33A/DYNC1LI2/FCER1G/ACE/CYBB/B2M/RAB3B/CCL19/HLA-DQB1/HLA-G/HLA-F/PSMB9"
"GO:0031294","GO:0031294","lymphocyte costimulation",1,"1/656","CCL19"
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/656",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/656",""
"GO:0045058","GO:0045058","T cell selection",2,"2/656","IL23A/BCL11B"
"GO:0045321","GO:0045321","leukocyte activation",62,"62/656","TYROBP/MVP/STAP1/IL4R/APBB1IP/CMTM6/MFNG/DHRS2/TGFB1/CD79A/VAT1/BIN2/IL23A/CD46/HELLS/CAT/RUNX2/CXCL6/BCL11B/RAC2/GNS/TLR2/IDH1/RORC/CPLX2/DOK3/STOM/KIT/FCER1G/ABR/CSTB/S100A11/S100A12/ZC3H12A/CGAS/CYBB/B2M/KRT1/PIK3CD/CCL19/HPSE/FZD8/LGALS7B/GATA2/GAS6/SELL/PLCG2/APRT/HLA-G/HLA-F/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/CPNE1/IGLC6/IGHV3-64/ORM2/ORM1/CEBPA/CCL5"
"GO:0050900","GO:0050900","leukocyte migration",43,"43/656","STAP1/TGFB1/SERPINE1/RARRES2/CCL8/COL1A1/IL23A/GRB14/CXCL6/RAC2/TRPM4/MYO1G/EPS8/CXCL13/IL34/KIT/FCER1G/ABR/S100A12/ADORA1/ITGA2/PIK3CD/CCL19/SPNS2/CAMK1D/GAS6/SELL/MMP1/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHV3-23/ITGA1/IGLC6/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29/MMP28/CCL5/CCL3L1"
"GO:0090713","GO:0090713","immunological memory process",2,"2/656","IL23A/CD46"
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/656",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/656",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/656",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/656",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/656",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/656",""
"GO:0002118","GO:0002118","aggressive behavior",0,"0/656",""
"GO:0002209","GO:0002209","behavioral defense response",0,"0/656",""
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/656",""
"GO:0007611","GO:0007611","learning or memory",8,"8/656","HMGCR/THRA/C1QL1/AGT/TLR2/KIT/B2M/CNTNAP2"
"GO:0007622","GO:0007622","rhythmic behavior",2,"2/656","ADRB1/ADORA1"
"GO:0007625","GO:0007625","grooming behavior",1,"1/656","APRT"
"GO:0007626","GO:0007626","locomotory behavior",6,"6/656","C1QL1/TMOD1/EPS8/CSTB/ADCY5/ESPN"
"GO:0007631","GO:0007631","feeding behavior",6,"6/656","GLS/CNTFR/MRAP2/AGT/REN/HAND2"
"GO:0007632","GO:0007632","visual behavior",2,"2/656","HMGCR/KIT"
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/656",""
"GO:0007638","GO:0007638","mechanosensory behavior",1,"1/656","CNTNAP2"
"GO:0019098","GO:0019098","reproductive behavior",1,"1/656","THRA"
"GO:0030534","GO:0030534","adult behavior",4,"4/656","TMOD1/EPS8/CSTB/CNTNAP2"
"GO:0030537","GO:0030537","larval behavior",0,"0/656",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/656",""
"GO:0035176","GO:0035176","social behavior",1,"1/656","CNTNAP2"
"GO:0035187","GO:0035187","hatching behavior",0,"0/656",""
"GO:0035640","GO:0035640","exploration behavior",0,"0/656",""
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/656",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/656",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/656",""
"GO:0048520","GO:0048520","positive regulation of behavior",0,"0/656",""
"GO:0048521","GO:0048521","negative regulation of behavior",1,"1/656","ADORA1"
"GO:0050795","GO:0050795","regulation of behavior",2,"2/656","ADRB1/ADORA1"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/656",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/656",""
"GO:0060273","GO:0060273","crying behavior",0,"0/656",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/656",""
"GO:0061744","GO:0061744","motor behavior",0,"0/656",""
"GO:0071625","GO:0071625","vocalization behavior",2,"2/656","MYH14/CNTNAP2"
"GO:0006734","GO:0006734","NADH metabolic process",0,"0/656",""
"GO:0006739","GO:0006739","NADP metabolic process",2,"2/656","IDH1/NADK2"
"GO:0006807","GO:0006807","nitrogen compound metabolic process",294,"294/656","PDK4/PRSS22/ACSM3/NR1H4/MVP/CLK1/GPRC5A/STAP1/VCAN/ADAM28/BARX2/PRSS8/LTK/ST6GALNAC2/PABPC1/RARB/UBE2T/JADE1/AKR1B1/WNT11/LAMB1/MAP3K20/TF/GADD45B/PIK3IP1/GCAT/CDC25B/RNF24/RASSF2/FA2H/RHBDL1/SALL1/RPS16/PLD3/NUMBL/BBC3/TGFB1/HOXA13/STX1A/PCOLCE/SERPINE1/RARRES2/CCL8/COL1A1/FAM20A/CORO1C/IL23A/TNS2/PPM1H/SH2B3/GMNN/GHR/HBEGF/LOX/GZMK/HMGCR/ABCC5/KCNIP3/GALNT3/CCDC88A/EVA1A/GLS/VAX2/ECE1/ID3/MXI1/HELLS/AVPI1/GOT1/SFRP5/CSTA/CAT/FABP3/SFTPA1/SRGN/RUNX2/EREG/MYRF/RRBP1/THRA/BCL11B/RAC2/APOBEC3A/KRT17/IRF5/MRPS12/TRPM4/GGT7/NUP210/RBM38/DCLK1/TMTC1/RNF122/LOXL2/ADAMDEC1/PRR5L/GNS/CPM/AGT/GLUL/NPL/EDAR/IGF2BP3/BIN1/HS6ST1/TXN/CPEB2/TLR2/SLC44A5/CLCA2/ADAMTS14/IDH1/ENPEP/ETV6/ACVRL1/DUOXA2/RHBDL3/HUNK/LMTK3/RORC/REN/OSR1/NAT8/ZNF300/CREB5/HABP2/MKX/MAT1A/NPAS3/QDPR/NR3C2/SERP2/NADK2/PID1/GOLGA7B/FGF18/HKDC1/FBXO32/IL34/KIT/CCNB2/TSC22D3/DUSP2/XDH/ADAMTS4/APOA2/HOXB13/ACE/ZDHHC1/PIP/ABCG1/TMPRSS3/PDE9A/CSTB/PPP1R16A/MGAT4B/ASRGL1/AK4/S100A12/TGFA/NPPC/PBXIP1/INAVA/ADORA1/PRKCI/FABP1/ZC3H12A/RFC4/ABLIM2/CDC25A/PITX2/PRSS12/HAND2/ITGA2/SPINK1/CGAS/PDP1/FBP1/WNK2/FOLR2/PKNOX2/SPINT1/SMPD1/APBB1/RIMKLB/SEC11C/MMP10/BEX3/B2M/ACSM1/PCLAF/ENGASE/KLK5/KRT1/EVPL/SERINC2/GSTM4/ATP5ME/KLK7/RAB3B/ROBO1/EMX2/CST1/DCLK2/GPRC5C/SCAND1/CHST11/CXXC5/PIK3CD/ENC1/P2RY6/CCL19/GXYLT2/HPSE/ADCY5/PARP14/ADCY6/ZBTB4/WFDC5/B3GNT5/RNF152/BASP1/TYMS/RPS6KA3/FZD8/MAGEF1/TGIF1/GATA2/F2R/PJA1/DHTKD1/SIAH2/SPNS2/CAMK1D/GAS6/GPC6/CHST6/CBX6/MACC1/MUC6/KRT10/KLK12/INSIG1/PDE2A/SPIN4/CERKL/SERPINA5/ENTPD8/SULF2/PLXNB2/MMP1/DAPK1/FLNA/ERO1A/RPL12/MBP/SNHG12/RPS4X/CD2AP/CSF2RA/PEG3/HOXC4/ASPH/APRT/DMD/SNORA5C/SNORD6/SPIRE2/NT5M/LBH/DDAH2/KCTD11/ITGA1/CPNE1/ALG3/CERS1/C4B/SNORA71A/MTCO2P12/PSMB9/INMT/CEBPA/CHCHD10/SNHG1/SLC5A8/BOP1/MMP12/SPON1/MRPL12/MMP28/CCL5/CCL3L1/PCGF2/SRCIN1"
"GO:0009056","GO:0009056","catabolic process",75,"75/656","VCAN/VMP1/PABPC1/CTTN/GCAT/RPS16/TGFB1/RARRES2/HMGCR/PLCH1/EVA1A/GLS/PECR/ECE1/GOT1/CAT/FABP3/THRA/APOBEC3A/GGT7/NUP210/RNF122/PRR5L/GNS/GLUL/NPL/IGF2BP3/ADAMTS14/IDH1/ENPEP/EPHX1/ATP6V1C2/MAT1A/QDPR/HKDC1/XDH/APOA2/ACE/PDE9A/ASRGL1/ADORA1/FABP1/ZC3H12A/FBP1/CRYL1/PLEKHF1/SMPD1/MMP10/CYP2S1/GSTM4/ENC1/HPSE/RNF152/MAGEF1/PJA1/DHTKD1/SIAH2/GPC6/PDE2A/HBA2/ENTPD8/MMP1/DAPK1/FLNA/PLCG2/RPL12/RPS4X/CD2AP/NT5M/DDAH2/PSMB9/CEBPA/MMP12/MMP28/LIX1L"
