"","ID","Description","Count","GeneRatio","geneID"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/656",""
"GO:0009975","GO:0009975","cyclase activity",2,"2/656","ADCY5/ADCY6"
"GO:0016491","GO:0016491","oxidoreductase activity",29,"29/656","RETSAT/AKR1B1/DHRS2/FA2H/VAT1/LOX/HMGCR/PECR/CAT/LOXL2/TXN/IDH1/QDPR/XDH/CYB5R1/COX7A1/FDXR/CYGB/GPX8/CYBB/NCF1C/CRYL1/CYP2S1/DHTKD1/HBA2/ADH1B/ERO1A/ASPH/MTCO2P12"
"GO:0016740","GO:0016740","transferase activity",64,"64/656","PDK4/ACSM3/CLK1/LTK/ST6GALNAC2/DGKD/UBE2T/MAP3K20/MFNG/GCAT/RNF24/RASSF2/MOGAT3/CCL8/GALNT3/GOT1/GGT7/DCLK1/TMTC1/RNF122/UGT2A3/GLUL/HS6ST1/ACVRL1/HUNK/LMTK3/NAT8/MAT1A/NADK2/GOLGA7B/HKDC1/KIT/ZDHHC1/MGAT4B/AK4/PRKCI/CGAS/WNK2/ACSM1/GSTM4/DCLK2/CHST11/PIK3CD/GXYLT2/PARP14/B3GNT5/RNF152/TYMS/RPS6KA3/NSUN7/WSCD1/PJA1/SIAH2/CAMK1D/CHST6/CERKL/UGT2B15/DAPK1/APRT/KCTD11/ALG3/CERS1/INMT/CCL5"
"GO:0016787","GO:0016787","hydrolase activity",83,"83/656","PRSS22/RAB27B/ADAM28/PRSS8/PIK3IP1/CDC25B/RHBDL1/PLD3/MYH14/TNS2/PPM1H/GZMK/ABCC5/PLCH1/GLS/ECE1/HELLS/CAT/MYRF/RAC2/APOBEC3A/GGT7/ADAMDEC1/RAB33A/GNS/CPM/DYNC1LI2/MYO1G/TLR2/CLCA2/ADAMTS14/ENPEP/KIF21A/RAB20/RAB15/RHBDL3/EPHX1/REN/HABP2/EDNRA/DUSP2/ADAMTS4/ACE/PIP/ABCG1/TMPRSS3/PDE9A/ASRGL1/ZC3H12A/RFC4/CDC25A/PRSS12/F2RL2/RHOBTB3/PDP1/FBP1/SMPD1/SEC11C/MMP10/ENGASE/TUBA1C/KIFC2/KLK5/CHRM1/KLK7/RAB3B/RND1/HPSE/KLK12/PDE2A/ENTPD8/SULF2/MMP1/PLCG2/NT5M/DDAH2/CPNE1/PSMB9/ABHD14A/MMP12/RASL10B/MMP28/CCL5"
"GO:0016829","GO:0016829","lyase activity",6,"6/656","GOT1/NPL/CYP2S1/GSTM4/ADCY5/ADCY6"
"GO:0016853","GO:0016853","isomerase activity",3,"3/656","PTGES/CYP2S1/ERO1A"
"GO:0016874","GO:0016874","ligase activity",6,"6/656","ACSM3/ACSS3/GLUL/RIMKLB/ACSM1/ATP5ME"
"GO:0032451","GO:0032451","demethylase activity",0,"0/656",""
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/656",""
"GO:0106265","GO:0106265","THPH synthase activity",0,"0/656",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",74,"74/656","PDK4/PRSS22/CLK1/ADAM28/PRSS8/LTK/UBE2T/MAP3K20/PIK3IP1/CDC25B/RNF24/RASSF2/RHBDL1/CCL8/TNS2/PPM1H/LOX/GZMK/GALNT3/ECE1/MYRF/GGT7/DCLK1/RNF122/LOXL2/ADAMDEC1/CPM/GLUL/CLCA2/ADAMTS14/ENPEP/ACVRL1/RHBDL3/HUNK/LMTK3/REN/HABP2/GOLGA7B/KIT/DUSP2/ADAMTS4/ACE/ZDHHC1/PIP/TMPRSS3/MGAT4B/ASRGL1/PRKCI/ZC3H12A/CDC25A/PRSS12/PDP1/WNK2/SEC11C/MMP10/KLK5/KLK7/DCLK2/PARP14/RNF152/RPS6KA3/PJA1/SIAH2/CAMK1D/KLK12/MMP1/DAPK1/ERO1A/ASPH/CPNE1/PSMB9/MMP12/MMP28/CCL5"
"GO:0140097","GO:0140097","catalytic activity, acting on DNA",2,"2/656","PLD3/RFC4"
"GO:0140098","GO:0140098","catalytic activity, acting on RNA",1,"1/656","ZC3H12A"
"GO:0003735","GO:0003735","structural constituent of ribosome",5,"5/656","RPS16/MRPS12/RPL12/RPS4X/MRPL12"
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/656",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",7,"7/656","VILL/ADD3/TUBA1C/KRT19/KRT15/CD2AP/DMD"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",9,"9/656","VCAN/LAMB1/PCOLCE/COL1A1/SPARC/MFAP4/MUC6/LAMA2/SPON1"
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/656",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/656",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/656",""
"GO:0008307","GO:0008307","structural constituent of muscle",3,"3/656","KRT19/ASPH/DMD"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/656",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/656",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/656",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",1,"1/656","MBP"
"GO:0030280","GO:0030280","structural constituent of skin epidermis",2,"2/656","KRT1/KRT10"
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/656",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/656",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/656",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/656",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/656",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/656",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/656",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/656",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/656",""
"GO:0005319","GO:0005319","lipid transporter activity",8,"8/656","FABP3/SFTPA1/APOA2/ABCG1/FABP1/STARD4/SPNS2/SLC5A8"
"GO:0005344","GO:0005344","oxygen carrier activity",3,"3/656","CYGB/HBA2/MB"
"GO:0022857","GO:0022857","transmembrane transporter activity",37,"37/656","GABRA3/SLC16A6/ABCC5/KCNIP3/KCNIP2/KCNJ8/TRPM4/SLC6A11/KCNK1/TTYH3/SLC22A23/SLC44A5/CLCA2/ATP6V1C2/SFXN5/SLC25A25/SLC25A4/CNNM4/SLC45A3/ABCG1/SLC37A1/ORAI2/MFSD12/COX7A1/NIPAL1/CYBB/AQP3/MFSD3/CPLX1/ATP5ME/SPNS2/SLC25A10/CACNA1H/S100A6/CLIC1/MTCO2P12/SLC5A8"
