"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006909","GO:0006909","phagocytosis","38/554","382/18866",5.4695896309632e-11,2.48538152830968e-07,2.13717018001425e-07,"TYROBP/STAP1/CORO1C/BIN2/SFTPA1/RAC2/MYO1G/TLR2/RAB20/FCER1G/APOA2/SPON2/ABR/ARHGAP25/ADORA1/ITGA2/TUB/P2RY6/GATA2/CAMK1D/GAS6/PLCG2/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",38
"GO:0002440","GO:0002440","production of molecular mediator of immune response","32/554","306/18866",5.33890482378797e-10,1.21299917596463e-06,1.04305340557373e-06,"IL4R/TGFB1/TRPM4/TLR2/KIT/FCER1G/APOA2/SPON2/INAVA/CGAS/B2M/KLK5/KLK7/HLA-DQB1/GAS6/HLA-G/HLA-F/IGLV1-36/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLV3-9/IGKV3D-15/IGKV1D-8/IGKV3-20/IGKV1-17/IGKV1-8/IGKV1-16/IGKV2D-24/IGKV2-29/TRIL",32
"GO:0002697","GO:0002697","regulation of immune effector process","38/554","470/18866",1.87491256923252e-08,2.83986757153086e-05,2.44199138841794e-05,"TYROBP/STAP1/IL4R/TGFB1/IL23A/CD46/CXCL6/RAC2/TRPM4/FCER1G/APOA2/SPON2/ZDHHC1/ABR/ZC3H12A/CGAS/B2M/KLK5/KLK7/CCL19/GATA2/HLA-G/HLA-F/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHV3-23/IGLC6/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29/TRIL/MMP12",38
"GO:0002920","GO:0002920","regulation of humoral immune response","18/554","134/18866",7.81199093764927e-08,8.87442170516957e-05,7.63108167383002e-05,"CD46/CXCL13/KLK5/KLK7/SPNS2/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHV3-23/IGLC6/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",18
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","31/554","370/18866",1.79031937001575e-07,0.000162704224347031,0.000139908747399968,"IL4R/TGFB1/IL23A/CD46/TRPM4/MYO1G/RORC/CXCL13/FCER1G/ZC3H12A/B2M/CCL19/HLA-DQB1/HLA-G/HLA-F/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",31
"GO:0006959","GO:0006959","humoral immune response","31/554","377/18866",2.70828272741146e-07,0.000205107278555961,0.000176370973406164,"TF/RARRES2/CD46/CXCL6/CXCL13/SPON2/S100A12/LEAP2/MFAP4/KLK5/KRT1/KLK7/WFDC5/HLA-DQB1/SPNS2/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",31
"GO:0045742","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","9/554","36/18866",7.05692423973367e-07,0.000407976148915743,0.00035081714806691,"DGKD/AGR2/HBEGF/DOK1/CCDC88A/EREG/AGT/TGFA/ADORA1",9
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","18/554","155/18866",7.18267867809406e-07,0.000407976148915743,0.00035081714806691,"CD46/HLA-DQB1/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",18
"GO:0006958","GO:0006958","complement activation, classical pathway","17/554","141/18866",8.57737138361014e-07,0.000433061950745828,0.000372388334221764,"CD46/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",17
"GO:1901186","GO:1901186","positive regulation of ERBB signaling pathway","9/554","38/18866",1.15958802892435e-06,0.000454824932661874,0.000391102240094718,"DGKD/AGR2/HBEGF/DOK1/CCDC88A/EREG/AGT/TGFA/ADORA1",9
"GO:0061098","GO:0061098","positive regulation of protein tyrosine kinase activity","11/554","60/18866",1.17951843825296e-06,0.000454824932661874,0.000391102240094718,"STAP1/HBEGF/EREG/AGT/IL34/ACE/TGFA/ADORA1/GAS6/CCL5/SRCIN1",11
"GO:0019724","GO:0019724","B cell mediated immunity","22/554","230/18866",1.26187403493552e-06,0.000454824932661874,0.000391102240094718,"IL4R/TGFB1/CD46/FCER1G/HLA-DQB1/HLA-G/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",22
"GO:0006956","GO:0006956","complement activation","19/554","178/18866",1.30121569643582e-06,0.000454824932661874,0.000391102240094718,"CD46/MFAP4/KRT1/IGLV3-27/IGLV3-25/IGLV2-14/IGLV2-11/IGLC2/IGHG3/IGHD/IGHV6-1/IGHV3-23/IGLC6/IGHV3-64/C4B/IGKV3-20/IGKV1-17/IGKV1-16/IGKV2-29",19
"GO:0061097","GO:0061097","regulation of protein tyrosine kinase activity","13/554","93/18866",3.17543812659409e-06,0.000925714721973516,0.000796018589688124,"MVP/GPRC5A/STAP1/HBEGF/EREG/AGT/IL34/ACE/TGFA/ADORA1/GAS6/CCL5/SRCIN1",13
