"","ID","Description","Count","GeneRatio","geneID"
"GO:0000131","GO:0000131","incipient cellular bud site",0,"0/656",""
"GO:0000151","GO:0000151","ubiquitin ligase complex",3,"3/656","FBXO32/ENC1/PCGF2"
"GO:0000159","GO:0000159","protein phosphatase type 2A complex",0,"0/656",""
"GO:0000178","GO:0000178","exosome (RNase complex)",0,"0/656",""
"GO:0000307","GO:0000307","cyclin-dependent protein kinase holoenzyme complex",1,"1/656","CCNB2"
"GO:0000408","GO:0000408","EKC/KEOPS complex",0,"0/656",""
"GO:0000502","GO:0000502","proteasome complex",1,"1/656","PSMB9"
"GO:0005737","GO:0005737","cytoplasm",384,"384/656","ARHGAP33/PDK4/MCUB/ACSM3/TYROBP/MVP/CLK1/GPRC5A/STAP1/VCAN/RTN4R/RAB27B/ADAM28/BARX2/ADRB1/VMP1/ST6GALNAC2/PABPC1/SPAG5/CAMSAP3/DGKD/RARB/PPP1R12B/CAPN6/APBB1IP/JADE1/AKR1B1/CTTN/WNT11/LAMB1/CMTM6/MAP3K20/TF/GADD45B/MFNG/GCAT/EFS/DHRS2/CDC25B/RNF24/RASSF2/SNPH/FA2H/SALL1/SYDE1/RPS16/PLD3/NUMBL/BBC3/TGFB1/MYH14/CD79A/HOXA13/STX1A/SERPINE1/MOGAT3/RARRES2/AGR2/GIMAP2/COL1A1/VAT1/FAM20A/CORO1C/BIN2/IL23A/ACSS3/PPM1H/SH2B3/GMNN/GHR/HBEGF/SPARC/HMGCR/ABCC5/PLCH1/KCNIP3/GRB14/DOK1/GALNT3/CCDC88A/EVA1A/GLS/PECR/VAX2/ECE1/ID3/CD46/MXI1/KCNIP2/GOT1/CSTA/CAT/FABP3/CALD1/SFTPA1/SRGN/PARD6B/BCAS4/RUNX2/EREG/MYRF/RTN2/VASP/RRBP1/THRA/RAC2/APOBEC3A/KRT17/IRF5/MRPS12/TRPM4/C1QL1/SLC6A11/XAF1/RBM38/WASF3/TMTC1/RNF122/LOXL2/RAB33A/TES/MRAP2/GNS/DYNC1LI2/AGT/KCNK1/GLUL/NPL/ARHGEF4/VILL/IGF2BP3/MYO1G/BIN1/HS6ST1/TXN/TMOD1/CPEB2/TLR2/CLCA2/IDH1/SHROOM3/ENPEP/ERP27/ETV6/KIF21A/RAB20/RTN1/RAB15/DUOXA2/CDH11/HUNK/DOP1B/LMTK3/TM4SF5/REN/OSR1/ATP6V1C2/NAT8/SFXN5/CPLX2/DOK3/ZNF185/STOM/SLC25A25/PTGES/ADD3/MAT1A/EPS8/QDPR/NR3C2/SLC25A4/NADK2/PID1/BTG3/GOLGA7B/FGF18/HKDC1/RAB11FIP1/FBXO32/KIT/CCNB2/TSC22D3/FMNL2/DUSP2/XDH/FCER1G/APOA2/STC1/CYB5R1/SPRR2G/ACE/CHCHD6/TPPP3/ZDHHC1/ABR/ABCG1/TFF3/TMPRSS3/RSPH1/PDE9A/CSTB/LY6K/MGAT4B/MFSD12/COX7A1/FDXR/CYGB/ASRGL1/AK4/S100A11/ARHGAP25/S100A12/TGFA/NPPC/ANTXR2/PBXIP1/CLDN1/INAVA/ADORA1/PRKCI/FABP1/ZC3H12A/ABLIM2/CDC25A/PRSS12/ITGA2/STARD4/RHOBTB3/GPX8/CGAS/MICALL2/PDP1/C9orf24/FBP1/CYBB/MID1IP1/NCF1C/WNK2/AQP3/CFL2/CRYL1/PKNOX2/PLEKHF1/SMPD1/APBB1/TUB/RIC3/TMEM130/CENPN/CCDC68/RIMKLB/BEX3/B2M/ACSM1/PCLAF/STX3/ENGASE/TUBA1C/CYP2S1/KIFC2/KLK5/KRT80/KRT1/EVPL/PHYHIP/GSTM4/CXXC4/CPLX1/ATP5ME/KLK7/RAB3B/ROBO1/REPS2/DCLK2/GPRC5C/CHST11/KRT19/KRT15/CLSTN1/CXXC5/PIK3CD/ENC1/RND1/HPSE/PARP14/ZBTB4/CNTNAP2/MARCKSL1/B3GNT5/RNF152/BASP1/TYMS/PNMA1/RPS6KA3/FZD8/PPFIA3/CPNE7/LGALS7B/RCC2/HLA-DQB1/GATA2/F2R/PJA1/DHTKD1/FRAT2/LRRC75A/SIAH2/SPNS2/SLC25A10/CAMK1D/GAS6/GPC6/ARHGEF37/CHST6/MACC1/FAM110C/ARMCX2/FMNL1/MUC6/KRT10/KLK12/INSIG1/ARHGAP30/PDE2A/SPIN4/ESPN/SELL/CERKL/SERPINA5/KRTDAP/HBA2/SULF2/ADH1B/DAPK1/PDLIM7/FLNA/FAM3C/ERO1A/PLCG2/S100A6/RPL12/RPS4X/CD2AP/MB/PEG3/ASPH/MT1F/APRT/DMD/MFAP3L/HLA-G/HLA-F/GABBR1/SPIRE2/NT5M/MT1H/MT1DP/LBH/S1PR3/CLIC1/DDAH2/ITGA1/TAX1BP3/CPNE1/ALG3/CERS1/ORM2/ORM1/MTCO2P12/PSMB9/INMT/ABHD14A/FMN1/CHCHD10/MTRNR2L8/EPPK1/MMP12/SPON1/MRPL12/MYZAP/MMP28/CCL5/LIX1L/SRCIN1"
"GO:0005845","GO:0005845","mRNA cap binding complex",0,"0/656",""
"GO:0005846","GO:0005846","nuclear cap binding complex",0,"0/656",""
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex",0,"0/656",""
"GO:0005953","GO:0005953","CAAX-protein geranylgeranyltransferase complex",0,"0/656",""
"GO:0005954","GO:0005954","calcium- and calmodulin-dependent protein kinase complex",0,"0/656",""
"GO:0005955","GO:0005955","calcineurin complex",0,"0/656",""
"GO:0005956","GO:0005956","protein kinase CK2 complex",0,"0/656",""
"GO:0005963","GO:0005963","magnesium-dependent protein serine/threonine phosphatase complex",0,"0/656",""
"GO:0008043","GO:0008043","intracellular ferritin complex",0,"0/656",""
"GO:0009318","GO:0009318","exodeoxyribonuclease VII complex",0,"0/656",""
"GO:0009327","GO:0009327","NAD(P)+ transhydrogenase complex (AB-specific)",0,"0/656",""
"GO:0009330","GO:0009330","DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex",0,"0/656",""
"GO:0009337","GO:0009337","sulfite reductase complex (NADPH)",0,"0/656",""
"GO:0009338","GO:0009338","exodeoxyribonuclease V complex",0,"0/656",""
"GO:0009350","GO:0009350","ethanolamine ammonia-lyase complex",0,"0/656",""
"GO:0009356","GO:0009356","aminodeoxychorismate synthase complex",0,"0/656",""
"GO:0009366","GO:0009366","enterobactin synthetase complex",0,"0/656",""
"GO:0009368","GO:0009368","endopeptidase Clp complex",0,"0/656",""
"GO:0009375","GO:0009375","ferredoxin hydrogenase complex",0,"0/656",""
"GO:0009579","GO:0009579","thylakoid",0,"0/656",""
"GO:0010170","GO:0010170","glucose-1-phosphate adenylyltransferase complex",0,"0/656",""
"GO:0010598","GO:0010598","NAD(P)H dehydrogenase complex (plastoquinone)",0,"0/656",""
"GO:0016234","GO:0016234","inclusion body",0,"0/656",""
"GO:0016610","GO:0016610","nitrogenase complex",0,"0/656",""
"GO:0017101","GO:0017101","aminoacyl-tRNA synthetase multienzyme complex",0,"0/656",""
"GO:0017122","GO:0017122","protein N-acetylglucosaminyltransferase complex",0,"0/656",""
"GO:0030008","GO:0030008","TRAPP complex",0,"0/656",""
